,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DETROIT_ACTION,MEMPHIS_SCORE,DETROIT_SCORE
0,1,11:44.0,Turnover by C. Lee (bad pass),,0,0
1,1,11:32.0,,R. Jackson makes 2-pt jump shot from 13 ft,0,2
2,1,11:15.0,C. Lee misses 3-pt jump shot from 25 ft,,0,2
3,1,11:14.0,,Defensive rebound by C. Butler,0,2
4,1,11:06.0,,K. Caldwell-Pope misses 2-pt layup at rim,0,2
5,1,11:05.0,Defensive rebound by J. Green,,0,2
6,1,10:50.0,M. Gasol makes 2-pt jump shot from 6 ft,,2,2
7,1,10:35.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by K. Caldwell-Pope),2,5
8,1,10:13.0,Z. Randolph makes 2-pt layup from 1 ft,,4,5
9,1,10:13.0,Shooting foul by A. Tolliver (drawn by Z. Randolph),,4,5
10,1,10:13.0,Z. Randolph makes free throw 1 of 1,,5,5
11,1,9:57.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,5,5
12,1,9:56.0,Defensive rebound by M. Gasol,,5,5
13,1,9:44.0,M. Gasol makes 2-pt jump shot from 7 ft (assist by B. Udrih),,7,5
14,1,9:29.0,,Personal foul by C. Lee (drawn by K. Caldwell-Pope),7,5
15,1,9:17.0,,C. Butler misses 2-pt jump shot from 13 ft,7,5
16,1,9:16.0,Defensive rebound by Z. Randolph,,7,5
17,1,9:03.0,Turnover by B. Udrih (bad pass; steal by A. Drummond),,7,5
18,1,9:00.0,,Shooting foul by M. Gasol (drawn by A. Tolliver),7,5
19,1,9:00.0,,A. Tolliver makes free throw 1 of 2,7,6
20,1,9:00.0,,A. Tolliver makes free throw 2 of 2,7,7
21,1,8:42.0,J. Green misses 2-pt jump shot from 4 ft,,7,7
22,1,8:41.0,Offensive rebound by Team,,7,7
23,1,8:34.0,C. Lee misses 3-pt jump shot from 23 ft,,7,7
24,1,8:32.0,,Defensive rebound by A. Tolliver,7,7
25,1,8:18.0,,A. Drummond misses 2-pt hook shot from 5 ft,7,7
26,1,8:15.0,Defensive rebound by M. Gasol,,7,7
27,1,8:06.0,M. Gasol makes 3-pt jump shot from 25 ft (assist by B. Udrih),,10,7
28,1,8:00.0,,Detroit full timeout,10,7
