,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,PHOENIX_ACTION,LA LAKERS_SCORE,PHOENIX_SCORE
0,1,11:42.0,W. Johnson makes 2-pt jump shot from 17 ft (assist by J. Hill),,2,0
1,1,11:16.0,,Shooting foul by E. Davis (drawn by A. Len),2,0
2,1,11:16.0,,A. Len makes free throw 1 of 2,2,1
3,1,11:16.0,,A. Len makes free throw 2 of 2,2,2
4,1,11:05.0,Def 3 sec tech foul by M. Morris,,2,2
5,1,11:05.0,W. Johnson makes technical free throw,,3,2
6,1,10:52.0,J. Hill misses 2-pt jump shot from 19 ft,,3,2
7,1,10:51.0,,Defensive rebound by P. Tucker,3,2
8,1,10:43.0,,P. Tucker misses 3-pt jump shot from 24 ft,3,2
9,1,10:41.0,,Offensive rebound by G. Dragić,3,2
10,1,10:37.0,,G. Dragić makes 2-pt jump shot from 16 ft,3,4
11,1,10:18.0,J. Hill misses 2-pt hook shot from 7 ft,,3,4
12,1,10:15.0,,Defensive rebound by A. Len,3,4
13,1,10:05.0,,Shooting foul by J. Hill (drawn by A. Len),3,4
14,1,10:05.0,,A. Len makes free throw 1 of 2,3,5
15,1,10:05.0,,A. Len makes free throw 2 of 2,3,6
16,1,9:48.0,Personal foul by E. Bledsoe (drawn by J. Lin),,3,6
17,1,9:42.0,J. Lin misses 2-pt layup from 1 ft,,3,6
18,1,9:40.0,Offensive rebound by E. Davis,,3,6
19,1,9:40.0,E. Davis misses 2-pt tip-in from 2 ft,,3,6
20,1,9:38.0,Offensive rebound by E. Davis,,3,6
21,1,9:38.0,E. Davis misses 2-pt tip-in from 1 ft,,3,6
22,1,9:38.0,Offensive rebound by E. Davis,,3,6
23,1,9:38.0,Shooting foul by M. Morris (drawn by E. Davis),,3,6
24,1,9:38.0,E. Davis makes free throw 1 of 2,,4,6
25,1,9:38.0,E. Davis makes free throw 2 of 2,,5,6
26,1,9:23.0,,M. Morris misses 2-pt jump shot from 13 ft,5,6
27,1,9:21.0,Defensive rebound by J. Lin,,5,6
28,1,9:06.0,Turnover by J. Hill (lost ball; steal by A. Len),,5,6
29,1,9:01.0,,G. Dragić misses 2-pt layup from 2 ft,5,6
30,1,8:57.0,Defensive rebound by E. Davis,,5,6
31,1,8:52.0,J. Lin makes 3-pt jump shot from 25 ft,,8,6
32,1,8:39.0,,G. Dragić makes 2-pt layup at rim (assist by M. Morris),8,8
33,1,8:17.0,Turnover by J. Hill (lost ball; steal by P. Tucker),,8,8
34,1,8:12.0,,E. Bledsoe makes 2-pt layup from 1 ft,8,10
35,1,7:48.0,J. Hill makes 2-pt jump shot from 8 ft (assist by W. Johnson),,10,10
36,1,7:41.0,,M. Morris misses 2-pt layup from 1 ft,10,10
37,1,7:36.0,Defensive rebound by E. Davis,,10,10
38,1,7:31.0,Shooting foul by A. Len (drawn by E. Davis),,10,10
39,1,7:31.0,E. Davis misses free throw 1 of 2,,10,10
40,1,7:31.0,Offensive rebound by Team,,10,10
41,1,7:31.0,E. Davis misses free throw 2 of 2,,10,10
42,1,7:29.0,,Defensive rebound by A. Len,10,10
43,1,7:09.0,,Turnover by G. Dragić (bad pass),10,10
44,1,6:57.0,E. Davis misses 2-pt jump shot from 3 ft (block by A. Len),,10,10
45,1,6:55.0,,Defensive rebound by G. Dragić,10,10
46,1,6:53.0,,G. Dragić makes 2-pt layup from 1 ft (assist by E. Bledsoe),10,12
47,1,6:53.0,,Shooting foul by J. Lin (drawn by G. Dragić),10,12
48,1,6:53.0,,G. Dragić misses free throw 1 of 1,10,12
49,1,6:52.0,Defensive rebound by E. Davis,,10,12
50,1,6:40.0,J. Lin makes 2-pt layup at rim,,12,12
51,1,6:20.0,,M. Morris makes 2-pt jump shot from 8 ft,12,14
52,1,6:13.0,J. Lin misses 2-pt layup from 1 ft (block by A. Len),,12,14
53,1,6:13.0,Offensive rebound by Team,,12,14
54,1,6:04.0,W. Ellington misses 2-pt jump shot from 15 ft,,12,14
55,1,6:01.0,,Defensive rebound by A. Len,12,14
56,1,5:46.0,,P. Tucker misses 3-pt jump shot from 25 ft,12,14
57,1,5:44.0,Defensive rebound by W. Ellington,,12,14
58,1,5:38.0,W. Johnson misses 3-pt jump shot from 23 ft,,12,14
59,1,5:36.0,Offensive rebound by E. Davis,,12,14
60,1,5:33.0,W. Johnson makes 3-pt jump shot from 24 ft (assist by E. Davis),,15,14
61,1,5:27.0,,Phoenix full timeout,15,14
62,1,5:27.0,,M. Morris enters the game for P. Tucker,15,14
63,1,5:27.0,,M. Plumlee enters the game for A. Len,15,14
64,1,5:27.0,C. Boozer enters the game for E. Davis,,15,14
65,1,5:27.0,T. Black enters the game for J. Hill,,15,14
66,1,5:20.0,,Shooting foul by J. Lin (drawn by E. Bledsoe),15,14
67,1,5:20.0,,E. Bledsoe makes free throw 1 of 2,15,15
68,1,5:20.0,J. Clarkson enters the game for J. Lin,,15,15
69,1,5:20.0,,E. Bledsoe makes free throw 2 of 2,15,16
70,1,5:03.0,W. Ellington misses 3-pt jump shot from 25 ft,,15,16
71,1,5:00.0,,Defensive rebound by M. Morris,15,16
72,1,4:52.0,,M. Morris misses 3-pt jump shot from 25 ft,15,16
73,1,4:50.0,Defensive rebound by W. Johnson,,15,16
74,1,4:36.0,Turnover by W. Johnson (discontinued dribble),,15,16
75,1,4:36.0,,I. Thomas enters the game for G. Dragić,15,16
76,1,4:25.0,,M. Morris misses 2-pt jump shot from 17 ft,15,16
77,1,4:23.0,Defensive rebound by C. Boozer,,15,16
78,1,4:01.0,Shooting foul by M. Morris (drawn by T. Black),,15,16
79,1,4:01.0,T. Black makes free throw 1 of 2,,16,16
80,1,4:01.0,,B. Wright enters the game for M. Morris,16,16
81,1,4:01.0,N. Young enters the game for W. Ellington,,16,16
82,1,4:01.0,T. Black misses free throw 2 of 2,,16,16
83,1,4:00.0,Offensive rebound by C. Boozer,,16,16
84,1,3:45.0,Personal foul by E. Bledsoe (drawn by J. Clarkson),,16,16
85,1,3:45.0,J. Clarkson makes free throw 1 of 2,,17,16
86,1,3:45.0,,G. Green enters the game for E. Bledsoe,17,16
87,1,3:45.0,J. Clarkson makes free throw 2 of 2,,18,16
88,1,3:30.0,,G. Green makes 3-pt jump shot from 25 ft (assist by I. Thomas),18,19
89,1,3:16.0,Personal foul by G. Green (drawn by N. Young),,18,19
90,1,3:16.0,N. Young makes free throw 1 of 2,,19,19
91,1,3:16.0,R. Kelly enters the game for W. Johnson,,19,19
92,1,3:16.0,N. Young makes free throw 2 of 2,,20,19
93,1,3:02.0,,M. Morris misses 2-pt layup from 1 ft,20,19
94,1,2:59.0,Defensive rebound by N. Young,,20,19
95,1,2:50.0,R. Kelly makes 3-pt jump shot from 25 ft (assist by N. Young),,23,19
96,1,2:33.0,,M. Plumlee makes 2-pt layup from 1 ft,23,21
97,1,2:16.0,C. Boozer misses 2-pt jump shot from 6 ft,,23,21
98,1,2:14.0,,Defensive rebound by G. Green,23,21
99,1,2:08.0,,G. Green misses 3-pt jump shot from 24 ft,23,21
100,1,2:05.0,Defensive rebound by T. Black,,23,21
101,1,2:00.0,N. Young makes 2-pt jump shot from 15 ft,,25,21
102,1,1:42.0,,M. Morris makes 3-pt jump shot from 25 ft (assist by I. Thomas),25,24
103,1,1:24.0,R. Kelly misses 2-pt jump shot from 8 ft,,25,24
104,1,1:22.0,,Defensive rebound by B. Wright,25,24
105,1,1:17.0,,I. Thomas misses 2-pt jump shot from 16 ft,25,24
106,1,1:14.0,Defensive rebound by C. Boozer,,25,24
107,1,1:03.0,C. Boozer misses 2-pt jump shot from 6 ft,,25,24
108,1,1:01.0,,Defensive rebound by B. Wright,25,24
109,1,0:57.0,,I. Thomas makes 2-pt layup at rim,25,26
110,1,0:37.0,Shooting foul by B. Wright (drawn by C. Boozer),,25,26
111,1,0:37.0,LA Lakers full timeout,,25,26
112,1,0:37.0,C. Boozer makes free throw 1 of 2,,26,26
113,1,0:37.0,C. Boozer misses free throw 2 of 2,,26,26
114,1,0:36.0,,Defensive rebound by M. Plumlee,26,26
115,1,0:28.0,,Turnover by I. Thomas (bad pass),26,26
116,1,0:05.0,J. Clarkson misses 3-pt jump shot from 25 ft,,26,26
117,1,0:03.0,,Defensive rebound by M. Plumlee,26,26
118,2,11:39.0,,G. Green makes 2-pt dunk at rim,26,28
119,2,11:10.0,C. Boozer makes 2-pt jump shot from 14 ft,,28,28
120,2,10:53.0,,I. Thomas makes 3-pt jump shot from 26 ft (assist by M. Morris),28,31
121,2,10:30.0,Shooting foul by M. Plumlee (drawn by R. Kelly),,28,31
122,2,10:30.0,R. Kelly makes free throw 1 of 2,,29,31
123,2,10:30.0,,G. Dragić enters the game for M. Plumlee,29,31
124,2,10:30.0,R. Kelly misses free throw 2 of 2,,29,31
125,2,10:29.0,,Defensive rebound by G. Green,29,31
126,2,10:19.0,,M. Morris misses 2-pt jump shot from 17 ft,29,31
127,2,10:17.0,Defensive rebound by T. Black,,29,31
128,2,9:57.0,T. Black misses 2-pt hook shot from 4 ft,,29,31
129,2,9:54.0,Offensive rebound by J. Clarkson,,29,31
130,2,9:54.0,J. Clarkson makes 2-pt dunk at rim,,31,31
131,2,9:47.0,,Turnover by G. Green (bad pass; steal by N. Young),31,31
132,2,9:39.0,T. Black makes 2-pt layup from 1 ft (assist by N. Young),,33,31
133,2,9:25.0,,G. Green misses 2-pt jump shot from 8 ft (block by T. Black),33,31
134,2,9:25.0,,Offensive rebound by Team,33,31
135,2,9:23.0,,G. Dragić makes 2-pt jump shot from 15 ft (assist by G. Green),33,33
136,2,9:03.0,Shooting foul by M. Morris (drawn by C. Boozer),,33,33
137,2,9:03.0,C. Boozer misses free throw 1 of 2,,33,33
138,2,9:03.0,Offensive rebound by Team,,33,33
139,2,9:03.0,,P. Tucker enters the game for M. Morris,33,33
140,2,9:03.0,C. Boozer misses free throw 2 of 2,,33,33
141,2,9:02.0,,Defensive rebound by B. Wright,33,33
142,2,8:50.0,,G. Green misses 3-pt jump shot from 25 ft,33,33
143,2,8:48.0,Defensive rebound by J. Clarkson,,33,33
144,2,8:40.0,J. Clarkson misses 2-pt jump shot from 4 ft (block by B. Wright),,33,33
145,2,8:37.0,,Defensive rebound by G. Dragić,33,33
146,2,8:35.0,,G. Dragić makes 2-pt layup at rim,33,35
147,2,8:26.0,Turnover by N. Young (lost ball; steal by G. Green),,33,35
148,2,8:21.0,,B. Wright misses 2-pt hook shot from 5 ft,33,35
149,2,8:16.0,Defensive rebound by N. Young,,33,35
150,2,8:07.0,N. Young misses 3-pt jump shot from 25 ft,,33,35
151,2,8:05.0,Offensive rebound by R. Kelly,,33,35
152,2,8:02.0,R. Kelly misses 2-pt jump shot from 11 ft,,33,35
153,2,7:59.0,Offensive rebound by N. Young,,33,35
154,2,7:59.0,N. Young makes 2-pt tip-in at rim,,35,35
155,2,7:46.0,,P. Tucker misses 3-pt jump shot from 25 ft,35,35
156,2,7:44.0,Defensive rebound by C. Boozer,,35,35
157,2,7:23.0,Shooting foul by G. Green (drawn by R. Kelly),,35,35
158,2,7:23.0,Official timeout,,35,35
159,2,7:23.0,,M. Morris enters the game for G. Green,35,35
160,2,7:23.0,J. Lin enters the game for J. Clarkson,,35,35
161,2,7:23.0,R. Kelly makes free throw 1 of 2,,36,35
162,2,7:23.0,R. Kelly makes free throw 2 of 2,,37,35
163,2,7:09.0,,Shooting foul by N. Young (drawn by M. Morris),37,35
164,2,7:09.0,,M. Morris misses free throw 1 of 2,37,35
165,2,7:09.0,,Offensive rebound by Team,37,35
166,2,7:09.0,E. Davis enters the game for T. Black,,37,35
167,2,7:09.0,J. Hill enters the game for C. Boozer,,37,35
168,2,7:09.0,,M. Morris makes free throw 2 of 2,37,36
169,2,6:51.0,N. Young misses 3-pt jump shot from 24 ft,,37,36
170,2,6:49.0,,Defensive rebound by G. Dragić,37,36
171,2,6:30.0,,B. Wright misses 2-pt jump shot from 7 ft,37,36
172,2,6:27.0,Defensive rebound by E. Davis,,37,36
173,2,6:25.0,J. Hill makes 2-pt dunk at rim (assist by J. Lin),,39,36
174,2,6:07.0,,M. Morris misses 2-pt jump shot from 18 ft,39,36
175,2,6:05.0,Defensive rebound by J. Hill,,39,36
176,2,5:54.0,J. Hill makes 2-pt jump shot from 21 ft (assist by J. Lin),,41,36
177,2,5:33.0,,I. Thomas makes 3-pt jump shot from 25 ft (assist by P. Tucker),41,39
178,2,5:19.0,Turnover by J. Lin (bad pass; steal by G. Dragić),,41,39
179,2,5:13.0,,G. Dragić misses 3-pt jump shot from 24 ft,41,39
180,2,5:10.0,Defensive rebound by E. Davis,,41,39
181,2,5:04.0,,Phoenix full timeout,41,39
182,2,5:04.0,,E. Bledsoe enters the game for I. Thomas,41,39
183,2,5:04.0,,A. Len enters the game for B. Wright,41,39
184,2,5:04.0,W. Johnson enters the game for N. Young,,41,39
185,2,5:04.0,W. Ellington enters the game for R. Kelly,,41,39
186,2,5:00.0,Offensive foul by J. Hill (drawn by P. Tucker),,41,39
187,2,5:00.0,Turnover by J. Hill (offensive foul),,41,39
188,2,4:41.0,,E. Bledsoe misses 2-pt jump shot from 21 ft,41,39
189,2,4:39.0,,Offensive rebound by M. Morris,41,39
190,2,4:36.0,,P. Tucker misses 3-pt jump shot from 25 ft,41,39
191,2,4:34.0,Defensive rebound by E. Davis,,41,39
192,2,4:15.0,W. Ellington makes 2-pt jump shot from 14 ft (assist by W. Johnson),,43,39
193,2,3:59.0,,Shooting foul by E. Davis (drawn by P. Tucker),43,39
194,2,3:59.0,,P. Tucker makes free throw 1 of 2,43,40
195,2,3:59.0,,P. Tucker misses free throw 2 of 2,43,40
196,2,3:58.0,Defensive rebound by J. Hill,,43,40
197,2,3:42.0,W. Ellington makes 3-pt jump shot from 25 ft (assist by E. Davis),,46,40
198,2,3:33.0,,Shooting foul by W. Ellington (drawn by G. Dragić),46,40
199,2,3:33.0,,G. Dragić makes free throw 1 of 2,46,41
200,2,3:33.0,,G. Dragić makes free throw 2 of 2,46,42
201,2,3:21.0,Turnover by J. Hill (lost ball; steal by E. Bledsoe),,46,42
202,2,3:16.0,,G. Dragić makes 2-pt layup from 1 ft (assist by E. Bledsoe),46,44
