,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,NEW ORLEANS_ACTION,WASHINGTON_SCORE,NEW ORLEANS_SCORE
0,1,11:35.0,J. Wall misses 2-pt layup from 1 ft,,0,0
1,1,11:32.0,Offensive rebound by M. Gortat,,0,0
2,1,11:32.0,M. Gortat misses 2-pt tip-in from 1 ft,,0,0
3,1,11:29.0,,Defensive rebound by L. Babbitt,0,0
4,1,11:18.0,,E. Gordon misses 3-pt jump shot from 25 ft,0,0
5,1,11:17.0,Defensive rebound by M. Gortat,,0,0
6,1,11:11.0,P. Pierce makes 3-pt jump shot from 26 ft (assist by J. Wall),,3,0
7,1,10:49.0,,E. Gordon makes 2-pt jump shot from 4 ft,3,2
8,1,10:29.0,P. Pierce makes 2-pt layup from 2 ft (assist by J. Wall),,5,2
9,1,10:13.0,,Ö. Aşık makes 2-pt layup from 1 ft (assist by E. Gordon),5,4
10,1,9:49.0,M. Gortat makes 2-pt jump shot from 12 ft (assist by B. Beal),,7,4
11,1,9:34.0,,J. Holiday makes 2-pt jump shot from 9 ft,7,6
12,1,9:23.0,B. Beal misses 2-pt jump shot from 18 ft,,7,6
13,1,9:22.0,,Defensive rebound by A. Davis,7,6
14,1,9:09.0,,Turnover by A. Davis (lost ball),7,6
15,1,8:44.0,B. Beal misses 3-pt jump shot from 23 ft,,7,6
16,1,8:43.0,,Defensive rebound by A. Davis,7,6
17,1,8:33.0,,J. Holiday makes 2-pt layup from 1 ft,7,8
18,1,8:13.0,B. Beal makes 2-pt dunk at rim (assist by J. Wall),,9,8
19,1,7:55.0,,Turnover by Ö. Aşık (offensive goaltending),9,8
20,1,7:45.0,N. Hilário makes 2-pt dunk at rim (assist by J. Wall),,11,8
21,1,7:37.0,,New Orleans full timeout,11,8
22,1,7:31.0,,A. Davis misses 2-pt jump shot from 20 ft,11,8
23,1,7:30.0,Defensive rebound by P. Pierce,,11,8
24,1,7:08.0,M. Gortat misses 2-pt jump shot from 15 ft,,11,8
25,1,7:07.0,,Defensive rebound by E. Gordon,11,8
26,1,6:49.0,,E. Gordon misses 3-pt jump shot from 26 ft,11,8
27,1,6:48.0,,Offensive rebound by Team,11,8
28,1,6:48.0,,D. Cunningham enters the game for L. Babbitt,11,8
29,1,6:48.0,,T. Evans enters the game for E. Gordon,11,8
30,1,6:32.0,,D. Cunningham makes 2-pt layup from 2 ft (assist by J. Holiday),11,10
31,1,6:12.0,M. Gortat misses 2-pt hook shot from 7 ft,,11,10
32,1,6:09.0,,Defensive rebound by Ö. Aşık,11,10
33,1,6:07.0,,Turnover by T. Evans (lost ball; steal by J. Wall),11,10
34,1,6:02.0,J. Wall makes 2-pt dunk at rim,,13,10
35,1,5:38.0,,Turnover by A. Davis (bad pass; steal by J. Wall),13,10
36,1,5:23.0,M. Gortat misses 2-pt jump shot from 10 ft,,13,10
37,1,5:22.0,,Defensive rebound by A. Davis,13,10
38,1,5:18.0,Offensive charge foul by T. Evans (drawn by B. Beal),,13,10
39,1,5:18.0,,Turnover by T. Evans (offensive foul),13,10
40,1,5:18.0,K. Humphries enters the game for N. Hilário,,13,10
41,1,5:18.0,,R. Anderson enters the game for Ö. Aşık,13,10
42,1,5:04.0,B. Beal misses 2-pt layup from 2 ft (block by T. Evans),,13,10
43,1,5:02.0,,Defensive rebound by T. Evans,13,10
44,1,4:57.0,,J. Holiday misses 2-pt jump shot from 10 ft,13,10
45,1,4:55.0,Defensive rebound by M. Gortat,,13,10
46,1,4:41.0,B. Beal makes 2-pt layup from 2 ft (assist by M. Gortat),,15,10
47,1,4:16.0,,J. Holiday makes 2-pt layup from 1 ft,15,12
48,1,4:02.0,Turnover by J. Wall (lost ball),,15,12
49,1,4:02.0,R. Butler enters the game for P. Pierce,,15,12
