,QUARTER,TIME_REMAINING,INDIANA_ACTION,SACRAMENTO_ACTION,INDIANA_SCORE,SACRAMENTO_SCORE
0,1,11:43.0,,Turnover by B. McLemore (lost ball; steal by C. Copeland),0,0
1,1,11:25.0,D. West makes 2-pt hook shot from 5 ft,,2,0
2,1,11:08.0,,R. Hollins makes 2-pt dunk at rim (assist by R. Gay),2,2
3,1,10:44.0,Shooting foul by R. Hollins (drawn by R. Hibbert),,2,2
4,1,10:44.0,R. Hibbert misses free throw 1 of 2,,2,2
5,1,10:44.0,Offensive rebound by Team,,2,2
6,1,10:44.0,R. Hibbert makes free throw 2 of 2,,3,2
7,1,10:29.0,,B. McLemore makes 2-pt jump shot from 8 ft (assist by D. Collison),3,4
8,1,10:12.0,R. Hibbert makes 2-pt hook shot from 5 ft (assist by R. Stuckey),,5,4
9,1,10:04.0,,Personal foul by R. Stuckey (drawn by D. Collison),5,4
10,1,9:59.0,,D. Collison misses 3-pt jump shot from 24 ft,5,4
11,1,9:58.0,Defensive rebound by R. Hibbert,,5,4
12,1,9:44.0,D. West misses 2-pt jump shot from 16 ft,,5,4
13,1,9:43.0,,Defensive rebound by R. Hollins,5,4
14,1,9:33.0,,R. Gay makes 2-pt jump shot from 4 ft (assist by R. Hollins),5,6
15,1,9:16.0,R. Stuckey misses 2-pt jump shot from 7 ft (block by J. Thompson),,5,6
16,1,9:16.0,Offensive rebound by Team,,5,6
17,1,9:01.0,C. Copeland makes 3-pt jump shot from 24 ft (assist by D. West),,8,6
18,1,8:47.0,,R. Gay makes 2-pt jump shot from 5 ft (assist by D. Collison),8,8
19,1,8:39.0,Turnover by R. Hibbert (offensive foul),,8,8
20,1,8:39.0,,Offensive charge foul by R. Hibbert (drawn by R. Hollins),8,8
21,1,8:18.0,,R. Gay makes 3-pt jump shot from 26 ft,8,11
22,1,7:59.0,S. Hill misses 2-pt jump shot from 6 ft,,8,11
23,1,7:58.0,Offensive rebound by S. Hill,,8,11
24,1,7:39.0,R. Stuckey makes 3-pt jump shot from 23 ft (assist by R. Hibbert),,11,11
25,1,7:25.0,,R. Hollins makes 2-pt dunk at rim (assist by R. Gay),11,13
26,1,7:11.0,D. West misses 2-pt jump shot from 18 ft,,11,13
27,1,7:10.0,,Defensive rebound by R. Gay,11,13
28,1,6:53.0,,R. Hollins misses 2-pt layup from 1 ft (block by R. Hibbert),11,13
29,1,6:46.0,Defensive rebound by Team,,11,13
30,1,6:38.0,Turnover by S. Hill (bad pass; steal by D. Collison),,11,13
31,1,6:35.0,,Shooting foul by R. Stuckey (drawn by D. Collison),11,13
32,1,6:35.0,,D. Collison misses free throw 1 of 2,11,13
33,1,6:35.0,,Offensive rebound by Team,11,13
34,1,6:35.0,C. Watson enters the game for R. Stuckey,,11,13
35,1,6:35.0,,D. Collison makes free throw 2 of 2,11,14
36,1,6:17.0,D. West misses 2-pt jump shot from 19 ft,,11,14
37,1,6:17.0,,Defensive rebound by B. McLemore,11,14
38,1,6:06.0,,J. Thompson makes 2-pt layup from 2 ft,11,16
39,1,6:06.0,,Shooting foul by R. Hibbert (drawn by J. Thompson),11,16
40,1,6:06.0,I. Mahinmi enters the game for R. Hibbert,,11,16
41,1,6:06.0,,J. Thompson misses free throw 1 of 1,11,16
42,1,6:05.0,Defensive rebound by C. Copeland,,11,16
43,1,5:51.0,C. Copeland misses 3-pt jump shot from 25 ft,,11,16
44,1,5:50.0,,Defensive rebound by B. McLemore,11,16
45,1,5:42.0,,D. Collison makes 2-pt jump shot from 18 ft,11,18
46,1,5:35.0,Indiana full timeout,,11,18
47,1,5:24.0,D. West misses 2-pt jump shot from 8 ft,,11,18
48,1,5:23.0,,Defensive rebound by R. Gay,11,18
49,1,5:14.0,,J. Thompson misses 2-pt jump shot from 3 ft,11,18
50,1,5:11.0,Defensive rebound by D. West,,11,18
51,1,5:01.0,Turnover by C. Watson (lost ball; steal by D. Collison),,11,18
52,1,4:58.0,,D. Collison makes 2-pt dunk at rim (assist by R. Gay),11,20
53,1,4:37.0,C. Watson misses 2-pt jump shot from 16 ft,,11,20
54,1,4:36.0,Offensive rebound by I. Mahinmi,,11,20
55,1,4:33.0,I. Mahinmi misses 2-pt hook shot from 3 ft,,11,20
56,1,4:31.0,,Defensive rebound by J. Thompson,11,20
