,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,PORTLAND_ACTION,CHARLOTTE_SCORE,PORTLAND_SCORE
0,1,11:44.0,M. Williams misses 2-pt jump shot from 22 ft,,0,0
1,1,11:43.0,,Defensive rebound by R. Lopez,0,0
2,1,11:20.0,,A. Crabbe misses 2-pt jump shot from 12 ft,0,0
3,1,11:19.0,,Offensive rebound by A. Crabbe,0,0
4,1,11:12.0,,L. Aldridge misses 2-pt jump shot from 16 ft,0,0
5,1,11:10.0,Defensive rebound by L. Stephenson,,0,0
6,1,10:58.0,M. Kidd-Gilchrist makes 2-pt jump shot from 6 ft (assist by K. Walker),,2,0
7,1,10:43.0,,R. Lopez misses 2-pt hook shot from 8 ft,2,0
8,1,10:42.0,Defensive rebound by K. Walker,,2,0
9,1,10:33.0,K. Walker makes 2-pt jump shot from 19 ft,,4,0
10,1,10:15.0,,R. Lopez makes 2-pt layup from 2 ft (assist by D. Lillard),4,2
11,1,10:03.0,L. Stephenson makes 3-pt jump shot from 24 ft (assist by M. Kidd-Gilchrist),,7,2
12,1,9:36.0,,Shooting foul by M. Williams (drawn by L. Aldridge),7,2
13,1,9:36.0,,L. Aldridge makes free throw 1 of 2,7,3
14,1,9:36.0,,L. Aldridge makes free throw 2 of 2,7,4
15,1,9:19.0,A. Jefferson misses 2-pt hook shot from 4 ft,,7,4
16,1,9:19.0,,Defensive rebound by L. Aldridge,7,4
17,1,9:07.0,,Turnover by D. Lillard (bad pass; steal by K. Walker),7,4
18,1,8:59.0,A. Jefferson misses 2-pt jump shot from 22 ft,,7,4
19,1,8:58.0,,Defensive rebound by L. Aldridge,7,4
20,1,8:50.0,,D. Lillard makes 2-pt jump shot from 21 ft,7,6
21,1,8:35.0,A. Jefferson makes 2-pt layup at rim,,9,6
22,1,8:16.0,,L. Aldridge misses 2-pt jump shot from 10 ft,9,6
23,1,8:15.0,Defensive rebound by L. Stephenson,,9,6
24,1,8:08.0,L. Stephenson makes 2-pt jump shot from 21 ft,,11,6
