,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,LA CLIPPERS_ACTION,MINNESOTA_SCORE,LA CLIPPERS_SCORE
0,1,11:41.0,,C. Paul misses 3-pt jump shot from 24 ft,0,0
1,1,11:40.0,Defensive rebound by N. Peković,,0,0
2,1,11:24.0,N. Peković makes 2-pt jump shot from 3 ft (assist by A. Payne),,2,0
3,1,11:11.0,,M. Barnes misses 3-pt jump shot from 23 ft,2,0
4,1,11:10.0,,Offensive rebound by Team,2,0
5,1,11:01.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by C. Paul),2,3
6,1,10:42.0,N. Peković misses 2-pt hook shot from 9 ft,,2,3
7,1,10:36.0,,Defensive rebound by M. Barnes,2,3
8,1,10:32.0,,Turnover by C. Paul (bad pass; steal by K. Martin),2,3
9,1,10:19.0,K. Martin misses 2-pt jump shot from 20 ft,,2,3
10,1,10:17.0,,Defensive rebound by D. Jordan,2,3
11,1,10:13.0,,M. Barnes makes 2-pt dunk at rim (assist by D. Jordan),2,5
12,1,9:56.0,A. Wiggins makes 2-pt jump shot from 16 ft (assist by R. Rubio),,4,5
13,1,9:33.0,,J. Redick makes 3-pt jump shot from 24 ft (assist by D. Jordan),4,8
14,1,9:12.0,Turnover by A. Wiggins (bad pass; steal by M. Barnes),,4,8
15,1,9:06.0,,J. Redick misses 2-pt jump shot from 23 ft,4,8
16,1,9:04.0,Defensive rebound by R. Rubio,,4,8
17,1,8:59.0,,Violation by D. Jordan (kicked ball),4,8
18,1,8:46.0,A. Wiggins misses 2-pt jump shot from 7 ft (block by D. Jordan),,4,8
19,1,8:41.0,,Defensive rebound by D. Jordan,4,8
20,1,8:36.0,,Turnover by J. Redick (lost ball; steal by R. Rubio),4,8
21,1,8:31.0,K. Martin makes 2-pt layup at rim (assist by R. Rubio),,6,8
22,1,8:17.0,,J. Redick makes 3-pt jump shot from 25 ft (assist by C. Paul),6,11
23,1,8:14.0,Minnesota full timeout,,6,11
24,1,7:59.0,A. Wiggins misses 2-pt jump shot from 17 ft,,6,11
25,1,7:55.0,,Defensive rebound by D. Jordan,6,11
26,1,7:39.0,,Shooting foul by A. Wiggins (drawn by S. Hawes),6,11
27,1,7:39.0,,S. Hawes misses free throw 1 of 2,6,11
28,1,7:39.0,,Offensive rebound by Team,6,11
29,1,7:39.0,,S. Hawes misses free throw 2 of 2,6,11
30,1,7:38.0,Defensive rebound by N. Peković,,6,11
31,1,7:25.0,A. Payne misses 2-pt jump shot from 3 ft,,6,11
32,1,7:23.0,,Defensive rebound by D. Jordan,6,11
33,1,7:14.0,,D. Jordan makes 2-pt dunk at rim (assist by S. Hawes),6,13
34,1,7:00.0,A. Wiggins misses 2-pt jump shot from 8 ft,,6,13
35,1,6:59.0,Offensive rebound by N. Peković,,6,13
36,1,6:59.0,Shooting foul by S. Hawes (drawn by N. Peković),,6,13
37,1,6:59.0,N. Peković misses free throw 1 of 2,,6,13
38,1,6:59.0,Offensive rebound by Team,,6,13
39,1,6:59.0,N. Peković makes free throw 2 of 2,,7,13
40,1,6:37.0,,C. Paul makes 2-pt jump shot from 11 ft (assist by S. Hawes),7,15
41,1,6:23.0,N. Peković misses 2-pt layup from 1 ft,,7,15
42,1,6:21.0,Offensive rebound by A. Payne,,7,15
43,1,6:14.0,N. Peković makes 2-pt hook shot from 4 ft (assist by R. Rubio),,9,15
44,1,5:57.0,,J. Redick misses 3-pt jump shot from 24 ft,9,15
45,1,5:56.0,Defensive rebound by A. Wiggins,,9,15
46,1,5:49.0,Turnover by R. Rubio (bad pass),,9,15
47,1,5:39.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),9,17
48,1,5:22.0,R. Rubio misses 2-pt jump shot from 17 ft,,9,17
49,1,5:21.0,Offensive rebound by N. Peković,,9,17
50,1,5:21.0,Shooting foul by S. Hawes (drawn by N. Peković),,9,17
51,1,5:21.0,N. Peković makes free throw 1 of 2,,10,17
52,1,5:21.0,,G. Davis enters the game for S. Hawes,10,17
53,1,5:21.0,N. Peković misses free throw 2 of 2,,10,17
54,1,5:19.0,Offensive rebound by A. Payne,,10,17
55,1,5:11.0,N. Peković makes 2-pt layup from 1 ft (assist by A. Payne),,12,17
56,1,4:59.0,,J. Redick misses 2-pt layup from 1 ft,12,17
57,1,4:56.0,Defensive rebound by N. Peković,,12,17
58,1,4:54.0,Personal foul by G. Davis (drawn by R. Rubio),,12,17
59,1,4:38.0,N. Peković misses 2-pt layup from 2 ft,,12,17
60,1,4:36.0,,Defensive rebound by M. Barnes,12,17
61,1,4:32.0,,Turnover by M. Barnes (lost ball; steal by R. Rubio),12,17
62,1,4:27.0,A. Wiggins misses 2-pt jump shot from 13 ft,,12,17
63,1,4:24.0,Offensive rebound by A. Wiggins,,12,17
64,1,4:23.0,Shooting foul by C. Paul (drawn by K. Martin),,12,17
65,1,4:23.0,K. Martin makes free throw 1 of 2,,13,17
66,1,4:23.0,G. Dieng enters the game for N. Peković,,13,17
67,1,4:23.0,K. Martin makes free throw 2 of 2,,14,17
68,1,4:10.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),14,19
69,1,3:53.0,A. Payne misses 2-pt jump shot from 17 ft,,14,19
70,1,3:52.0,,Defensive rebound by J. Redick,14,19
71,1,3:44.0,,Shooting foul by G. Dieng (drawn by D. Jordan),14,19
72,1,3:44.0,,D. Jordan misses free throw 1 of 2,14,19
73,1,3:44.0,,Offensive rebound by Team,14,19
74,1,3:44.0,,A. Rivers enters the game for J. Redick,14,19
75,1,3:44.0,,D. Jordan misses free throw 2 of 2,14,19
76,1,3:43.0,Defensive rebound by A. Payne,,14,19
77,1,3:21.0,A. Wiggins misses 3-pt jump shot from 24 ft,,14,19
78,1,3:20.0,,Defensive rebound by C. Paul,14,19
79,1,3:13.0,,Personal foul by R. Rubio (drawn by D. Jordan),14,19
80,1,3:13.0,,LA Clippers full timeout,14,19
81,1,3:04.0,,D. Jordan misses 2-pt layup from 1 ft (block by A. Payne),14,19
82,1,3:03.0,Defensive rebound by G. Dieng,,14,19
83,1,2:52.0,A. Wiggins makes 2-pt jump shot from 5 ft,,16,19
84,1,2:36.0,,Turnover by C. Paul (bad pass; steal by A. Payne),16,19
85,1,2:30.0,A. Wiggins makes 2-pt dunk at rim (assist by R. Rubio),,18,19
86,1,2:05.0,G. Neal enters the game for K. Martin,,18,19
87,1,1:46.0,,M. Barnes makes 3-pt jump shot from 25 ft (assist by C. Paul),18,22
88,1,1:31.0,G. Neal makes 2-pt jump shot from 10 ft (assist by R. Rubio),,20,22
89,1,1:31.0,Shooting foul by A. Rivers (drawn by G. Neal),,20,22
