,QUARTER,TIME_REMAINING,DETROIT_ACTION,PHILADELPHIA_ACTION,DETROIT_SCORE,PHILADELPHIA_SCORE
0,1,11:36.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by R. Jackson),,3,0
1,1,11:22.0,,N. Noel misses 2-pt jump shot from 6 ft,3,0
2,1,11:20.0,Defensive rebound by A. Drummond,,3,0
3,1,11:04.0,Shooting foul by J. Sampson (drawn by A. Tolliver),,3,0
4,1,11:04.0,A. Tolliver makes free throw 1 of 2,,4,0
5,1,11:04.0,A. Tolliver misses free throw 2 of 2,,4,0
6,1,11:03.0,,Defensive rebound by L. Mbah a Moute,4,0
7,1,10:54.0,,I. Smith makes 2-pt jump shot from 4 ft,4,2
8,1,10:44.0,Turnover by R. Jackson (bad pass; steal by N. Noel),,4,2
9,1,10:35.0,,N. Noel makes 2-pt jump shot from 16 ft (assist by I. Smith),4,4
10,1,10:23.0,R. Jackson makes 2-pt jump shot from 19 ft,,6,4
11,1,10:03.0,,Personal foul by A. Drummond (drawn by N. Noel),6,4
12,1,9:57.0,,I. Smith misses 2-pt layup from 2 ft,6,4
13,1,9:56.0,Defensive rebound by A. Drummond,,6,4
14,1,9:51.0,C. Butler misses 3-pt jump shot from 26 ft,,6,4
15,1,9:48.0,,Defensive rebound by J. Richardson,6,4
16,1,9:37.0,,I. Smith makes 2-pt layup from 2 ft (assist by L. Mbah a Moute),6,6
17,1,9:24.0,Turnover by K. Caldwell-Pope (bad pass),,6,6
18,1,9:24.0,Loose ball foul by A. Drummond (drawn by N. Noel),,6,6
19,1,9:24.0,J. Anthony enters the game for A. Drummond,,6,6
20,1,9:07.0,,L. Mbah a Moute misses 2-pt jump shot from 6 ft (block by J. Anthony),6,6
21,1,9:05.0,Defensive rebound by K. Caldwell-Pope,,6,6
22,1,9:00.0,C. Butler misses 3-pt jump shot from 25 ft,,6,6
23,1,8:58.0,Offensive rebound by A. Tolliver,,6,6
24,1,8:56.0,Turnover by A. Tolliver (bad pass; steal by J. Richardson),,6,6
25,1,8:46.0,,J. Sampson makes 2-pt layup at rim (assist by L. Mbah a Moute),6,8
26,1,8:40.0,Detroit full timeout,,6,8
27,1,8:29.0,R. Jackson misses 2-pt jump shot from 6 ft,,6,8
28,1,8:27.0,Offensive rebound by J. Anthony,,6,8
29,1,8:26.0,J. Anthony misses 2-pt jump shot from 3 ft,,6,8
30,1,8:24.0,,Defensive rebound by L. Mbah a Moute,6,8
31,1,8:18.0,,Shooting foul by J. Anthony (drawn by L. Mbah a Moute),6,8
32,1,8:18.0,,L. Mbah a Moute makes free throw 1 of 2,6,9
33,1,8:18.0,,L. Mbah a Moute misses free throw 2 of 2,6,9
