,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,NEW YORK_ACTION,OKLAHOMA CITY_SCORE,NEW YORK_SCORE
0,1,11:44.0,S. Adams misses 2-pt hook shot from 11 ft,,0,0
1,1,11:43.0,Offensive rebound by S. Adams,,0,0
2,1,11:35.0,Turnover by R. Westbrook (lost ball),,0,0
3,1,11:21.0,,J. Calderón makes 2-pt jump shot from 19 ft (assist by J. Smith),0,2
4,1,11:01.0,Turnover by P. Jones (lost ball; steal by C. Anthony),,0,2
5,1,10:55.0,,L. Galloway misses 2-pt jump shot from 20 ft,0,2
6,1,10:54.0,Defensive rebound by S. Adams,,0,2
7,1,10:47.0,R. Westbrook misses 2-pt jump shot from 20 ft,,0,2
8,1,10:46.0,,Defensive rebound by J. Smith,0,2
9,1,10:29.0,,J. Smith misses 2-pt jump shot from 16 ft,0,2
10,1,10:28.0,,Offensive rebound by Team,0,2
11,1,10:21.0,,J. Smith makes 2-pt jump shot from 18 ft (assist by J. Calderón),0,4
12,1,10:04.0,S. Ibaka makes 2-pt jump shot from 18 ft (assist by R. Westbrook),,2,4
13,1,9:47.0,,L. Amundson misses 2-pt hook shot from 8 ft (block by S. Adams),2,4
14,1,9:46.0,Defensive rebound by S. Ibaka,,2,4
15,1,9:40.0,R. Westbrook makes 2-pt layup from 1 ft,,4,4
16,1,9:40.0,Shooting foul by L. Amundson (drawn by R. Westbrook),,4,4
17,1,9:40.0,R. Westbrook makes free throw 1 of 1,,5,4
18,1,9:22.0,,J. Smith makes 2-pt jump shot from 18 ft,5,6
19,1,9:10.0,Shooting foul by C. Anthony (drawn by S. Ibaka),,5,6
20,1,9:10.0,S. Ibaka makes free throw 1 of 2,,6,6
21,1,9:10.0,S. Ibaka makes free throw 2 of 2,,7,6
22,1,8:55.0,,C. Anthony misses 2-pt jump shot from 12 ft,7,6
23,1,8:54.0,Defensive rebound by S. Adams,,7,6
24,1,8:48.0,R. Westbrook misses 2-pt jump shot from 18 ft,,7,6
25,1,8:47.0,Offensive rebound by S. Ibaka,,7,6
26,1,8:46.0,Shooting foul by J. Smith (drawn by S. Ibaka),,7,6
27,1,8:46.0,S. Ibaka makes free throw 1 of 2,,8,6
28,1,8:46.0,S. Ibaka makes free throw 2 of 2,,9,6
29,1,8:25.0,,L. Amundson misses 2-pt hook shot from 8 ft,9,6
30,1,8:24.0,Defensive rebound by S. Adams,,9,6
31,1,8:12.0,P. Jones misses 2-pt jump shot from 15 ft,,9,6
32,1,8:11.0,Offensive rebound by S. Adams,,9,6
33,1,8:10.0,Turnover by S. Adams (lost ball; steal by L. Galloway),,9,6
34,1,7:54.0,,C. Anthony misses 2-pt layup from 2 ft,9,6
35,1,7:53.0,,Offensive rebound by L. Amundson,9,6
36,1,7:50.0,,J. Smith makes 2-pt jump shot from 14 ft (assist by L. Amundson),9,8
37,1,7:36.0,Turnover by P. Jones (bad pass; steal by J. Smith),,9,8
38,1,7:21.0,,C. Anthony misses 2-pt jump shot from 17 ft,9,8
39,1,7:20.0,Defensive rebound by P. Jones,,9,8
40,1,7:14.0,R. Westbrook makes 2-pt jump shot from 16 ft,,11,8
41,1,6:59.0,,L. Galloway makes 2-pt jump shot from 19 ft (assist by J. Smith),11,10
42,1,6:32.0,S. Ibaka misses 2-pt jump shot from 19 ft,,11,10
43,1,6:31.0,,Defensive rebound by L. Amundson,11,10
44,1,6:24.0,,Personal foul by P. Jones (drawn by C. Anthony),11,10
45,1,6:24.0,D. Waiters enters the game for A. Roberson,,11,10
46,1,6:20.0,,Personal foul by P. Jones (drawn by C. Anthony),11,10
47,1,6:16.0,,L. Galloway makes 3-pt jump shot from 25 ft (assist by L. Amundson),11,13
48,1,6:10.0,Oklahoma City full timeout,,11,13
49,1,6:10.0,A. Roberson enters the game for P. Jones,,11,13
50,1,6:01.0,Turnover by S. Adams (bad pass; steal by J. Calderón),,11,13
51,1,5:56.0,,L. Galloway misses 2-pt layup from 2 ft,11,13
52,1,5:55.0,,Offensive rebound by J. Smith,11,13
53,1,5:52.0,,C. Anthony makes 2-pt jump shot from 16 ft (assist by J. Smith),11,15
54,1,5:24.0,D. Waiters misses 2-pt jump shot from 19 ft,,11,15
55,1,5:23.0,,Defensive rebound by C. Anthony,11,15
56,1,5:00.0,,L. Amundson makes 2-pt dunk at rim (assist by L. Galloway),11,17
57,1,4:43.0,R. Westbrook makes 2-pt jump shot from 15 ft,,13,17
58,1,4:36.0,,Shooting foul by S. Adams (drawn by L. Amundson),13,17
59,1,4:36.0,,L. Amundson misses free throw 1 of 2,13,17
60,1,4:36.0,,Offensive rebound by Team,13,17
61,1,4:36.0,K. Perkins enters the game for S. Adams,,13,17
62,1,4:36.0,,L. Amundson makes free throw 2 of 2,13,18
63,1,4:18.0,,Offensive charge foul by A. Roberson (drawn by L. Amundson),13,18
64,1,4:18.0,Turnover by A. Roberson (offensive foul),,13,18
65,1,4:14.0,,Turnover by J. Calderón (bad pass),13,18
66,1,4:02.0,Turnover by K. Perkins (step out of bounds),,13,18
67,1,3:43.0,,J. Smith misses 2-pt jump shot from 14 ft,13,18
68,1,3:42.0,Defensive rebound by K. Perkins,,13,18
69,1,3:36.0,Turnover by S. Ibaka (lost ball; steal by C. Anthony),,13,18
70,1,3:30.0,,Turnover by C. Anthony (step out of bounds),13,18
71,1,3:19.0,R. Westbrook misses 2-pt layup from 2 ft,,13,18
72,1,3:18.0,,Defensive rebound by L. Galloway,13,18
73,1,3:13.0,,J. Calderón misses 3-pt jump shot from 24 ft,13,18
74,1,3:12.0,,Offensive rebound by L. Amundson,13,18
75,1,3:04.0,,C. Anthony misses 2-pt jump shot from 19 ft (block by A. Roberson),13,18
76,1,3:03.0,Defensive rebound by S. Ibaka,,13,18
77,1,2:44.0,S. Ibaka misses 2-pt jump shot from 14 ft,,13,18
78,1,2:43.0,,Defensive rebound by C. Anthony,13,18
79,1,2:38.0,,Personal foul by A. Roberson (drawn by C. Anthony),13,18
80,1,2:38.0,,New York full timeout,13,18
81,1,2:38.0,R. Jackson enters the game for R. Westbrook,,13,18
82,1,2:38.0,A. Morrow enters the game for A. Roberson,,13,18
83,1,2:38.0,,C. Aldrich enters the game for L. Amundson,13,18
84,1,2:38.0,,T. Hardaway enters the game for J. Calderón,13,18
85,1,2:33.0,,L. Galloway misses 3-pt jump shot from 23 ft,13,18
86,1,2:32.0,Defensive rebound by K. Perkins,,13,18
87,1,2:14.0,R. Jackson misses 2-pt jump shot from 18 ft,,13,18
88,1,2:13.0,Offensive rebound by S. Ibaka,,13,18
89,1,1:55.0,K. Perkins makes 2-pt hook shot from 5 ft,,15,18
90,1,1:45.0,,J. Smith misses 2-pt jump shot from 17 ft,15,18
91,1,1:44.0,Defensive rebound by S. Ibaka,,15,18
92,1,1:34.0,S. Ibaka misses 3-pt jump shot from 25 ft,,15,18
93,1,1:33.0,,Defensive rebound by J. Smith,15,18
94,1,1:16.0,,C. Aldrich misses 2-pt hook shot from 8 ft,15,18
95,1,1:15.0,Defensive rebound by R. Jackson,,15,18
96,1,1:09.0,D. Waiters misses 2-pt jump shot from 17 ft,,15,18
97,1,1:08.0,Offensive rebound by R. Jackson,,15,18
98,1,0:57.0,R. Jackson makes 2-pt layup from 1 ft,,17,18
99,1,0:49.0,,C. Anthony makes 2-pt dunk at rim (assist by J. Smith),17,20
100,1,0:33.0,D. Waiters misses 2-pt jump shot from 18 ft,,17,20
101,1,0:32.0,Offensive rebound by S. Ibaka,,17,20
102,1,0:26.0,A. Morrow makes 2-pt layup from 2 ft (assist by S. Ibaka),,19,20
103,1,0:05.0,,C. Anthony misses 2-pt jump shot from 17 ft,19,20
104,1,0:04.0,Defensive rebound by S. Ibaka,,19,20
105,2,11:45.0,,L. Thomas misses 2-pt jump shot from 9 ft,19,20
106,2,11:44.0,,Offensive rebound by C. Aldrich,19,20
107,2,11:26.0,,L. Thomas makes 2-pt jump shot from 11 ft,19,22
108,2,11:10.0,D. Waiters misses 2-pt layup from 1 ft,,19,22
109,2,11:09.0,Offensive rebound by D. Waiters,,19,22
110,2,11:08.0,Personal foul by C. Aldrich (drawn by D. Waiters),,19,22
111,2,10:58.0,R. Jackson misses 3-pt jump shot from 23 ft,,19,22
112,2,10:57.0,,Defensive rebound by P. Prigioni,19,22
113,2,10:51.0,,P. Prigioni misses 2-pt jump shot from 21 ft,19,22
114,2,10:50.0,Defensive rebound by A. Morrow,,19,22
115,2,10:43.0,,Violation by T. Hardaway (kicked ball),19,22
116,2,10:37.0,A. Morrow misses 2-pt jump shot from 21 ft,,19,22
117,2,10:36.0,,Defensive rebound by T. Hardaway,19,22
118,2,10:29.0,,Turnover by T. Hardaway (lost ball; steal by R. Jackson),19,22
119,2,10:25.0,R. Jackson makes 2-pt dunk at rim,,21,22
120,2,10:10.0,,L. Thomas misses 2-pt jump shot from 18 ft,21,22
121,2,10:09.0,Defensive rebound by R. Jackson,,21,22
122,2,10:04.0,K. Perkins misses 2-pt dunk at rim (block by C. Aldrich),,21,22
123,2,10:03.0,,Defensive rebound by P. Prigioni,21,22
124,2,9:44.0,,Turnover by L. Thomas (lost ball; steal by R. Jackson),21,22
125,2,9:40.0,A. Morrow makes 2-pt layup from 1 ft (assist by R. Jackson),,23,22
126,2,9:23.0,,Personal foul by N. Collison (drawn by S. Larkin),23,22
127,2,9:17.0,,P. Prigioni misses 3-pt jump shot from 25 ft,23,22
128,2,9:16.0,Defensive rebound by K. Perkins,,23,22
129,2,9:05.0,K. Perkins makes 2-pt dunk at rim (assist by R. Jackson),,25,22
130,2,8:44.0,,L. Thomas makes 2-pt jump shot from 18 ft (assist by C. Aldrich),25,24
131,2,8:29.0,R. Jackson makes 2-pt jump shot from 8 ft,,27,24
132,2,8:22.0,,New York full timeout,27,24
133,2,8:18.0,,Personal foul by A. Morrow (drawn by T. Hardaway),27,24
134,2,8:10.0,,C. Aldrich misses 2-pt hook shot from 3 ft,27,24
135,2,8:09.0,Defensive rebound by A. Morrow,,27,24
136,2,8:00.0,D. Waiters makes 2-pt layup from 2 ft,,29,24
137,2,8:00.0,Shooting foul by P. Prigioni (drawn by D. Waiters),,29,24
138,2,8:00.0,D. Waiters makes free throw 1 of 1,,30,24
139,2,7:45.0,,L. Thomas misses 2-pt jump shot from 17 ft,30,24
140,2,7:44.0,Defensive rebound by K. Perkins,,30,24
141,2,7:32.0,Shooting foul by C. Aldrich (drawn by K. Perkins),,30,24
142,2,7:32.0,K. Perkins misses free throw 1 of 2,,30,24
143,2,7:32.0,Offensive rebound by Team,,30,24
144,2,7:32.0,R. Westbrook enters the game for A. Morrow,,30,24
145,2,7:32.0,,L. Amundson enters the game for C. Aldrich,30,24
146,2,7:32.0,,J. Calderón enters the game for P. Prigioni,30,24
147,2,7:32.0,K. Perkins misses free throw 2 of 2,,30,24
148,2,7:31.0,,Defensive rebound by S. Larkin,30,24
149,2,7:22.0,,T. Hardaway misses 3-pt jump shot from 25 ft,30,24
150,2,7:21.0,Defensive rebound by Team,,30,24
151,2,7:09.0,R. Westbrook misses 2-pt jump shot from 10 ft,,30,24
152,2,7:08.0,,Defensive rebound by L. Thomas,30,24
153,2,6:54.0,,Turnover by L. Thomas (bad pass; steal by R. Jackson),30,24
154,2,6:50.0,R. Jackson makes 2-pt dunk at rim,,32,24
155,2,6:43.0,,New York full timeout,32,24
156,2,6:43.0,,C. Anthony enters the game for S. Larkin,32,24
157,2,6:43.0,A. Morrow enters the game for D. Waiters,,32,24
158,2,6:27.0,,Turnover by L. Thomas (lost ball; steal by N. Collison),32,24
159,2,6:19.0,R. Westbrook misses 2-pt dunk at rim (block by L. Amundson),,32,24
160,2,6:18.0,,Defensive rebound by L. Amundson,32,24
161,2,6:10.0,,L. Amundson makes 2-pt layup from 1 ft (assist by J. Calderón),32,26
162,2,5:49.0,K. Perkins misses 2-pt hook shot from 6 ft (block by L. Amundson),,32,26
163,2,5:48.0,,Defensive rebound by C. Anthony,32,26
164,2,5:37.0,,Shooting block foul by N. Collison (drawn by C. Anthony),32,26
165,2,5:37.0,Official timeout,,32,26
166,2,5:37.0,,L. Galloway enters the game for T. Hardaway,32,26
167,2,5:37.0,,J. Smith enters the game for L. Thomas,32,26
168,2,5:37.0,S. Ibaka enters the game for K. Perkins,,32,26
169,2,5:37.0,S. Adams enters the game for N. Collison,,32,26
170,2,5:37.0,,C. Anthony makes free throw 1 of 2,32,27
171,2,5:37.0,,C. Anthony misses free throw 2 of 2,32,27
172,2,5:36.0,Defensive rebound by S. Adams,,32,27
173,2,5:27.0,Turnover by R. Jackson (bad pass; steal by L. Galloway),,32,27
174,2,5:04.0,,L. Galloway makes 2-pt jump shot from 18 ft,32,29
175,2,4:47.0,A. Morrow misses 2-pt jump shot from 16 ft,,32,29
176,2,4:46.0,,Defensive rebound by L. Amundson,32,29
177,2,4:36.0,,J. Smith misses 2-pt jump shot from 21 ft,32,29
178,2,4:35.0,Defensive rebound by S. Ibaka,,32,29
179,2,4:29.0,R. Westbrook makes 2-pt jump shot from 16 ft,,34,29
180,2,4:11.0,,C. Anthony makes 2-pt layup from 2 ft,34,31
181,2,4:00.0,,Offensive charge foul by S. Adams (drawn by L. Amundson),34,31
182,2,4:00.0,Turnover by S. Adams (offensive foul),,34,31
183,2,4:00.0,P. Jones enters the game for A. Morrow,,34,31
184,2,3:45.0,,C. Anthony makes 2-pt layup from 2 ft,34,33
185,2,3:45.0,,Shooting foul by S. Ibaka (drawn by C. Anthony),34,33
186,2,3:45.0,,C. Anthony makes free throw 1 of 1,34,34
187,2,3:34.0,R. Westbrook makes 2-pt layup from 1 ft,,36,34
188,2,3:13.0,,C. Anthony misses 2-pt jump shot from 17 ft,36,34
189,2,3:12.0,,Offensive rebound by J. Smith,36,34
190,2,3:08.0,,L. Galloway makes 3-pt jump shot from 24 ft (assist by J. Smith),36,37
191,2,2:54.0,R. Westbrook makes 2-pt jump shot from 16 ft,,38,37
192,2,2:28.0,,C. Anthony misses 2-pt layup from 2 ft,38,37
193,2,2:27.0,Defensive rebound by R. Jackson,,38,37
194,2,2:22.0,S. Ibaka makes 2-pt layup from 1 ft (assist by R. Jackson),,40,37
195,2,2:13.0,,L. Galloway makes 2-pt jump shot from 19 ft,40,39
196,2,2:05.0,Oklahoma City full timeout,,40,39
197,2,2:05.0,A. Morrow enters the game for R. Jackson,,40,39
198,2,1:58.0,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),,42,39
199,2,1:37.0,,C. Anthony misses 2-pt jump shot from 9 ft,42,39
200,2,1:36.0,Defensive rebound by P. Jones,,42,39
201,2,1:28.0,R. Westbrook misses 2-pt jump shot from 20 ft,,42,39
202,2,1:27.0,,Defensive rebound by J. Smith,42,39
203,2,1:12.0,,J. Calderón makes 2-pt jump shot from 8 ft (assist by C. Anthony),42,41
204,2,0:53.0,S. Ibaka misses 2-pt jump shot from 9 ft,,42,41
205,2,0:52.0,,Defensive rebound by J. Smith,42,41
206,2,0:32.0,,J. Smith misses 2-pt jump shot from 17 ft,42,41
