,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,DALLAS_ACTION,BROOKLYN_SCORE,DALLAS_SCORE
0,1,11:46.0,Turnover by M. Plumlee (lost ball),,0,0
1,1,11:34.0,,D. Nowitzki makes 2-pt jump shot from 19 ft (assist by R. Rondo),0,2
2,1,11:20.0,M. Brown makes 3-pt jump shot from 23 ft (assist by A. Anderson),,3,2
3,1,10:58.0,,Turnover by R. Rondo (lost ball; steal by M. Brown),3,2
4,1,10:56.0,Turnover by M. Plumlee (lost ball),,3,2
5,1,10:47.0,,J. Barea makes 2-pt layup from 1 ft,3,4
6,1,10:33.0,Turnover by A. Anderson (lost ball; steal by M. Ellis),,3,4
7,1,10:28.0,,R. Rondo makes 2-pt layup at rim,3,6
8,1,10:15.0,A. Anderson misses 3-pt jump shot from 24 ft,,3,6
9,1,10:13.0,,Defensive rebound by R. Rondo,3,6
10,1,10:07.0,,R. Rondo makes 2-pt layup from 1 ft,3,8
11,1,9:56.0,D. Williams makes 3-pt jump shot from 22 ft (assist by J. Johnson),,6,8
12,1,9:43.0,,R. Rondo misses 2-pt jump shot from 16 ft,6,8
13,1,9:41.0,,Offensive rebound by D. Nowitzki,6,8
14,1,9:29.0,,M. Ellis misses 3-pt jump shot from 25 ft,6,8
15,1,9:28.0,Defensive rebound by J. Johnson,,6,8
16,1,9:12.0,D. Williams makes 3-pt jump shot from 24 ft (assist by J. Johnson),,9,8
17,1,8:48.0,,R. Jefferson misses 3-pt jump shot from 24 ft,9,8
18,1,8:47.0,,Offensive rebound by D. Nowitzki,9,8
19,1,8:47.0,Loose ball foul by D. Williams (drawn by D. Nowitzki),,9,8
20,1,8:28.0,,M. Ellis misses 2-pt jump shot from 13 ft,9,8
21,1,8:27.0,Defensive rebound by J. Johnson,,9,8
22,1,8:19.0,D. Williams misses 2-pt jump shot from 14 ft,,9,8
23,1,8:17.0,,Defensive rebound by D. Nowitzki,9,8
24,1,8:06.0,,Personal foul by J. Johnson (drawn by R. Rondo),9,8
25,1,7:54.0,,J. Barea misses 2-pt jump shot from 12 ft,9,8
26,1,7:51.0,Defensive rebound by M. Plumlee,,9,8
27,1,7:41.0,M. Brown misses 2-pt jump shot from 16 ft,,9,8
28,1,7:40.0,,Defensive rebound by R. Jefferson,9,8
29,1,7:29.0,,M. Ellis misses 2-pt layup from 2 ft (block by M. Plumlee),9,8
30,1,7:27.0,,Offensive rebound by R. Jefferson,9,8
31,1,7:25.0,,Turnover by R. Jefferson (bad pass; steal by M. Brown),9,8
32,1,7:19.0,M. Plumlee makes 2-pt layup at rim (assist by A. Anderson),,11,8
33,1,6:58.0,,J. Barea misses 3-pt jump shot from 23 ft,11,8
34,1,6:57.0,Defensive rebound by J. Johnson,,11,8
35,1,6:49.0,M. Brown misses 3-pt jump shot from 22 ft,,11,8
36,1,6:48.0,,Defensive rebound by R. Jefferson,11,8
37,1,6:38.0,,M. Ellis makes 2-pt layup from 2 ft (assist by R. Rondo),11,10
38,1,6:25.0,A. Anderson makes 2-pt layup at rim (assist by D. Williams),,13,10
39,1,6:09.0,,D. Nowitzki misses 2-pt jump shot from 20 ft,13,10
40,1,6:08.0,,Offensive rebound by Team,13,10
41,1,6:08.0,,A. Stoudemire enters the game for D. Nowitzki,13,10
42,1,6:08.0,,A. Aminu enters the game for J. Barea,13,10
43,1,6:08.0,B. Lopez enters the game for M. Plumlee,,13,10
44,1,5:59.0,,R. Jefferson makes 3-pt jump shot from 22 ft (assist by R. Rondo),13,13
45,1,5:34.0,Turnover by Team (shot clock),,13,13
46,1,5:34.0,,Dallas full timeout,13,13
47,1,5:20.0,,A. Stoudemire makes 2-pt layup at rim (assist by R. Rondo),13,15
48,1,5:05.0,B. Lopez makes 2-pt layup at rim (assist by D. Williams),,15,15
49,1,4:45.0,,A. Stoudemire misses 2-pt jump shot from 4 ft,15,15
50,1,4:43.0,,Offensive rebound by R. Rondo,15,15
51,1,4:39.0,,Turnover by R. Rondo (lost ball; steal by A. Anderson),15,15
52,1,4:36.0,D. Williams makes 2-pt layup from 3 ft,,17,15
53,1,4:14.0,,M. Ellis misses 2-pt layup from 2 ft,17,15
54,1,4:12.0,Defensive rebound by M. Brown,,17,15
55,1,3:59.0,A. Anderson misses 2-pt layup from 1 ft (block by A. Aminu),,17,15
56,1,3:58.0,Offensive rebound by A. Anderson,,17,15
57,1,3:53.0,B. Lopez makes 2-pt jump shot from 14 ft (assist by A. Anderson),,19,15
58,1,3:47.0,,Turnover by R. Rondo (bad pass),19,15
59,1,3:37.0,J. Johnson misses 2-pt jump shot from 4 ft,,19,15
60,1,3:36.0,,Defensive rebound by A. Stoudemire,19,15
61,1,3:36.0,Loose ball foul by B. Lopez (drawn by A. Stoudemire),,19,15
62,1,3:36.0,,D. Harris enters the game for R. Rondo,19,15
63,1,3:19.0,,A. Stoudemire makes 2-pt layup from 2 ft,19,17
64,1,3:05.0,Personal foul by A. Stoudemire (drawn by M. Brown),,19,17
65,1,3:05.0,J. Jack enters the game for D. Williams,,19,17
66,1,3:05.0,B. Bogdanović enters the game for M. Brown,,19,17
67,1,2:51.0,J. Johnson misses 3-pt jump shot from 24 ft,,19,17
68,1,2:50.0,,Defensive rebound by A. Stoudemire,19,17
69,1,2:44.0,,A. Aminu makes 2-pt layup from 1 ft (assist by M. Ellis),19,19
70,1,2:38.0,Turnover by A. Anderson (lost ball; steal by A. Aminu),,19,19
71,1,2:32.0,,R. Jefferson makes 2-pt dunk at rim (assist by D. Harris),19,21
72,1,2:32.0,Brooklyn full timeout,,19,21
73,1,2:32.0,T. Young enters the game for J. Johnson,,19,21
74,1,2:17.0,B. Bogdanović misses 2-pt jump shot from 20 ft,,19,21
75,1,2:16.0,Offensive rebound by T. Young,,19,21
76,1,2:04.0,T. Young makes 2-pt jump shot from 8 ft,,21,21
77,1,1:43.0,,A. Aminu makes 3-pt jump shot from 22 ft (assist by M. Ellis),21,24
78,1,1:19.0,J. Jack makes 2-pt jump shot from 18 ft (assist by A. Anderson),,23,24
79,1,0:58.0,,D. Harris misses 3-pt jump shot from 23 ft,23,24
80,1,0:57.0,Defensive rebound by B. Lopez,,23,24
81,1,0:48.0,Turnover by B. Bogdanović (lost ball; steal by M. Ellis),,23,24
82,1,0:42.0,,Turnover by D. Harris (bad pass),23,24
83,1,0:42.0,,J. Barea enters the game for M. Ellis,23,24
84,1,0:42.0,,D. Nowitzki enters the game for R. Jefferson,23,24
85,1,0:22.0,T. Young misses 2-pt jump shot from 15 ft,,23,24
86,1,0:20.0,,Defensive rebound by A. Stoudemire,23,24
87,1,0:09.0,,Personal take foul by B. Bogdanović (drawn by J. Barea),23,24
88,1,0:00.0,,D. Harris makes 2-pt jump shot from 10 ft,23,26
89,2,11:49.0,,Shooting foul by A. Anderson (drawn by D. Harris),23,26
90,2,11:49.0,,D. Harris makes free throw 1 of 2,23,27
91,2,11:49.0,,D. Harris makes free throw 2 of 2,23,28
92,2,11:35.0,T. Young misses 2-pt layup from 1 ft,,23,28
93,2,11:33.0,,Defensive rebound by A. Aminu,23,28
94,2,11:24.0,,Shooting foul by B. Lopez (drawn by A. Stoudemire),23,28
95,2,11:24.0,,A. Stoudemire makes free throw 1 of 2,23,29
96,2,11:24.0,M. Plumlee enters the game for B. Lopez,,23,29
97,2,11:24.0,,A. Stoudemire misses free throw 2 of 2,23,29
98,2,11:23.0,Defensive rebound by T. Young,,23,29
99,2,11:14.0,J. Jack makes 2-pt jump shot from 5 ft,,25,29
100,2,10:51.0,,Turnover by A. Stoudemire (lost ball; steal by M. Plumlee),25,29
101,2,10:36.0,T. Young misses 2-pt jump shot from 13 ft,,25,29
102,2,10:35.0,,Defensive rebound by A. Aminu,25,29
103,2,10:27.0,,D. Harris makes 2-pt jump shot from 17 ft,25,31
104,2,10:09.0,Turnover by J. Jack (bad pass; steal by A. Aminu),,25,31
105,2,9:51.0,,A. Stoudemire misses 2-pt jump shot from 3 ft (block by M. Plumlee),25,31
106,2,9:50.0,Defensive rebound by T. Young,,25,31
107,2,9:40.0,Personal foul by A. Stoudemire (drawn by M. Plumlee),,25,31
108,2,9:40.0,,C. Villanueva enters the game for A. Stoudemire,25,31
109,2,9:40.0,M. Brown enters the game for B. Bogdanović,,25,31
110,2,9:35.0,Personal foul by J. Barea (drawn by J. Jack),,25,31
111,2,9:28.0,J. Jack makes 2-pt jump shot from 16 ft,,27,31
112,2,9:19.0,,Personal foul by M. Brown (drawn by D. Harris),27,31
113,2,9:11.0,,D. Nowitzki makes 2-pt jump shot from 22 ft (assist by D. Harris),27,33
114,2,9:04.0,Shooting foul by A. Aminu (drawn by A. Anderson),,27,33
115,2,9:04.0,A. Anderson makes free throw 1 of 2,,28,33
116,2,9:04.0,A. Anderson makes free throw 2 of 2,,29,33
117,2,8:53.0,,Personal foul by A. Anderson (drawn by D. Nowitzki),29,33
118,2,8:53.0,Official timeout,,29,33
119,2,8:53.0,B. Bogdanović enters the game for A. Anderson,,29,33
120,2,8:41.0,,D. Nowitzki misses 2-pt jump shot from 11 ft,29,33
121,2,8:38.0,Defensive rebound by B. Bogdanović,,29,33
122,2,8:28.0,Personal foul by D. Harris (drawn by J. Jack),,29,33
123,2,8:19.0,M. Plumlee makes 2-pt layup at rim (assist by J. Jack),,31,33
124,2,8:05.0,,J. Barea makes 2-pt jump shot from 8 ft,31,35
125,2,7:51.0,Turnover by B. Bogdanović (bad pass; steal by A. Aminu),,31,35
126,2,7:35.0,Violation by M. Plumlee (def goaltending),,31,35
127,2,7:35.0,,J. Barea makes 2-pt layup at rim,31,37
128,2,7:22.0,Turnover by B. Bogdanović (lost ball; steal by D. Harris),,31,37
129,2,7:17.0,,D. Nowitzki makes 2-pt dunk at rim (assist by D. Harris),31,39
130,2,7:12.0,Brooklyn full timeout,,31,39
131,2,7:12.0,,M. Ellis enters the game for J. Barea,31,39
132,2,7:12.0,,R. Rondo enters the game for D. Harris,31,39
133,2,7:12.0,J. Johnson enters the game for M. Brown,,31,39
134,2,7:12.0,D. Williams enters the game for B. Bogdanović,,31,39
135,2,6:58.0,Shooting block foul by A. Aminu (drawn by M. Plumlee),,31,39
136,2,6:58.0,M. Plumlee makes free throw 1 of 2,,32,39
137,2,6:58.0,M. Plumlee misses free throw 2 of 2,,32,39
138,2,6:57.0,,Defensive rebound by C. Villanueva,32,39
139,2,6:40.0,,C. Villanueva misses 3-pt jump shot from 25 ft,32,39
140,2,6:38.0,Defensive rebound by T. Young,,32,39
141,2,6:32.0,J. Jack makes 2-pt jump shot from 21 ft,,34,39
142,2,6:13.0,,Turnover by C. Villanueva (bad pass; steal by D. Williams),34,39
143,2,6:09.0,D. Williams makes 2-pt layup from 2 ft,,36,39
144,2,6:07.0,,Dallas full timeout,36,39
145,2,6:07.0,,A. Stoudemire enters the game for D. Nowitzki,36,39
146,2,6:07.0,,R. Jefferson enters the game for A. Aminu,36,39
147,2,5:48.0,,M. Ellis misses 2-pt jump shot from 21 ft,36,39
148,2,5:48.0,,Offensive rebound by C. Villanueva,36,39
149,2,5:45.0,,Turnover by R. Jefferson (bad pass),36,39
150,2,5:30.0,J. Johnson misses 3-pt jump shot from 25 ft,,36,39
151,2,5:29.0,,Defensive rebound by C. Villanueva,36,39
152,2,5:19.0,,Turnover by R. Rondo (bad pass),36,39
153,2,5:00.0,M. Plumlee misses 2-pt layup from 1 ft,,36,39
154,2,4:59.0,Offensive rebound by M. Plumlee,,36,39
155,2,4:57.0,M. Plumlee misses 2-pt layup at rim,,36,39
156,2,4:56.0,Offensive rebound by M. Plumlee,,36,39
157,2,4:54.0,M. Plumlee makes 2-pt layup from 1 ft,,38,39
158,2,4:34.0,,Personal foul by M. Plumlee (drawn by A. Stoudemire),38,39
159,2,4:34.0,,A. Stoudemire makes free throw 1 of 2,38,40
160,2,4:34.0,,A. Stoudemire makes free throw 2 of 2,38,41
161,2,4:22.0,Shooting foul by M. Ellis (drawn by M. Plumlee),,38,41
162,2,4:22.0,M. Plumlee misses free throw 1 of 2,,38,41
163,2,4:22.0,Offensive rebound by Team,,38,41
164,2,4:22.0,M. Plumlee makes free throw 2 of 2,,39,41
165,2,4:09.0,,A. Stoudemire makes 2-pt jump shot from 13 ft (assist by R. Rondo),39,43
166,2,3:50.0,M. Plumlee makes 2-pt layup from 2 ft,,41,43
167,2,3:40.0,,R. Rondo makes 2-pt jump shot from 18 ft (assist by C. Villanueva),41,45
168,2,3:26.0,D. Williams misses 3-pt jump shot from 22 ft,,41,45
169,2,3:25.0,,Defensive rebound by C. Villanueva,41,45
170,2,3:19.0,,R. Jefferson misses 3-pt jump shot from 23 ft,41,45
171,2,3:18.0,Defensive rebound by T. Young,,41,45
