,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,LA LAKERS_ACTION,PHILADELPHIA_SCORE,LA LAKERS_SCORE
0,1,11:43.0,,W. Johnson misses 3-pt jump shot from 24 ft,0,0
1,1,11:42.0,,Offensive rebound by T. Black,0,0
2,1,11:27.0,,J. Hill makes 2-pt layup from 1 ft,0,2
3,1,11:07.0,Turnover by J. Sampson (bad pass; steal by W. Johnson),,0,2
4,1,10:59.0,,W. Ellington misses 2-pt jump shot from 3 ft,0,2
5,1,10:57.0,,Offensive rebound by T. Black,0,2
6,1,10:53.0,,W. Ellington misses 3-pt jump shot from 25 ft,0,2
7,1,10:51.0,,Offensive rebound by J. Hill,0,2
8,1,10:48.0,,J. Hill makes 2-pt jump shot from 10 ft,0,4
9,1,10:48.0,Philadelphia full timeout,,0,4
10,1,10:34.0,L. Mbah a Moute misses 3-pt jump shot from 24 ft,,0,4
11,1,10:32.0,,Defensive rebound by T. Black,0,4
12,1,10:19.0,,J. Clarkson misses 3-pt jump shot from 24 ft,0,4
13,1,10:18.0,Defensive rebound by J. Richardson,,0,4
14,1,10:11.0,N. Noel misses 2-pt layup from 2 ft,,0,4
15,1,10:06.0,,Defensive rebound by T. Black,0,4
16,1,10:02.0,,T. Black misses 2-pt jump shot from 18 ft,0,4
17,1,10:00.0,Defensive rebound by N. Noel,,0,4
18,1,9:50.0,J. Richardson misses 3-pt jump shot from 24 ft,,0,4
19,1,9:49.0,Offensive rebound by I. Smith,,0,4
20,1,9:45.0,N. Noel makes 2-pt layup at rim (assist by I. Smith),,2,4
21,1,9:25.0,,W. Johnson misses 2-pt jump shot from 15 ft,2,4
22,1,9:23.0,Defensive rebound by J. Richardson,,2,4
23,1,9:01.0,I. Smith misses 2-pt layup from 2 ft,,2,4
24,1,9:00.0,,Defensive rebound by J. Hill,2,4
25,1,8:52.0,,W. Johnson misses 2-pt jump shot from 20 ft,2,4
26,1,8:51.0,Defensive rebound by L. Mbah a Moute,,2,4
27,1,8:36.0,N. Noel misses 2-pt jump shot from 13 ft,,2,4
28,1,8:35.0,,Defensive rebound by J. Clarkson,2,4
29,1,8:23.0,,T. Black makes 2-pt layup from 1 ft (assist by W. Ellington),2,6
30,1,8:10.0,L. Mbah a Moute misses 2-pt jump shot from 15 ft,,2,6
31,1,8:08.0,,Defensive rebound by J. Clarkson,2,6
32,1,8:02.0,,Offensive foul by J. Clarkson (drawn by I. Smith),2,6
33,1,8:02.0,,Turnover by J. Clarkson (offensive foul),2,6
34,1,7:47.0,L. Mbah a Moute misses 3-pt jump shot from 25 ft,,2,6
35,1,7:46.0,,Defensive rebound by W. Ellington,2,6
36,1,7:26.0,,T. Black misses 2-pt layup from 2 ft (block by N. Noel),2,6
37,1,7:23.0,Defensive rebound by J. Sampson,,2,6
38,1,7:21.0,J. Sampson misses 2-pt layup from 1 ft (block by T. Black),,2,6
39,1,7:21.0,Offensive rebound by Team,,2,6
40,1,7:10.0,I. Smith makes 2-pt layup from 2 ft (assist by J. Richardson),,4,6
41,1,6:58.0,,Turnover by W. Johnson (bad pass),4,6
42,1,6:40.0,J. Richardson misses 3-pt jump shot from 25 ft,,4,6
43,1,6:39.0,,Defensive rebound by Team,4,6
44,1,6:39.0,Loose ball foul by N. Noel (drawn by J. Hill),,4,6
45,1,6:30.0,,W. Ellington misses 3-pt jump shot from 24 ft,4,6
46,1,6:28.0,,Offensive rebound by W. Johnson,4,6
47,1,6:25.0,,W. Johnson makes 2-pt jump shot from 16 ft,4,8
