,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MILWAUKEE_ACTION,ORLANDO_SCORE,MILWAUKEE_SCORE
0,1,11:43.0,N. Vučević makes 2-pt jump shot from 17 ft (assist by E. Payton),,2,0
1,1,11:28.0,,K. Middleton misses 2-pt jump shot from 17 ft,2,0
2,1,11:26.0,,Offensive rebound by Z. Pachulia,2,0
3,1,11:22.0,,E. İlyasova misses 2-pt jump shot from 15 ft,2,0
4,1,11:21.0,Defensive rebound by V. Oladipo,,2,0
5,1,11:01.0,E. Payton makes 3-pt jump shot from 23 ft (assist by T. Harris),,5,0
6,1,10:45.0,,K. Middleton makes 2-pt jump shot from 17 ft (assist by M. Carter-Williams),5,2
7,1,10:27.0,Shooting foul by G. Antetokounmpo (drawn by T. Harris),,5,2
8,1,10:27.0,T. Harris makes free throw 1 of 2,,6,2
9,1,10:27.0,T. Harris misses free throw 2 of 2,,6,2
10,1,10:26.0,,Defensive rebound by E. İlyasova,6,2
11,1,10:14.0,,Z. Pachulia misses 2-pt jump shot from 15 ft,6,2
12,1,10:13.0,Defensive rebound by N. Vučević,,6,2
13,1,9:53.0,N. Vučević misses 2-pt jump shot from 6 ft,,6,2
14,1,9:52.0,Offensive rebound by D. Dedmon,,6,2
15,1,9:52.0,D. Dedmon misses 2-pt tip-in from 1 ft,,6,2
16,1,9:51.0,,Defensive rebound by E. İlyasova,6,2
17,1,9:48.0,,Milwaukee full timeout,6,2
18,1,9:48.0,,O. Mayo enters the game for G. Antetokounmpo,6,2
19,1,9:41.0,,O. Mayo makes 3-pt jump shot from 26 ft (assist by Z. Pachulia),6,5
20,1,9:27.0,T. Harris misses 3-pt jump shot from 23 ft,,6,5
21,1,9:26.0,,Defensive rebound by M. Carter-Williams,6,5
22,1,9:17.0,,M. Carter-Williams misses 2-pt jump shot from 18 ft,6,5
23,1,9:16.0,,Offensive rebound by E. İlyasova,6,5
24,1,9:15.0,,E. İlyasova makes 2-pt jump shot from 4 ft,6,7
25,1,9:15.0,,Shooting foul by V. Oladipo (drawn by E. İlyasova),6,7
26,1,9:15.0,,E. İlyasova makes free throw 1 of 1,6,8
27,1,8:58.0,N. Vučević makes 2-pt jump shot from 18 ft (assist by V. Oladipo),,8,8
28,1,8:44.0,,E. İlyasova makes 3-pt jump shot from 26 ft (assist by M. Carter-Williams),8,11
29,1,8:38.0,Turnover by N. Vučević (lost ball; steal by Z. Pachulia),,8,11
30,1,8:32.0,,E. İlyasova makes 3-pt jump shot from 25 ft (assist by Z. Pachulia),8,14
31,1,8:32.0,Orlando full timeout,,8,14
32,1,8:10.0,V. Oladipo misses 3-pt jump shot from 25 ft,,8,14
33,1,8:09.0,,Defensive rebound by Z. Pachulia,8,14
34,1,7:52.0,,K. Middleton misses 2-pt jump shot from 12 ft,8,14
35,1,7:51.0,Defensive rebound by T. Harris,,8,14
36,1,7:37.0,V. Oladipo misses 3-pt jump shot from 24 ft,,8,14
37,1,7:36.0,,Defensive rebound by Z. Pachulia,8,14
38,1,7:23.0,,O. Mayo makes 2-pt layup at rim (assist by Z. Pachulia),8,16
39,1,6:59.0,Turnover by D. Dedmon (lost ball; steal by K. Middleton),,8,16
40,1,6:54.0,,K. Middleton makes 2-pt dunk at rim (assist by M. Carter-Williams),8,18
41,1,6:36.0,E. Payton misses 2-pt jump shot from 8 ft,,8,18
42,1,6:36.0,,Defensive rebound by Team,8,18
43,1,6:19.0,,E. İlyasova misses 2-pt jump shot from 17 ft,8,18
44,1,6:18.0,Defensive rebound by D. Dedmon,,8,18
45,1,6:08.0,N. Vučević makes 2-pt jump shot from 16 ft (assist by E. Payton),,10,18
46,1,5:53.0,A. Gordon enters the game for T. Harris,,10,18
47,1,5:47.0,,E. İlyasova misses 2-pt layup at rim (block by D. Dedmon),10,18
48,1,5:45.0,Defensive rebound by V. Oladipo,,10,18
49,1,5:28.0,V. Oladipo misses 2-pt jump shot from 13 ft,,10,18
50,1,5:26.0,,Defensive rebound by E. İlyasova,10,18
51,1,5:15.0,,O. Mayo makes 2-pt layup at rim (assist by K. Middleton),10,20
52,1,4:57.0,N. Vučević misses 2-pt jump shot from 17 ft,,10,20
53,1,4:56.0,,Defensive rebound by M. Carter-Williams,10,20
54,1,4:42.0,,M. Carter-Williams misses 2-pt layup from 1 ft (block by D. Dedmon),10,20
55,1,4:41.0,,Offensive rebound by E. İlyasova,10,20
56,1,4:41.0,,E. İlyasova makes 2-pt layup from 1 ft,10,22
57,1,4:41.0,Orlando full timeout,,10,22
58,1,4:41.0,,J. Henson enters the game for Z. Pachulia,10,22
59,1,4:41.0,W. Green enters the game for D. Dedmon,,10,22
60,1,4:21.0,V. Oladipo misses 3-pt jump shot from 23 ft,,10,22
61,1,4:20.0,,Defensive rebound by E. İlyasova,10,22
62,1,4:07.0,,O. Mayo misses 2-pt jump shot from 18 ft,10,22
63,1,4:06.0,Defensive rebound by V. Oladipo,,10,22
64,1,4:06.0,Personal foul by O. Mayo (drawn by V. Oladipo),,10,22
65,1,3:47.0,W. Green makes 2-pt jump shot from 3 ft (assist by N. Vučević),,12,22
66,1,3:30.0,,K. Middleton misses 2-pt jump shot from 18 ft,12,22
67,1,3:29.0,Defensive rebound by A. Gordon,,12,22
68,1,3:15.0,V. Oladipo misses 2-pt layup from 1 ft,,12,22
69,1,3:14.0,Offensive rebound by N. Vučević,,12,22
70,1,3:14.0,N. Vučević makes 2-pt tip-in at rim,,14,22
71,1,3:14.0,Shooting foul by O. Mayo (drawn by N. Vučević),,14,22
72,1,3:14.0,,J. Dudley enters the game for E. İlyasova,14,22
73,1,3:14.0,N. Vučević misses free throw 1 of 1,,14,22
74,1,3:14.0,,Defensive rebound by K. Middleton,14,22
75,1,2:52.0,,J. Dudley makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),14,25
76,1,2:37.0,A. Gordon misses 3-pt jump shot from 25 ft,,14,25
77,1,2:36.0,,Defensive rebound by K. Middleton,14,25
78,1,2:22.0,,M. Carter-Williams misses 2-pt layup from 2 ft,14,25
79,1,2:21.0,,Offensive rebound by J. Henson,14,25
80,1,2:21.0,,J. Henson misses 2-pt tip-in from 1 ft,14,25
81,1,2:20.0,,Offensive rebound by J. Henson,14,25
82,1,2:20.0,,J. Henson misses 2-pt tip-in from 1 ft,14,25
83,1,2:19.0,Defensive rebound by E. Payton,,14,25
84,1,2:13.0,V. Oladipo makes 2-pt layup at rim (assist by E. Payton),,16,25
85,1,1:56.0,,M. Carter-Williams misses 2-pt layup from 2 ft (block by A. Gordon),16,25
86,1,1:54.0,Defensive rebound by V. Oladipo,,16,25
87,1,1:52.0,V. Oladipo makes 2-pt layup at rim,,18,25
88,1,1:52.0,Shooting foul by K. Middleton (drawn by V. Oladipo),,18,25
89,1,1:52.0,,Milwaukee full timeout,18,25
90,1,1:52.0,D. Dedmon enters the game for E. Payton,,18,25
91,1,1:52.0,T. Harris enters the game for N. Vučević,,18,25
92,1,1:52.0,,J. Bayless enters the game for O. Mayo,18,25
93,1,1:52.0,V. Oladipo makes free throw 1 of 1,,19,25
94,1,1:37.0,,M. Carter-Williams misses 2-pt jump shot from 1 ft,19,25
95,1,1:36.0,,Offensive rebound by M. Carter-Williams,19,25
96,1,1:36.0,,M. Carter-Williams misses 2-pt tip-in from 1 ft,19,25
97,1,1:35.0,,Offensive rebound by M. Carter-Williams,19,25
98,1,1:29.0,,J. Henson makes 2-pt dunk at rim (assist by K. Middleton),19,27
99,1,1:25.0,Personal foul by M. Carter-Williams (drawn by W. Green),,19,27
100,1,1:25.0,W. Green makes free throw 1 of 2,,20,27
101,1,1:25.0,W. Green makes free throw 2 of 2,,21,27
102,1,1:06.0,,M. Carter-Williams misses 2-pt layup from 1 ft,21,27
103,1,1:03.0,,Offensive rebound by J. Henson,21,27
104,1,1:02.0,,J. Henson makes 2-pt layup at rim,21,29
105,1,0:52.0,Turnover by V. Oladipo (bad pass; steal by K. Middleton),,21,29
106,1,0:50.0,,Clear path foul by D. Dedmon,21,29
107,1,0:50.0,,K. Middleton makes clear path free throw 1 of 2,21,30
