,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,HOUSTON_ACTION,CHARLOTTE_SCORE,HOUSTON_SCORE
0,1,11:45.0,Turnover by C. Zeller (bad pass; steal by J. Harden),,0,0
1,1,11:22.0,,P. Beverley misses 3-pt jump shot from 23 ft,0,0
2,1,11:20.0,Defensive rebound by G. Henderson,,0,0
3,1,11:11.0,Def 3 sec tech foul by J. Smith,,0,0
4,1,11:11.0,K. Walker makes technical free throw,,1,0
5,1,10:57.0,C. Zeller makes 2-pt layup from 1 ft (assist by K. Walker),,3,0
6,1,10:40.0,,T. Ariza misses 3-pt jump shot from 25 ft,3,0
7,1,10:39.0,Defensive rebound by M. Kidd-Gilchrist,,3,0
8,1,10:29.0,K. Walker misses 3-pt jump shot from 25 ft,,3,0
9,1,10:28.0,Offensive rebound by Team,,3,0
10,1,10:25.0,G. Henderson makes 2-pt jump shot from 17 ft (assist by M. Kidd-Gilchrist),,5,0
11,1,10:15.0,,Personal block foul by K. Walker (drawn by T. Ariza),5,0
12,1,10:02.0,,D. Howard makes 2-pt dunk at rim (assist by J. Harden),5,2
13,1,9:47.0,M. Kidd-Gilchrist misses 2-pt jump shot from 12 ft,,5,2
14,1,9:45.0,Offensive rebound by M. Kidd-Gilchrist,,5,2
15,1,9:42.0,M. Kidd-Gilchrist misses 2-pt layup at rim (block by D. Howard),,5,2
16,1,9:40.0,,Defensive rebound by P. Beverley,5,2
17,1,9:36.0,,Shooting foul by B. Biyombo (drawn by J. Harden),5,2
18,1,9:36.0,,J. Harden makes free throw 1 of 2,5,3
19,1,9:36.0,,J. Harden makes free throw 2 of 2,5,4
20,1,9:21.0,G. Henderson misses 2-pt jump shot from 12 ft,,5,4
21,1,9:19.0,,Defensive rebound by D. Howard,5,4
22,1,9:07.0,,D. Howard makes 2-pt dunk at rim (assist by J. Smith),5,6
23,1,8:50.0,M. Kidd-Gilchrist misses 2-pt jump shot from 19 ft,,5,6
24,1,8:48.0,Offensive rebound by B. Biyombo,,5,6
25,1,8:43.0,Turnover by C. Zeller (bad pass; steal by T. Ariza),,5,6
26,1,8:40.0,,T. Ariza makes 2-pt dunk at rim,5,8
27,1,8:24.0,K. Walker makes 2-pt jump shot from 16 ft,,7,8
28,1,8:13.0,,T. Ariza misses 3-pt jump shot from 22 ft,7,8
29,1,8:12.0,Defensive rebound by G. Henderson,,7,8
30,1,8:06.0,Shooting foul by J. Smith (drawn by B. Biyombo),,7,8
31,1,8:06.0,B. Biyombo makes free throw 1 of 2,,8,8
32,1,8:06.0,B. Biyombo makes free throw 2 of 2,,9,8
33,1,7:41.0,,P. Beverley misses 3-pt jump shot from 22 ft,9,8
34,1,7:40.0,Defensive rebound by G. Henderson,,9,8
