,QUARTER,TIME_REMAINING,ATLANTA_ACTION,CLEVELAND_ACTION,ATLANTA_SCORE,CLEVELAND_SCORE
0,1,11:38.0,P. Millsap misses 3-pt jump shot from 25 ft,,0,0
1,1,11:36.0,,Defensive rebound by K. Love,0,0
2,1,11:24.0,,L. James misses 2-pt jump shot from 19 ft,0,0
3,1,11:23.0,Defensive rebound by K. Korver,,0,0
4,1,11:08.0,A. Horford misses 2-pt jump shot from 17 ft,,0,0
5,1,11:06.0,,Defensive rebound by L. James,0,0
6,1,10:52.0,,S. Marion misses 3-pt jump shot from 24 ft,0,0
7,1,10:50.0,Defensive rebound by D. Carroll,,0,0
8,1,10:37.0,P. Millsap misses 2-pt jump shot from 5 ft,,0,0
9,1,10:34.0,,Defensive rebound by A. Varejão,0,0
10,1,10:26.0,,Turnover by L. James (lost ball),0,0
11,1,10:15.0,Turnover by A. Horford (traveling),,0,0
12,1,10:07.0,,Personal foul by P. Millsap (drawn by K. Love),0,0
13,1,10:01.0,,K. Love misses 2-pt hook shot from 13 ft,0,0
14,1,9:57.0,Defensive rebound by K. Korver,,0,0
15,1,9:44.0,P. Millsap makes 2-pt layup from 1 ft (assist by A. Horford),,2,0
16,1,9:29.0,,K. Irving misses 3-pt jump shot from 26 ft,2,0
17,1,9:27.0,Defensive rebound by A. Horford,,2,0
18,1,9:11.0,D. Carroll makes 3-pt jump shot from 22 ft (assist by K. Korver),,5,0
19,1,8:50.0,,Def 3 sec tech foul by A. Horford,5,0
20,1,8:50.0,,K. Irving makes technical free throw,5,1
21,1,8:42.0,,S. Marion makes 2-pt layup from 2 ft (assist by K. Irving),5,3
22,1,8:21.0,D. Schröder makes 2-pt jump shot from 5 ft,,7,3
23,1,8:02.0,,K. Love makes 3-pt jump shot from 26 ft (assist by K. Irving),7,6
24,1,7:40.0,A. Horford makes 2-pt jump shot from 6 ft,,9,6
25,1,7:17.0,,L. James misses 2-pt jump shot from 3 ft,9,6
26,1,7:15.0,,Offensive rebound by S. Marion,9,6
27,1,7:15.0,,Shooting foul by D. Carroll (drawn by S. Marion),9,6
28,1,7:15.0,,S. Marion makes free throw 1 of 2,9,7
29,1,7:15.0,,S. Marion makes free throw 2 of 2,9,8
30,1,6:56.0,A. Horford misses 2-pt jump shot from 17 ft,,9,8
31,1,6:53.0,Offensive rebound by P. Millsap,,9,8
32,1,6:53.0,P. Millsap makes 2-pt layup from 1 ft,,11,8
33,1,6:40.0,,K. Love makes 2-pt jump shot from 15 ft (assist by S. Marion),11,10
34,1,6:40.0,,Shooting foul by P. Millsap (drawn by K. Love),11,10
35,1,6:40.0,M. Scott enters the game for P. Millsap,,11,10
36,1,6:40.0,,K. Love makes free throw 1 of 1,11,11
37,1,6:29.0,M. Scott makes 2-pt jump shot from 14 ft (assist by D. Schröder),,13,11
38,1,6:13.0,,A. Varejão makes 2-pt jump shot from 13 ft (assist by S. Marion),13,13
39,1,5:57.0,D. Carroll misses 2-pt layup at rim,,13,13
40,1,5:54.0,,Defensive rebound by K. Love,13,13
41,1,5:51.0,,L. James makes 2-pt layup at rim (assist by K. Love),13,15
42,1,5:51.0,Atlanta full timeout,,13,15
43,1,5:36.0,Turnover by K. Korver (bad pass; steal by L. James),,13,15
44,1,5:30.0,,L. James makes 2-pt layup at rim,13,17
45,1,5:05.0,A. Horford misses 3-pt jump shot from 25 ft,,13,17
46,1,5:04.0,,Defensive rebound by K. Love,13,17
47,1,5:01.0,,L. James makes 2-pt layup at rim (assist by K. Love),13,19
48,1,5:01.0,,Shooting block foul by D. Schröder (drawn by L. James),13,19
