,QUARTER,TIME_REMAINING,ORLANDO_ACTION,MIAMI_ACTION,ORLANDO_SCORE,MIAMI_SCORE
0,1,11:45.0,T. Harris makes 2-pt jump shot from 3 ft (assist by N. Vučević),,2,0
1,1,11:29.0,,C. Bosh misses 2-pt jump shot from 20 ft,2,0
2,1,11:28.0,,Offensive rebound by Team,2,0
3,1,11:24.0,,D. Wade misses 2-pt jump shot from 9 ft,2,0
4,1,11:23.0,Defensive rebound by K. O'Quinn,,2,0
5,1,11:14.0,K. O'Quinn makes 3-pt jump shot from 24 ft (assist by E. Payton),,5,0
6,1,10:48.0,,C. Bosh misses 2-pt jump shot from 18 ft (block by K. O'Quinn),5,0
7,1,10:47.0,Defensive rebound by T. Harris,,5,0
8,1,10:45.0,Turnover by T. Harris (lost ball; steal by C. Bosh),,5,0
9,1,10:43.0,,Turnover by C. Bosh (step out of bounds),5,0
10,1,10:35.0,N. Vučević makes 2-pt dunk at rim (assist by V. Oladipo),,7,0
11,1,10:18.0,,L. Deng makes 2-pt layup at rim (assist by C. Andersen),7,2
12,1,10:01.0,,Violation by L. Deng (def goaltending),7,2
13,1,10:01.0,N. Vučević makes 2-pt jump shot from 3 ft (assist by E. Payton),,9,2
14,1,9:48.0,,C. Bosh makes 2-pt jump shot from 5 ft,9,4
15,1,9:40.0,Turnover by E. Payton (bad pass; steal by L. Deng),,9,4
16,1,9:37.0,,Shooting foul by E. Payton (drawn by L. Deng),9,4
17,1,9:37.0,,L. Deng makes free throw 1 of 2,9,5
18,1,9:37.0,,L. Deng makes free throw 2 of 2,9,6
19,1,9:23.0,Turnover by V. Oladipo (bad pass; steal by D. Wade),,9,6
20,1,9:17.0,,M. Chalmers makes 2-pt layup from 1 ft (assist by D. Wade),9,8
21,1,8:53.0,E. Payton misses 2-pt jump shot from 10 ft,,9,8
22,1,8:52.0,,Defensive rebound by M. Chalmers,9,8
23,1,8:35.0,,Turnover by M. Chalmers (bad pass; steal by E. Payton),9,8
24,1,8:32.0,,Violation by C. Bosh (def goaltending),9,8
25,1,8:32.0,V. Oladipo makes 2-pt jump shot from 2 ft,,11,8
26,1,8:18.0,,Turnover by D. Wade (bad pass),11,8
27,1,8:02.0,V. Oladipo makes 3-pt jump shot from 24 ft (assist by K. O'Quinn),,14,8
28,1,7:47.0,,L. Deng misses 2-pt jump shot from 18 ft,14,8
29,1,7:46.0,Defensive rebound by N. Vučević,,14,8
