,QUARTER,TIME_REMAINING,DENVER_ACTION,CHICAGO_ACTION,DENVER_SCORE,CHICAGO_SCORE
0,1,11:46.0,,D. Rose misses 2-pt layup from 2 ft,0,0
1,1,11:45.0,Defensive rebound by W. Chandler,,0,0
2,1,11:27.0,T. Mozgov makes 2-pt layup from 1 ft (assist by W. Chandler),,2,0
3,1,11:14.0,,Turnover by D. Rose (bad pass; steal by K. Faried),2,0
4,1,11:07.0,W. Chandler misses 3-pt jump shot from 25 ft,,2,0
5,1,11:05.0,Offensive rebound by K. Faried,,2,0
6,1,11:05.0,K. Faried misses 2-pt layup from 3 ft,,2,0
7,1,11:04.0,,Defensive rebound by D. Rose,2,0
8,1,10:46.0,,M. Dunleavy misses 2-pt jump shot from 19 ft,2,0
9,1,10:45.0,Defensive rebound by K. Faried,,2,0
10,1,10:36.0,K. Faried makes 2-pt layup from 1 ft,,4,0
11,1,10:16.0,,J. Butler misses 2-pt layup from 2 ft,4,0
12,1,10:15.0,,Offensive rebound by J. Noah,4,0
13,1,10:15.0,,J. Noah makes 2-pt tip-in from 1 ft,4,2
14,1,10:02.0,W. Chandler misses 3-pt jump shot from 24 ft,,4,2
15,1,10:01.0,Offensive rebound by K. Faried,,4,2
16,1,9:59.0,K. Faried misses 2-pt layup from 2 ft,,4,2
17,1,9:58.0,,Defensive rebound by Team,4,2
18,1,9:42.0,,P. Gasol misses 2-pt layup from 3 ft (block by A. Afflalo),4,2
19,1,9:40.0,Defensive rebound by T. Lawson,,4,2
20,1,9:37.0,A. Afflalo makes 2-pt layup from 2 ft (assist by T. Lawson),,6,2
21,1,9:25.0,,M. Dunleavy misses 3-pt jump shot from 22 ft,6,2
22,1,9:24.0,Defensive rebound by K. Faried,,6,2
23,1,9:14.0,K. Faried makes 2-pt jump shot from 4 ft,,8,2
24,1,8:51.0,,P. Gasol makes 2-pt jump shot from 12 ft (assist by J. Butler),8,4
25,1,8:27.0,W. Chandler misses 2-pt layup from 3 ft (block by J. Noah),,8,4
26,1,8:25.0,,Defensive rebound by J. Butler,8,4
27,1,8:20.0,,M. Dunleavy makes 3-pt jump shot from 24 ft (assist by J. Butler),8,7
28,1,8:00.0,T. Mozgov misses 2-pt jump shot from 5 ft (block by P. Gasol),,8,7
