,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,MIAMI_ACTION,GOLDEN STATE_SCORE,MIAMI_SCORE
0,1,11:36.0,,Turnover by C. Bosh (lost ball; steal by S. Curry),0,0
1,1,11:27.0,K. Thompson misses 2-pt jump shot from 6 ft,,0,0
2,1,11:26.0,,Defensive rebound by C. Bosh,0,0
3,1,11:18.0,,M. Chalmers misses 2-pt layup from 1 ft,0,0
4,1,11:17.0,Defensive rebound by A. Bogut,,0,0
5,1,11:12.0,S. Curry makes 3-pt jump shot from 24 ft,,3,0
6,1,10:55.0,,L. Deng misses 2-pt jump shot from 20 ft,3,0
7,1,10:54.0,Defensive rebound by A. Bogut,,3,0
8,1,10:43.0,K. Thompson makes 2-pt jump shot from 4 ft (assist by A. Bogut),,5,0
9,1,10:25.0,,S. Williams makes 3-pt jump shot from 23 ft (assist by N. Cole),5,3
10,1,9:59.0,D. Green makes 2-pt layup from 2 ft (assist by A. Bogut),,7,3
11,1,9:46.0,,L. Deng makes 2-pt dunk at rim (assist by N. Cole),7,5
12,1,9:31.0,A. Bogut makes 2-pt layup from 1 ft,,9,5
13,1,9:19.0,,M. Chalmers misses 2-pt layup from 1 ft (block by D. Green),9,5
14,1,9:18.0,Defensive rebound by K. Thompson,,9,5
15,1,9:11.0,A. Bogut makes 2-pt dunk at rim (assist by S. Curry),,11,5
16,1,9:06.0,,Miami full timeout,11,5
17,1,8:47.0,,C. Bosh makes 2-pt jump shot from 14 ft,11,7
18,1,8:31.0,H. Barnes makes 2-pt dunk at rim (assist by D. Green),,13,7
19,1,8:16.0,,C. Bosh misses 2-pt jump shot from 18 ft,13,7
20,1,8:15.0,,Offensive rebound by L. Deng,13,7
21,1,8:11.0,,S. Williams misses 2-pt jump shot from 11 ft,13,7
22,1,8:10.0,Defensive rebound by D. Green,,13,7
23,1,8:08.0,Personal block foul by C. Bosh (drawn by D. Green),,13,7
24,1,7:59.0,H. Barnes makes 3-pt jump shot from 24 ft (assist by A. Bogut),,16,7
25,1,7:41.0,,Shooting foul by S. Curry (drawn by M. Chalmers),16,7
26,1,7:41.0,,M. Chalmers makes free throw 1 of 2,16,8
27,1,7:41.0,,M. Chalmers makes free throw 2 of 2,16,9
28,1,7:23.0,Turnover by D. Green (bad pass; steal by M. Chalmers),,16,9
