,QUARTER,TIME_REMAINING,MIAMI_ACTION,CLEVELAND_ACTION,MIAMI_SCORE,CLEVELAND_SCORE
0,1,11:37.0,Turnover by L. Deng (lost ball; steal by K. Irving),,0,0
1,1,11:18.0,,T. Mozgov misses 2-pt hook shot from 6 ft,0,0
2,1,11:15.0,,Offensive rebound by T. Mozgov,0,0
3,1,11:10.0,,J. Jones makes 3-pt jump shot from 25 ft (assist by J. Smith),0,3
4,1,10:53.0,Shooting foul by J. Jones (drawn by G. Dragić),,0,3
5,1,10:53.0,G. Dragić makes free throw 1 of 2,,1,3
6,1,10:53.0,G. Dragić makes free throw 2 of 2,,2,3
7,1,10:40.0,,J. Smith misses 3-pt jump shot from 24 ft,2,3
8,1,10:39.0,Defensive rebound by L. Deng,,2,3
9,1,10:34.0,D. Wade makes 2-pt layup at rim (assist by L. Deng),,4,3
10,1,10:19.0,,J. Smith misses 3-pt jump shot from 23 ft,4,3
11,1,10:18.0,Defensive rebound by D. Wade,,4,3
12,1,9:56.0,H. Walker makes 3-pt jump shot from 27 ft (assist by G. Dragić),,7,3
13,1,9:40.0,,T. Mozgov makes 2-pt dunk at rim (assist by K. Irving),7,5
14,1,9:20.0,L. Deng misses 2-pt jump shot from 16 ft,,7,5
15,1,9:19.0,,Defensive rebound by J. Smith,7,5
16,1,8:59.0,,L. James misses 2-pt jump shot from 14 ft,7,5
17,1,8:59.0,,Offensive rebound by T. Mozgov,7,5
18,1,8:59.0,,Personal foul by H. Walker (drawn by T. Mozgov),7,5
19,1,8:45.0,,J. Smith misses 3-pt jump shot from 26 ft,7,5
20,1,8:44.0,Defensive rebound by H. Whiteside,,7,5
21,1,8:33.0,D. Wade misses 2-pt jump shot from 14 ft,,7,5
22,1,8:31.0,Offensive rebound by H. Whiteside,,7,5
23,1,8:27.0,H. Whiteside makes 2-pt layup at rim,,9,5
24,1,8:14.0,,Shooting foul by L. Deng (drawn by K. Irving),9,5
25,1,8:14.0,,K. Irving makes free throw 1 of 2,9,6
26,1,8:14.0,,K. Irving makes free throw 2 of 2,9,7
27,1,8:05.0,G. Dragić misses 2-pt jump shot from 11 ft,,9,7
28,1,8:03.0,,Defensive rebound by T. Mozgov,9,7
29,1,7:51.0,,Shooting foul by H. Walker (drawn by J. Jones),9,7
30,1,7:51.0,,J. Jones makes free throw 1 of 3,9,8
31,1,7:51.0,,J. Jones makes free throw 2 of 3,9,9
32,1,7:51.0,M. Beasley enters the game for H. Walker,,9,9
33,1,7:51.0,,J. Jones makes free throw 3 of 3,9,10
34,1,7:40.0,Shooting foul by T. Mozgov (drawn by D. Wade),,9,10
35,1,7:40.0,D. Wade makes free throw 1 of 2,,10,10
36,1,7:40.0,D. Wade makes free throw 2 of 2,,11,10
37,1,7:22.0,,L. James makes 2-pt hook shot from 5 ft,11,12
38,1,7:07.0,D. Wade misses 2-pt jump shot from 13 ft (block by J. Smith),,11,12
39,1,7:07.0,Offensive rebound by Team,,11,12
40,1,6:55.0,H. Whiteside makes 2-pt dunk at rim (assist by G. Dragić),,13,12
41,1,6:31.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by L. James),13,15
42,1,6:16.0,D. Wade makes 3-pt jump shot from 24 ft (assist by H. Whiteside),,16,15
43,1,6:02.0,,J. Smith makes 3-pt jump shot from 25 ft,16,18
44,1,6:02.0,Miami full timeout,,16,18
45,1,6:02.0,M. Chalmers enters the game for G. Dragić,,16,18
46,1,5:48.0,L. Deng makes 2-pt layup from 1 ft (assist by M. Chalmers),,18,18
47,1,5:27.0,,L. James makes 2-pt jump shot from 6 ft,18,20
48,1,5:05.0,M. Beasley misses 2-pt jump shot from 19 ft (block by L. James),,18,20
49,1,5:04.0,,Defensive rebound by T. Mozgov,18,20
50,1,4:57.0,,J. Smith makes 3-pt jump shot from 25 ft (assist by L. James),18,23
