,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,NEW ORLEANS_ACTION,GOLDEN STATE_SCORE,NEW ORLEANS_SCORE
0,1,11:42.0,H. Barnes makes 2-pt jump shot from 12 ft,,2,0
1,1,11:20.0,,Ö. Aşık misses 3-pt jump shot,2,0
2,1,11:19.0,Defensive rebound by S. Curry,,2,0
3,1,11:15.0,D. Green misses 2-pt jump shot from 3 ft,,2,0
4,1,11:14.0,,Defensive rebound by L. Babbitt,2,0
5,1,11:08.0,,Ö. Aşık makes 2-pt dunk at rim (assist by T. Evans),2,2
6,1,10:58.0,S. Curry misses 2-pt layup from 1 ft,,2,2
7,1,10:57.0,,Defensive rebound by R. Anderson,2,2
8,1,10:52.0,,T. Evans misses 2-pt layup from 1 ft (block by K. Thompson),2,2
9,1,10:51.0,Defensive rebound by F. Ezeli,,2,2
10,1,10:38.0,K. Thompson makes 2-pt jump shot from 14 ft,,4,2
11,1,10:17.0,,Ö. Aşık misses 2-pt jump shot from 15 ft,4,2
12,1,10:16.0,Defensive rebound by F. Ezeli,,4,2
13,1,10:10.0,S. Curry makes 2-pt jump shot from 16 ft,,6,2
14,1,9:51.0,,J. Holiday makes 2-pt layup from 1 ft (assist by Ö. Aşık),6,4
15,1,9:34.0,K. Thompson misses 2-pt layup from 2 ft (block by T. Evans),,6,4
16,1,9:33.0,,Defensive rebound by Ö. Aşık,6,4
17,1,9:25.0,,J. Holiday misses 3-pt jump shot from 23 ft,6,4
18,1,9:22.0,Defensive rebound by F. Ezeli,,6,4
19,1,9:15.0,S. Curry makes 3-pt jump shot from 25 ft (assist by H. Barnes),,9,4
20,1,9:13.0,,New Orleans full timeout,9,4
21,1,8:58.0,Violation by F. Ezeli (def goaltending),,9,4
22,1,8:58.0,,R. Anderson makes 2-pt layup from 2 ft,9,6
23,1,8:44.0,S. Curry misses 3-pt jump shot from 25 ft,,9,6
24,1,8:42.0,,Defensive rebound by L. Babbitt,9,6
25,1,8:25.0,,R. Anderson misses 3-pt jump shot from 25 ft,9,6
26,1,8:22.0,,Offensive rebound by L. Babbitt,9,6
27,1,8:10.0,,J. Holiday makes 2-pt layup from 1 ft,9,8
28,1,7:59.0,S. Curry makes 2-pt layup from 2 ft,,11,8
29,1,7:38.0,,R. Anderson misses 2-pt jump shot from 20 ft,11,8
30,1,7:37.0,Defensive rebound by S. Curry,,11,8
31,1,7:20.0,Turnover by K. Thompson (lost ball; steal by T. Evans),,11,8
32,1,7:15.0,,T. Evans makes 2-pt layup from 1 ft,11,10
33,1,7:01.0,K. Thompson makes 2-pt jump shot from 15 ft (assist by D. Green),,13,10
34,1,6:47.0,,J. Holiday misses 2-pt jump shot from 9 ft,13,10
