,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHILADELPHIA_ACTION,ATLANTA_SCORE,PHILADELPHIA_SCORE
79,1,2:32.0,Defensive rebound by A. Horford,,19,17
80,1,2:27.0,K. Bazemore makes 3-pt jump shot from 25 ft (assist by S. Mack),,22,17
81,1,2:09.0,,H. Thompson makes 3-pt jump shot from 26 ft (assist by J. Sampson),22,20
82,1,2:00.0,Shooting foul by H. Sims (drawn by A. Horford),,22,20
83,1,2:00.0,A. Horford misses free throw 1 of 2,,22,20
84,1,2:00.0,Offensive rebound by Team,,22,20
85,1,2:00.0,K. Korver enters the game for T. Sefolosha,,22,20
86,1,2:00.0,A. Horford makes free throw 2 of 2,,23,20
87,1,1:51.0,,T. Wroten misses 2-pt layup from 1 ft,23,20
88,1,1:50.0,Defensive rebound by E. Brand,,23,20
89,1,1:44.0,K. Korver misses 3-pt jump shot from 26 ft,,23,20
90,1,1:43.0,,Defensive rebound by Team,23,20
91,1,1:23.0,,J. Grant misses 2-pt jump shot from 21 ft,23,20
92,1,1:22.0,Defensive rebound by K. Bazemore,,23,20
93,1,1:10.0,Turnover by A. Horford (traveling),,23,20
94,1,0:59.0,,Turnover by H. Sims (bad pass; steal by E. Brand),23,20
95,1,0:51.0,S. Mack misses 3-pt jump shot from 25 ft,,23,20
96,1,0:50.0,,Defensive rebound by J. Sampson,23,20
97,1,0:37.0,Offensive charge foul by H. Thompson (drawn by E. Brand),,23,20
98,1,0:37.0,,Turnover by H. Thompson (offensive foul),23,20
99,1,0:32.0,S. Mack makes 2-pt layup from 1 ft (assist by K. Korver),,25,20
100,1,0:12.0,,H. Sims misses 2-pt jump shot from 6 ft (block by E. Brand),25,20
101,1,0:09.0,Defensive rebound by S. Mack,,25,20
102,1,0:02.0,S. Mack misses 2-pt layup at rim (block by H. Sims),,25,20
103,1,0:01.0,Offensive rebound by E. Brand,,25,20
104,1,0:00.0,E. Brand misses 2-pt jump shot from 5 ft,,25,20
105,1,0:00.0,Offensive rebound by Team,,25,20
106,2,11:45.0,,H. Thompson misses 2-pt jump shot from 20 ft,25,20
107,2,11:43.0,Defensive rebound by K. Bazemore,,25,20
108,2,11:42.0,Turnover by K. Bazemore (lost ball),,25,20
109,2,11:28.0,,Turnover by J. Sampson (lost ball),25,20
110,2,11:12.0,M. Muscala makes 2-pt dunk at rim (assist by S. Mack),,27,20
111,2,10:46.0,,T. Wroten misses 2-pt layup from 1 ft,27,20
112,2,10:44.0,Defensive rebound by M. Muscala,,27,20
113,2,10:39.0,K. Bazemore misses 3-pt jump shot from 25 ft,,27,20
114,2,10:37.0,,Defensive rebound by J. Sampson,27,20
115,2,10:31.0,,J. Grant makes 2-pt layup from 1 ft (assist by J. Sampson),27,22
116,2,10:22.0,K. Korver misses 3-pt jump shot from 27 ft,,27,22
117,2,10:21.0,,Defensive rebound by H. Sims,27,22
118,2,10:15.0,,T. Wroten makes 2-pt layup from 2 ft,27,24
