,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,ORLANDO_ACTION,SACRAMENTO_SCORE,ORLANDO_SCORE
0,1,11:45.0,,Personal foul by R. Gay (drawn by T. Harris),0,0
1,1,11:36.0,,T. Harris misses 3-pt jump shot from 23 ft,0,0
2,1,11:35.0,Defensive rebound by J. Thompson,,0,0
3,1,11:19.0,D. Cousins misses 2-pt jump shot from 11 ft,,0,0
4,1,11:17.0,,Defensive rebound by D. Dedmon,0,0
5,1,11:04.0,,V. Oladipo makes 2-pt jump shot from 22 ft,0,2
6,1,10:47.0,D. Cousins misses 2-pt layup from 1 ft,,0,2
7,1,10:45.0,Offensive rebound by D. Cousins,,0,2
8,1,10:43.0,D. Cousins misses 2-pt layup from 1 ft (block by C. Frye),,0,2
9,1,10:43.0,Offensive rebound by D. Cousins,,0,2
10,1,10:43.0,Shooting foul by D. Dedmon (drawn by D. Cousins),,0,2
11,1,10:43.0,D. Cousins makes free throw 1 of 2,,1,2
12,1,10:43.0,D. Cousins makes free throw 2 of 2,,2,2
13,1,10:35.0,,D. Dedmon makes 2-pt dunk at rim (assist by E. Payton),2,4
14,1,10:13.0,R. McCallum misses 3-pt jump shot from 26 ft,,2,4
15,1,10:13.0,Offensive rebound by Team,,2,4
16,1,10:13.0,,Loose ball foul by D. Dedmon (drawn by J. Thompson),2,4
17,1,10:00.0,R. Gay misses 2-pt hook shot at rim,,2,4
18,1,9:56.0,Offensive rebound by J. Thompson,,2,4
19,1,9:56.0,J. Thompson makes 2-pt tip-in from 1 ft,,4,4
20,1,9:47.0,,T. Harris makes 2-pt jump shot from 10 ft (assist by C. Frye),4,6
21,1,9:33.0,D. Cousins misses 2-pt layup from 1 ft (block by C. Frye),,4,6
22,1,9:30.0,Offensive rebound by B. McLemore,,4,6
23,1,9:27.0,B. McLemore misses 2-pt layup at rim,,4,6
24,1,9:25.0,Offensive rebound by R. Gay,,4,6
25,1,9:23.0,R. Gay makes 2-pt layup from 1 ft,,6,6
26,1,8:59.0,,V. Oladipo makes 3-pt jump shot from 24 ft (assist by C. Frye),6,9
27,1,8:34.0,Turnover by B. McLemore (lost ball; steal by V. Oladipo),,6,9
28,1,8:29.0,,V. Oladipo makes 2-pt dunk from 1 ft,6,11
29,1,8:14.0,Turnover by R. McCallum (lost ball; steal by V. Oladipo),,6,11
30,1,8:10.0,,V. Oladipo makes 2-pt layup at rim (assist by E. Payton),6,13
31,1,8:09.0,Sacramento full timeout,,6,13
32,1,8:09.0,,K. O'Quinn enters the game for D. Dedmon,6,13
33,1,7:45.0,R. Gay misses 3-pt jump shot from 22 ft,,6,13
34,1,7:45.0,Offensive rebound by Team,,6,13
35,1,7:45.0,,Loose ball foul by K. O'Quinn (drawn by D. Cousins),6,13
36,1,7:38.0,R. Gay misses 3-pt jump shot from 26 ft,,6,13
37,1,7:37.0,,Defensive rebound by C. Frye,6,13
38,1,7:24.0,,V. Oladipo makes 2-pt layup at rim,6,15
39,1,7:02.0,R. Gay makes 2-pt jump shot from 19 ft,,8,15
40,1,6:40.0,,Personal foul by B. McLemore (drawn by T. Harris),8,15
41,1,6:40.0,O. Casspi enters the game for B. McLemore,,8,15
42,1,6:40.0,R. Evans enters the game for D. Cousins,,8,15
43,1,6:32.0,,Turnover by V. Oladipo (lost ball),8,15
44,1,6:22.0,Shooting foul by K. O'Quinn (drawn by R. McCallum),,8,15
45,1,6:22.0,R. McCallum makes free throw 1 of 2,,9,15
46,1,6:22.0,R. McCallum misses free throw 2 of 2,,9,15
47,1,6:20.0,Offensive rebound by R. McCallum,,9,15
48,1,6:17.0,R. McCallum makes 2-pt jump shot from 8 ft,,11,15
49,1,6:17.0,,Orlando full timeout,11,15
50,1,5:55.0,,T. Harris misses 2-pt jump shot from 16 ft (block by R. Gay),11,15
51,1,5:52.0,,Offensive rebound by V. Oladipo,11,15
52,1,5:51.0,,V. Oladipo misses 2-pt layup from 1 ft,11,15
53,1,5:49.0,Defensive rebound by R. Evans,,11,15
54,1,5:43.0,O. Casspi misses 2-pt jump shot from 6 ft (block by T. Harris),,11,15
55,1,5:41.0,,Defensive rebound by V. Oladipo,11,15
56,1,5:38.0,,V. Oladipo makes 2-pt layup at rim,11,17
57,1,5:19.0,Turnover by R. Gay (bad pass),,11,17
58,1,5:19.0,,A. Nicholson enters the game for K. O'Quinn,11,17
59,1,5:06.0,,E. Payton makes 2-pt hook shot from 3 ft (assist by V. Oladipo),11,19
60,1,4:54.0,R. Gay makes 2-pt jump shot from 19 ft (assist by R. McCallum),,13,19
61,1,4:54.0,Violation by Team (delay of game),,13,19
62,1,4:35.0,,T. Harris makes 2-pt jump shot from 6 ft (assist by C. Frye),13,21
63,1,4:15.0,Personal foul by E. Payton (drawn by R. McCallum),,13,21
64,1,4:15.0,R. McCallum makes free throw 1 of 2,,14,21
65,1,4:15.0,D. Cousins enters the game for J. Thompson,,14,21
66,1,4:15.0,,K. O'Quinn enters the game for C. Frye,14,21
67,1,4:15.0,R. McCallum misses free throw 2 of 2,,14,21
68,1,4:13.0,,Defensive rebound by T. Harris,14,21
69,1,3:53.0,,A. Nicholson misses 3-pt jump shot from 23 ft,14,21
70,1,3:51.0,Defensive rebound by R. Gay,,14,21
71,1,3:44.0,R. Gay makes 2-pt jump shot from 9 ft,,16,21
72,1,3:32.0,,A. Nicholson makes 2-pt jump shot from 18 ft (assist by V. Oladipo),16,23
73,1,3:17.0,O. Casspi misses 3-pt jump shot from 24 ft,,16,23
74,1,3:15.0,Offensive rebound by D. Cousins,,16,23
75,1,3:15.0,Shooting foul by K. O'Quinn (drawn by D. Cousins),,16,23
76,1,3:15.0,D. Cousins makes free throw 1 of 2,,17,23
77,1,3:15.0,A. Miller enters the game for R. McCallum,,17,23
78,1,3:15.0,,B. Gordon enters the game for E. Payton,17,23
79,1,3:15.0,,D. Dedmon enters the game for K. O'Quinn,17,23
