,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DALLAS_ACTION,MEMPHIS_SCORE,DALLAS_SCORE
0,1,11:46.0,M. Conley misses 2-pt jump shot from 13 ft,,0,0
1,1,11:45.0,,Defensive rebound by D. Nowitzki,0,0
2,1,11:35.0,,Personal foul by M. Conley (drawn by D. Nowitzki),0,0
3,1,11:26.0,,D. Nowitzki misses 2-pt jump shot from 22 ft,0,0
4,1,11:25.0,Defensive rebound by M. Gasol,,0,0
5,1,11:15.0,Z. Randolph misses 2-pt jump shot from 4 ft,,0,0
6,1,11:14.0,Offensive rebound by T. Allen,,0,0
7,1,11:11.0,T. Allen makes 2-pt tip-in at rim,,2,0
8,1,11:00.0,,T. Chandler makes 2-pt dunk at rim,2,2
9,1,10:41.0,Z. Randolph misses 2-pt jump shot from 14 ft,,2,2
10,1,10:40.0,,Defensive rebound by R. Rondo,2,2
11,1,10:28.0,,D. Nowitzki misses 2-pt jump shot from 20 ft,2,2
12,1,10:27.0,Defensive rebound by M. Gasol,,2,2
13,1,10:19.0,M. Gasol misses 2-pt layup from 1 ft,,2,2
14,1,10:17.0,,Defensive rebound by T. Chandler,2,2
15,1,10:12.0,,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by R. Rondo),2,5
16,1,9:51.0,M. Gasol makes 2-pt jump shot from 18 ft (assist by M. Conley),,4,5
17,1,9:32.0,,Shooting foul by M. Gasol (drawn by C. Parsons),4,5
18,1,9:32.0,,C. Parsons misses free throw 1 of 2,4,5
19,1,9:32.0,,Offensive rebound by Team,4,5
20,1,9:32.0,,C. Parsons makes free throw 2 of 2,4,6
21,1,9:13.0,Shooting foul by D. Nowitzki (drawn by M. Gasol),,4,6
22,1,9:13.0,M. Gasol makes free throw 1 of 2,,5,6
23,1,9:13.0,M. Gasol makes free throw 2 of 2,,6,6
24,1,8:58.0,,M. Ellis misses 2-pt jump shot from 14 ft,6,6
25,1,8:57.0,Defensive rebound by M. Gasol,,6,6
26,1,8:39.0,C. Lee misses 2-pt layup from 2 ft,,6,6
27,1,8:36.0,,Defensive rebound by C. Parsons,6,6
