,QUARTER,TIME_REMAINING,NEW YORK_ACTION,SAN ANTONIO_ACTION,NEW YORK_SCORE,SAN ANTONIO_SCORE
0,1,11:37.0,J. Calderón misses 2-pt jump shot from 20 ft,,0,0
1,1,11:33.0,,Defensive rebound by A. Baynes,0,0
2,1,11:15.0,,C. Joseph misses 2-pt jump shot from 17 ft,0,0
3,1,11:13.0,Defensive rebound by J. Calderón,,0,0
4,1,11:02.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by Q. Acy),,3,0
5,1,10:58.0,,San Antonio full timeout,3,0
6,1,10:47.0,,A. Baynes makes 2-pt hook shot from 5 ft (assist by C. Joseph),3,2
7,1,10:28.0,T. Hardaway makes 2-pt jump shot from 18 ft,,5,2
8,1,10:03.0,,C. Joseph makes 2-pt jump shot from 12 ft (assist by K. Anderson),5,4
9,1,9:52.0,Turnover by T. Hardaway (lost ball; steal by D. Green),,5,4
10,1,9:43.0,,K. Anderson makes 2-pt dunk at rim (assist by M. Bonner),5,6
11,1,9:26.0,A. Stoudemire makes 2-pt hook shot from 7 ft,,7,6
12,1,9:01.0,,A. Baynes misses 2-pt jump shot from 16 ft,7,6
13,1,9:00.0,Defensive rebound by Q. Acy,,7,6
14,1,8:42.0,Q. Acy makes 2-pt layup from 1 ft,,9,6
15,1,8:30.0,,K. Anderson makes 2-pt jump shot from 14 ft,9,8
16,1,8:12.0,Q. Acy misses 2-pt jump shot from 15 ft,,9,8
17,1,8:11.0,,Defensive rebound by A. Baynes,9,8
18,1,8:00.0,,D. Green misses 3-pt jump shot from 26 ft,9,8
19,1,7:59.0,Defensive rebound by T. Hardaway,,9,8
20,1,7:36.0,A. Stoudemire makes 2-pt jump shot from 5 ft,,11,8
21,1,7:18.0,,C. Joseph misses 2-pt layup from 2 ft,11,8
22,1,7:17.0,Defensive rebound by J. Calderón,,11,8
23,1,7:12.0,T. Hardaway makes 3-pt jump shot from 26 ft (assist by J. Calderón),,14,8
24,1,6:52.0,,Personal foul by J. Calderón (drawn by C. Joseph),14,8
25,1,6:52.0,S. Dalembert enters the game for A. Stoudemire,,14,8
26,1,6:52.0,J. Smith enters the game for Q. Acy,,14,8
27,1,6:52.0,,M. Belinelli enters the game for D. Green,14,8
28,1,6:37.0,,M. Bonner misses 2-pt jump shot from 14 ft,14,8
29,1,6:36.0,Defensive rebound by S. Dalembert,,14,8
30,1,6:25.0,Offensive foul by I. Shumpert (drawn by M. Belinelli),,14,8
31,1,6:25.0,Turnover by I. Shumpert (offensive foul),,14,8
32,1,6:25.0,,San Antonio full timeout,14,8
33,1,6:25.0,,D. Green enters the game for K. Anderson,14,8
34,1,6:14.0,,C. Joseph misses 2-pt jump shot from 16 ft,14,8
35,1,6:12.0,,Offensive rebound by Team,14,8
36,1,6:11.0,,B. Diaw enters the game for M. Bonner,14,8
37,1,6:02.0,,M. Belinelli misses 2-pt jump shot from 21 ft,14,8
38,1,6:01.0,Defensive rebound by S. Dalembert,,14,8
39,1,5:42.0,T. Hardaway misses 2-pt jump shot from 12 ft,,14,8
40,1,5:38.0,,Defensive rebound by M. Belinelli,14,8
41,1,5:30.0,,D. Green makes 3-pt jump shot from 25 ft,14,11
