,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CHARLOTTE_ACTION,MINNESOTA_SCORE,CHARLOTTE_SCORE
0,1,11:39.0,,G. Henderson misses 2-pt jump shot from 19 ft,0,0
1,1,11:38.0,Defensive rebound by R. Hummel,,0,0
2,1,11:20.0,Turnover by M. Williams (lost ball),,0,0
3,1,10:58.0,,M. Kidd-Gilchrist makes 2-pt layup from 2 ft (assist by G. Henderson),0,2
4,1,10:36.0,M. Williams misses 2-pt jump shot from 18 ft,,0,2
5,1,10:34.0,Offensive rebound by R. Hummel,,0,2
6,1,10:28.0,Turnover by G. Dieng (traveling),,0,2
7,1,10:15.0,,C. Zeller misses 2-pt jump shot from 19 ft,0,2
8,1,10:11.0,,Offensive rebound by M. Kidd-Gilchrist,0,2
9,1,10:11.0,,M. Kidd-Gilchrist misses 2-pt layup at rim,0,2
10,1,10:09.0,Defensive rebound by R. Hummel,,0,2
11,1,9:54.0,A. Wiggins makes 2-pt jump shot from 15 ft (assist by G. Dieng),,2,2
12,1,9:42.0,,B. Roberts makes 2-pt jump shot from 19 ft,2,4
13,1,9:18.0,Turnover by G. Dieng (bad pass),,2,4
14,1,9:02.0,,G. Henderson makes 2-pt jump shot from 20 ft (assist by C. Zeller),2,6
15,1,8:45.0,M. Williams misses 2-pt jump shot from 18 ft,,2,6
16,1,8:44.0,,Defensive rebound by B. Biyombo,2,6
17,1,8:34.0,,M. Kidd-Gilchrist makes 2-pt layup from 1 ft (assist by B. Roberts),2,8
18,1,8:32.0,Minnesota full timeout,,2,8
19,1,8:21.0,A. Wiggins misses 3-pt jump shot from 25 ft,,2,8
20,1,8:20.0,,Defensive rebound by B. Biyombo,2,8
21,1,8:03.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 17 ft,2,8
22,1,8:03.0,,Offensive rebound by Team,2,8
23,1,8:03.0,Loose ball foul by G. Dieng (drawn by B. Biyombo),,2,8
24,1,7:56.0,,C. Zeller makes 2-pt layup at rim (assist by G. Henderson),2,10
25,1,7:41.0,G. Dieng misses 2-pt jump shot from 17 ft,,2,10
26,1,7:40.0,,Defensive rebound by G. Henderson,2,10
27,1,7:31.0,,Turnover by G. Henderson (bad pass; steal by R. Hummel),2,10
28,1,7:26.0,M. Williams makes 2-pt jump shot from 16 ft,,4,10
29,1,7:06.0,,Turnover by B. Roberts (traveling),4,10
30,1,6:49.0,T. Young makes 2-pt jump shot from 13 ft (assist by M. Williams),,6,10
31,1,6:32.0,,B. Roberts makes 2-pt jump shot from 17 ft (assist by G. Henderson),6,12
32,1,6:13.0,M. Williams misses 2-pt jump shot from 21 ft,,6,12
33,1,6:12.0,,Defensive rebound by C. Zeller,6,12
34,1,5:51.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 8 ft,6,12
35,1,5:50.0,Defensive rebound by G. Dieng,,6,12
36,1,5:42.0,T. Young misses 2-pt layup from 1 ft,,6,12
37,1,5:41.0,Offensive rebound by T. Young,,6,12
38,1,5:41.0,Personal foul by C. Zeller (drawn by T. Young),,6,12
39,1,5:25.0,Shooting foul by B. Biyombo (drawn by G. Dieng),,6,12
40,1,5:25.0,G. Dieng makes free throw 1 of 2,,7,12
41,1,5:25.0,,M. Williams enters the game for C. Zeller,7,12
42,1,5:25.0,,L. Stephenson enters the game for G. Henderson,7,12
43,1,5:25.0,G. Dieng makes free throw 2 of 2,,8,12
44,1,5:03.0,,B. Biyombo makes 2-pt dunk at rim (assist by L. Stephenson),8,14
45,1,4:46.0,Shooting foul by M. Williams (drawn by M. Williams),,8,14
46,1,4:46.0,M. Williams makes free throw 1 of 2,,9,14
47,1,4:46.0,M. Williams makes free throw 2 of 2,,10,14
48,1,4:20.0,,B. Roberts misses 2-pt layup at rim,10,14
49,1,4:18.0,Defensive rebound by R. Hummel,,10,14
50,1,4:12.0,T. Young misses 2-pt layup from 2 ft (block by L. Stephenson),,10,14
51,1,4:10.0,,Defensive rebound by M. Williams,10,14
52,1,4:01.0,,M. Williams makes 2-pt jump shot from 20 ft (assist by L. Stephenson),10,16
