,QUARTER,TIME_REMAINING,BOSTON_ACTION,ORLANDO_ACTION,BOSTON_SCORE,ORLANDO_SCORE
0,1,11:44.0,J. Green misses 2-pt jump shot from 20 ft,,0,0
1,1,11:44.0,,Defensive rebound by N. Vučević,0,0
2,1,11:22.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by N. Vučević),0,3
3,1,11:06.0,A. Bradley misses 3-pt jump shot from 25 ft,,0,3
4,1,11:05.0,,Defensive rebound by K. O'Quinn,0,3
5,1,10:55.0,,K. O'Quinn misses 3-pt jump shot from 25 ft,0,3
6,1,10:54.0,Defensive rebound by T. Zeller,,0,3
7,1,10:42.0,Shooting foul by K. O'Quinn (drawn by T. Zeller),,0,3
8,1,10:42.0,T. Zeller makes free throw 1 of 2,,1,3
9,1,10:42.0,T. Zeller makes free throw 2 of 2,,2,3
10,1,10:28.0,,N. Vučević makes 2-pt jump shot from 16 ft (assist by E. Payton),2,5
11,1,10:17.0,A. Bradley misses 2-pt jump shot from 17 ft,,2,5
12,1,10:15.0,Offensive rebound by T. Zeller,,2,5
13,1,10:13.0,T. Zeller misses 2-pt layup from 1 ft,,2,5
14,1,10:11.0,,Defensive rebound by N. Vučević,2,5
15,1,9:51.0,,V. Oladipo misses 2-pt jump shot from 20 ft,2,5
16,1,9:49.0,Defensive rebound by J. Nelson,,2,5
17,1,9:43.0,J. Nelson misses 3-pt jump shot from 27 ft,,2,5
18,1,9:42.0,,Defensive rebound by T. Harris,2,5
19,1,9:23.0,,N. Vučević makes 2-pt hook shot from 7 ft (assist by E. Payton),2,7
20,1,9:02.0,J. Sullinger misses 2-pt jump shot from 10 ft,,2,7
21,1,9:01.0,,Defensive rebound by N. Vučević,2,7
22,1,8:40.0,,E. Payton misses 2-pt jump shot from 19 ft,2,7
23,1,8:39.0,Defensive rebound by J. Sullinger,,2,7
24,1,8:28.0,J. Green misses 3-pt jump shot from 25 ft,,2,7
25,1,8:27.0,,Defensive rebound by K. O'Quinn,2,7
26,1,8:07.0,,T. Harris misses 2-pt jump shot from 3 ft,2,7
27,1,8:05.0,,Offensive rebound by K. O'Quinn,2,7
28,1,8:02.0,,T. Harris makes 2-pt layup from 1 ft (assist by N. Vučević),2,9
29,1,7:43.0,J. Sullinger misses 2-pt jump shot from 22 ft,,2,9
30,1,7:41.0,Offensive rebound by J. Nelson,,2,9
31,1,7:27.0,J. Sullinger misses 2-pt jump shot from 5 ft,,2,9
32,1,7:26.0,Offensive rebound by Team,,2,9
33,1,7:17.0,J. Sullinger misses 3-pt jump shot from 24 ft,,2,9
34,1,7:15.0,,Defensive rebound by V. Oladipo,2,9
35,1,7:07.0,,Personal block foul by J. Nelson (drawn by T. Harris),2,9
36,1,7:02.0,,V. Oladipo misses 2-pt jump shot from 17 ft,2,9
37,1,7:00.0,Defensive rebound by T. Zeller,,2,9
38,1,6:47.0,,Offensive charge foul by J. Sullinger (drawn by V. Oladipo),2,9
39,1,6:47.0,Turnover by J. Sullinger (offensive foul),,2,9
40,1,6:47.0,,Orlando full timeout,2,9
41,1,6:37.0,,K. O'Quinn makes 3-pt jump shot from 23 ft (assist by V. Oladipo),2,12
42,1,6:26.0,,Violation by V. Oladipo (kicked ball),2,12
43,1,6:26.0,E. Turner enters the game for J. Nelson,,2,12
44,1,6:26.0,K. Olynyk enters the game for J. Sullinger,,2,12
45,1,6:19.0,A. Bradley makes 2-pt jump shot from 20 ft (assist by E. Turner),,4,12
46,1,6:06.0,,Turnover by E. Payton (bad pass; steal by E. Turner),4,12
47,1,6:02.0,Turnover by E. Turner (bad pass; steal by K. O'Quinn),,4,12
48,1,5:58.0,,N. Vučević makes 2-pt dunk at rim (assist by T. Harris),4,14
49,1,5:32.0,A. Bradley misses 2-pt jump shot from 18 ft,,4,14
50,1,5:31.0,,Defensive rebound by T. Harris,4,14
51,1,5:20.0,,Shooting foul by T. Zeller (drawn by N. Vučević),4,14
52,1,5:20.0,,N. Vučević makes free throw 1 of 2,4,15
53,1,5:20.0,,C. Frye enters the game for K. O'Quinn,4,15
54,1,5:20.0,,E. Fournier enters the game for E. Payton,4,15
55,1,5:20.0,,N. Vučević makes free throw 2 of 2,4,16
56,1,5:03.0,E. Turner misses 2-pt jump shot from 10 ft,,4,16
57,1,5:02.0,,Defensive rebound by N. Vučević,4,16
58,1,4:49.0,,E. Fournier misses 3-pt jump shot from 22 ft,4,16
59,1,4:47.0,Defensive rebound by K. Olynyk,,4,16
60,1,4:41.0,J. Green misses 2-pt jump shot from 7 ft,,4,16
61,1,4:41.0,,Defensive rebound by Team,4,16
62,1,4:41.0,M. Smart enters the game for J. Green,,4,16
63,1,4:19.0,,N. Vučević misses 2-pt jump shot from 18 ft,4,16
64,1,4:17.0,Defensive rebound by A. Bradley,,4,16
65,1,4:08.0,T. Zeller misses 2-pt jump shot from 17 ft,,4,16
66,1,4:07.0,,Defensive rebound by V. Oladipo,4,16
67,1,3:57.0,,V. Oladipo makes 2-pt jump shot from 20 ft,4,18
68,1,3:43.0,Turnover by A. Bradley (lost ball; steal by V. Oladipo),,4,18
69,1,3:40.0,,V. Oladipo makes 2-pt dunk at rim (assist by T. Harris),4,20
70,1,3:39.0,Boston full timeout,,4,20
71,1,3:39.0,B. Wright enters the game for T. Zeller,,4,20
72,1,3:39.0,,B. Gordon enters the game for T. Harris,4,20
73,1,3:25.0,Shooting foul by C. Frye (drawn by M. Smart),,4,20
74,1,3:25.0,M. Smart makes free throw 1 of 2,,5,20
75,1,3:25.0,M. Smart misses free throw 2 of 2,,5,20
76,1,3:24.0,,Defensive rebound by N. Vučević,5,20
77,1,3:11.0,,N. Vučević misses 2-pt jump shot from 3 ft (block by B. Wright),5,20
78,1,3:09.0,,Offensive rebound by N. Vučević,5,20
79,1,3:07.0,,N. Vučević makes 2-pt layup from 1 ft,5,22
80,1,2:44.0,K. Olynyk misses 2-pt jump shot from 13 ft,,5,22
81,1,2:43.0,,Defensive rebound by B. Gordon,5,22
82,1,2:35.0,Offensive charge foul by N. Vučević (drawn by M. Smart),,5,22
83,1,2:35.0,,Turnover by N. Vučević (offensive foul),5,22
84,1,2:35.0,P. Pressey enters the game for A. Bradley,,5,22
85,1,2:35.0,,D. Dedmon enters the game for N. Vučević,5,22
86,1,2:35.0,,E. Payton enters the game for V. Oladipo,5,22
87,1,2:16.0,K. Olynyk misses 2-pt jump shot from 14 ft,,5,22
88,1,2:15.0,,Defensive rebound by Team,5,22
89,1,2:04.0,,Shooting block foul by K. Olynyk (drawn by E. Fournier),5,22
90,1,2:04.0,,E. Fournier makes free throw 1 of 2,5,23
91,1,2:04.0,,E. Fournier makes free throw 2 of 2,5,24
92,1,1:55.0,Shooting foul by B. Gordon (drawn by M. Smart),,5,24
93,1,1:55.0,M. Smart makes free throw 1 of 3,,6,24
94,1,1:55.0,M. Smart makes free throw 2 of 3,,7,24
95,1,1:55.0,M. Smart misses free throw 3 of 3,,7,24
96,1,1:53.0,Offensive rebound by M. Smart,,7,24
97,1,1:39.0,K. Olynyk makes 2-pt layup from 2 ft (assist by B. Wright),,9,24
98,1,1:21.0,,B. Gordon makes 2-pt jump shot from 8 ft,9,26
99,1,1:01.0,B. Wright misses 2-pt hook shot from 3 ft,,9,26
100,1,1:00.0,Offensive rebound by M. Smart,,9,26
101,1,0:59.0,Shooting foul by E. Payton (drawn by M. Smart),,9,26
