,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MIAMI_ACTION,CHARLOTTE_SCORE,MIAMI_SCORE
0,1,11:43.0,,Turnover by C. Bosh (bad pass; steal by A. Jefferson),0,0
1,1,11:28.0,A. Jefferson makes 2-pt jump shot from 3 ft (assist by G. Henderson),,2,0
2,1,11:28.0,,Violation by C. Bosh (def goaltending),2,0
3,1,11:11.0,,C. Bosh makes 2-pt hook shot from 8 ft,2,2
4,1,10:56.0,A. Jefferson makes 2-pt jump shot from 8 ft,,4,2
5,1,10:44.0,,C. Bosh misses 2-pt jump shot from 14 ft,4,2
6,1,10:43.0,Defensive rebound by L. Stephenson,,4,2
7,1,10:36.0,Turnover by K. Walker (lost ball; steal by S. Brown),,4,2
8,1,10:17.0,,M. Chalmers makes 2-pt jump shot from 20 ft,4,4
9,1,10:02.0,L. Stephenson misses 2-pt layup from 2 ft (block by M. Chalmers),,4,4
10,1,10:01.0,,Defensive rebound by L. Deng,4,4
11,1,9:55.0,,M. Chalmers makes 2-pt layup at rim (assist by L. Deng),4,6
12,1,9:34.0,K. Walker makes 2-pt jump shot from 8 ft,,6,6
13,1,9:20.0,,L. Deng misses 2-pt layup from 1 ft,6,6
14,1,9:19.0,Defensive rebound by A. Jefferson,,6,6
15,1,9:09.0,K. Walker misses 3-pt jump shot from 24 ft,,6,6
16,1,9:08.0,,Defensive rebound by S. Williams,6,6
17,1,8:59.0,,Personal foul by K. Walker (drawn by S. Brown),6,6
18,1,8:48.0,,C. Bosh misses 2-pt jump shot from 18 ft,6,6
19,1,8:47.0,Defensive rebound by L. Stephenson,,6,6
20,1,8:36.0,G. Henderson makes 2-pt jump shot from 19 ft,,8,6
21,1,8:24.0,,Personal foul by G. Henderson (drawn by L. Deng),8,6
22,1,8:10.0,,M. Chalmers makes 2-pt jump shot from 7 ft,8,8
23,1,7:56.0,Shooting foul by S. Williams (drawn by A. Jefferson),,8,8
24,1,7:56.0,A. Jefferson misses free throw 1 of 2,,8,8
25,1,7:56.0,Offensive rebound by Team,,8,8
26,1,7:56.0,A. Jefferson makes free throw 2 of 2,,9,8
27,1,7:43.0,,L. Deng makes 2-pt jump shot from 20 ft (assist by M. Chalmers),9,10
28,1,7:27.0,L. Stephenson misses 3-pt jump shot from 24 ft,,9,10
29,1,7:26.0,,Defensive rebound by C. Bosh,9,10
30,1,7:20.0,,L. Deng makes 2-pt layup from 1 ft (assist by M. Chalmers),9,12
31,1,7:15.0,Charlotte full timeout,,9,12
32,1,7:15.0,,S. Napier enters the game for M. Chalmers,9,12
33,1,7:08.0,M. Williams misses 2-pt jump shot from 21 ft,,9,12
34,1,7:07.0,,Defensive rebound by S. Williams,9,12
35,1,6:56.0,,Offensive foul by S. Napier (drawn by K. Walker),9,12
36,1,6:56.0,,Turnover by S. Napier (offensive foul),9,12
37,1,6:43.0,G. Henderson misses 3-pt jump shot from 23 ft,,9,12
38,1,6:42.0,,Defensive rebound by S. Williams,9,12
39,1,6:30.0,,S. Brown misses 2-pt jump shot from 19 ft,9,12
40,1,6:29.0,Defensive rebound by A. Jefferson,,9,12
41,1,6:15.0,M. Williams makes 2-pt jump shot from 20 ft (assist by G. Henderson),,11,12
42,1,5:55.0,,S. Napier misses 2-pt jump shot from 17 ft,11,12
43,1,5:54.0,Defensive rebound by G. Henderson,,11,12
44,1,5:43.0,L. Stephenson misses 3-pt jump shot from 25 ft,,11,12
45,1,5:42.0,,Defensive rebound by S. Williams,11,12
46,1,5:31.0,,L. Deng makes 2-pt layup at rim,11,14
47,1,5:10.0,G. Henderson misses 2-pt jump shot from 18 ft,,11,14
48,1,5:09.0,,Defensive rebound by Team,11,14
49,1,5:09.0,C. Zeller enters the game for M. Williams,,11,14
50,1,4:56.0,,L. Deng makes 2-pt jump shot from 12 ft,11,16
51,1,4:42.0,G. Henderson makes 3-pt jump shot from 22 ft (assist by L. Stephenson),,14,16
52,1,4:34.0,,Miami full timeout,14,16
53,1,4:34.0,,C. Andersen enters the game for L. Deng,14,16
54,1,4:34.0,,M. Chalmers enters the game for S. Williams,14,16
55,1,4:34.0,G. Neal enters the game for L. Stephenson,,14,16
56,1,4:22.0,,Turnover by C. Bosh (traveling),14,16
57,1,4:04.0,Turnover by G. Neal (bad pass; steal by S. Napier),,14,16
58,1,3:54.0,,C. Bosh misses 3-pt jump shot from 25 ft,14,16
59,1,3:53.0,Defensive rebound by G. Neal,,14,16
60,1,3:43.0,A. Jefferson makes 2-pt layup at rim (assist by K. Walker),,16,16
61,1,3:24.0,B. Roberts enters the game for G. Henderson,,16,16
62,1,3:24.0,,J. McRoberts enters the game for C. Bosh,16,16
