,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,DETROIT_ACTION,SACRAMENTO_SCORE,DETROIT_SCORE
0,1,11:41.0,,Turnover by G. Monroe (traveling),0,0
1,1,11:24.0,D. Collison makes 2-pt jump shot from 16 ft (assist by D. Cousins),,2,0
2,1,11:15.0,,B. Jennings misses 2-pt layup at rim,2,0
3,1,11:12.0,Defensive rebound by R. Gay,,2,0
4,1,11:10.0,Turnover by R. Gay (bad pass; steal by K. Caldwell-Pope),,2,0
5,1,11:07.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by B. Jennings),2,2
6,1,10:56.0,D. Cousins misses 2-pt jump shot from 15 ft,,2,2
7,1,10:55.0,,Defensive rebound by G. Monroe,2,2
8,1,10:47.0,,K. Singler misses 2-pt jump shot from 4 ft,2,2
9,1,10:44.0,,Offensive rebound by A. Drummond,2,2
10,1,10:43.0,,A. Drummond misses 2-pt tip-in from 1 ft,2,2
11,1,10:42.0,,Offensive rebound by A. Drummond,2,2
12,1,10:41.0,,A. Drummond makes 2-pt layup at rim,2,4
13,1,10:28.0,J. Thompson misses 2-pt layup at rim,,2,4
14,1,10:27.0,,Defensive rebound by A. Drummond,2,4
15,1,10:25.0,,Personal foul by D. Collison (drawn by B. Jennings),2,4
16,1,10:08.0,,G. Monroe misses 2-pt jump shot from 3 ft (block by J. Thompson),2,4
17,1,10:06.0,Defensive rebound by J. Thompson,,2,4
18,1,9:58.0,D. Cousins misses 2-pt jump shot from 18 ft,,2,4
19,1,9:57.0,,Defensive rebound by G. Monroe,2,4
20,1,9:38.0,,A. Drummond misses 2-pt layup from 1 ft,2,4
21,1,9:37.0,Defensive rebound by D. Cousins,,2,4
22,1,9:30.0,Shooting foul by K. Singler (drawn by D. Cousins),,2,4
23,1,9:30.0,D. Cousins makes free throw 1 of 2,,3,4
24,1,9:30.0,D. Cousins makes free throw 2 of 2,,4,4
25,1,9:09.0,,Turnover by K. Caldwell-Pope (bad pass),4,4
26,1,9:01.0,R. Gay makes 2-pt dunk at rim,,6,4
27,1,8:41.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,6,4
28,1,8:40.0,Defensive rebound by D. Cousins,,6,4
29,1,8:28.0,J. Thompson makes 2-pt dunk at rim (assist by R. Gay),,8,4
