,QUARTER,TIME_REMAINING,CHICAGO_ACTION,DETROIT_ACTION,CHICAGO_SCORE,DETROIT_SCORE
0,1,11:37.0,,A. Drummond misses 2-pt hook shot from 6 ft,0,0
1,1,11:35.0,Defensive rebound by M. Dunleavy,,0,0
2,1,11:12.0,T. Snell misses 2-pt jump shot from 20 ft,,0,0
3,1,11:11.0,,Defensive rebound by R. Jackson,0,0
4,1,11:06.0,,C. Butler misses 3-pt jump shot from 27 ft,0,0
5,1,11:05.0,,Offensive rebound by A. Drummond,0,0
6,1,11:00.0,,A. Drummond misses 2-pt jump shot from 3 ft,0,0
7,1,10:59.0,,Offensive rebound by A. Drummond,0,0
8,1,10:58.0,,A. Drummond makes 2-pt tip-in at rim,0,2
9,1,10:38.0,P. Gasol misses 2-pt jump shot from 6 ft,,0,2
10,1,10:37.0,,Defensive rebound by A. Drummond,0,2
11,1,10:29.0,,A. Tolliver misses 3-pt jump shot from 26 ft,0,2
12,1,10:28.0,Defensive rebound by J. Noah,,0,2
13,1,10:19.0,T. Snell makes 2-pt jump shot from 13 ft,,2,2
14,1,9:50.0,,R. Jackson makes 3-pt jump shot from 25 ft,2,5
15,1,9:36.0,Turnover by M. Dunleavy (lost ball; steal by A. Drummond),,2,5
16,1,9:35.0,,Personal foul by M. Dunleavy (drawn by R. Jackson),2,5
17,1,9:16.0,,C. Butler misses 2-pt jump shot from 18 ft,2,5
18,1,9:15.0,,Offensive rebound by A. Tolliver,2,5
19,1,9:14.0,,A. Tolliver makes 2-pt tip-in at rim,2,7
20,1,9:02.0,T. Snell misses 2-pt layup from 1 ft,,2,7
21,1,8:59.0,Offensive rebound by J. Noah,,2,7
22,1,8:57.0,J. Noah misses 2-pt layup at rim,,2,7
23,1,8:57.0,,Defensive rebound by C. Butler,2,7
24,1,8:49.0,,C. Butler misses 3-pt jump shot from 27 ft,2,7
25,1,8:48.0,Defensive rebound by M. Dunleavy,,2,7
26,1,8:33.0,A. Brooks misses 2-pt jump shot from 13 ft,,2,7
27,1,8:32.0,,Defensive rebound by C. Butler,2,7
28,1,8:29.0,,A. Drummond makes 2-pt dunk at rim (assist by R. Jackson),2,9
29,1,8:23.0,Chicago full timeout,,2,9
30,1,8:09.0,M. Dunleavy makes 2-pt jump shot from 20 ft (assist by A. Brooks),,4,9
31,1,7:54.0,,K. Caldwell-Pope makes 2-pt jump shot from 4 ft (assist by A. Drummond),4,11
32,1,7:38.0,Turnover by M. Dunleavy (bad pass; steal by R. Jackson),,4,11
33,1,7:34.0,,A. Drummond makes 2-pt dunk at rim (assist by R. Jackson),4,13
34,1,7:06.0,M. Dunleavy makes 2-pt layup at rim,,6,13
35,1,7:01.0,,Turnover by R. Jackson (bad pass; steal by M. Dunleavy),6,13
36,1,6:55.0,M. Dunleavy misses 3-pt jump shot from 24 ft,,6,13
37,1,6:54.0,,Defensive rebound by A. Drummond,6,13
