,QUARTER,TIME_REMAINING,DETROIT_ACTION,UTAH_ACTION,DETROIT_SCORE,UTAH_SCORE
0,1,11:41.0,,D. Favors makes 2-pt layup at rim,0,2
1,1,11:14.0,C. Butler misses 3-pt jump shot from 26 ft,,0,2
2,1,11:14.0,Offensive rebound by Team,,0,2
3,1,11:14.0,Turnover by Team (shot clock),,0,2
4,1,11:00.0,,Shooting foul by A. Drummond (drawn by D. Favors),0,2
5,1,11:00.0,,D. Favors makes free throw 1 of 2,0,3
6,1,11:00.0,,D. Favors misses free throw 2 of 2,0,3
7,1,10:58.0,Defensive rebound by R. Jackson,,0,3
8,1,10:46.0,R. Jackson misses 2-pt jump shot from 18 ft,,0,3
9,1,10:45.0,,Defensive rebound by G. Hayward,0,3
10,1,10:38.0,,Turnover by G. Hayward (back court),0,3
11,1,10:27.0,K. Caldwell-Pope misses 2-pt jump shot from 19 ft,,0,3
12,1,10:26.0,,Defensive rebound by R. Gobert,0,3
13,1,10:05.0,,Turnover by R. Gobert (step out of bounds),0,3
14,1,9:45.0,R. Jackson misses 2-pt jump shot from 8 ft,,0,3
15,1,9:42.0,,Defensive rebound by R. Gobert,0,3
16,1,9:26.0,,G. Hayward makes 2-pt jump shot from 9 ft,0,5
17,1,9:03.0,G. Monroe misses 2-pt jump shot from 4 ft (block by D. Favors),,0,5
18,1,9:02.0,Offensive rebound by G. Monroe,,0,5
19,1,9:02.0,,Violation by R. Gobert (def goaltending),0,5
20,1,8:53.0,G. Monroe makes 2-pt layup at rim,,2,5
21,1,8:47.0,,D. Exum misses 2-pt jump shot from 5 ft,2,5
22,1,8:46.0,Defensive rebound by Team,,2,5
23,1,8:34.0,C. Butler makes 2-pt jump shot from 17 ft (assist by K. Caldwell-Pope),,4,5
24,1,8:12.0,,R. Hood misses 3-pt jump shot from 24 ft,4,5
25,1,8:10.0,Defensive rebound by G. Monroe,,4,5
26,1,8:00.0,G. Monroe misses 2-pt jump shot from 6 ft,,4,5
27,1,7:58.0,,Defensive rebound by R. Gobert,4,5
28,1,7:42.0,,R. Hood misses 3-pt jump shot from 23 ft,4,5
29,1,7:39.0,,Offensive rebound by R. Gobert,4,5
30,1,7:34.0,,R. Gobert makes 2-pt dunk at rim (assist by R. Hood),4,7
31,1,7:27.0,Detroit full timeout,,4,7
32,1,7:19.0,A. Drummond makes 2-pt hook shot from 9 ft,,6,7
33,1,7:03.0,,G. Hayward misses 2-pt jump shot from 21 ft,6,7
34,1,7:01.0,Defensive rebound by G. Monroe,,6,7
35,1,6:57.0,Turnover by R. Jackson (bad pass; steal by D. Favors),,6,7
36,1,6:48.0,,R. Gobert makes 2-pt layup from 2 ft (assist by D. Exum),6,9
37,1,6:33.0,C. Butler misses 2-pt jump shot from 19 ft,,6,9
38,1,6:31.0,,Defensive rebound by D. Exum,6,9
39,1,6:28.0,,Shooting foul by C. Butler (drawn by G. Hayward),6,9
40,1,6:28.0,,G. Hayward misses free throw 1 of 2,6,9
41,1,6:28.0,,Offensive rebound by Team,6,9
42,1,6:28.0,,G. Hayward makes free throw 2 of 2,6,10
43,1,6:16.0,G. Monroe misses 2-pt jump shot from 6 ft,,6,10
44,1,6:15.0,,Defensive rebound by Team,6,10
45,1,5:54.0,,D. Favors misses 2-pt layup from 2 ft (block by G. Monroe),6,10
46,1,5:54.0,Defensive rebound by Team,,6,10
47,1,5:39.0,Shooting foul by R. Hood (drawn by A. Drummond),,6,10
48,1,5:39.0,A. Drummond misses free throw 1 of 2,,6,10
49,1,5:39.0,Offensive rebound by Team,,6,10
50,1,5:39.0,T. Prince enters the game for C. Butler,,6,10
51,1,5:39.0,A. Drummond misses free throw 2 of 2,,6,10
52,1,5:38.0,,Defensive rebound by R. Gobert,6,10
53,1,5:26.0,,G. Hayward misses 2-pt jump shot from 4 ft,6,10
54,1,5:24.0,Defensive rebound by A. Drummond,,6,10
55,1,5:07.0,R. Jackson makes 2-pt jump shot from 9 ft,,8,10
56,1,4:53.0,,D. Favors misses 2-pt jump shot from 3 ft (block by G. Monroe),8,10
57,1,4:51.0,Defensive rebound by G. Monroe,,8,10
58,1,4:47.0,A. Drummond misses 2-pt layup from 3 ft,,8,10
59,1,4:45.0,Offensive rebound by A. Drummond,,8,10
60,1,4:45.0,A. Drummond makes 2-pt tip-in from 1 ft,,10,10
61,1,4:20.0,,Turnover by Team (shot clock),10,10
62,1,4:20.0,,E. Millsap enters the game for R. Hood,10,10
63,1,3:58.0,T. Prince misses 2-pt jump shot from 17 ft,,10,10
64,1,3:54.0,Offensive rebound by G. Monroe,,10,10
65,1,3:53.0,Personal foul by D. Favors (drawn by G. Monroe),,10,10
66,1,3:53.0,J. Meeks enters the game for K. Caldwell-Pope,,10,10
67,1,3:37.0,Offensive foul by R. Jackson (drawn by D. Exum),,10,10
68,1,3:37.0,Turnover by R. Jackson (offensive foul),,10,10
69,1,3:37.0,,T. Burke enters the game for D. Exum,10,10
70,1,3:23.0,,E. Millsap makes 3-pt jump shot from 24 ft (assist by G. Hayward),10,13
71,1,3:06.0,Shooting foul by E. Millsap (drawn by J. Meeks),,10,13
72,1,3:06.0,J. Meeks makes free throw 1 of 2,,11,13
73,1,3:06.0,A. Tolliver enters the game for G. Monroe,,11,13
74,1,3:06.0,,T. Booker enters the game for D. Favors,11,13
75,1,3:06.0,J. Meeks misses free throw 2 of 2,,11,13
76,1,3:04.0,,Defensive rebound by T. Booker,11,13
77,1,2:48.0,,Turnover by E. Millsap (lost ball; steal by J. Meeks),11,13
78,1,2:43.0,J. Meeks makes 2-pt layup from 2 ft (assist by A. Tolliver),,13,13
79,1,2:25.0,,E. Millsap misses 2-pt layup from 2 ft,13,13
80,1,2:22.0,,Offensive rebound by E. Millsap,13,13
81,1,2:22.0,,E. Millsap makes 2-pt layup from 1 ft,13,15
82,1,2:10.0,Offensive foul by A. Drummond (drawn by R. Gobert),,13,15
83,1,2:10.0,Turnover by A. Drummond (offensive foul),,13,15
84,1,2:10.0,,Utah full timeout,13,15
85,1,2:10.0,S. Dinwiddie enters the game for A. Drummond,,13,15
86,1,2:10.0,J. Anthony enters the game for R. Jackson,,13,15
87,1,1:56.0,,T. Burke makes 3-pt jump shot from 24 ft (assist by G. Hayward),13,18
88,1,1:36.0,A. Tolliver makes 2-pt jump shot from 10 ft (assist by J. Meeks),,15,18
89,1,1:24.0,,Turnover by G. Hayward (bad pass),15,18
90,1,1:24.0,,J. Ingles enters the game for G. Hayward,15,18
91,1,1:07.0,A. Tolliver makes 2-pt jump shot from 18 ft (assist by T. Prince),,17,18
92,1,0:48.0,,E. Millsap misses 2-pt jump shot from 5 ft,17,18
