,QUARTER,TIME_REMAINING,DALLAS_ACTION,SAN ANTONIO_ACTION,DALLAS_SCORE,SAN ANTONIO_SCORE
0,1,11:37.0,,K. Leonard makes 3-pt jump shot from 23 ft (assist by T. Splitter),0,3
1,1,11:18.0,D. Nowitzki misses 2-pt jump shot from 15 ft,,0,3
2,1,11:17.0,,Defensive rebound by T. Parker,0,3
3,1,11:02.0,,T. Splitter misses 2-pt jump shot from 7 ft,0,3
4,1,11:01.0,Defensive rebound by C. Parsons,,0,3
5,1,10:51.0,R. Rondo misses 2-pt jump shot from 20 ft,,0,3
6,1,10:50.0,,Defensive rebound by T. Splitter,0,3
7,1,10:39.0,,D. Green misses 3-pt jump shot from 23 ft,0,3
8,1,10:39.0,Defensive rebound by D. Nowitzki,,0,3
9,1,10:25.0,M. Ellis misses 3-pt jump shot from 23 ft,,0,3
10,1,10:22.0,Offensive rebound by T. Chandler,,0,3
11,1,10:19.0,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by R. Rondo),,3,3
12,1,9:58.0,,T. Parker misses 2-pt jump shot from 16 ft,3,3
13,1,9:57.0,,Offensive rebound by T. Splitter,3,3
14,1,9:56.0,,T. Splitter makes 2-pt tip-in from 1 ft,3,5
15,1,9:42.0,C. Parsons makes 2-pt dunk at rim (assist by D. Nowitzki),,5,5
16,1,9:23.0,,T. Parker misses 2-pt jump shot from 3 ft,5,5
17,1,9:22.0,Defensive rebound by T. Chandler,,5,5
18,1,9:18.0,Turnover by T. Chandler (bad pass),,5,5
19,1,9:01.0,,T. Duncan makes 2-pt jump shot from 17 ft (assist by K. Leonard),5,7
20,1,8:50.0,T. Chandler misses 2-pt jump shot from 15 ft,,5,7
21,1,8:49.0,,Defensive rebound by T. Duncan,5,7
22,1,8:34.0,,D. Green misses 3-pt jump shot from 24 ft,5,7
23,1,8:32.0,,Offensive rebound by T. Duncan,5,7
24,1,8:28.0,,T. Splitter makes 2-pt layup from 2 ft (assist by D. Green),5,9
25,1,8:15.0,D. Nowitzki makes 2-pt jump shot from 12 ft (assist by T. Chandler),,7,9
26,1,7:58.0,,K. Leonard misses 2-pt jump shot from 3 ft,7,9
27,1,7:57.0,Defensive rebound by T. Chandler,,7,9
28,1,7:52.0,C. Parsons makes 2-pt layup from 2 ft,,9,9
29,1,7:35.0,,Personal foul by D. Nowitzki (drawn by T. Splitter),9,9
30,1,7:25.0,,T. Duncan misses 2-pt jump shot from 16 ft,9,9
31,1,7:24.0,Defensive rebound by C. Parsons,,9,9
32,1,7:19.0,C. Parsons misses 2-pt layup from 1 ft,,9,9
33,1,7:18.0,,Defensive rebound by K. Leonard,9,9
34,1,7:08.0,,T. Parker misses 2-pt layup from 1 ft,9,9
35,1,7:07.0,Defensive rebound by D. Nowitzki,,9,9
36,1,6:59.0,C. Parsons misses 3-pt jump shot from 24 ft,,9,9
37,1,6:58.0,,Defensive rebound by T. Parker,9,9
38,1,6:44.0,,Turnover by K. Leonard (lost ball; steal by C. Parsons),9,9
39,1,6:43.0,Personal foul by T. Parker (drawn by M. Ellis),,9,9
40,1,6:43.0,,B. Diaw enters the game for T. Splitter,9,9
41,1,6:35.0,Offensive foul by T. Chandler (drawn by T. Parker),,9,9
42,1,6:35.0,Turnover by T. Chandler (offensive foul),,9,9
43,1,6:35.0,A. Aminu enters the game for D. Nowitzki,,9,9
44,1,6:18.0,,T. Parker makes 2-pt jump shot from 8 ft (assist by T. Duncan),9,11
45,1,6:08.0,A. Aminu misses 3-pt jump shot from 24 ft,,9,11
46,1,6:07.0,,Defensive rebound by T. Duncan,9,11
47,1,5:58.0,,T. Duncan makes 2-pt layup from 1 ft (assist by B. Diaw),9,13
48,1,5:58.0,Dallas full timeout,,9,13
49,1,5:58.0,,M. Belinelli enters the game for D. Green,9,13
50,1,5:58.0,A. Stoudemire enters the game for T. Chandler,,9,13
51,1,5:51.0,Personal foul by T. Duncan (drawn by A. Stoudemire),,9,13
52,1,5:42.0,C. Parsons misses 2-pt jump shot from 5 ft,,9,13
53,1,5:40.0,,Defensive rebound by M. Belinelli,9,13
54,1,5:34.0,,K. Leonard makes 2-pt layup at rim (assist by T. Parker),9,15
55,1,5:17.0,R. Rondo makes 2-pt layup from 2 ft,,11,15
56,1,5:05.0,,T. Parker misses 2-pt jump shot from 3 ft,11,15
57,1,5:04.0,,Offensive rebound by Team,11,15
58,1,5:04.0,D. Harris enters the game for R. Rondo,,11,15
59,1,5:00.0,,Turnover by K. Leonard (lost ball; steal by C. Parsons),11,15
60,1,4:40.0,M. Ellis makes 2-pt jump shot from 8 ft,,13,15
61,1,4:32.0,,Shooting foul by A. Stoudemire (drawn by T. Duncan),13,15
62,1,4:32.0,,T. Duncan makes free throw 1 of 2,13,16
63,1,4:32.0,,T. Duncan makes free throw 2 of 2,13,17
64,1,4:18.0,A. Stoudemire makes 2-pt jump shot from 4 ft,,15,17
65,1,4:02.0,,M. Belinelli makes 2-pt jump shot from 10 ft (assist by B. Diaw),15,19
66,1,3:45.0,A. Aminu makes 3-pt jump shot from 24 ft (assist by M. Ellis),,18,19
67,1,3:29.0,,Shooting foul by C. Parsons (drawn by K. Leonard),18,19
68,1,3:29.0,,K. Leonard makes free throw 1 of 2,18,20
69,1,3:29.0,,P. Mills enters the game for T. Parker,18,20
70,1,3:29.0,,K. Leonard makes free throw 2 of 2,18,21
71,1,3:08.0,M. Ellis misses 3-pt jump shot from 26 ft,,18,21
72,1,3:06.0,Offensive rebound by A. Aminu,,18,21
73,1,3:02.0,D. Harris misses 3-pt jump shot from 24 ft,,18,21
74,1,3:01.0,,Defensive rebound by T. Duncan,18,21
75,1,2:45.0,,M. Belinelli misses 3-pt jump shot from 24 ft,18,21
76,1,2:44.0,,Offensive rebound by B. Diaw,18,21
77,1,2:34.0,,M. Belinelli makes 2-pt jump shot from 21 ft,18,23
78,1,2:17.0,M. Ellis misses 3-pt jump shot from 25 ft,,18,23
79,1,2:16.0,,Defensive rebound by M. Belinelli,18,23
80,1,2:09.0,,San Antonio full timeout,18,23
81,1,2:09.0,,T. Splitter enters the game for T. Duncan,18,23
82,1,2:01.0,,M. Belinelli misses 3-pt jump shot from 25 ft,18,23
83,1,2:00.0,Defensive rebound by A. Stoudemire,,18,23
84,1,1:52.0,Turnover by D. Harris (bad pass),,18,23
85,1,1:37.0,,B. Diaw makes 2-pt hook shot from 6 ft,18,25
86,1,1:31.0,Personal foul by T. Splitter (drawn by M. Ellis),,18,25
87,1,1:31.0,R. Felton enters the game for C. Parsons,,18,25
88,1,1:31.0,D. Nowitzki enters the game for M. Ellis,,18,25
89,1,1:20.0,D. Nowitzki misses 2-pt jump shot from 21 ft,,18,25
90,1,1:18.0,Offensive rebound by A. Aminu,,18,25
91,1,1:16.0,,M. Ginóbili enters the game for K. Leonard,18,25
92,1,1:09.0,A. Stoudemire misses 2-pt jump shot from 20 ft,,18,25
93,1,1:07.0,Offensive rebound by A. Aminu,,18,25
94,1,0:51.0,A. Stoudemire misses 2-pt jump shot from 8 ft,,18,25
95,1,0:50.0,,Defensive rebound by M. Ginóbili,18,25
96,1,0:36.0,,Personal foul by A. Stoudemire (drawn by T. Splitter),18,25
97,1,0:36.0,T. Chandler enters the game for A. Stoudemire,,18,25
98,1,0:26.0,,B. Diaw makes 3-pt jump shot from 25 ft (assist by M. Ginóbili),18,28
99,1,0:01.0,R. Felton misses 3-pt jump shot from 22 ft,,18,28
100,1,0:00.0,Offensive rebound by A. Aminu,,18,28
101,2,11:41.0,Turnover by D. Harris (bad pass; steal by T. Splitter),,18,28
102,2,11:35.0,,Turnover by P. Mills (traveling),18,28
103,2,11:26.0,Turnover by R. Felton (lost ball),,18,28
104,2,11:04.0,,M. Ginóbili makes 2-pt layup from 1 ft,18,30
105,2,10:44.0,A. Aminu misses 3-pt jump shot from 24 ft,,18,30
106,2,10:43.0,,Defensive rebound by T. Splitter,18,30
107,2,10:27.0,,P. Mills misses 2-pt jump shot from 20 ft,18,30
108,2,10:26.0,Defensive rebound by Team,,18,30
109,2,10:26.0,R. Jefferson enters the game for A. Aminu,,18,30
110,2,10:26.0,Violation by Team (delay of game),,18,30
111,2,10:14.0,Personal foul by M. Ginóbili (drawn by D. Nowitzki),,18,30
112,2,10:14.0,,D. Green enters the game for M. Belinelli,18,30
113,2,10:14.0,Turnover by R. Jefferson (bad pass; steal by P. Mills),,18,30
114,2,10:13.0,,Personal foul by R. Felton (drawn by M. Ginóbili),18,30
115,2,10:02.0,,B. Diaw makes 2-pt layup from 2 ft (assist by M. Ginóbili),18,32
116,2,10:02.0,Dallas full timeout,,18,32
117,2,9:46.0,R. Jefferson misses 2-pt jump shot from 3 ft,,18,32
118,2,9:45.0,,Defensive rebound by B. Diaw,18,32
119,2,9:34.0,,B. Diaw makes 2-pt jump shot from 6 ft (assist by M. Ginóbili),18,34
120,2,9:27.0,D. Harris makes 2-pt layup from 1 ft,,20,34
121,2,9:12.0,,Personal foul by R. Jefferson (drawn by M. Ginóbili),20,34
122,2,8:59.0,,B. Diaw misses 3-pt jump shot from 24 ft,20,34
123,2,8:58.0,Defensive rebound by D. Nowitzki,,20,34
124,2,8:40.0,D. Nowitzki misses 2-pt jump shot from 10 ft,,20,34
125,2,8:39.0,,Defensive rebound by D. Green,20,34
126,2,8:30.0,,Shooting foul by D. Nowitzki (drawn by T. Splitter),20,34
127,2,8:30.0,,T. Splitter makes free throw 1 of 2,20,35
128,2,8:30.0,,T. Splitter misses free throw 2 of 2,20,35
129,2,8:29.0,Defensive rebound by R. Jefferson,,20,35
130,2,8:19.0,Personal foul by T. Splitter (drawn by D. Nowitzki),,20,35
131,2,8:19.0,,T. Duncan enters the game for T. Splitter,20,35
132,2,8:05.0,R. Felton makes 3-pt jump shot from 25 ft (assist by D. Nowitzki),,23,35
133,2,7:49.0,,B. Diaw makes 3-pt jump shot from 24 ft (assist by D. Green),23,38
134,2,7:29.0,D. Nowitzki misses 2-pt jump shot from 9 ft,,23,38
135,2,7:28.0,,Defensive rebound by P. Mills,23,38
136,2,7:21.0,,D. Green makes 3-pt jump shot from 22 ft (assist by B. Diaw),23,41
137,2,7:21.0,Dallas full timeout,,23,41
138,2,7:21.0,R. Rondo enters the game for D. Nowitzki,,23,41
139,2,7:21.0,M. Ellis enters the game for D. Harris,,23,41
140,2,7:21.0,C. Villanueva enters the game for R. Felton,,23,41
141,2,7:21.0,C. Parsons enters the game for R. Jefferson,,23,41
142,2,7:21.0,,K. Leonard enters the game for M. Ginóbili,23,41
143,2,7:21.0,,M. Belinelli enters the game for B. Diaw,23,41
144,2,7:07.0,C. Villanueva misses 2-pt layup from 1 ft (block by T. Duncan),,23,41
145,2,7:06.0,,Defensive rebound by D. Green,23,41
146,2,7:01.0,,P. Mills misses 3-pt jump shot from 23 ft,23,41
147,2,7:00.0,Defensive rebound by T. Chandler,,23,41
148,2,6:52.0,C. Villanueva misses 2-pt jump shot from 10 ft,,23,41
149,2,6:51.0,Offensive rebound by C. Villanueva,,23,41
150,2,6:48.0,C. Villanueva misses 2-pt layup at rim,,23,41
151,2,6:47.0,Offensive rebound by C. Villanueva,,23,41
152,2,6:46.0,C. Villanueva makes 2-pt tip-in from 2 ft,,25,41
153,2,6:46.0,,San Antonio full timeout,25,41
154,2,6:46.0,,T. Parker enters the game for P. Mills,25,41
155,2,6:29.0,,D. Green makes 3-pt jump shot from 24 ft (assist by K. Leonard),25,44
156,2,6:19.0,Shooting foul by M. Belinelli (drawn by C. Villanueva),,25,44
157,2,6:19.0,C. Villanueva makes free throw 1 of 2,,26,44
158,2,6:19.0,C. Villanueva makes free throw 2 of 2,,27,44
159,2,5:54.0,,T. Duncan misses 2-pt jump shot from 5 ft,27,44
160,2,5:53.0,Defensive rebound by T. Chandler,,27,44
161,2,5:46.0,M. Ellis makes 2-pt jump shot from 22 ft,,29,44
162,2,5:29.0,,T. Parker makes 2-pt jump shot from 9 ft,29,46
