,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MINNESOTA_ACTION,MILWAUKEE_SCORE,MINNESOTA_SCORE
0,1,11:42.0,L. Sanders misses 2-pt layup at rim,,0,0
1,1,11:41.0,Offensive rebound by L. Sanders,,0,0
2,1,11:41.0,L. Sanders makes 2-pt tip-in at rim,,2,0
3,1,11:29.0,,T. Young misses 2-pt jump shot from 17 ft,2,0
4,1,11:28.0,,Offensive rebound by G. Dieng,2,0
5,1,11:21.0,,C. Brewer misses 2-pt jump shot from 20 ft,2,0
6,1,11:20.0,,Offensive rebound by G. Dieng,2,0
7,1,11:16.0,,G. Dieng misses 2-pt layup from 1 ft (block by L. Sanders),2,0
8,1,11:15.0,Defensive rebound by G. Antetokounmpo,,2,0
9,1,11:10.0,G. Antetokounmpo makes 2-pt layup at rim,,4,0
10,1,10:53.0,,Turnover by A. Wiggins (lost ball; steal by O. Mayo),4,0
11,1,10:50.0,Personal foul by C. Brewer (drawn by G. Antetokounmpo),,4,0
12,1,10:30.0,J. Parker makes 2-pt jump shot from 19 ft,,6,0
13,1,10:14.0,,Turnover by A. Wiggins (lost ball; steal by B. Knight),6,0
14,1,10:09.0,B. Knight misses 2-pt layup at rim,,6,0
15,1,10:08.0,Offensive rebound by G. Antetokounmpo,,6,0
16,1,10:08.0,G. Antetokounmpo makes 2-pt dunk at rim,,8,0
17,1,10:07.0,,Minnesota full timeout,8,0
18,1,9:55.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by T. Young),8,3
19,1,9:39.0,L. Sanders misses 2-pt jump shot from 6 ft,,8,3
20,1,9:38.0,,Defensive rebound by C. Brewer,8,3
21,1,9:28.0,,A. Wiggins misses 2-pt jump shot from 11 ft,8,3
22,1,9:27.0,,Offensive rebound by Z. LaVine,8,3
23,1,9:24.0,,Z. LaVine makes 2-pt layup from 1 ft,8,5
24,1,8:59.0,L. Sanders makes 2-pt hook shot from 3 ft,,10,5
25,1,8:44.0,,A. Wiggins misses 2-pt layup at rim,10,5
26,1,8:43.0,,Offensive rebound by A. Wiggins,10,5
27,1,8:28.0,,C. Brewer makes 2-pt layup from 1 ft (assist by Z. LaVine),10,7
28,1,8:28.0,,Shooting foul by B. Knight (drawn by C. Brewer),10,7
29,1,8:28.0,,C. Brewer misses free throw 1 of 1,10,7
30,1,8:27.0,Defensive rebound by Team,,10,7
31,1,8:19.0,Personal foul by Z. LaVine (drawn by B. Knight),,10,7
32,1,8:03.0,B. Knight misses 2-pt jump shot from 18 ft,,10,7
33,1,8:02.0,,Defensive rebound by Team,10,7
34,1,7:44.0,,C. Brewer misses 3-pt jump shot from 24 ft,10,7
35,1,7:43.0,Defensive rebound by G. Antetokounmpo,,10,7
36,1,7:34.0,Turnover by L. Sanders (bad pass; steal by A. Wiggins),,10,7
37,1,7:31.0,,Shooting foul by G. Antetokounmpo (drawn by A. Wiggins),10,7
38,1,7:31.0,,A. Wiggins misses free throw 1 of 2,10,7
39,1,7:31.0,,Offensive rebound by Team,10,7
40,1,7:31.0,,A. Wiggins makes free throw 2 of 2,10,8
41,1,7:06.0,J. Parker misses 2-pt jump shot from 20 ft,,10,8
42,1,7:05.0,,Defensive rebound by G. Dieng,10,8
43,1,6:55.0,,T. Young misses 2-pt jump shot from 4 ft,10,8
44,1,6:54.0,Defensive rebound by G. Antetokounmpo,,10,8
45,1,6:44.0,J. Parker makes 2-pt dunk at rim (assist by G. Antetokounmpo),,12,8
46,1,6:28.0,,C. Brewer misses 3-pt jump shot from 23 ft,12,8
47,1,6:27.0,Defensive rebound by J. Parker,,12,8
48,1,6:17.0,Turnover by O. Mayo (lost ball),,12,8
49,1,6:02.0,,Z. LaVine misses 2-pt jump shot from 20 ft,12,8
50,1,6:01.0,,Offensive rebound by G. Dieng,12,8
51,1,5:57.0,,A. Wiggins makes 2-pt dunk at rim (assist by C. Brewer),12,10
52,1,5:39.0,,Minnesota full timeout,12,10
53,1,5:36.0,J. Parker misses 2-pt jump shot from 4 ft,,12,10
54,1,5:34.0,Offensive rebound by L. Sanders,,12,10
55,1,5:33.0,L. Sanders makes 2-pt layup from 2 ft,,14,10
56,1,5:19.0,,T. Young misses 2-pt jump shot from 5 ft,14,10
57,1,5:18.0,Defensive rebound by G. Antetokounmpo,,14,10
58,1,5:13.0,L. Sanders makes 2-pt dunk at rim (assist by G. Antetokounmpo),,16,10
59,1,5:08.0,,Shooting foul by G. Antetokounmpo (drawn by C. Brewer),16,10
60,1,5:08.0,,C. Brewer makes free throw 1 of 2,16,11
61,1,5:08.0,J. Dudley enters the game for G. Antetokounmpo,,16,11
62,1,5:08.0,,C. Brewer makes free throw 2 of 2,16,12
63,1,4:55.0,B. Knight misses 3-pt jump shot from 25 ft,,16,12
64,1,4:54.0,,Defensive rebound by T. Young,16,12
65,1,4:43.0,,T. Young misses 2-pt layup at rim (block by L. Sanders),16,12
66,1,4:41.0,Defensive rebound by J. Dudley,,16,12
67,1,4:35.0,Personal foul by T. Young (drawn by J. Parker),,16,12
68,1,4:29.0,L. Sanders misses 2-pt layup at rim,,16,12
69,1,4:26.0,,Defensive rebound by T. Young,16,12
70,1,4:22.0,,C. Brewer makes 2-pt layup from 1 ft (assist by T. Young),16,14
71,1,4:11.0,O. Mayo misses 2-pt jump shot from 17 ft,,16,14
72,1,4:10.0,,Defensive rebound by T. Young,16,14
73,1,4:04.0,,Turnover by T. Young (bad pass),16,14
74,1,4:04.0,,C. Budinger enters the game for C. Brewer,16,14
75,1,3:54.0,Turnover by B. Knight (bad pass; steal by T. Young),,16,14
76,1,3:50.0,,C. Budinger misses 2-pt layup from 1 ft,16,14
77,1,3:48.0,,Offensive rebound by A. Wiggins,16,14
78,1,3:46.0,,A. Wiggins misses 2-pt layup from 1 ft,16,14
79,1,3:45.0,Defensive rebound by J. Parker,,16,14
80,1,3:41.0,Personal foul by G. Dieng (drawn by O. Mayo),,16,14
81,1,3:36.0,O. Mayo makes 3-pt jump shot from 25 ft (assist by L. Sanders),,19,14
82,1,3:12.0,,Z. LaVine makes 2-pt layup from 2 ft (assist by G. Dieng),19,16
83,1,2:52.0,J. Dudley makes 3-pt jump shot from 22 ft (assist by J. Parker),,22,16
84,1,2:35.0,,Personal foul by O. Mayo (drawn by A. Wiggins),22,16
85,1,2:35.0,Milwaukee full timeout,,22,16
86,1,2:35.0,,A. Bennett enters the game for T. Young,22,16
87,1,2:35.0,J. Bayless enters the game for B. Knight,,22,16
88,1,2:35.0,Z. Pachulia enters the game for L. Sanders,,22,16
89,1,2:28.0,,A. Wiggins misses 2-pt jump shot from 10 ft,22,16
90,1,2:27.0,Defensive rebound by Team,,22,16
91,1,2:07.0,Z. Pachulia makes 2-pt jump shot from 13 ft (assist by O. Mayo),,24,16
92,1,1:47.0,,A. Bennett makes 2-pt jump shot from 18 ft (assist by Z. LaVine),24,18
93,1,1:28.0,J. Parker makes 2-pt dunk at rim (assist by Z. Pachulia),,26,18
94,1,1:09.0,,A. Bennett makes 2-pt jump shot from 16 ft (assist by C. Budinger),26,20
95,1,0:45.0,O. Mayo misses 3-pt jump shot from 24 ft,,26,20
96,1,0:44.0,,Defensive rebound by Z. LaVine,26,20
97,1,0:38.0,,Z. LaVine misses 3-pt jump shot from 24 ft,26,20
98,1,0:36.0,Defensive rebound by J. Parker,,26,20
99,1,0:29.0,O. Mayo misses 3-pt jump shot from 25 ft,,26,20
100,1,0:28.0,,Defensive rebound by A. Wiggins,26,20
101,1,0:23.0,,A. Bennett makes 2-pt dunk at rim (assist by A. Wiggins),26,22
102,1,0:05.0,Turnover by J. Bayless (bad pass; steal by C. Budinger),,26,22
103,1,0:01.0,,C. Budinger makes 2-pt dunk at rim,26,24
104,2,11:50.0,,A. Wiggins misses 2-pt jump shot from 20 ft,26,24
105,2,11:49.0,Defensive rebound by Z. Pachulia,,26,24
106,2,11:37.0,Personal foul by Z. LaVine (drawn by J. Bayless),,26,24
107,2,11:37.0,,S. Muhammad enters the game for A. Wiggins,26,24
108,2,11:37.0,,R. Hummel enters the game for G. Dieng,26,24
109,2,11:37.0,,C. Brewer enters the game for Z. LaVine,26,24
110,2,11:30.0,K. Middleton misses 2-pt jump shot from 18 ft,,26,24
111,2,11:28.0,,Defensive rebound by R. Hummel,26,24
112,2,11:20.0,,A. Bennett misses 2-pt jump shot from 20 ft,26,24
113,2,11:19.0,,Offensive rebound by S. Muhammad,26,24
114,2,11:18.0,,Shooting foul by K. Middleton (drawn by S. Muhammad),26,24
115,2,11:18.0,,S. Muhammad makes free throw 1 of 2,26,25
116,2,11:18.0,,S. Muhammad makes free throw 2 of 2,26,26
117,2,11:01.0,E. İlyasova makes 2-pt layup at rim (assist by J. Bayless),,28,26
118,2,10:39.0,,Shooting foul by Z. Pachulia (drawn by R. Hummel),28,26
119,2,10:39.0,,R. Hummel makes free throw 1 of 2,28,27
120,2,10:39.0,Violation by E. İlyasova (lane),,28,27
121,2,10:39.0,,R. Hummel makes free throw 2 of 2,28,28
122,2,10:15.0,E. İlyasova misses 2-pt layup at rim,,28,28
123,2,10:15.0,Offensive rebound by Z. Pachulia,,28,28
124,2,10:15.0,,Loose ball foul by A. Bennett (drawn by Z. Pachulia),28,28
125,2,9:58.0,Z. Pachulia makes 2-pt hook shot from 6 ft,,30,28
126,2,9:42.0,,C. Budinger makes 3-pt jump shot from 24 ft (assist by R. Hummel),30,31
127,2,9:27.0,Turnover by K. Middleton (traveling),,30,31
128,2,9:17.0,,S. Muhammad misses 2-pt jump shot from 6 ft,30,31
129,2,9:15.0,Defensive rebound by E. İlyasova,,30,31
130,2,9:08.0,E. İlyasova makes 2-pt layup at rim,,32,31
131,2,9:01.0,,S. Muhammad makes 2-pt jump shot from 7 ft (assist by C. Brewer),32,33
132,2,8:43.0,K. Middleton makes 2-pt jump shot from 18 ft (assist by Z. Pachulia),,34,33
133,2,8:28.0,,A. Bennett misses 2-pt layup from 2 ft,34,33
134,2,8:27.0,Defensive rebound by E. İlyasova,,34,33
135,2,8:21.0,J. Dudley makes 2-pt layup at rim,,36,33
136,2,8:21.0,Shooting foul by C. Budinger (drawn by J. Dudley),,36,33
137,2,8:21.0,Milwaukee full timeout,,36,33
138,2,8:21.0,,A. Wiggins enters the game for C. Budinger,36,33
