,QUARTER,TIME_REMAINING,CHICAGO_ACTION,LA LAKERS_ACTION,CHICAGO_SCORE,LA LAKERS_SCORE
0,1,11:40.0,P. Gasol misses 2-pt layup from 2 ft,,0,0
1,1,11:38.0,,Defensive rebound by R. Sacre,0,0
2,1,11:19.0,,J. Clarkson makes 3-pt jump shot from 24 ft (assist by R. Sacre),0,3
3,1,11:05.0,D. Rose misses 3-pt jump shot from 25 ft,,0,3
4,1,11:03.0,,Defensive rebound by Team,0,3
5,1,10:49.0,,R. Kelly makes 3-pt jump shot from 23 ft (assist by J. Hill),0,6
6,1,10:32.0,P. Gasol makes 2-pt jump shot from 4 ft (assist by J. Noah),,2,6
7,1,10:09.0,,R. Sacre misses 2-pt jump shot from 11 ft,2,6
8,1,10:03.0,Defensive rebound by J. Noah,,2,6
9,1,9:49.0,D. Rose misses 2-pt jump shot from 3 ft (block by R. Sacre),,2,6
10,1,9:49.0,Offensive rebound by Team,,2,6
11,1,9:46.0,J. Butler makes 2-pt jump shot from 14 ft (assist by D. Rose),,4,6
12,1,9:22.0,,R. Sacre makes 2-pt jump shot from 18 ft (assist by W. Ellington),4,8
13,1,9:06.0,J. Butler misses 2-pt layup at rim,,4,8
14,1,9:04.0,Offensive rebound by J. Butler,,4,8
15,1,8:58.0,J. Butler misses 3-pt jump shot from 24 ft,,4,8
16,1,8:57.0,,Defensive rebound by J. Hill,4,8
17,1,8:43.0,,Turnover by J. Clarkson (bad pass; steal by N. Mirotić),4,8
18,1,8:43.0,Personal foul by R. Sacre (drawn by D. Rose),,4,8
19,1,8:31.0,Turnover by D. Rose (bad pass),,4,8
20,1,8:18.0,,W. Ellington misses 3-pt jump shot from 24 ft,4,8
21,1,8:18.0,Defensive rebound by Team,,4,8
22,1,8:03.0,P. Gasol misses 2-pt hook shot from 6 ft,,4,8
23,1,7:59.0,,Defensive rebound by W. Ellington,4,8
24,1,7:51.0,,W. Ellington makes 2-pt layup from 2 ft,4,10
25,1,7:42.0,J. Noah makes 2-pt jump shot from 16 ft (assist by D. Rose),,6,10
26,1,7:24.0,,Turnover by J. Hill (lost ball; steal by D. Rose),6,10
27,1,7:23.0,Turnover by D. Rose (traveling),,6,10
28,1,7:15.0,,J. Hill misses 2-pt jump shot from 3 ft (block by P. Gasol),6,10
29,1,7:14.0,Defensive rebound by J. Butler,,6,10
30,1,7:07.0,Personal foul by R. Sacre (drawn by N. Mirotić),,6,10
31,1,7:07.0,,C. Boozer enters the game for R. Sacre,6,10
32,1,7:02.0,D. Rose misses 2-pt jump shot from 3 ft (block by C. Boozer),,6,10
33,1,7:00.0,Offensive rebound by D. Rose,,6,10
34,1,6:57.0,D. Rose makes 2-pt layup from 2 ft,,8,10
35,1,6:37.0,,R. Kelly misses 2-pt jump shot from 3 ft,8,10
36,1,6:35.0,,Offensive rebound by R. Kelly,8,10
37,1,6:31.0,,C. Boozer makes 2-pt jump shot from 12 ft (assist by R. Kelly),8,12
38,1,6:11.0,N. Mirotić misses 3-pt jump shot from 24 ft,,8,12
39,1,6:10.0,,Defensive rebound by J. Hill,8,12
40,1,5:57.0,,J. Hill makes 2-pt hook shot from 5 ft,8,14
41,1,5:41.0,Turnover by N. Mirotić (lost ball; steal by J. Hill),,8,14
42,1,5:35.0,,J. Hill misses 2-pt layup from 1 ft,8,14
43,1,5:33.0,,Offensive rebound by W. Ellington,8,14
44,1,5:30.0,,W. Ellington misses 2-pt hook shot from 5 ft,8,14
45,1,5:27.0,,Offensive rebound by C. Boozer,8,14
46,1,5:27.0,,C. Boozer makes 2-pt tip-in from 2 ft,8,16
47,1,5:25.0,Chicago full timeout,,8,16
48,1,5:25.0,,J. Lin enters the game for W. Ellington,8,16
49,1,5:12.0,D. Rose makes 2-pt jump shot from 13 ft (assist by P. Gasol),,10,16
50,1,4:59.0,,J. Clarkson makes 2-pt layup from 2 ft,10,18
51,1,4:31.0,P. Gasol makes 2-pt jump shot from 7 ft (assist by D. Rose),,12,18
52,1,4:22.0,,Turnover by J. Lin (lost ball; steal by J. Butler),12,18
53,1,4:06.0,P. Gasol misses 2-pt jump shot from 13 ft,,12,18
54,1,4:05.0,,Defensive rebound by C. Boozer,12,18
55,1,3:51.0,,J. Hill makes 2-pt layup at rim,12,20
56,1,3:33.0,D. Rose makes 2-pt layup from 2 ft (assist by P. Gasol),,14,20
57,1,3:16.0,,J. Lin misses 2-pt layup from 1 ft (block by P. Gasol),14,20
58,1,3:16.0,,Offensive rebound by Team,14,20
59,1,3:16.0,,W. Johnson enters the game for R. Kelly,14,20
60,1,3:16.0,,E. Davis enters the game for J. Hill,14,20
61,1,3:16.0,K. Hinrich enters the game for D. Rose,,14,20
62,1,3:16.0,T. Gibson enters the game for J. Noah,,14,20
63,1,3:16.0,T. Snell enters the game for N. Mirotić,,14,20
64,1,3:02.0,,J. Lin makes 2-pt jump shot from 15 ft,14,22
65,1,2:46.0,T. Snell misses 3-pt jump shot from 25 ft,,14,22
66,1,2:46.0,,Defensive rebound by Team,14,22
67,1,2:46.0,,LA Lakers full timeout,14,22
68,1,2:28.0,,C. Boozer misses 2-pt jump shot from 16 ft,14,22
69,1,2:26.0,Defensive rebound by P. Gasol,,14,22
70,1,2:16.0,Personal foul by C. Boozer (drawn by T. Gibson),,14,22
71,1,2:02.0,T. Snell misses 2-pt jump shot from 5 ft,,14,22
72,1,2:02.0,Offensive rebound by Team,,14,22
73,1,2:02.0,Turnover by Team (shot clock),,14,22
74,1,1:51.0,,J. Lin makes 2-pt layup from 2 ft (assist by J. Clarkson),14,24
75,1,1:30.0,Turnover by J. Butler (lost ball; steal by W. Johnson),,14,24
76,1,1:26.0,,Turnover by J. Clarkson (lost ball),14,24
77,1,1:26.0,A. Brooks enters the game for J. Butler,,14,24
78,1,1:15.0,Shooting foul by W. Johnson (drawn by P. Gasol),,14,24
79,1,1:15.0,P. Gasol makes free throw 1 of 2,,15,24
80,1,1:15.0,P. Gasol makes free throw 2 of 2,,16,24
81,1,1:00.0,,C. Boozer makes 2-pt jump shot from 12 ft,16,26
82,1,0:50.0,A. Brooks misses 2-pt jump shot from 9 ft,,16,26
83,1,0:48.0,,Defensive rebound by W. Johnson,16,26
84,1,0:42.0,,C. Boozer misses 2-pt layup from 1 ft,16,26
85,1,0:42.0,,Offensive rebound by E. Davis,16,26
86,1,0:42.0,,E. Davis makes 2-pt tip-in from 1 ft,16,28
87,1,0:23.0,T. Snell makes 3-pt jump shot from 22 ft (assist by A. Brooks),,19,28
88,1,0:11.0,,Personal foul by A. Brooks (drawn by J. Clarkson),19,28
89,1,0:03.0,,J. Clarkson misses 2-pt jump shot from 16 ft,19,28
90,1,0:00.0,,Offensive rebound by E. Davis,19,28
91,2,11:41.0,,E. Davis makes 2-pt hook shot at rim (assist by J. Lin),19,30
92,2,11:25.0,T. Gibson makes 2-pt layup from 1 ft (assist by T. Snell),,21,30
93,2,11:12.0,,Turnover by W. Johnson (bad pass),21,30
94,2,10:56.0,A. Brooks makes 2-pt layup from 2 ft,,23,30
95,2,10:39.0,,W. Ellington misses 2-pt jump shot from 18 ft,23,30
96,2,10:37.0,Defensive rebound by T. Gibson,,23,30
97,2,10:25.0,K. Hinrich misses 2-pt jump shot from 4 ft,,23,30
98,2,10:23.0,Offensive rebound by K. Hinrich,,23,30
99,2,10:23.0,,Loose ball foul by C. Boozer (drawn by K. Hinrich),23,30
100,2,10:11.0,T. Gibson makes 2-pt layup from 2 ft (assist by K. Hinrich),,25,30
101,2,9:55.0,,J. Lin makes 2-pt layup from 1 ft,25,32
102,2,9:48.0,A. Brooks makes 2-pt layup at rim,,27,32
103,2,9:36.0,,C. Boozer makes 2-pt layup from 1 ft (assist by E. Davis),27,34
104,2,9:21.0,K. Hinrich makes 2-pt jump shot from 17 ft,,29,34
105,2,9:04.0,,J. Lin makes 2-pt jump shot from 15 ft (assist by E. Davis),29,36
106,2,8:49.0,N. Mirotić misses 2-pt dunk at rim,,29,36
107,2,8:46.0,,Defensive rebound by E. Davis,29,36
108,2,8:42.0,,W. Johnson misses 2-pt layup from 1 ft,29,36
109,2,8:38.0,,Offensive rebound by C. Boozer,29,36
110,2,8:38.0,,C. Boozer makes 2-pt tip-in from 1 ft,29,38
111,2,8:26.0,Turnover by A. Brooks (traveling),,29,38
112,2,8:26.0,Official timeout,,29,38
113,2,8:26.0,J. Noah enters the game for N. Mirotić,,29,38
114,2,8:04.0,,C. Boozer makes 2-pt jump shot from 8 ft (assist by W. Ellington),29,40
115,2,7:45.0,T. Gibson misses 2-pt layup from 1 ft (block by C. Boozer),,29,40
116,2,7:43.0,Offensive rebound by J. Noah,,29,40
117,2,7:39.0,T. Gibson makes 2-pt layup from 1 ft (assist by J. Noah),,31,40
118,2,7:24.0,,E. Davis makes 2-pt layup from 1 ft (assist by J. Lin),31,42
119,2,7:11.0,T. Snell misses 3-pt jump shot from 25 ft,,31,42
120,2,7:09.0,,Defensive rebound by W. Ellington,31,42
121,2,7:01.0,,Shooting foul by T. Gibson (drawn by E. Davis),31,42
122,2,7:01.0,,E. Davis makes free throw 1 of 2,31,43
123,2,7:01.0,,R. Sacre enters the game for C. Boozer,31,43
124,2,7:01.0,D. Rose enters the game for A. Brooks,,31,43
125,2,7:01.0,J. Butler enters the game for T. Snell,,31,43
126,2,7:01.0,,E. Davis makes free throw 2 of 2,31,44
127,2,6:41.0,K. Hinrich misses 3-pt jump shot from 22 ft,,31,44
128,2,6:41.0,Offensive rebound by Team,,31,44
129,2,6:41.0,,Loose ball foul by W. Johnson (drawn by J. Noah),31,44
130,2,6:28.0,D. Rose makes 2-pt jump shot from 8 ft (assist by J. Noah),,33,44
131,2,6:06.0,,W. Johnson misses 2-pt jump shot from 20 ft,33,44
132,2,6:05.0,Defensive rebound by K. Hinrich,,33,44
133,2,5:58.0,D. Rose misses 2-pt jump shot from 18 ft,,33,44
134,2,5:57.0,,Defensive rebound by E. Davis,33,44
135,2,5:50.0,,J. Lin misses 2-pt jump shot from 9 ft,33,44
136,2,5:48.0,Defensive rebound by T. Gibson,,33,44
