,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DETROIT_ACTION,MINNESOTA_SCORE,DETROIT_SCORE
0,1,11:47.0,,Personal foul by M. Williams (drawn by D. Augustin),0,0
1,1,11:32.0,,G. Monroe misses 2-pt jump shot from 16 ft,0,0
2,1,11:31.0,Defensive rebound by M. Williams,,0,0
3,1,11:16.0,T. Young makes 2-pt jump shot from 18 ft,,2,0
4,1,10:53.0,,D. Augustin makes 2-pt jump shot from 15 ft,2,2
5,1,10:36.0,M. Williams makes 3-pt jump shot from 25 ft (assist by K. Martin),,5,2
6,1,10:21.0,,K. Caldwell-Pope makes 2-pt jump shot from 15 ft,5,4
7,1,10:02.0,N. Peković makes 2-pt layup at rim,,7,4
8,1,9:51.0,,Shooting foul by N. Peković (drawn by A. Drummond),7,4
9,1,9:51.0,,A. Drummond misses free throw 1 of 2,7,4
10,1,9:51.0,,Offensive rebound by Team,7,4
11,1,9:51.0,,A. Drummond misses free throw 2 of 2,7,4
12,1,9:50.0,Defensive rebound by T. Young,,7,4
13,1,9:37.0,A. Wiggins makes 2-pt layup at rim (assist by M. Williams),,9,4
14,1,9:24.0,,K. Caldwell-Pope makes 2-pt jump shot from 19 ft (assist by D. Augustin),9,6
15,1,9:05.0,T. Young makes 2-pt hook shot from 6 ft (assist by A. Wiggins),,11,6
16,1,8:48.0,,K. Singler makes 2-pt jump shot from 17 ft (assist by D. Augustin),11,8
17,1,8:34.0,A. Wiggins misses 2-pt jump shot from 17 ft,,11,8
18,1,8:34.0,Offensive rebound by Team,,11,8
19,1,8:34.0,,Loose ball foul by A. Drummond (drawn by N. Peković),11,8
20,1,8:25.0,A. Wiggins misses 2-pt hook shot from 5 ft,,11,8
21,1,8:24.0,Offensive rebound by T. Young,,11,8
22,1,8:20.0,T. Young makes 2-pt jump shot from 16 ft,,13,8
23,1,8:17.0,,Detroit full timeout,13,8
24,1,8:00.0,,G. Monroe misses 2-pt jump shot from 5 ft,13,8
25,1,7:59.0,Defensive rebound by A. Wiggins,,13,8
26,1,7:48.0,N. Peković makes 2-pt hook shot from 6 ft (assist by T. Young),,15,8
27,1,7:38.0,,Offensive foul by A. Drummond (drawn by M. Williams),15,8
28,1,7:38.0,,Turnover by A. Drummond (offensive foul),15,8
29,1,7:38.0,,A. Tolliver enters the game for A. Drummond,15,8
30,1,7:26.0,K. Martin makes 2-pt jump shot from 16 ft (assist by M. Williams),,17,8
31,1,7:05.0,,D. Augustin misses 2-pt layup at rim,17,8
32,1,7:03.0,Defensive rebound by A. Wiggins,,17,8
33,1,6:49.0,N. Peković misses 2-pt hook shot from 7 ft,,17,8
34,1,6:49.0,Offensive rebound by Team,,17,8
35,1,6:49.0,,Loose ball foul by D. Augustin (drawn by A. Wiggins),17,8
36,1,6:41.0,N. Peković misses 2-pt layup from 2 ft,,17,8
