,QUARTER,TIME_REMAINING,HOUSTON_ACTION,DETROIT_ACTION,HOUSTON_SCORE,DETROIT_SCORE
0,1,11:42.0,P. Beverley makes 3-pt jump shot from 22 ft (assist by J. Harden),,3,0
1,1,11:25.0,,A. Drummond makes 2-pt hook shot from 5 ft (assist by K. Caldwell-Pope),3,2
2,1,11:14.0,D. Motiejūnas makes 2-pt jump shot from 6 ft (assist by J. Harden),,5,2
3,1,10:47.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by D. Augustin),5,5
4,1,10:26.0,P. Beverley misses 3-pt jump shot from 26 ft,,5,5
5,1,10:25.0,Offensive rebound by D. Motiejūnas,,5,5
6,1,10:24.0,Turnover by D. Motiejūnas (bad pass; steal by A. Drummond),,5,5
7,1,10:14.0,,Personal foul by T. Ariza (drawn by K. Singler),5,5
8,1,10:08.0,,Personal foul by D. Motiejūnas (drawn by G. Monroe),5,5
9,1,9:55.0,,G. Monroe makes 2-pt hook shot from 5 ft,5,7
10,1,9:44.0,T. Ariza makes 2-pt jump shot from 14 ft (assist by J. Harden),,7,7
11,1,9:28.0,,K. Singler makes 2-pt jump shot from 19 ft (assist by K. Caldwell-Pope),7,9
12,1,9:12.0,T. Ariza makes 2-pt layup at rim (assist by D. Motiejūnas),,9,9
13,1,8:58.0,,K. Caldwell-Pope misses 2-pt jump shot from 15 ft,9,9
14,1,8:57.0,,Offensive rebound by A. Drummond,9,9
15,1,8:53.0,,A. Drummond misses 2-pt jump shot from 7 ft,9,9
16,1,8:52.0,Defensive rebound by J. Dorsey,,9,9
17,1,8:42.0,D. Motiejūnas misses 3-pt jump shot from 23 ft,,9,9
18,1,8:40.0,,Defensive rebound by A. Drummond,9,9
19,1,8:31.0,,Shooting foul by D. Motiejūnas (drawn by G. Monroe),9,9
20,1,8:31.0,,G. Monroe makes free throw 1 of 2,9,10
21,1,8:31.0,J. Smith enters the game for D. Motiejūnas,,9,10
22,1,8:31.0,,G. Monroe makes free throw 2 of 2,9,11
23,1,8:08.0,J. Dorsey misses 2-pt jump shot from 6 ft,,9,11
24,1,8:06.0,,Defensive rebound by K. Singler,9,11
25,1,8:04.0,,Turnover by K. Singler (bad pass; steal by J. Smith),9,11
26,1,7:58.0,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Smith),,12,11
27,1,7:44.0,,K. Singler makes 3-pt jump shot from 27 ft (assist by D. Augustin),12,14
28,1,7:30.0,Turnover by T. Ariza (bad pass),,12,14
29,1,7:16.0,,K. Caldwell-Pope misses 2-pt jump shot from 18 ft,12,14
30,1,7:15.0,Defensive rebound by T. Ariza,,12,14
31,1,7:04.0,Turnover by J. Harden (bad pass; steal by K. Singler),,12,14
32,1,6:59.0,,K. Singler makes 2-pt dunk at rim (assist by K. Caldwell-Pope),12,16
33,1,6:46.0,J. Smith misses 2-pt jump shot from 4 ft (block by A. Drummond),,12,16
34,1,6:45.0,,Defensive rebound by G. Monroe,12,16
35,1,6:43.0,,K. Caldwell-Pope makes 2-pt layup at rim (assist by D. Augustin),12,18
36,1,6:43.0,Houston full timeout,,12,18
37,1,6:43.0,T. Jones enters the game for J. Dorsey,,12,18
38,1,6:30.0,J. Smith misses 2-pt layup from 2 ft,,12,18
39,1,6:29.0,,Defensive rebound by G. Monroe,12,18
40,1,6:24.0,,D. Augustin misses 2-pt layup at rim,12,18
41,1,6:22.0,,Offensive rebound by A. Drummond,12,18
42,1,6:20.0,,A. Drummond misses 2-pt layup at rim,12,18
43,1,6:19.0,Defensive rebound by T. Jones,,12,18
44,1,6:15.0,Turnover by J. Harden (bad pass; steal by D. Augustin),,12,18
45,1,6:11.0,,A. Drummond makes 2-pt layup at rim (assist by D. Augustin),12,20
46,1,5:55.0,T. Ariza misses 3-pt jump shot from 25 ft,,12,20
47,1,5:54.0,,Defensive rebound by A. Drummond,12,20
48,1,5:49.0,,Personal foul by J. Harden (drawn by K. Caldwell-Pope),12,20
49,1,5:37.0,,Turnover by G. Monroe (bad pass; steal by P. Beverley),12,20
50,1,5:32.0,P. Beverley makes 2-pt layup at rim,,14,20
51,1,5:10.0,,D. Augustin misses 3-pt jump shot from 25 ft,14,20
52,1,5:09.0,Defensive rebound by J. Smith,,14,20
53,1,5:03.0,J. Smith makes 2-pt layup at rim,,16,20
54,1,4:48.0,,G. Monroe makes 2-pt hook shot from 6 ft (assist by K. Singler),16,22
55,1,4:28.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by J. Smith),,19,22
