,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,MILWAUKEE_ACTION,PHILADELPHIA_SCORE,MILWAUKEE_SCORE
0,1,11:39.0,N. Noel misses 2-pt jump shot from 6 ft,,0,0
1,1,11:38.0,,Defensive rebound by J. Parker,0,0
2,1,11:21.0,,L. Sanders misses 2-pt jump shot from 3 ft (block by N. Noel),0,0
3,1,11:19.0,,Offensive rebound by J. Parker,0,0
4,1,11:12.0,,J. Parker makes 3-pt jump shot from 25 ft,0,3
5,1,11:05.0,H. Sims makes 2-pt jump shot from 14 ft (assist by T. Wroten),,2,3
6,1,10:48.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by J. Dudley),2,6
7,1,10:33.0,N. Noel misses 2-pt jump shot from 16 ft,,2,6
8,1,10:33.0,,Defensive rebound by Team,2,6
9,1,10:19.0,,L. Sanders makes 2-pt jump shot from 13 ft (assist by K. Middleton),2,8
10,1,9:59.0,N. Noel makes 2-pt dunk at rim (assist by T. Wroten),,4,8
11,1,9:43.0,,Offensive foul by L. Sanders (drawn by C. Johnson),4,8
12,1,9:43.0,,Turnover by L. Sanders (offensive foul),4,8
13,1,9:34.0,C. Johnson misses 2-pt jump shot from 13 ft,,4,8
14,1,9:33.0,,Defensive rebound by J. Parker,4,8
15,1,9:29.0,,L. Sanders misses 2-pt layup from 1 ft,4,8
16,1,9:27.0,,Offensive rebound by L. Sanders,4,8
17,1,9:25.0,,L. Sanders misses 2-pt layup at rim,4,8
18,1,9:24.0,Defensive rebound by Team,,4,8
19,1,9:08.0,Shooting foul by B. Knight (drawn by T. Wroten),,4,8
20,1,9:08.0,T. Wroten misses free throw 1 of 2,,4,8
21,1,9:08.0,Offensive rebound by Team,,4,8
22,1,9:08.0,T. Wroten misses free throw 2 of 2,,4,8
23,1,9:07.0,,Defensive rebound by B. Knight,4,8
24,1,8:51.0,,Turnover by B. Knight (lost ball; steal by T. Wroten),4,8
25,1,8:47.0,T. Wroten misses 2-pt layup from 2 ft (block by L. Sanders),,4,8
26,1,8:43.0,,Defensive rebound by B. Knight,4,8
27,1,8:39.0,,J. Dudley misses 3-pt jump shot from 23 ft,4,8
28,1,8:37.0,Defensive rebound by C. Johnson,,4,8
29,1,8:36.0,Shooting foul by K. Middleton (drawn by T. Wroten),,4,8
30,1,8:36.0,T. Wroten makes free throw 1 of 2,,5,8
31,1,8:36.0,T. Wroten misses free throw 2 of 2,,5,8
32,1,8:35.0,,Defensive rebound by J. Dudley,5,8
33,1,8:10.0,,K. Middleton misses 2-pt jump shot from 21 ft,5,8
34,1,8:08.0,Defensive rebound by N. Noel,,5,8
35,1,8:03.0,C. Johnson misses 3-pt jump shot from 25 ft,,5,8
36,1,8:02.0,Offensive rebound by N. Noel,,5,8
37,1,8:00.0,N. Noel makes 2-pt dunk at rim,,7,8
38,1,7:42.0,,Def 3 sec tech foul by H. Sims,7,8
39,1,7:42.0,,B. Knight makes technical free throw,7,9
40,1,7:35.0,,Personal foul by H. Sims (drawn by L. Sanders),7,9
41,1,7:27.0,,K. Middleton misses 2-pt jump shot from 18 ft,7,9
42,1,7:26.0,Defensive rebound by H. Sims,,7,9
43,1,7:18.0,C. Johnson misses 2-pt layup from 2 ft (block by L. Sanders),,7,9
44,1,7:16.0,Offensive rebound by C. Johnson,,7,9
45,1,7:13.0,H. Thompson misses 2-pt layup from 1 ft,,7,9
46,1,7:12.0,,Defensive rebound by J. Parker,7,9
47,1,7:10.0,,Turnover by J. Parker (bad pass; steal by T. Wroten),7,9
48,1,7:00.0,N. Noel makes 2-pt hook shot from 4 ft (assist by H. Thompson),,9,9
49,1,6:40.0,,B. Knight misses 3-pt jump shot from 27 ft,9,9
50,1,6:39.0,Defensive rebound by H. Thompson,,9,9
51,1,6:32.0,H. Thompson misses 3-pt jump shot from 25 ft,,9,9
52,1,6:30.0,,Defensive rebound by L. Sanders,9,9
53,1,6:15.0,,K. Middleton misses 2-pt hook shot from 6 ft,9,9
54,1,6:14.0,,Offensive rebound by L. Sanders,9,9
55,1,6:10.0,,J. Parker misses 3-pt jump shot from 29 ft,9,9
56,1,6:09.0,Defensive rebound by N. Noel,,9,9
57,1,6:05.0,Philadelphia full timeout,,9,9
58,1,6:05.0,,O. Mayo enters the game for K. Middleton,9,9
59,1,6:05.0,,G. Antetokounmpo enters the game for L. Sanders,9,9
60,1,6:05.0,,J. Henson enters the game for J. Dudley,9,9
61,1,5:50.0,H. Thompson makes 2-pt layup from 1 ft,,11,9
62,1,5:42.0,,Turnover by B. Knight (bad pass; steal by H. Thompson),11,9
63,1,5:20.0,T. Wroten makes 2-pt layup from 1 ft,,13,9
64,1,5:02.0,,O. Mayo misses 2-pt jump shot from 19 ft,13,9
65,1,5:00.0,Defensive rebound by Team,,13,9
66,1,4:59.0,M. Thomas enters the game for H. Sims,,13,9
67,1,4:59.0,K. McDaniels enters the game for C. Johnson,,13,9
68,1,4:59.0,,K. Marshall enters the game for B. Knight,13,9
69,1,4:59.0,B. Davies enters the game for M. Thomas,,13,9
70,1,4:59.0,M. Thomas enters the game for B. Davies,,13,9
71,1,4:48.0,Turnover by H. Thompson (bad pass),,13,9
72,1,4:48.0,B. Davies enters the game for N. Noel,,13,9
73,1,4:32.0,,J. Parker makes 2-pt layup from 2 ft,13,11
74,1,4:25.0,T. Wroten misses 2-pt layup from 2 ft (block by J. Henson),,13,11
75,1,4:24.0,,Defensive rebound by G. Antetokounmpo,13,11
76,1,4:20.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,13,11
77,1,4:19.0,Defensive rebound by Team,,13,11
78,1,4:19.0,,Loose ball foul by J. Henson (drawn by M. Thomas),13,11
79,1,4:19.0,A. Shved enters the game for H. Thompson,,13,11
80,1,4:07.0,Turnover by T. Wroten (bad pass),,13,11
81,1,3:59.0,,Turnover by K. Marshall (bad pass; steal by M. Thomas),13,11
82,1,3:55.0,M. Thomas misses 2-pt jump shot from 3 ft (block by J. Henson),,13,11
83,1,3:52.0,Offensive rebound by T. Wroten,,13,11
84,1,3:51.0,K. McDaniels makes 2-pt layup at rim (assist by T. Wroten),,15,11
85,1,3:33.0,,G. Antetokounmpo makes 2-pt layup at rim (assist by J. Henson),15,13
86,1,3:15.0,K. McDaniels makes 2-pt dunk at rim (assist by M. Thomas),,17,13
87,1,3:00.0,,J. Henson makes 2-pt dunk at rim (assist by O. Mayo),17,15
88,1,2:42.0,B. Davies misses 2-pt jump shot from 6 ft,,17,15
89,1,2:41.0,Offensive rebound by K. McDaniels,,17,15
90,1,2:41.0,K. McDaniels makes 2-pt tip-in at rim,,19,15
91,1,2:30.0,,J. Parker misses 2-pt layup from 2 ft,19,15
92,1,2:29.0,Defensive rebound by B. Davies,,19,15
93,1,2:22.0,Turnover by T. Wroten (bad pass; steal by O. Mayo),,19,15
94,1,2:17.0,,J. Parker makes 2-pt dunk at rim (assist by O. Mayo),19,17
95,1,1:55.0,Turnover by B. Davies (bad pass; steal by J. Henson),,19,17
96,1,1:49.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,19,17
97,1,1:47.0,,Offensive rebound by J. Henson,19,17
98,1,1:47.0,,J. Henson makes 2-pt tip-in at rim,19,19
99,1,1:25.0,T. Wroten misses 3-pt jump shot from 26 ft,,19,19
100,1,1:24.0,,Defensive rebound by G. Antetokounmpo,19,19
101,1,1:17.0,,O. Mayo makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),19,22
102,1,1:02.0,K. McDaniels misses 2-pt layup at rim (block by J. Henson),,19,22
103,1,1:02.0,Offensive rebound by Team,,19,22
104,1,1:02.0,,Milwaukee full timeout,19,22
105,1,1:02.0,L. Mbah a Moute enters the game for T. Wroten,,19,22
106,1,1:00.0,M. Thomas makes 2-pt layup at rim (assist by L. Mbah a Moute),,21,22
107,1,0:41.0,,J. Parker makes 2-pt jump shot from 17 ft (assist by O. Mayo),21,24
108,1,0:35.0,K. McDaniels makes 3-pt jump shot from 25 ft (assist by A. Shved),,24,24
109,1,0:26.0,,O. Mayo misses 2-pt jump shot from 16 ft,24,24
110,1,0:25.0,Defensive rebound by L. Mbah a Moute,,24,24
111,1,0:02.0,Turnover by Team (shot clock),,24,24
112,1,0:01.0,,Turnover by O. Mayo (bad pass; steal by B. Davies),24,24
113,1,0:00.0,A. Shved misses 3-pt jump shot from 58 ft,,24,24
114,1,0:00.0,Offensive rebound by Team,,24,24
115,2,11:36.0,,J. Bayless misses 2-pt layup at rim,24,24
116,2,11:35.0,Defensive rebound by M. Thomas,,24,24
117,2,11:25.0,N. Noel misses 2-pt hook shot from 5 ft (block by J. Henson),,24,24
118,2,11:23.0,Offensive rebound by M. Thomas,,24,24
119,2,11:22.0,M. Thomas makes 2-pt dunk at rim,,26,24
120,2,11:00.0,,O. Mayo makes 2-pt jump shot from 17 ft (assist by J. Bayless),26,26
121,2,10:33.0,M. Thomas makes 2-pt layup at rim (assist by A. Shved),,28,26
122,2,10:16.0,H. Sims enters the game for M. Thomas,,28,26
123,2,10:16.0,H. Thompson enters the game for K. McDaniels,,28,26
124,2,10:12.0,,Turnover by J. Bayless (traveling),28,26
125,2,9:53.0,N. Noel makes 2-pt jump shot from 4 ft,,30,26
126,2,9:35.0,,Shooting foul by H. Sims (drawn by J. Henson),30,26
127,2,9:35.0,,J. Henson misses free throw 1 of 2,30,26
128,2,9:35.0,,Offensive rebound by Team,30,26
129,2,9:35.0,,J. Henson misses free throw 2 of 2,30,26
130,2,9:34.0,Defensive rebound by N. Noel,,30,26
131,2,9:24.0,A. Shved misses 2-pt layup at rim (block by J. Henson),,30,26
132,2,9:22.0,,Defensive rebound by G. Antetokounmpo,30,26
133,2,9:14.0,,O. Mayo makes 3-pt jump shot from 25 ft (assist by G. Antetokounmpo),30,29
134,2,8:57.0,Personal block foul by E. İlyasova (drawn by A. Shved),,30,29
135,2,8:57.0,Official timeout,,30,29
