,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,ORLANDO_ACTION,PHILADELPHIA_SCORE,ORLANDO_SCORE
0,1,11:46.0,,T. Harris misses 3-pt jump shot from 24 ft,0,0
1,1,11:46.0,Defensive rebound by M. Carter-Williams,,0,0
2,1,11:30.0,N. Noel misses 2-pt hook shot from 8 ft,,0,0
3,1,11:29.0,,Defensive rebound by E. Payton,0,0
4,1,11:19.0,,K. O'Quinn misses 2-pt jump shot from 16 ft,0,0
5,1,11:18.0,,Offensive rebound by T. Harris,0,0
6,1,11:18.0,,T. Harris misses 2-pt tip-in from 1 ft,0,0
7,1,11:17.0,Defensive rebound by R. Covington,,0,0
8,1,11:08.0,Turnover by L. Mbah a Moute (bad pass; steal by T. Harris),,0,0
9,1,10:55.0,,Shooting foul by N. Noel (drawn by E. Payton),0,0
10,1,10:55.0,,E. Payton makes free throw 1 of 2,0,1
11,1,10:55.0,,E. Payton misses free throw 2 of 2,0,1
12,1,10:54.0,Defensive rebound by N. Noel,,0,1
13,1,10:39.0,Turnover by J. Sampson (bad pass; steal by V. Oladipo),,0,1
14,1,10:25.0,,K. O'Quinn makes 2-pt jump shot from 9 ft,0,3
15,1,10:04.0,Def 3 sec tech foul by N. Vučević,,0,3
16,1,10:04.0,R. Covington makes technical free throw,,1,3
17,1,9:59.0,M. Carter-Williams makes 2-pt layup from 1 ft,,3,3
18,1,9:49.0,,Personal foul by J. Sampson (drawn by V. Oladipo),3,3
19,1,9:43.0,,V. Oladipo makes 2-pt jump shot from 21 ft,3,5
20,1,9:29.0,Turnover by J. Sampson (step out of bounds),,3,5
21,1,9:11.0,,T. Harris misses 2-pt hook shot from 6 ft,3,5
22,1,9:11.0,Defensive rebound by L. Mbah a Moute,,3,5
23,1,9:04.0,L. Mbah a Moute makes 3-pt jump shot from 24 ft (assist by M. Carter-Williams),,6,5
24,1,8:47.0,,N. Vučević makes 2-pt dunk at rim (assist by E. Payton),6,7
25,1,8:28.0,J. Sampson misses 2-pt jump shot from 4 ft (block by K. O'Quinn),,6,7
26,1,8:27.0,Offensive rebound by J. Sampson,,6,7
27,1,8:21.0,Turnover by M. Carter-Williams (lost ball),,6,7
28,1,7:56.0,,N. Vučević misses 2-pt layup from 1 ft,6,7
29,1,7:56.0,Defensive rebound by N. Noel,,6,7
30,1,7:47.0,M. Carter-Williams makes 2-pt layup from 2 ft,,8,7
31,1,7:27.0,,E. Payton misses 2-pt jump shot from 5 ft,8,7
32,1,7:26.0,,Offensive rebound by K. O'Quinn,8,7
33,1,7:23.0,,K. O'Quinn misses 2-pt layup from 2 ft (block by R. Covington),8,7
34,1,7:21.0,,Offensive rebound by E. Payton,8,7
35,1,7:07.0,,N. Vučević makes 2-pt hook shot from 3 ft (assist by E. Payton),8,9
36,1,6:54.0,L. Mbah a Moute misses 3-pt jump shot from 25 ft,,8,9
37,1,6:53.0,Offensive rebound by N. Noel,,8,9
38,1,6:48.0,J. Sampson misses 2-pt jump shot from 19 ft,,8,9
39,1,6:47.0,,Defensive rebound by N. Vučević,8,9
40,1,6:36.0,,Turnover by T. Harris (lost ball; steal by L. Mbah a Moute),8,9
41,1,6:26.0,Turnover by M. Carter-Williams (bad pass),,8,9
42,1,6:26.0,,Orlando full timeout,8,9
43,1,6:10.0,,V. Oladipo makes 3-pt jump shot from 22 ft (assist by K. O'Quinn),8,12
44,1,5:46.0,M. Carter-Williams makes 2-pt jump shot from 20 ft,,10,12
45,1,5:30.0,,Turnover by E. Payton (lost ball; steal by M. Carter-Williams),10,12
46,1,5:28.0,Shooting foul by E. Payton (drawn by R. Covington),,10,12
47,1,5:28.0,R. Covington makes free throw 1 of 2,,11,12
48,1,5:28.0,K. McDaniels enters the game for L. Mbah a Moute,,11,12
49,1,5:28.0,H. Sims enters the game for J. Sampson,,11,12
50,1,5:28.0,,C. Frye enters the game for K. O'Quinn,11,12
51,1,5:28.0,,E. Fournier enters the game for V. Oladipo,11,12
52,1,5:28.0,R. Covington misses free throw 2 of 2,,11,12
53,1,5:27.0,,Defensive rebound by C. Frye,11,12
54,1,5:05.0,,E. Fournier makes 2-pt jump shot from 21 ft,11,14
55,1,4:51.0,M. Carter-Williams misses 2-pt jump shot from 4 ft,,11,14
56,1,4:50.0,,Defensive rebound by C. Frye,11,14
57,1,4:40.0,,C. Frye makes 2-pt jump shot from 20 ft (assist by E. Payton),11,16
58,1,4:19.0,H. Sims misses 3-pt jump shot from 22 ft,,11,16
59,1,4:18.0,,Defensive rebound by N. Vučević,11,16
60,1,4:01.0,,E. Payton misses 2-pt hook shot from 7 ft (block by M. Carter-Williams),11,16
61,1,4:00.0,Defensive rebound by R. Covington,,11,16
62,1,3:57.0,R. Covington makes 2-pt layup at rim,,13,16
63,1,3:33.0,,N. Vučević misses 2-pt hook shot from 6 ft,13,16
64,1,3:32.0,Defensive rebound by H. Sims,,13,16
65,1,3:21.0,M. Carter-Williams misses 3-pt jump shot from 25 ft,,13,16
66,1,3:21.0,,Defensive rebound by N. Vučević,13,16
