,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,LA CLIPPERS_ACTION,SAN ANTONIO_SCORE,LA CLIPPERS_SCORE
0,1,11:48.0,,C. Paul makes 2-pt jump shot from 14 ft,0,2
1,1,11:30.0,T. Duncan makes 2-pt jump shot from 18 ft (assist by T. Parker),,2,2
2,1,11:00.0,,M. Barnes misses 3-pt jump shot from 25 ft,2,2
3,1,10:58.0,Defensive rebound by T. Duncan,,2,2
4,1,10:45.0,A. Baynes makes 2-pt hook shot from 3 ft (assist by T. Duncan),,4,2
5,1,10:33.0,,J. Redick makes 2-pt jump shot from 19 ft (assist by C. Paul),4,4
6,1,10:22.0,K. Leonard misses 3-pt jump shot from 27 ft,,4,4
7,1,10:21.0,,Defensive rebound by S. Hawes,4,4
8,1,10:14.0,,C. Paul makes 3-pt jump shot from 25 ft,4,7
9,1,9:51.0,T. Duncan makes 2-pt jump shot from 20 ft (assist by T. Parker),,6,7
10,1,9:44.0,,Turnover by J. Redick (lost ball),6,7
11,1,9:24.0,T. Duncan makes 3-pt jump shot from 24 ft (assist by T. Parker),,9,7
12,1,9:19.0,,Personal foul by T. Duncan (drawn by D. Jordan),9,7
13,1,9:12.0,,J. Redick misses 3-pt jump shot from 24 ft (block by A. Baynes),9,7
14,1,9:11.0,Defensive rebound by D. Green,,9,7
15,1,9:03.0,T. Parker makes 2-pt jump shot from 16 ft,,11,7
16,1,8:52.0,Offensive charge foul by S. Hawes (drawn by A. Baynes),,11,7
17,1,8:52.0,,Turnover by S. Hawes (offensive foul),11,7
18,1,8:36.0,K. Leonard misses 2-pt jump shot from 17 ft,,11,7
19,1,8:35.0,,Defensive rebound by J. Redick,11,7
20,1,8:28.0,,C. Paul makes 2-pt jump shot from 3 ft,11,9
21,1,8:28.0,,Shooting foul by A. Baynes (drawn by C. Paul),11,9
22,1,8:28.0,,C. Paul makes free throw 1 of 1,11,10
23,1,8:08.0,Turnover by K. Leonard (bad pass; steal by D. Jordan),,11,10
24,1,8:05.0,,J. Redick makes 2-pt layup from 1 ft (assist by C. Paul),11,12
25,1,7:55.0,K. Leonard misses 2-pt jump shot from 14 ft,,11,12
26,1,7:54.0,,Defensive rebound by D. Jordan,11,12
27,1,7:38.0,,M. Barnes misses 2-pt dunk at rim,11,12
28,1,7:35.0,Defensive rebound by T. Parker,,11,12
29,1,7:35.0,K. Leonard misses 2-pt layup from 2 ft (block by D. Jordan),,11,12
30,1,7:35.0,,Defensive rebound by Team,11,12
31,1,7:19.0,,S. Hawes misses 2-pt jump shot from 19 ft,11,12
32,1,7:18.0,Defensive rebound by A. Baynes,,11,12
33,1,7:11.0,T. Parker misses 2-pt jump shot from 10 ft,,11,12
34,1,7:09.0,,Defensive rebound by D. Jordan,11,12
35,1,7:06.0,,J. Redick makes 2-pt layup from 1 ft (assist by C. Paul),11,14
36,1,7:05.0,San Antonio full timeout,,11,14
37,1,6:48.0,K. Leonard misses 3-pt jump shot from 26 ft,,11,14
38,1,6:47.0,Offensive rebound by A. Baynes,,11,14
39,1,6:47.0,A. Baynes misses 2-pt tip-in from 2 ft,,11,14
40,1,6:43.0,,Defensive rebound by D. Jordan,11,14
41,1,6:38.0,,C. Paul misses 2-pt jump shot from 3 ft,11,14
42,1,6:37.0,Defensive rebound by D. Green,,11,14
43,1,6:26.0,T. Parker makes 2-pt jump shot from 21 ft,,13,14
44,1,6:09.0,,Turnover by C. Paul (bad pass; steal by T. Parker),13,14
45,1,5:50.0,T. Duncan misses 2-pt jump shot from 21 ft,,13,14
46,1,5:49.0,,Defensive rebound by S. Hawes,13,14
47,1,5:34.0,,Turnover by M. Barnes (lost ball; steal by K. Leonard),13,14
48,1,5:33.0,Personal take foul by M. Barnes (drawn by K. Leonard),,13,14
49,1,5:33.0,M. Ginóbili enters the game for D. Green,,13,14
50,1,5:21.0,A. Baynes makes 2-pt layup from 2 ft (assist by K. Leonard),,15,14
51,1,5:04.0,,J. Redick makes 2-pt jump shot from 12 ft (assist by S. Hawes),15,16
52,1,4:54.0,K. Leonard misses 3-pt jump shot from 25 ft,,15,16
53,1,4:53.0,,Defensive rebound by D. Jordan,15,16
54,1,4:41.0,,S. Hawes misses 2-pt layup from 3 ft (block by T. Duncan),15,16
55,1,4:39.0,,Offensive rebound by D. Jordan,15,16
56,1,4:38.0,,D. Jordan misses 2-pt hook shot from 5 ft,15,16
57,1,4:35.0,Defensive rebound by A. Baynes,,15,16
58,1,4:22.0,T. Parker misses 2-pt jump shot from 15 ft,,15,16
59,1,4:21.0,,Defensive rebound by S. Hawes,15,16
60,1,4:07.0,,D. Jordan makes 2-pt dunk at rim (assist by C. Paul),15,18
61,1,3:43.0,A. Baynes makes 2-pt layup from 3 ft (assist by T. Duncan),,17,18
62,1,3:29.0,,J. Redick misses 3-pt jump shot from 27 ft,17,18
63,1,3:28.0,Defensive rebound by T. Duncan,,17,18
64,1,3:16.0,M. Ginóbili misses 3-pt jump shot from 26 ft,,17,18
65,1,3:15.0,Offensive rebound by Team,,17,18
66,1,3:15.0,,J. Crawford enters the game for J. Redick,17,18
67,1,3:15.0,T. Splitter enters the game for A. Baynes,,17,18
68,1,3:05.0,T. Duncan makes 2-pt jump shot from 21 ft (assist by T. Parker),,19,18
69,1,3:04.0,,LA Clippers full timeout,19,18
