,QUARTER,TIME_REMAINING,DENVER_ACTION,SAN ANTONIO_ACTION,DENVER_SCORE,SAN ANTONIO_SCORE
0,1,11:45.0,,D. Green makes 3-pt jump shot from 25 ft (assist by K. Leonard),0,3
1,1,11:28.0,D. Gallinari misses 2-pt jump shot from 14 ft,,0,3
2,1,11:27.0,,Defensive rebound by T. Splitter,0,3
3,1,11:18.0,,T. Parker makes 2-pt jump shot from 7 ft,0,5
4,1,11:01.0,W. Chandler misses 2-pt jump shot from 6 ft,,0,5
5,1,11:01.0,Offensive rebound by Team,,0,5
6,1,10:52.0,W. Chandler makes 2-pt layup from 1 ft,,2,5
7,1,10:35.0,,T. Duncan makes 2-pt jump shot from 11 ft,2,7
8,1,10:23.0,T. Lawson makes 2-pt jump shot from 18 ft,,4,7
9,1,10:00.0,,T. Parker misses 2-pt jump shot from 18 ft,4,7
10,1,9:58.0,Defensive rebound by W. Chandler,,4,7
11,1,9:48.0,K. Faried makes 2-pt jump shot from 8 ft (assist by T. Lawson),,6,7
12,1,9:33.0,,Turnover by T. Duncan (lost ball; steal by D. Gallinari),6,7
13,1,9:27.0,Turnover by D. Gallinari (lost ball; steal by K. Leonard),,6,7
14,1,9:26.0,,Technical foul by Team,6,7
15,1,9:26.0,D. Gallinari makes technical free throw,,7,7
16,1,9:16.0,Violation by D. Gallinari (kicked ball),,7,7
17,1,9:09.0,,T. Duncan makes 2-pt jump shot from 10 ft (assist by T. Parker),7,9
18,1,8:56.0,T. Lawson makes 2-pt jump shot from 16 ft,,9,9
19,1,8:43.0,,K. Leonard makes 3-pt jump shot from 24 ft (assist by T. Splitter),9,12
20,1,8:29.0,T. Lawson makes 2-pt jump shot from 19 ft,,11,12
21,1,8:19.0,,T. Parker makes 2-pt layup at rim,11,14
22,1,7:53.0,D. Gallinari misses 2-pt layup from 2 ft,,11,14
23,1,7:51.0,,Defensive rebound by D. Green,11,14
24,1,7:41.0,,T. Parker makes 2-pt jump shot from 8 ft,11,16
25,1,7:23.0,W. Chandler misses 2-pt jump shot from 7 ft (block by T. Splitter),,11,16
26,1,7:21.0,,Defensive rebound by T. Duncan,11,16
27,1,7:12.0,,Shooting foul by W. Chandler (drawn by T. Duncan),11,16
28,1,7:12.0,,T. Duncan makes free throw 1 of 2,11,17
29,1,7:12.0,,T. Duncan misses free throw 2 of 2,11,17
30,1,7:11.0,Defensive rebound by K. Faried,,11,17
31,1,7:00.0,R. Foye misses 3-pt jump shot from 25 ft,,11,17
32,1,6:59.0,Offensive rebound by K. Faried,,11,17
33,1,6:58.0,K. Faried misses 2-pt layup at rim (block by T. Duncan),,11,17
34,1,6:56.0,,Defensive rebound by T. Duncan,11,17
35,1,6:52.0,,T. Splitter makes 2-pt layup at rim (assist by T. Duncan),11,19
36,1,6:39.0,T. Lawson makes 2-pt jump shot from 12 ft,,13,19
37,1,6:21.0,,K. Leonard makes 2-pt jump shot from 15 ft,13,21
38,1,6:08.0,Shooting foul by T. Parker (drawn by T. Lawson),,13,21
39,1,6:08.0,T. Lawson makes free throw 1 of 2,,14,21
40,1,6:08.0,,B. Diaw enters the game for T. Splitter,14,21
41,1,6:08.0,,M. Ginóbili enters the game for D. Green,14,21
42,1,6:08.0,T. Lawson makes free throw 2 of 2,,15,21
43,1,5:53.0,,M. Ginóbili makes 3-pt jump shot from 24 ft (assist by T. Duncan),15,24
44,1,5:37.0,D. Gallinari makes 3-pt jump shot from 25 ft (assist by T. Lawson),,18,24
45,1,5:35.0,,San Antonio full timeout,18,24
46,1,5:16.0,,B. Diaw misses 2-pt hook shot from 6 ft,18,24
47,1,5:14.0,Defensive rebound by D. Gallinari,,18,24
48,1,5:09.0,D. Gallinari misses 3-pt jump shot from 25 ft,,18,24
49,1,5:08.0,,Defensive rebound by B. Diaw,18,24
50,1,4:55.0,,T. Duncan makes 2-pt jump shot from 4 ft,18,26
51,1,4:55.0,,Shooting foul by D. Gallinari (drawn by T. Duncan),18,26
52,1,4:55.0,,T. Duncan misses free throw 1 of 1,18,26
53,1,4:53.0,Defensive rebound by W. Chandler,,18,26
54,1,4:48.0,Turnover by T. Lawson (bad pass; steal by M. Ginóbili),,18,26
55,1,4:41.0,,T. Parker misses 2-pt jump shot from 7 ft,18,26
56,1,4:38.0,Defensive rebound by D. Gallinari,,18,26
57,1,4:31.0,Personal foul by B. Diaw (drawn by W. Chandler),,18,26
58,1,4:31.0,,A. Baynes enters the game for T. Duncan,18,26
59,1,4:31.0,,M. Belinelli enters the game for K. Leonard,18,26
60,1,4:18.0,R. Foye misses 2-pt jump shot from 17 ft,,18,26
61,1,4:16.0,Offensive rebound by K. Faried,,18,26
62,1,4:12.0,W. Chandler makes 2-pt layup at rim (assist by K. Faried),,20,26
63,1,3:55.0,,Personal foul by R. Foye (drawn by M. Ginóbili),20,26
64,1,3:55.0,,P. Mills enters the game for T. Parker,20,26
65,1,3:55.0,J. Hickson enters the game for W. Chandler,,20,26
66,1,3:55.0,J. Nelson enters the game for K. Faried,,20,26
67,1,3:51.0,,M. Ginóbili makes 3-pt jump shot from 24 ft (assist by M. Belinelli),20,29
68,1,3:39.0,J. Hickson makes 2-pt dunk at rim (assist by J. Nelson),,22,29
69,1,3:27.0,,M. Belinelli makes 3-pt jump shot from 23 ft (assist by B. Diaw),22,32
70,1,3:18.0,Shooting foul by M. Ginóbili (drawn by T. Lawson),,22,32
71,1,3:18.0,T. Lawson makes free throw 1 of 2,,23,32
72,1,3:18.0,T. Lawson makes free throw 2 of 2,,24,32
73,1,3:08.0,W. Barton enters the game for R. Foye,,24,32
74,1,3:03.0,,M. Belinelli misses 2-pt jump shot from 20 ft,24,32
75,1,3:02.0,Defensive rebound by T. Lawson,,24,32
76,1,3:01.0,Turnover by T. Lawson (lost ball),,24,32
77,1,2:50.0,,P. Mills misses 2-pt jump shot from 20 ft,24,32
78,1,2:49.0,Defensive rebound by J. Hickson,,24,32
79,1,2:48.0,Turnover by J. Hickson (bad pass),,24,32
80,1,2:48.0,Denver full timeout,,24,32
81,1,2:48.0,D. Arthur enters the game for D. Gallinari,,24,32
82,1,2:28.0,,P. Mills misses 2-pt jump shot from 20 ft,24,32
83,1,2:26.0,Defensive rebound by J. Hickson,,24,32
84,1,2:17.0,J. Hickson misses 2-pt jump shot from 7 ft,,24,32
85,1,2:15.0,Offensive rebound by J. Nelson,,24,32
