,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,HOUSTON_ACTION,SAN ANTONIO_SCORE,HOUSTON_SCORE
92,1,1:16.0,,C. Brewer misses 3-pt jump shot from 24 ft,19,27
93,1,1:15.0,Defensive rebound by J. Ayres,,19,27
94,1,1:03.0,B. Diaw misses 2-pt hook shot from 6 ft (block by J. Smith),,19,27
95,1,1:01.0,Offensive rebound by J. Ayres,,19,27
96,1,0:59.0,M. Ginóbili makes 2-pt layup from 1 ft (assist by M. Belinelli),,21,27
97,1,0:49.0,,Shooting foul by J. Ayres (drawn by J. Harden),21,27
98,1,0:49.0,,J. Harden makes free throw 1 of 2,21,28
99,1,0:49.0,,J. Harden misses free throw 2 of 2,21,28
100,1,0:49.0,Defensive rebound by J. Ayres,,21,28
101,1,0:31.0,B. Diaw makes 2-pt jump shot from 9 ft,,23,28
102,1,0:10.0,,J. Harden makes 2-pt jump shot from 17 ft,23,30
103,1,0:03.0,M. Ginóbili misses 3-pt jump shot from 25 ft,,23,30
104,1,0:01.0,,Defensive rebound by N. Johnson,23,30
105,2,11:46.0,Personal foul by C. Brewer (drawn by M. Ginóbili),,23,30
106,2,11:32.0,B. Diaw makes 2-pt jump shot from 13 ft,,25,30
107,2,11:16.0,,Turnover by N. Johnson (bad pass; steal by M. Ginóbili),25,30
108,2,10:58.0,M. Ginóbili makes 2-pt jump shot from 20 ft,,27,30
109,2,10:46.0,,Turnover by C. Brewer (lost ball),27,30
110,2,10:30.0,B. Diaw misses 2-pt hook shot from 7 ft,,27,30
111,2,10:28.0,,Defensive rebound by D. Howard,27,30
112,2,10:17.0,,N. Johnson misses 3-pt jump shot from 23 ft,27,30
113,2,10:16.0,Defensive rebound by B. Diaw,,27,30
114,2,10:07.0,J. Ayres makes 2-pt hook shot from 8 ft (assist by M. Ginóbili),,29,30
115,2,9:49.0,,T. Jones makes 2-pt layup from 1 ft (assist by D. Howard),29,32
116,2,9:49.0,San Antonio full timeout,,29,32
117,2,9:49.0,,T. Ariza enters the game for N. Johnson,29,32
118,2,9:49.0,M. Bonner enters the game for B. Diaw,,29,32
119,2,9:49.0,K. Leonard enters the game for M. Ginóbili,,29,32
120,2,9:24.0,J. Ayres misses 2-pt jump shot from 12 ft,,29,32
121,2,9:23.0,,Defensive rebound by D. Howard,29,32
122,2,9:02.0,,D. Howard misses 2-pt hook shot from 6 ft,29,32
123,2,9:01.0,,Offensive rebound by C. Brewer,29,32
124,2,9:01.0,,Shooting foul by K. Leonard (drawn by C. Brewer),29,32
125,2,9:01.0,,C. Brewer misses free throw 1 of 2,29,32
126,2,9:01.0,,Offensive rebound by Team,29,32
127,2,9:01.0,,J. Terry enters the game for P. Prigioni,29,32
128,2,9:01.0,,C. Brewer makes free throw 2 of 2,29,33
129,2,8:43.0,Shooting foul by J. Terry (drawn by C. Joseph),,29,33
130,2,8:43.0,C. Joseph makes free throw 1 of 2,,30,33
131,2,8:43.0,A. Baynes enters the game for J. Ayres,,30,33
132,2,8:43.0,C. Joseph misses free throw 2 of 2,,30,33
133,2,8:43.0,,Defensive rebound by D. Howard,30,33
134,2,8:24.0,,Turnover by D. Howard (bad pass; steal by K. Leonard),30,33
135,2,8:13.0,M. Bonner misses 3-pt jump shot from 23 ft,,30,33
136,2,8:12.0,,Defensive rebound by D. Howard,30,33
137,2,7:53.0,,T. Jones misses 2-pt jump shot from 6 ft,30,33
138,2,7:53.0,Defensive rebound by Team,,30,33
139,2,7:53.0,,Loose ball foul by T. Jones (drawn by M. Bonner),30,33
140,2,7:53.0,T. Parker enters the game for C. Joseph,,30,33
141,2,7:53.0,,J. Smith enters the game for D. Howard,30,33
142,2,7:40.0,M. Belinelli makes 2-pt jump shot from 21 ft,,32,33
143,2,7:24.0,,Turnover by C. Brewer (bad pass; steal by K. Leonard),32,33
144,2,7:19.0,K. Leonard misses 2-pt layup from 2 ft,,32,33
145,2,7:17.0,,Defensive rebound by J. Smith,32,33
146,2,7:12.0,,J. Smith misses 3-pt jump shot from 24 ft,32,33
147,2,7:10.0,Defensive rebound by A. Baynes,,32,33
148,2,6:55.0,T. Parker misses 2-pt jump shot from 11 ft,,32,33
149,2,6:53.0,,Defensive rebound by J. Smith,32,33
150,2,6:42.0,,J. Smith makes 2-pt hook shot from 6 ft,32,35
151,2,6:34.0,Turnover by K. Leonard (bad pass; steal by J. Smith),,32,35
152,2,6:31.0,,J. Smith makes 2-pt dunk at rim,32,37
153,2,6:06.0,M. Belinelli misses 3-pt jump shot from 29 ft,,32,37
154,2,6:05.0,,Defensive rebound by C. Brewer,32,37
155,2,6:01.0,,Shooting foul by M. Bonner (drawn by C. Brewer),32,37
156,2,6:01.0,,C. Brewer makes free throw 1 of 2,32,38
157,2,6:01.0,T. Duncan enters the game for A. Baynes,,32,38
158,2,6:01.0,,J. Dorsey enters the game for T. Jones,32,38
159,2,6:01.0,,C. Brewer makes free throw 2 of 2,32,39
160,2,5:46.0,K. Leonard misses 2-pt layup from 1 ft,,32,39
161,2,5:44.0,Offensive rebound by K. Leonard,,32,39
162,2,5:43.0,K. Leonard misses 2-pt layup from 1 ft,,32,39
163,2,5:41.0,,Defensive rebound by C. Brewer,32,39
164,2,5:36.0,,Turnover by T. Ariza (traveling),32,39
165,2,5:36.0,Official timeout,,32,39
166,2,5:36.0,,J. Harden enters the game for C. Brewer,32,39
167,2,5:36.0,D. Green enters the game for M. Belinelli,,32,39
168,2,5:28.0,Personal foul by T. Ariza (drawn by K. Leonard),,32,39
169,2,5:18.0,T. Duncan makes 2-pt jump shot from 5 ft,,34,39
170,2,5:01.0,,J. Harden misses 2-pt jump shot from 12 ft,34,39
171,2,4:58.0,Defensive rebound by K. Leonard,,34,39
172,2,4:58.0,Personal foul by J. Harden (drawn by K. Leonard),,34,39
173,2,4:58.0,K. Leonard makes free throw 1 of 2,,35,39
174,2,4:58.0,K. Leonard makes free throw 2 of 2,,36,39
175,2,4:40.0,,J. Terry misses 2-pt jump shot from 22 ft,36,39
176,2,4:39.0,,Offensive rebound by J. Dorsey,36,39
177,2,4:33.0,,J. Smith misses 2-pt hook shot from 9 ft,36,39
178,2,4:31.0,,Offensive rebound by Team,36,39
179,2,4:31.0,Violation by Team (jump ball),,36,39
180,2,4:19.0,,J. Smith misses 3-pt jump shot from 25 ft,36,39
181,2,4:18.0,Defensive rebound by K. Leonard,,36,39
182,2,4:13.0,K. Leonard misses 2-pt layup from 1 ft,,36,39
183,2,4:11.0,,Defensive rebound by J. Dorsey,36,39
184,2,4:07.0,,J. Terry makes 3-pt jump shot from 23 ft (assist by J. Harden),36,42
185,2,3:46.0,T. Duncan makes 2-pt layup from 1 ft (assist by T. Parker),,38,42
186,2,3:29.0,,J. Harden misses 2-pt layup at rim,38,42
187,2,3:27.0,Defensive rebound by T. Duncan,,38,42
188,2,3:13.0,T. Duncan makes 2-pt jump shot from 5 ft,,40,42
189,2,3:06.0,,Houston full timeout,40,42
190,2,3:06.0,A. Baynes enters the game for M. Bonner,,40,42
191,2,3:06.0,,D. Howard enters the game for J. Smith,40,42
192,2,3:06.0,,T. Jones enters the game for J. Dorsey,40,42
193,2,2:52.0,,Turnover by T. Jones (bad pass),40,42
194,2,2:30.0,T. Parker misses 2-pt jump shot from 19 ft,,40,42
195,2,2:29.0,,Defensive rebound by D. Howard,40,42
196,2,2:23.0,,J. Harden makes 3-pt jump shot from 25 ft,40,45
197,2,1:58.0,D. Green misses 3-pt jump shot from 23 ft,,40,45
198,2,1:57.0,,Defensive rebound by D. Howard,40,45
199,2,1:37.0,,Turnover by J. Harden (lost ball; steal by K. Leonard),40,45
200,2,1:35.0,Turnover by T. Duncan (lost ball; steal by J. Harden),,40,45
201,2,1:31.0,,Turnover by T. Jones (bad pass),40,45
202,2,1:18.0,Personal foul by T. Jones (drawn by A. Baynes),,40,45
203,2,1:18.0,A. Baynes makes free throw 1 of 2,,41,45
204,2,1:18.0,A. Baynes makes free throw 2 of 2,,42,45
205,2,1:05.0,,T. Ariza misses 3-pt jump shot from 23 ft,42,45
206,2,1:04.0,Defensive rebound by T. Parker,,42,45
207,2,0:55.0,D. Green misses 2-pt jump shot from 12 ft,,42,45
