,QUARTER,TIME_REMAINING,HOUSTON_ACTION,MIAMI_ACTION,HOUSTON_SCORE,MIAMI_SCORE
0,1,11:43.0,,C. Bosh makes 2-pt jump shot from 16 ft,0,2
1,1,11:27.0,D. Howard makes 2-pt hook shot from 8 ft (assist by J. Harden),,2,2
2,1,11:16.0,,Shooting foul by D. Motiejūnas (drawn by L. Deng),2,2
3,1,11:16.0,,L. Deng makes free throw 1 of 2,2,3
4,1,11:16.0,,L. Deng makes free throw 2 of 2,2,4
5,1,11:06.0,Turnover by J. Harden (bad pass; steal by N. Cole),,2,4
6,1,11:00.0,,L. Deng makes 2-pt dunk at rim (assist by S. Williams),2,6
7,1,10:43.0,P. Beverley makes 3-pt jump shot from 22 ft (assist by J. Harden),,5,6
8,1,10:31.0,,Personal foul by D. Motiejūnas (drawn by N. Cole),5,6
9,1,10:31.0,K. Papanikolaou enters the game for D. Motiejūnas,,5,6
10,1,10:16.0,,L. Deng misses 2-pt layup from 1 ft,5,6
11,1,10:15.0,,Offensive rebound by C. Bosh,5,6
12,1,10:14.0,,C. Bosh makes 2-pt dunk at rim,5,8
13,1,9:58.0,D. Howard makes 2-pt dunk at rim (assist by K. Papanikolaou),,7,8
14,1,9:43.0,,N. Cole misses 2-pt jump shot from 18 ft,7,8
15,1,9:42.0,Defensive rebound by T. Ariza,,7,8
16,1,9:34.0,K. Papanikolaou makes 3-pt jump shot from 23 ft (assist by T. Ariza),,10,8
17,1,9:13.0,,S. Williams makes 3-pt jump shot from 24 ft (assist by D. Wade),10,11
18,1,8:58.0,Turnover by J. Harden (bad pass; steal by L. Deng),,10,11
19,1,8:55.0,,N. Cole misses 2-pt layup from 1 ft (block by J. Harden),10,11
20,1,8:54.0,,Offensive rebound by Team,10,11
21,1,8:51.0,,D. Wade misses 2-pt jump shot from 16 ft,10,11
22,1,8:50.0,Defensive rebound by K. Papanikolaou,,10,11
23,1,8:43.0,Offensive foul by T. Ariza (drawn by N. Cole),,10,11
24,1,8:43.0,Turnover by T. Ariza (offensive foul),,10,11
25,1,8:27.0,,L. Deng makes 3-pt jump shot from 25 ft (assist by D. Wade),10,14
26,1,8:15.0,P. Beverley makes 3-pt jump shot from 23 ft (assist by T. Ariza),,13,14
27,1,7:52.0,,N. Cole misses 2-pt jump shot from 19 ft,13,14
28,1,7:51.0,Defensive rebound by D. Howard,,13,14
29,1,7:33.0,D. Howard makes 2-pt layup from 1 ft (assist by K. Papanikolaou),,15,14
30,1,7:27.0,,Miami full timeout,15,14
31,1,7:27.0,,J. Hamilton enters the game for C. Bosh,15,14
32,1,7:14.0,,S. Williams makes 3-pt jump shot from 24 ft (assist by N. Cole),15,17
33,1,6:51.0,D. Howard makes 2-pt dunk at rim (assist by K. Papanikolaou),,17,17
34,1,6:31.0,,D. Wade makes 2-pt jump shot from 15 ft,17,19
35,1,6:16.0,K. Papanikolaou misses 3-pt jump shot from 24 ft,,17,19
36,1,6:15.0,,Defensive rebound by J. Hamilton,17,19
37,1,5:57.0,,L. Deng makes 2-pt jump shot from 14 ft,17,21
38,1,5:38.0,Def 3 sec tech foul by L. Deng,,17,21
39,1,5:38.0,J. Harden makes technical free throw,,18,21
40,1,5:38.0,,M. Chalmers enters the game for N. Cole,18,21
41,1,5:27.0,D. Howard makes 2-pt layup from 2 ft (assist by K. Papanikolaou),,20,21
42,1,5:10.0,,D. Wade makes 2-pt jump shot from 14 ft,20,23
43,1,4:52.0,Shooting foul by J. Hamilton (drawn by D. Howard),,20,23
44,1,4:52.0,D. Howard makes free throw 1 of 2,,21,23
45,1,4:52.0,D. Howard makes free throw 2 of 2,,22,23
46,1,4:40.0,,Turnover by Team (back court),22,23
47,1,4:21.0,Turnover by J. Harden (lost ball; steal by M. Chalmers),,22,23
48,1,4:14.0,,S. Napier enters the game for D. Wade,22,23
49,1,4:14.0,J. Terry enters the game for P. Beverley,,22,23
50,1,3:56.0,,M. Chalmers misses 3-pt jump shot from 24 ft,22,23
51,1,3:55.0,,Offensive rebound by J. Hamilton,22,23
52,1,3:41.0,,M. Chalmers misses 2-pt jump shot from 13 ft,22,23
53,1,3:40.0,Defensive rebound by K. Papanikolaou,,22,23
54,1,3:18.0,D. Howard misses 2-pt hook shot from 7 ft,,22,23
55,1,3:17.0,,Defensive rebound by L. Deng,22,23
56,1,3:15.0,Offensive charge foul by L. Deng (drawn by K. Papanikolaou),,22,23
57,1,3:15.0,,Turnover by L. Deng (offensive foul),22,23
58,1,3:15.0,J. Dorsey enters the game for D. Howard,,22,23
59,1,3:15.0,,J. Ennis enters the game for L. Deng,22,23
60,1,3:15.0,,C. Bosh enters the game for S. Williams,22,23
61,1,2:54.0,J. Harden misses 2-pt layup from 1 ft (block by J. Hamilton),,22,23
62,1,2:53.0,Offensive rebound by J. Terry,,22,23
63,1,2:49.0,J. Terry makes 3-pt jump shot from 23 ft,,25,23
64,1,2:33.0,,S. Napier makes 2-pt jump shot from 19 ft,25,25
65,1,2:15.0,J. Harden makes 3-pt jump shot from 24 ft (assist by J. Terry),,28,25
66,1,1:56.0,,C. Bosh misses 2-pt layup at rim (block by J. Dorsey),28,25
67,1,1:55.0,,Offensive rebound by J. Hamilton,28,25
68,1,1:54.0,,Turnover by S. Napier (traveling),28,25
69,1,1:54.0,Houston full timeout,,28,25
70,1,1:42.0,J. Harden misses 3-pt jump shot from 25 ft,,28,25
71,1,1:41.0,Offensive rebound by Team,,28,25
72,1,1:39.0,P. Beverley enters the game for T. Ariza,,28,25
73,1,1:24.0,J. Harden misses 2-pt jump shot from 12 ft,,28,25
74,1,1:23.0,,Defensive rebound by C. Bosh,28,25
75,1,1:00.0,,J. Hamilton makes 3-pt jump shot from 25 ft (assist by C. Bosh),28,28
76,1,0:50.0,K. Papanikolaou misses 3-pt jump shot from 25 ft,,28,28
77,1,0:49.0,,Defensive rebound by J. Ennis,28,28
78,1,0:41.0,,J. Hamilton makes 3-pt jump shot from 25 ft (assist by S. Napier),28,31
79,1,0:30.0,Shooting foul by J. Ennis (drawn by J. Harden),,28,31
80,1,0:30.0,J. Harden makes free throw 1 of 2,,29,31
81,1,0:30.0,D. Howard enters the game for J. Dorsey,,29,31
82,1,0:30.0,J. Harden makes free throw 2 of 2,,30,31
83,1,0:15.0,,Personal foul by P. Beverley (drawn by C. Bosh),30,31
84,1,0:15.0,Violation by Team (delay of game),,30,31
85,1,0:01.0,,Turnover by M. Chalmers (lost ball; steal by D. Howard),30,31
86,2,11:47.0,Shooting foul by C. Bosh (drawn by D. Howard),,30,31
87,2,11:47.0,D. Howard makes free throw 1 of 2,,31,31
88,2,11:47.0,D. Howard misses free throw 2 of 2,,31,31
