,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW YORK_ACTION,MILWAUKEE_SCORE,NEW YORK_SCORE
0,1,11:49.0,,L. Galloway misses 3-pt jump shot from 26 ft,0,0
1,1,11:47.0,Defensive rebound by K. Middleton,,0,0
2,1,11:30.0,E. İlyasova misses 2-pt jump shot from 15 ft,,0,0
3,1,11:29.0,,Defensive rebound by C. Aldrich,0,0
4,1,11:21.0,,Turnover by T. Hardaway (bad pass; steal by K. Middleton),0,0
5,1,11:17.0,M. Carter-Williams makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,2,0
6,1,10:56.0,,L. Galloway makes 2-pt layup from 1 ft (assist by C. Aldrich),2,2
7,1,10:42.0,G. Antetokounmpo misses 2-pt jump shot from 20 ft,,2,2
8,1,10:41.0,Offensive rebound by G. Antetokounmpo,,2,2
9,1,10:37.0,G. Antetokounmpo makes 2-pt jump shot from 20 ft,,4,2
10,1,10:27.0,,Personal foul by E. İlyasova (drawn by Q. Acy),4,2
11,1,10:12.0,,T. Hardaway misses 3-pt jump shot from 23 ft,4,2
12,1,10:10.0,Defensive rebound by Z. Pachulia,,4,2
13,1,10:03.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by M. Carter-Williams),,6,2
14,1,9:44.0,,T. Hardaway makes 3-pt jump shot from 23 ft (assist by L. Galloway),6,5
15,1,9:28.0,K. Middleton misses 2-pt jump shot from 16 ft,,6,5
16,1,9:26.0,,Defensive rebound by Q. Acy,6,5
17,1,9:21.0,,L. Galloway makes 2-pt layup from 1 ft (assist by T. Hardaway),6,7
18,1,9:06.0,K. Middleton misses 3-pt jump shot from 23 ft,,6,7
19,1,9:04.0,,Defensive rebound by C. Aldrich,6,7
20,1,9:03.0,,Turnover by C. Aldrich (bad pass; steal by K. Middleton),6,7
21,1,9:01.0,K. Middleton makes 2-pt layup from 2 ft,,8,7
22,1,8:42.0,,Turnover by T. Hardaway (bad pass),8,7
23,1,8:31.0,G. Antetokounmpo misses 2-pt jump shot from 3 ft,,8,7
24,1,8:29.0,,Defensive rebound by C. Aldrich,8,7
25,1,8:16.0,,L. Galloway makes 2-pt jump shot from 4 ft (assist by C. Aldrich),8,9
26,1,8:06.0,Personal foul by C. Aldrich (drawn by Z. Pachulia),,8,9
27,1,7:59.0,M. Carter-Williams makes 2-pt jump shot from 6 ft,,10,9
28,1,7:46.0,,Q. Acy misses 2-pt jump shot from 18 ft,10,9
29,1,7:44.0,Defensive rebound by G. Antetokounmpo,,10,9
30,1,7:33.0,E. İlyasova misses 2-pt layup from 1 ft,,10,9
31,1,7:31.0,,Defensive rebound by L. Galloway,10,9
32,1,7:27.0,,L. Galloway misses 2-pt layup from 1 ft,10,9
33,1,7:26.0,Defensive rebound by Z. Pachulia,,10,9
34,1,7:15.0,Personal foul by T. Hardaway (drawn by G. Antetokounmpo),,10,9
35,1,7:10.0,Z. Pachulia misses 2-pt layup from 1 ft,,10,9
36,1,7:08.0,,Defensive rebound by Q. Acy,10,9
37,1,6:52.0,,C. Aldrich makes 2-pt hook shot from 3 ft (assist by L. Thomas),10,11
38,1,6:38.0,Z. Pachulia makes 2-pt layup from 1 ft (assist by M. Carter-Williams),,12,11
39,1,6:38.0,Shooting foul by L. Galloway (drawn by Z. Pachulia),,12,11
40,1,6:38.0,Z. Pachulia makes free throw 1 of 1,,13,11
41,1,6:23.0,,T. Hardaway misses 2-pt layup from 1 ft,13,11
42,1,6:22.0,Defensive rebound by K. Middleton,,13,11
43,1,6:13.0,M. Carter-Williams makes 2-pt jump shot from 18 ft,,15,11
44,1,5:52.0,,C. Aldrich misses 2-pt hook shot from 3 ft,15,11
45,1,5:50.0,Defensive rebound by M. Carter-Williams,,15,11
46,1,5:45.0,M. Carter-Williams misses 2-pt jump shot from 3 ft (block by C. Aldrich),,15,11
47,1,5:42.0,,Defensive rebound by T. Hardaway,15,11
48,1,5:39.0,,T. Hardaway misses 2-pt layup from 2 ft (block by G. Antetokounmpo),15,11
49,1,5:36.0,Defensive rebound by G. Antetokounmpo,,15,11
50,1,5:34.0,G. Antetokounmpo makes 2-pt dunk at rim,,17,11
51,1,5:31.0,,New York full timeout,17,11
52,1,5:31.0,,L. Amundson enters the game for Q. Acy,17,11
53,1,5:31.0,,S. Larkin enters the game for C. Aldrich,17,11
54,1,5:31.0,,J. Smith enters the game for T. Hardaway,17,11
55,1,5:09.0,,L. Amundson misses 2-pt layup from 2 ft,17,11
56,1,5:07.0,,Offensive rebound by L. Amundson,17,11
57,1,5:06.0,,Turnover by Team (shot clock),17,11
58,1,4:51.0,G. Antetokounmpo misses 2-pt hook shot from 3 ft,,17,11
59,1,4:49.0,,Defensive rebound by J. Smith,17,11
60,1,4:33.0,,L. Galloway misses 2-pt jump shot from 20 ft,17,11
61,1,4:31.0,Defensive rebound by Z. Pachulia,,17,11
62,1,4:20.0,K. Middleton misses 2-pt jump shot from 10 ft,,17,11
63,1,4:18.0,,Defensive rebound by S. Larkin,17,11
64,1,4:13.0,,Personal foul by Z. Pachulia (drawn by L. Amundson),17,11
65,1,4:13.0,J. Henson enters the game for Z. Pachulia,,17,11
66,1,4:04.0,,J. Smith makes 2-pt jump shot from 8 ft,17,13
67,1,3:46.0,E. İlyasova misses 2-pt jump shot from 4 ft (block by L. Amundson),,17,13
68,1,3:44.0,,Defensive rebound by L. Amundson,17,13
69,1,3:38.0,,L. Thomas makes 2-pt layup from 1 ft (assist by L. Galloway),17,15
70,1,3:20.0,G. Antetokounmpo misses 2-pt jump shot from 21 ft,,17,15
71,1,3:18.0,,Defensive rebound by L. Amundson,17,15
72,1,3:01.0,,L. Amundson makes 2-pt jump shot from 3 ft,17,17
73,1,2:49.0,J. Henson makes 2-pt dunk at rim (assist by K. Middleton),,19,17
74,1,2:30.0,,Turnover by J. Smith (lost ball),19,17
