,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,CLEVELAND_ACTION,GOLDEN STATE_SCORE,CLEVELAND_SCORE
0,1,11:48.0,,J. Smith makes 2-pt layup at rim (assist by L. James),0,2
1,1,11:29.0,H. Barnes makes 3-pt jump shot from 22 ft (assist by K. Thompson),,3,2
2,1,11:15.0,,Shooting foul by H. Barnes (drawn by L. James),3,2
3,1,11:15.0,,L. James makes free throw 1 of 2,3,3
4,1,11:15.0,,L. James makes free throw 2 of 2,3,4
5,1,11:00.0,D. Green misses 2-pt jump shot from 16 ft,,3,4
6,1,10:59.0,,Defensive rebound by T. Mozgov,3,4
7,1,10:44.0,,T. Mozgov misses 2-pt hook shot from 9 ft,3,4
8,1,10:43.0,Defensive rebound by D. Green,,3,4
9,1,10:39.0,Shooting foul by K. Irving (drawn by D. Green),,3,4
10,1,10:39.0,D. Green misses free throw 1 of 2,,3,4
11,1,10:39.0,Offensive rebound by Team,,3,4
12,1,10:39.0,D. Green makes free throw 2 of 2,,4,4
13,1,10:20.0,,L. James makes 2-pt hook shot from 6 ft,4,6
14,1,10:08.0,Turnover by K. Thompson (bad pass; steal by K. Irving),,4,6
15,1,10:03.0,,K. Irving makes 2-pt dunk at rim,4,8
16,1,9:54.0,S. Curry makes 3-pt jump shot from 24 ft (assist by A. Bogut),,7,8
17,1,9:32.0,,Shooting foul by K. Thompson (drawn by J. Smith),7,8
18,1,9:32.0,,J. Smith makes free throw 1 of 2,7,9
19,1,9:32.0,,J. Smith makes free throw 2 of 2,7,10
20,1,9:15.0,S. Curry misses 3-pt jump shot from 26 ft,,7,10
21,1,9:14.0,,Defensive rebound by K. Love,7,10
22,1,9:07.0,,L. James misses 2-pt jump shot from 4 ft (block by A. Bogut),7,10
23,1,9:05.0,Defensive rebound by H. Barnes,,7,10
24,1,8:56.0,H. Barnes misses 3-pt jump shot from 24 ft,,7,10
25,1,8:54.0,,Defensive rebound by K. Love,7,10
26,1,8:43.0,,Shooting foul by D. Green (drawn by L. James),7,10
27,1,8:43.0,,L. James misses free throw 1 of 2,7,10
28,1,8:43.0,,Offensive rebound by Team,7,10
29,1,8:43.0,,L. James makes free throw 2 of 2,7,11
30,1,8:28.0,D. Green misses 3-pt jump shot from 25 ft,,7,11
31,1,8:26.0,,Defensive rebound by T. Mozgov,7,11
32,1,8:15.0,,T. Mozgov misses 2-pt jump shot from 3 ft (block by A. Bogut),7,11
33,1,8:13.0,Defensive rebound by A. Bogut,,7,11
34,1,8:02.0,A. Bogut makes 2-pt jump shot from 5 ft (assist by H. Barnes),,9,11
35,1,7:48.0,,K. Irving misses 3-pt jump shot from 23 ft,9,11
36,1,7:47.0,,Offensive rebound by J. Smith,9,11
37,1,7:44.0,,K. Love misses 3-pt jump shot from 24 ft,9,11
38,1,7:43.0,Defensive rebound by K. Thompson,,9,11
39,1,7:34.0,Turnover by K. Thompson (lost ball; steal by J. Smith),,9,11
40,1,7:29.0,,L. James makes 2-pt layup at rim (assist by J. Smith),9,13
41,1,7:21.0,D. Green makes 2-pt dunk at rim (assist by H. Barnes),,11,13
42,1,6:57.0,,Turnover by L. James (traveling),11,13
43,1,6:48.0,A. Bogut misses 2-pt jump shot from 3 ft (block by T. Mozgov),,11,13
44,1,6:46.0,Offensive rebound by A. Bogut,,11,13
45,1,6:41.0,S. Curry makes 3-pt jump shot from 23 ft (assist by A. Bogut),,14,13
46,1,6:23.0,,Turnover by J. Smith (bad pass; steal by S. Curry),14,13
47,1,6:15.0,K. Thompson misses 3-pt jump shot from 24 ft,,14,13
48,1,6:14.0,,Defensive rebound by T. Mozgov,14,13
49,1,5:56.0,,T. Mozgov makes 2-pt layup at rim (assist by J. Smith),14,15
50,1,5:42.0,A. Bogut makes 2-pt layup at rim (assist by S. Curry),,16,15
51,1,5:39.0,,Cleveland full timeout,16,15
52,1,5:39.0,,I. Shumpert enters the game for L. James,16,15
53,1,5:39.0,A. Iguodala enters the game for H. Barnes,,16,15
54,1,5:30.0,,Shooting foul by D. Green (drawn by K. Love),16,15
55,1,5:30.0,,K. Love makes free throw 1 of 2,16,16
56,1,5:30.0,D. Lee enters the game for D. Green,,16,16
57,1,5:30.0,,K. Love makes free throw 2 of 2,16,17
58,1,5:07.0,Turnover by A. Bogut (3 sec),,16,17
59,1,4:49.0,,K. Love misses 2-pt jump shot from 11 ft,16,17
60,1,4:47.0,Defensive rebound by S. Curry,,16,17
61,1,4:42.0,S. Curry makes 3-pt jump shot from 25 ft,,19,17
