,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,HOUSTON_ACTION,GOLDEN STATE_SCORE,HOUSTON_SCORE
0,1,11:39.0,,P. Beverley makes 2-pt layup from 1 ft (assist by T. Ariza),0,2
1,1,11:18.0,D. Green misses 3-pt jump shot from 25 ft,,0,2
2,1,11:16.0,Offensive rebound by H. Barnes,,0,2
3,1,11:12.0,K. Thompson misses 2-pt jump shot from 20 ft,,0,2
4,1,11:10.0,,Defensive rebound by D. Howard,0,2
5,1,11:06.0,,Turnover by P. Beverley (bad pass; steal by K. Thompson),0,2
6,1,11:01.0,K. Thompson makes 2-pt dunk at rim,,2,2
7,1,10:44.0,,T. Ariza misses 2-pt jump shot from 14 ft,2,2
8,1,10:42.0,Defensive rebound by D. Green,,2,2
9,1,10:36.0,H. Barnes makes 3-pt jump shot from 22 ft (assist by S. Curry),,5,2
10,1,10:20.0,,P. Beverley misses 2-pt jump shot from 6 ft (block by A. Bogut),5,2
11,1,10:20.0,,Offensive rebound by Team,5,2
12,1,10:14.0,,J. Harden misses 2-pt jump shot from 13 ft (block by K. Thompson),5,2
13,1,10:13.0,Defensive rebound by K. Thompson,,5,2
14,1,10:08.0,S. Curry misses 2-pt jump shot from 22 ft,,5,2
15,1,10:06.0,Offensive rebound by S. Curry,,5,2
16,1,10:04.0,S. Curry makes 2-pt jump shot from 6 ft,,7,2
17,1,9:51.0,Offensive charge foul by D. Howard (drawn by A. Bogut),,7,2
18,1,9:51.0,,Turnover by D. Howard (offensive foul),7,2
19,1,9:51.0,,Technical foul by D. Howard,7,2
20,1,9:51.0,S. Curry makes technical free throw,,8,2
21,1,9:39.0,Shooting foul by P. Beverley (drawn by S. Curry),,8,2
22,1,9:39.0,,Houston full timeout,8,2
23,1,9:39.0,S. Curry misses free throw 1 of 2,,8,2
24,1,9:39.0,Offensive rebound by Team,,8,2
25,1,9:39.0,S. Curry makes free throw 2 of 2,,9,2
26,1,9:24.0,,D. Motiejūnas misses 2-pt jump shot from 4 ft,9,2
27,1,9:23.0,Defensive rebound by A. Bogut,,9,2
28,1,9:18.0,Turnover by A. Bogut (lost ball; steal by D. Motiejūnas),,9,2
29,1,9:15.0,,D. Motiejūnas misses 2-pt jump shot from 3 ft,9,2
30,1,9:13.0,Defensive rebound by H. Barnes,,9,2
31,1,9:10.0,A. Bogut misses 2-pt layup from 2 ft,,9,2
32,1,9:07.0,Offensive rebound by A. Bogut,,9,2
33,1,9:06.0,Turnover by A. Bogut (lost ball; steal by P. Beverley),,9,2
34,1,8:50.0,,D. Howard makes 2-pt hook shot from 6 ft,9,4
35,1,8:35.0,Shooting foul by J. Harden (drawn by K. Thompson),,9,4
36,1,8:35.0,K. Thompson misses free throw 1 of 2,,9,4
37,1,8:35.0,Offensive rebound by Team,,9,4
38,1,8:35.0,K. Thompson makes free throw 2 of 2,,10,4
39,1,8:26.0,,P. Beverley makes 2-pt layup from 1 ft,10,6
40,1,8:26.0,,Shooting foul by A. Bogut (drawn by P. Beverley),10,6
41,1,8:26.0,,P. Beverley makes free throw 1 of 1,10,7
42,1,8:15.0,Turnover by K. Thompson (step out of bounds),,10,7
43,1,8:01.0,,J. Harden misses 2-pt jump shot from 22 ft (block by K. Thompson),10,7
44,1,7:59.0,,Offensive rebound by J. Harden,10,7
45,1,7:55.0,,D. Motiejūnas makes 3-pt jump shot from 25 ft (assist by D. Howard),10,10
46,1,7:41.0,,Violation by P. Beverley (kicked ball),10,10
47,1,7:34.0,,Violation by D. Motiejūnas (kicked ball),10,10
48,1,7:26.0,Turnover by H. Barnes (traveling),,10,10
49,1,7:14.0,,J. Harden makes 2-pt layup from 1 ft (assist by P. Beverley),10,12
50,1,7:02.0,K. Thompson misses 3-pt jump shot from 25 ft,,10,12
51,1,7:01.0,,Defensive rebound by P. Beverley,10,12
52,1,6:45.0,,Shooting foul by H. Barnes (drawn by J. Harden),10,12
53,1,6:45.0,,J. Harden misses free throw 1 of 2,10,12
54,1,6:45.0,,Offensive rebound by Team,10,12
55,1,6:45.0,,J. Harden makes free throw 2 of 2,10,13
56,1,6:30.0,S. Curry misses 3-pt jump shot from 25 ft,,10,13
57,1,6:29.0,,Defensive rebound by T. Ariza,10,13
58,1,6:16.0,,Shooting foul by D. Green (drawn by D. Motiejūnas),10,13
59,1,6:16.0,,D. Motiejūnas makes free throw 1 of 3,10,14
60,1,6:16.0,,D. Motiejūnas makes free throw 2 of 3,10,15
61,1,6:16.0,,D. Motiejūnas makes free throw 3 of 3,10,16
62,1,6:04.0,A. Bogut makes 2-pt layup from 1 ft (assist by K. Thompson),,12,16
63,1,5:51.0,,Shooting foul by A. Bogut (drawn by D. Howard),12,16
64,1,5:51.0,,D. Howard makes free throw 1 of 2,12,17
65,1,5:51.0,M. Speights enters the game for A. Bogut,,12,17
66,1,5:51.0,,D. Howard makes free throw 2 of 2,12,18
67,1,5:37.0,D. Green makes 2-pt layup from 1 ft (assist by M. Speights),,14,18
68,1,5:28.0,,D. Howard makes 2-pt dunk at rim (assist by J. Harden),14,20
69,1,5:17.0,K. Thompson makes 2-pt jump shot from 18 ft (assist by S. Curry),,16,20
70,1,5:09.0,,P. Beverley misses 2-pt layup from 3 ft (block by K. Thompson),16,20
71,1,5:07.0,Defensive rebound by S. Curry,,16,20
72,1,4:58.0,M. Speights misses 2-pt hook shot from 3 ft,,16,20
73,1,4:56.0,,Defensive rebound by J. Harden,16,20
74,1,4:47.0,,J. Harden misses 3-pt jump shot from 25 ft,16,20
75,1,4:45.0,Defensive rebound by M. Speights,,16,20
76,1,4:42.0,D. Green makes 2-pt dunk at rim (assist by M. Speights),,18,20
77,1,4:29.0,,D. Howard misses 2-pt hook shot from 3 ft,18,20
78,1,4:28.0,Defensive rebound by D. Green,,18,20
79,1,4:22.0,H. Barnes misses 3-pt jump shot from 24 ft,,18,20
80,1,4:21.0,,Defensive rebound by D. Howard,18,20
81,1,4:05.0,,T. Ariza misses 3-pt jump shot from 24 ft,18,20
82,1,4:04.0,Defensive rebound by K. Thompson,,18,20
83,1,3:58.0,K. Thompson misses 3-pt jump shot from 24 ft,,18,20
84,1,3:56.0,Offensive rebound by H. Barnes,,18,20
85,1,3:52.0,S. Curry misses 3-pt jump shot from 25 ft,,18,20
86,1,3:52.0,,Defensive rebound by D. Motiejūnas,18,20
87,1,3:47.0,,D. Howard makes 2-pt dunk at rim (assist by T. Ariza),18,22
88,1,3:39.0,K. Thompson makes 2-pt layup from 1 ft (assist by S. Curry),,20,22
