,QUARTER,TIME_REMAINING,NEW YORK_ACTION,DETROIT_ACTION,NEW YORK_SCORE,DETROIT_SCORE
0,1,11:34.0,A. Bargnani makes 3-pt jump shot from 25 ft (assist by T. Hardaway),,3,0
1,1,11:21.0,,Shooting foul by L. Amundson (drawn by A. Drummond),3,0
2,1,11:21.0,,A. Drummond makes free throw 1 of 2,3,1
3,1,11:21.0,,A. Drummond makes free throw 2 of 2,3,2
4,1,11:06.0,T. Hardaway makes 2-pt jump shot from 8 ft (assist by L. Galloway),,5,2
5,1,10:50.0,,G. Monroe misses 2-pt layup from 1 ft,5,2
6,1,10:49.0,Defensive rebound by C. Early,,5,2
7,1,10:41.0,Shooting foul by A. Drummond (drawn by C. Early),,5,2
8,1,10:41.0,C. Early makes free throw 1 of 2,,6,2
9,1,10:41.0,C. Early makes free throw 2 of 2,,7,2
10,1,10:32.0,,Personal foul by C. Early (drawn by T. Prince),7,2
11,1,10:29.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by T. Prince),7,4
12,1,10:15.0,A. Bargnani makes 2-pt jump shot from 10 ft (assist by L. Amundson),,9,4
13,1,10:03.0,,R. Jackson misses 2-pt layup from 3 ft (block by L. Amundson),9,4
14,1,10:02.0,,Offensive rebound by Team,9,4
15,1,9:55.0,,K. Caldwell-Pope misses 2-pt jump shot from 11 ft,9,4
16,1,9:54.0,Defensive rebound by A. Bargnani,,9,4
17,1,9:42.0,L. Galloway makes 2-pt jump shot from 16 ft,,11,4
18,1,9:29.0,,G. Monroe misses 2-pt layup from 2 ft,11,4
19,1,9:28.0,Defensive rebound by A. Bargnani,,11,4
20,1,9:22.0,A. Bargnani misses 2-pt jump shot from 16 ft,,11,4
21,1,9:18.0,,Defensive rebound by A. Drummond,11,4
22,1,9:13.0,,T. Prince misses 2-pt jump shot from 16 ft,11,4
23,1,9:12.0,Defensive rebound by L. Galloway,,11,4
24,1,9:01.0,L. Galloway misses 2-pt jump shot from 12 ft,,11,4
25,1,9:00.0,Offensive rebound by L. Amundson,,11,4
26,1,8:56.0,L. Galloway misses 3-pt jump shot from 23 ft,,11,4
27,1,8:55.0,,Defensive rebound by T. Prince,11,4
28,1,8:41.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by G. Monroe),11,7
29,1,8:23.0,Turnover by L. Galloway (bad pass),,11,7
30,1,8:05.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,11,7
31,1,8:04.0,,Offensive rebound by T. Prince,11,7
32,1,7:53.0,,T. Prince misses 2-pt hook shot from 7 ft,11,7
33,1,7:50.0,,Offensive rebound by A. Drummond,11,7
34,1,7:48.0,,A. Drummond makes 2-pt tip-in at rim,11,9
35,1,7:35.0,T. Hardaway makes 2-pt jump shot from 17 ft (assist by A. Bargnani),,13,9
36,1,7:11.0,,G. Monroe makes 2-pt layup at rim (assist by K. Caldwell-Pope),13,11
37,1,7:05.0,New York full timeout,,13,11
38,1,6:53.0,A. Bargnani misses 2-pt layup from 1 ft (block by A. Drummond),,13,11
39,1,6:51.0,,Defensive rebound by T. Prince,13,11
40,1,6:41.0,,G. Monroe makes 2-pt layup from 2 ft,13,13
41,1,6:16.0,L. Amundson makes 2-pt jump shot from 15 ft (assist by L. Galloway),,15,13
42,1,5:51.0,,Personal foul by C. Early (drawn by T. Prince),15,13
43,1,5:51.0,L. Thomas enters the game for C. Early,,15,13
44,1,5:51.0,C. Aldrich enters the game for L. Amundson,,15,13
45,1,5:48.0,,R. Jackson misses 2-pt layup at rim (block by L. Galloway),15,13
46,1,5:47.0,,Offensive rebound by K. Caldwell-Pope,15,13
47,1,5:44.0,,K. Caldwell-Pope makes 2-pt layup from 2 ft,15,15
48,1,5:29.0,T. Hardaway misses 2-pt jump shot from 9 ft,,15,15
49,1,5:28.0,,Defensive rebound by T. Prince,15,15
50,1,5:17.0,,K. Caldwell-Pope misses 2-pt layup from 1 ft (block by C. Aldrich),15,15
51,1,5:16.0,,Offensive rebound by Team,15,15
52,1,5:09.0,,R. Jackson misses 2-pt jump shot from 10 ft,15,15
53,1,5:08.0,Defensive rebound by L. Thomas,,15,15
54,1,4:56.0,Turnover by T. Hardaway (lost ball; steal by K. Caldwell-Pope),,15,15
55,1,4:50.0,,G. Monroe makes 2-pt dunk at rim (assist by R. Jackson),15,17
56,1,4:33.0,L. Thomas misses 2-pt jump shot from 15 ft,,15,17
57,1,4:32.0,,Defensive rebound by A. Drummond,15,17
58,1,4:26.0,,Personal foul by L. Galloway (drawn by R. Jackson),15,17
59,1,4:26.0,J. Smith enters the game for A. Bargnani,,15,17
60,1,4:26.0,,A. Tolliver enters the game for T. Prince,15,17
61,1,4:26.0,,C. Butler enters the game for G. Monroe,15,17
62,1,4:19.0,,R. Jackson misses 2-pt layup from 1 ft (block by C. Aldrich),15,17
63,1,4:18.0,Defensive rebound by C. Aldrich,,15,17
64,1,4:13.0,T. Hardaway makes 2-pt layup at rim,,17,17
65,1,3:54.0,,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by R. Jackson),17,20
66,1,3:33.0,C. Aldrich misses 2-pt jump shot from 4 ft,,17,20
67,1,3:32.0,,Defensive rebound by A. Drummond,17,20
68,1,3:22.0,,R. Jackson misses 3-pt jump shot from 25 ft,17,20
69,1,3:20.0,,Offensive rebound by A. Drummond,17,20
70,1,3:08.0,,Personal foul by L. Galloway (drawn by R. Jackson),17,20
71,1,3:08.0,,R. Jackson makes free throw 1 of 2,17,21
72,1,3:08.0,S. Larkin enters the game for L. Galloway,,17,21
73,1,3:08.0,,R. Jackson makes free throw 2 of 2,17,22
