,QUARTER,TIME_REMAINING,HOUSTON_ACTION,INDIANA_ACTION,HOUSTON_SCORE,INDIANA_SCORE
0,1,11:49.0,,Turnover by S. Hill (bad pass; steal by D. Motiejūnas),0,0
1,1,11:33.0,Turnover by P. Beverley (bad pass; steal by G. Hill),,0,0
2,1,11:08.0,,S. Hill misses 3-pt jump shot from 27 ft,0,0
3,1,11:06.0,,Offensive rebound by Team,0,0
4,1,10:55.0,,R. Hibbert misses 2-pt jump shot from 10 ft,0,0
5,1,10:54.0,Defensive rebound by D. Motiejūnas,,0,0
6,1,10:46.0,P. Beverley makes 3-pt jump shot from 23 ft (assist by J. Harden),,3,0
7,1,10:26.0,,D. West makes 2-pt layup from 2 ft (assist by R. Hibbert),3,2
8,1,10:09.0,D. Motiejūnas makes 2-pt hook shot from 6 ft,,5,2
9,1,9:59.0,,Personal foul by D. Motiejūnas (drawn by R. Hibbert),5,2
10,1,9:45.0,,R. Hibbert makes 2-pt layup at rim (assist by D. West),5,4
11,1,9:32.0,Turnover by T. Ariza (bad pass),,5,4
12,1,9:16.0,,D. West misses 2-pt jump shot from 17 ft,5,4
13,1,9:15.0,Defensive rebound by T. Ariza,,5,4
14,1,9:11.0,J. Harden makes 2-pt layup from 1 ft,,7,4
15,1,9:11.0,Shooting foul by C. Miles (drawn by J. Harden),,7,4
16,1,9:11.0,J. Harden makes free throw 1 of 1,,8,4
17,1,8:59.0,,Offensive foul by D. West (drawn by J. Harden),8,4
18,1,8:59.0,,Turnover by D. West (offensive foul),8,4
19,1,8:46.0,Shooting foul by R. Hibbert (drawn by D. Motiejūnas),,8,4
20,1,8:46.0,D. Motiejūnas makes free throw 1 of 2,,9,4
21,1,8:46.0,D. Motiejūnas makes free throw 2 of 2,,10,4
22,1,8:31.0,,Turnover by S. Hill (bad pass; steal by T. Ariza),10,4
23,1,8:27.0,Shooting foul by C. Miles (drawn by J. Harden),,10,4
24,1,8:27.0,J. Harden makes free throw 1 of 2,,11,4
25,1,8:27.0,,D. Rudež enters the game for C. Miles,11,4
