,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,OKLAHOMA CITY_ACTION,CHARLOTTE_SCORE,OKLAHOMA CITY_SCORE
0,1,11:40.0,,Turnover by P. Jones (lost ball; steal by K. Walker),0,0
1,1,11:32.0,K. Walker misses 2-pt jump shot from 10 ft,,0,0
2,1,11:31.0,Offensive rebound by M. Kidd-Gilchrist,,0,0
3,1,11:27.0,C. Zeller makes 2-pt jump shot from 19 ft (assist by G. Henderson),,2,0
4,1,11:03.0,,R. Westbrook makes 2-pt jump shot from 7 ft,2,2
5,1,10:51.0,Offensive foul by M. Kidd-Gilchrist (drawn by S. Adams),,2,2
6,1,10:51.0,Turnover by M. Kidd-Gilchrist (offensive foul),,2,2
7,1,10:37.0,,S. Ibaka makes 2-pt dunk at rim (assist by R. Westbrook),2,4
8,1,10:15.0,C. Zeller misses 2-pt jump shot from 4 ft,,2,4
9,1,10:12.0,Offensive rebound by M. Kidd-Gilchrist,,2,4
10,1,10:07.0,A. Jefferson misses 2-pt jump shot from 12 ft,,2,4
11,1,10:06.0,,Defensive rebound by S. Ibaka,2,4
12,1,10:00.0,,S. Adams misses 2-pt hook shot from 2 ft,2,4
13,1,10:00.0,Defensive rebound by M. Kidd-Gilchrist,,2,4
14,1,9:43.0,A. Jefferson misses 2-pt jump shot from 3 ft (block by S. Adams),,2,4
15,1,9:42.0,,Defensive rebound by P. Jones,2,4
16,1,9:37.0,,R. Westbrook makes 2-pt jump shot from 12 ft,2,6
17,1,9:13.0,K. Walker misses 2-pt jump shot from 5 ft,,2,6
18,1,9:12.0,,Defensive rebound by S. Ibaka,2,6
19,1,9:01.0,,S. Ibaka misses 2-pt jump shot from 4 ft,2,6
20,1,9:00.0,Defensive rebound by G. Henderson,,2,6
21,1,8:51.0,C. Zeller misses 2-pt jump shot from 8 ft,,2,6
22,1,8:50.0,,Defensive rebound by S. Adams,2,6
23,1,8:34.0,,Shooting foul by A. Jefferson (drawn by S. Adams),2,6
24,1,8:34.0,,S. Adams misses free throw 1 of 2,2,6
25,1,8:34.0,,Offensive rebound by Team,2,6
26,1,8:34.0,,S. Adams makes free throw 2 of 2,2,7
27,1,8:19.0,K. Walker misses 3-pt jump shot from 25 ft,,2,7
28,1,8:18.0,,Defensive rebound by S. Adams,2,7
29,1,8:12.0,,R. Westbrook misses 2-pt jump shot from 17 ft,2,7
30,1,8:11.0,,Offensive rebound by Team,2,7
31,1,8:11.0,Loose ball foul by C. Zeller (drawn by S. Ibaka),,2,7
32,1,8:02.0,,R. Westbrook makes 2-pt layup at rim,2,9
33,1,7:49.0,Turnover by K. Walker (lost ball; steal by R. Westbrook),,2,9
34,1,7:42.0,,S. Ibaka misses 3-pt jump shot from 24 ft,2,9
35,1,7:41.0,Defensive rebound by M. Kidd-Gilchrist,,2,9
36,1,7:38.0,Shooting foul by P. Jones (drawn by M. Kidd-Gilchrist),,2,9
37,1,7:38.0,M. Kidd-Gilchrist makes free throw 1 of 2,,3,9
38,1,7:38.0,M. Kidd-Gilchrist makes free throw 2 of 2,,4,9
39,1,7:26.0,,P. Jones makes 2-pt jump shot from 5 ft,4,11
40,1,7:17.0,Turnover by G. Henderson (bad pass),,4,11
41,1,7:11.0,,A. Roberson makes 2-pt dunk at rim (assist by S. Adams),4,13
42,1,7:04.0,Charlotte full timeout,,4,13
43,1,6:49.0,Turnover by G. Henderson (bad pass),,4,13
44,1,6:43.0,,S. Ibaka misses 3-pt jump shot from 24 ft,4,13
45,1,6:42.0,Defensive rebound by A. Jefferson,,4,13
46,1,6:34.0,Shooting foul by S. Adams (drawn by K. Walker),,4,13
