,QUARTER,TIME_REMAINING,INDIANA_ACTION,MILWAUKEE_ACTION,INDIANA_SCORE,MILWAUKEE_SCORE
0,1,11:40.0,,K. Middleton makes 2-pt jump shot from 16 ft (assist by Z. Pachulia),0,2
1,1,11:15.0,L. Scola misses 2-pt jump shot from 4 ft,,0,2
2,1,11:15.0,Offensive rebound by Team,,0,2
3,1,11:15.0,Turnover by Team (shot clock),,0,2
4,1,10:59.0,,Turnover by K. Middleton (lost ball; steal by C. Miles),0,2
5,1,10:47.0,D. Rudež enters the game for C. Miles,,0,2
6,1,10:35.0,D. Rudež misses 2-pt jump shot from 10 ft,,0,2
7,1,10:35.0,Offensive rebound by Team,,0,2
8,1,10:35.0,Turnover by Team (shot clock),,0,2
9,1,10:14.0,,Z. Pachulia makes 2-pt layup at rim (assist by M. Carter-Williams),0,4
10,1,10:03.0,Turnover by G. Hill (lost ball),,0,4
11,1,9:53.0,,Turnover by M. Carter-Williams (traveling),0,4
12,1,9:33.0,L. Scola misses 2-pt jump shot from 15 ft,,0,4
13,1,9:33.0,Offensive rebound by Team,,0,4
14,1,9:33.0,,Loose ball foul by M. Carter-Williams (drawn by R. Hibbert),0,4
15,1,9:23.0,Turnover by L. Scola (bad pass; steal by E. İlyasova),,0,4
16,1,9:19.0,,G. Antetokounmpo misses 2-pt layup from 2 ft,0,4
17,1,9:17.0,,Offensive rebound by Z. Pachulia,0,4
18,1,9:17.0,,Z. Pachulia makes 2-pt tip-in at rim,0,6
19,1,9:00.0,Shooting foul by E. İlyasova (drawn by G. Hill),,0,6
20,1,9:00.0,G. Hill misses free throw 1 of 2,,0,6
21,1,9:00.0,Offensive rebound by Team,,0,6
22,1,9:00.0,G. Hill makes free throw 2 of 2,,1,6
23,1,8:43.0,,E. İlyasova misses 3-pt jump shot from 25 ft,1,6
24,1,8:42.0,Defensive rebound by G. Hill,,1,6
25,1,8:31.0,D. Rudež misses 3-pt jump shot from 24 ft,,1,6
26,1,8:30.0,,Defensive rebound by M. Carter-Williams,1,6
27,1,8:20.0,,E. İlyasova makes 2-pt jump shot from 15 ft (assist by G. Antetokounmpo),1,8
28,1,8:03.0,S. Hill misses 3-pt jump shot from 24 ft,,1,8
29,1,8:01.0,,Defensive rebound by E. İlyasova,1,8
30,1,7:55.0,,M. Carter-Williams makes 2-pt layup at rim,1,10
31,1,7:55.0,Indiana full timeout,,1,10
32,1,7:55.0,C. Miles enters the game for D. Rudež,,1,10
33,1,7:45.0,Turnover by G. Hill (bad pass; steal by Z. Pachulia),,1,10
34,1,7:27.0,,M. Carter-Williams misses 2-pt jump shot from 3 ft,1,10
35,1,7:24.0,Defensive rebound by G. Hill,,1,10
36,1,7:19.0,S. Hill makes 3-pt jump shot from 23 ft (assist by C. Miles),,4,10
37,1,7:01.0,,K. Middleton misses 3-pt jump shot from 24 ft,4,10
38,1,7:00.0,Defensive rebound by S. Hill,,4,10
39,1,6:45.0,Turnover by S. Hill (lost ball; steal by E. İlyasova),,4,10
40,1,6:45.0,,Personal foul by S. Hill (drawn by E. İlyasova),4,10
41,1,6:33.0,,K. Middleton makes 2-pt jump shot from 16 ft (assist by Z. Pachulia),4,12
42,1,6:15.0,G. Hill makes 3-pt jump shot from 26 ft,,7,12
43,1,6:04.0,,Shooting foul by S. Hill (drawn by K. Middleton),7,12
44,1,6:04.0,,K. Middleton makes free throw 1 of 2,7,13
45,1,6:04.0,D. Rudež enters the game for S. Hill,,7,13
46,1,6:04.0,,K. Middleton makes free throw 2 of 2,7,14
47,1,5:39.0,C. Miles misses 3-pt jump shot from 25 ft,,7,14
48,1,5:38.0,,Defensive rebound by Z. Pachulia,7,14
49,1,5:16.0,,Z. Pachulia misses 2-pt jump shot from 10 ft,7,14
50,1,5:15.0,,Offensive rebound by G. Antetokounmpo,7,14
51,1,5:15.0,,Shooting foul by C. Miles (drawn by G. Antetokounmpo),7,14
