,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,DENVER_ACTION,SAN ANTONIO_SCORE,DENVER_SCORE
0,1,11:36.0,,T. Lawson misses 2-pt jump shot from 21 ft,0,0
1,1,11:34.0,,Offensive rebound by J. Hickson,0,0
2,1,11:22.0,,T. Mozgov misses 2-pt jump shot from 14 ft,0,0
3,1,11:21.0,Defensive rebound by D. Green,,0,0
4,1,11:13.0,Shooting foul by W. Chandler (drawn by T. Splitter),,0,0
5,1,11:13.0,T. Splitter misses free throw 1 of 2,,0,0
6,1,11:13.0,Offensive rebound by Team,,0,0
7,1,11:13.0,T. Splitter misses free throw 2 of 2,,0,0
8,1,11:12.0,,Defensive rebound by A. Afflalo,0,0
9,1,10:59.0,,A. Afflalo makes 2-pt jump shot from 11 ft,0,2
10,1,10:40.0,K. Leonard misses 2-pt layup from 1 ft,,0,2
11,1,10:39.0,Offensive rebound by K. Leonard,,0,2
12,1,10:38.0,K. Leonard misses 2-pt layup from 1 ft,,0,2
13,1,10:36.0,,Defensive rebound by T. Lawson,0,2
14,1,10:24.0,,J. Hickson makes 2-pt layup from 2 ft,0,4
15,1,10:08.0,T. Duncan makes 2-pt jump shot from 18 ft (assist by C. Joseph),,2,4
16,1,9:45.0,,A. Afflalo makes 2-pt jump shot from 16 ft,2,6
17,1,9:31.0,T. Duncan misses 2-pt jump shot from 7 ft,,2,6
18,1,9:29.0,,Defensive rebound by T. Mozgov,2,6
19,1,9:20.0,,Shooting foul by C. Joseph (drawn by J. Hickson),2,6
20,1,9:20.0,,J. Hickson makes free throw 1 of 2,2,7
21,1,9:20.0,,J. Hickson makes free throw 2 of 2,2,8
22,1,9:04.0,T. Duncan makes 2-pt jump shot from 6 ft (assist by T. Splitter),,4,8
23,1,8:51.0,,A. Afflalo makes 2-pt jump shot from 14 ft (assist by T. Lawson),4,10
24,1,8:33.0,T. Duncan misses 2-pt jump shot from 7 ft (block by T. Mozgov),,4,10
25,1,8:31.0,,Defensive rebound by J. Hickson,4,10
26,1,8:24.0,,T. Mozgov misses 2-pt layup from 1 ft (block by K. Leonard),4,10
27,1,8:22.0,,Offensive rebound by T. Mozgov,4,10
28,1,8:22.0,,T. Mozgov misses 2-pt layup from 1 ft (block by T. Duncan),4,10
29,1,8:19.0,,Offensive rebound by T. Mozgov,4,10
30,1,8:15.0,,A. Afflalo misses 2-pt jump shot from 17 ft,4,10
31,1,8:14.0,Defensive rebound by T. Splitter,,4,10
32,1,8:05.0,T. Splitter makes 2-pt layup at rim (assist by T. Duncan),,6,10
33,1,7:57.0,,Offensive foul by T. Lawson (drawn by C. Joseph),6,10
34,1,7:57.0,,Turnover by T. Lawson (offensive foul),6,10
35,1,7:38.0,T. Duncan misses 2-pt jump shot from 10 ft,,6,10
36,1,7:37.0,Offensive rebound by T. Splitter,,6,10
37,1,7:25.0,D. Green makes 3-pt jump shot from 24 ft (assist by C. Joseph),,9,10
38,1,7:15.0,,Personal foul by D. Green (drawn by W. Chandler),9,10
39,1,7:03.0,,T. Lawson misses 3-pt jump shot from 25 ft,9,10
40,1,7:01.0,Defensive rebound by T. Duncan,,9,10
41,1,6:58.0,C. Joseph makes 2-pt layup at rim (assist by T. Duncan),,11,10
42,1,6:40.0,,A. Afflalo makes 3-pt jump shot from 25 ft (assist by T. Lawson),11,13
43,1,6:39.0,San Antonio full timeout,,11,13
44,1,6:27.0,D. Green misses 2-pt jump shot from 16 ft,,11,13
45,1,6:26.0,,Defensive rebound by Team,11,13
46,1,6:12.0,,T. Lawson makes 2-pt layup at rim,11,15
47,1,6:01.0,Turnover by D. Green (bad pass),,11,15
48,1,6:01.0,M. Ginóbili enters the game for C. Joseph,,11,15
49,1,6:01.0,M. Belinelli enters the game for K. Leonard,,11,15
50,1,5:47.0,,W. Chandler makes 2-pt jump shot from 3 ft (assist by T. Lawson),11,17
51,1,5:29.0,Turnover by T. Splitter (bad pass),,11,17
52,1,5:17.0,,W. Chandler misses 2-pt layup at rim,11,17
53,1,5:15.0,,Offensive rebound by W. Chandler,11,17
54,1,5:08.0,,W. Chandler misses 2-pt jump shot from 6 ft,11,17
55,1,5:05.0,Defensive rebound by T. Splitter,,11,17
56,1,4:48.0,M. Belinelli makes 3-pt jump shot from 23 ft (assist by M. Ginóbili),,14,17
57,1,4:32.0,,Offensive foul by A. Afflalo (drawn by M. Ginóbili),14,17
58,1,4:32.0,,Turnover by A. Afflalo (offensive foul),14,17
59,1,4:32.0,,G. Harris enters the game for W. Chandler,14,17
60,1,4:32.0,B. Diaw enters the game for T. Splitter,,14,17
61,1,4:18.0,B. Diaw misses 3-pt jump shot from 22 ft,,14,17
62,1,4:16.0,,Defensive rebound by T. Mozgov,14,17
63,1,4:08.0,,Turnover by A. Afflalo (traveling),14,17
64,1,3:52.0,Shooting foul by G. Harris (drawn by M. Belinelli),,14,17
65,1,3:52.0,M. Belinelli makes free throw 1 of 2,,15,17
66,1,3:52.0,,D. Arthur enters the game for J. Hickson,15,17
67,1,3:52.0,M. Belinelli makes free throw 2 of 2,,16,17
68,1,3:36.0,,Turnover by G. Harris (bad pass; steal by T. Duncan),16,17
69,1,3:21.0,Turnover by M. Ginóbili (bad pass; steal by G. Harris),,16,17
70,1,3:15.0,,A. Afflalo makes 2-pt jump shot from 17 ft (assist by G. Harris),16,19
71,1,3:01.0,Turnover by D. Green (bad pass; steal by D. Arthur),,16,19
72,1,2:57.0,,A. Afflalo misses 2-pt layup from 2 ft,16,19
73,1,2:54.0,Defensive rebound by B. Diaw,,16,19
74,1,2:49.0,D. Green misses 3-pt jump shot from 25 ft,,16,19
75,1,2:47.0,,Defensive rebound by D. Arthur,16,19
76,1,2:35.0,,A. Afflalo misses 3-pt jump shot from 23 ft,16,19
77,1,2:34.0,,Offensive rebound by T. Mozgov,16,19
78,1,2:33.0,,Personal foul by M. Ginóbili (drawn by T. Mozgov),16,19
79,1,2:33.0,,Denver full timeout,16,19
80,1,2:33.0,Technical foul by Team,,16,19
81,1,2:33.0,K. Leonard enters the game for T. Duncan,,16,19
82,1,2:33.0,A. Baynes enters the game for D. Green,,16,19
83,1,2:33.0,,A. Afflalo makes technical free throw,16,20
84,1,2:33.0,,A. Gee enters the game for A. Afflalo,16,20
85,1,2:18.0,,T. Mozgov misses 2-pt hook shot from 5 ft,16,20
86,1,2:17.0,Defensive rebound by M. Belinelli,,16,20
87,1,2:04.0,,J. Nurkić enters the game for T. Mozgov,16,20
88,1,2:01.0,M. Belinelli misses 2-pt jump shot from 20 ft,,16,20
89,1,1:59.0,,Defensive rebound by J. Nurkić,16,20
90,1,1:52.0,,T. Lawson misses 2-pt layup from 3 ft,16,20
91,1,1:50.0,,Offensive rebound by J. Nurkić,16,20
92,1,1:50.0,,J. Nurkić makes 2-pt tip-in at rim,16,22
93,1,1:37.0,M. Ginóbili misses 2-pt layup at rim (block by J. Nurkić),,16,22
94,1,1:35.0,,Defensive rebound by D. Arthur,16,22
95,1,1:27.0,,A. Gee misses 2-pt layup from 2 ft (block by K. Leonard),16,22
96,1,1:25.0,Defensive rebound by A. Baynes,,16,22
97,1,1:15.0,A. Baynes makes 2-pt jump shot from 11 ft (assist by B. Diaw),,18,22
98,1,0:58.0,,A. Gee misses 2-pt jump shot from 15 ft,18,22
99,1,0:56.0,Defensive rebound by A. Baynes,,18,22
100,1,0:47.0,A. Baynes makes 2-pt dunk at rim (assist by M. Ginóbili),,20,22
101,1,0:33.0,,G. Harris misses 3-pt jump shot from 25 ft,20,22
102,1,0:32.0,Defensive rebound by K. Leonard,,20,22
103,1,0:15.0,Turnover by B. Diaw (bad pass; steal by G. Harris),,20,22
104,1,0:06.0,,Personal take foul by M. Belinelli (drawn by T. Lawson),20,22
105,1,0:06.0,,N. Robinson enters the game for A. Gee,20,22
106,1,0:01.0,,N. Robinson misses 3-pt jump shot from 25 ft,20,22
107,1,0:00.0,,Offensive rebound by Team,20,22
108,2,11:43.0,K. Leonard misses 2-pt jump shot from 12 ft,,20,22
109,2,11:42.0,Offensive rebound by M. Belinelli,,20,22
110,2,11:41.0,,Loose ball foul by D. Arthur (drawn by A. Baynes),20,22
111,2,11:30.0,K. Leonard makes 2-pt jump shot from 19 ft (assist by B. Diaw),,22,22
112,2,11:11.0,,G. Harris misses 2-pt jump shot from 11 ft,22,22
113,2,11:10.0,Defensive rebound by Team,,22,22
114,2,10:53.0,K. Leonard misses 2-pt jump shot from 7 ft,,22,22
115,2,10:52.0,,Defensive rebound by D. Arthur,22,22
116,2,10:52.0,Loose ball foul by K. Leonard (drawn by D. Arthur),,22,22
117,2,10:40.0,,D. Arthur makes 2-pt dunk at rim (assist by J. Nurkić),22,24
118,2,10:28.0,Personal foul by N. Robinson (drawn by M. Belinelli),,22,24
119,2,10:23.0,Turnover by M. Ginóbili (bad pass; steal by J. Nurkić),,22,24
120,2,10:14.0,,Turnover by A. Gee (bad pass; steal by K. Leonard),22,24
121,2,10:10.0,Shooting foul by D. Arthur (drawn by K. Leonard),,22,24
122,2,10:10.0,K. Leonard makes free throw 1 of 2,,23,24
123,2,10:10.0,C. Joseph enters the game for M. Ginóbili,,23,24
124,2,10:10.0,K. Leonard makes free throw 2 of 2,,24,24
125,2,10:01.0,,Turnover by J. Nurkić (lost ball),24,24
126,2,10:01.0,D. Green enters the game for M. Belinelli,,24,24
127,2,9:39.0,A. Baynes makes 2-pt jump shot from 19 ft,,26,24
128,2,9:25.0,,Turnover by A. Gee (lost ball; steal by K. Leonard),26,24
129,2,9:24.0,,W. Chandler enters the game for A. Gee,26,24
130,2,9:16.0,B. Diaw misses 3-pt jump shot from 25 ft,,26,24
131,2,9:14.0,,Defensive rebound by J. Nurkić,26,24
132,2,8:55.0,,D. Arthur makes 3-pt jump shot from 25 ft (assist by W. Chandler),26,27
133,2,8:37.0,A. Baynes misses 2-pt hook shot from 4 ft,,26,27
134,2,8:35.0,,Defensive rebound by J. Nurkić,26,27
