,QUARTER,TIME_REMAINING,PHOENIX_ACTION,SACRAMENTO_ACTION,PHOENIX_SCORE,SACRAMENTO_SCORE
0,1,11:38.0,G. Dragić misses 2-pt jump shot from 7 ft,,0,0
1,1,11:37.0,,Defensive rebound by R. Evans,0,0
2,1,11:19.0,Violation by P. Tucker (kicked ball),,0,0
3,1,11:12.0,,J. Thompson makes 2-pt hook shot from 8 ft (assist by B. McLemore),0,2
4,1,11:02.0,M. Morris makes 2-pt layup from 3 ft (assist by E. Bledsoe),,2,2
5,1,10:54.0,,B. McLemore misses 2-pt jump shot from 4 ft (block by A. Len),2,2
6,1,10:53.0,,Offensive rebound by R. Evans,2,2
7,1,10:52.0,,R. Evans misses 2-pt jump shot from 2 ft (block by A. Len),2,2
8,1,10:50.0,Defensive rebound by A. Len,,2,2
9,1,10:44.0,P. Tucker misses 3-pt jump shot from 23 ft,,2,2
10,1,10:43.0,,Defensive rebound by R. Evans,2,2
11,1,10:27.0,,R. Gay misses 3-pt jump shot from 25 ft,2,2
12,1,10:26.0,Defensive rebound by A. Len,,2,2
13,1,10:15.0,A. Len misses 2-pt jump shot from 6 ft,,2,2
14,1,10:14.0,,Defensive rebound by J. Thompson,2,2
15,1,10:03.0,,D. Collison misses 3-pt jump shot from 25 ft,2,2
16,1,10:02.0,Defensive rebound by A. Len,,2,2
17,1,9:59.0,Shooting foul by J. Thompson (drawn by G. Dragić),,2,2
18,1,9:59.0,G. Dragić makes free throw 1 of 2,,3,2
19,1,9:59.0,G. Dragić makes free throw 2 of 2,,4,2
20,1,9:34.0,,R. Gay makes 2-pt jump shot from 18 ft,4,4
21,1,9:11.0,M. Morris misses 2-pt jump shot from 7 ft,,4,4
22,1,9:10.0,,Defensive rebound by R. Evans,4,4
23,1,8:55.0,,R. Gay misses 2-pt jump shot from 4 ft,4,4
24,1,8:54.0,Defensive rebound by P. Tucker,,4,4
25,1,8:48.0,E. Bledsoe makes 2-pt jump shot from 13 ft,,6,4
26,1,8:23.0,,Turnover by B. McLemore (lost ball; steal by M. Morris),6,4
27,1,8:20.0,Turnover by A. Len (bad pass),,6,4
28,1,8:06.0,,D. Collison misses 2-pt layup from 2 ft,6,4
29,1,8:06.0,,Offensive rebound by Team,6,4
30,1,8:02.0,,Shooting foul by G. Dragić (drawn by B. McLemore),6,4
31,1,8:02.0,,B. McLemore makes free throw 1 of 2,6,5
32,1,8:02.0,,B. McLemore misses free throw 2 of 2,6,5
33,1,8:01.0,Defensive rebound by P. Tucker,,6,5
34,1,7:46.0,P. Tucker misses 3-pt jump shot from 23 ft,,6,5
35,1,7:44.0,Offensive rebound by A. Len,,6,5
36,1,7:39.0,A. Len makes 2-pt dunk at rim (assist by G. Dragić),,8,5
37,1,7:24.0,,B. McLemore misses 3-pt jump shot from 23 ft,8,5
38,1,7:24.0,Defensive rebound by E. Bledsoe,,8,5
39,1,7:19.0,Turnover by E. Bledsoe (bad pass; steal by D. Collison),,8,5
40,1,7:08.0,,Shooting foul by P. Tucker (drawn by R. Evans),8,5
41,1,7:08.0,,R. Evans makes free throw 1 of 2,8,6
42,1,7:08.0,,R. Evans misses free throw 2 of 2,8,6
43,1,7:06.0,Defensive rebound by P. Tucker,,8,6
44,1,6:53.0,A. Len makes 2-pt dunk at rim (assist by E. Bledsoe),,10,6
45,1,6:34.0,,R. Evans makes 2-pt layup from 1 ft (assist by J. Thompson),10,8
46,1,6:25.0,Turnover by G. Dragić (lost ball),,10,8
47,1,6:13.0,,R. Gay misses 2-pt jump shot from 22 ft,10,8
48,1,6:12.0,Defensive rebound by A. Len,,10,8
49,1,5:59.0,E. Bledsoe misses 3-pt jump shot from 25 ft,,10,8
50,1,5:58.0,,Defensive rebound by R. Evans,10,8
51,1,5:47.0,,Turnover by D. Collison (lost ball; steal by M. Morris),10,8
52,1,5:43.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by G. Dragić),,12,8
53,1,5:43.0,Shooting foul by J. Thompson (drawn by E. Bledsoe),,12,8
54,1,5:43.0,,Sacramento full timeout,12,8
55,1,5:43.0,,D. Williams enters the game for J. Thompson,12,8
56,1,5:43.0,E. Bledsoe makes free throw 1 of 1,,13,8
57,1,5:20.0,,Turnover by R. Gay (bad pass),13,8
58,1,4:57.0,M. Morris misses 2-pt dunk at rim,,13,8
59,1,4:56.0,,Defensive rebound by Team,13,8
60,1,4:38.0,,R. Evans misses 2-pt jump shot from 3 ft,13,8
61,1,4:37.0,Defensive rebound by M. Morris,,13,8
62,1,4:26.0,G. Dragić misses 2-pt jump shot from 8 ft,,13,8
63,1,4:26.0,,Defensive rebound by R. Evans,13,8
64,1,4:13.0,,B. McLemore makes 3-pt jump shot from 23 ft (assist by D. Collison),13,11
65,1,3:50.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by E. Bledsoe),,16,11
66,1,3:35.0,,B. McLemore misses 2-pt jump shot from 4 ft (block by A. Len),16,11
67,1,3:33.0,Defensive rebound by G. Dragić,,16,11
68,1,3:29.0,G. Dragić misses 2-pt layup from 2 ft,,16,11
69,1,3:26.0,,Defensive rebound by R. Evans,16,11
70,1,3:24.0,,Shooting foul by P. Tucker (drawn by D. Williams),16,11
71,1,3:24.0,,D. Williams misses free throw 1 of 2,16,11
72,1,3:24.0,,Offensive rebound by Team,16,11
73,1,3:24.0,I. Thomas enters the game for P. Tucker,,16,11
74,1,3:24.0,M. Morris enters the game for A. Len,,16,11
75,1,3:24.0,M. Plumlee enters the game for G. Dragić,,16,11
76,1,3:24.0,,D. Williams misses free throw 2 of 2,16,11
77,1,3:22.0,Defensive rebound by M. Plumlee,,16,11
78,1,3:14.0,Shooting foul by R. Evans (drawn by M. Plumlee),,16,11
79,1,3:14.0,M. Plumlee makes free throw 1 of 2,,17,11
80,1,3:14.0,,O. Casspi enters the game for R. Gay,17,11
81,1,3:14.0,,C. Landry enters the game for R. Evans,17,11
82,1,3:14.0,M. Plumlee makes free throw 2 of 2,,18,11
83,1,2:50.0,,Turnover by Team (shot clock),18,11
84,1,2:50.0,Phoenix full timeout,,18,11
85,1,2:50.0,,R. McCallum enters the game for D. Collison,18,11
86,1,2:37.0,E. Bledsoe makes 2-pt layup from 2 ft (assist by M. Morris),,20,11
87,1,2:21.0,,C. Landry misses 2-pt jump shot from 4 ft,20,11
88,1,2:20.0,Defensive rebound by E. Bledsoe,,20,11
89,1,2:15.0,E. Bledsoe misses 2-pt layup from 2 ft,,20,11
90,1,2:14.0,,Defensive rebound by R. McCallum,20,11
91,1,2:10.0,,D. Williams makes 2-pt dunk at rim (assist by O. Casspi),20,13
92,1,1:47.0,M. Morris makes 2-pt jump shot from 15 ft (assist by M. Morris),,22,13
