,QUARTER,TIME_REMAINING,HOUSTON_ACTION,CHICAGO_ACTION,HOUSTON_SCORE,CHICAGO_SCORE
0,1,11:43.0,,P. Gasol makes 2-pt hook shot from 5 ft,0,2
1,1,11:26.0,D. Motiejūnas makes 2-pt hook shot from 11 ft (assist by T. Ariza),,2,2
2,1,11:08.0,,Personal foul by D. Motiejūnas (drawn by K. Hinrich),2,2
3,1,10:55.0,,J. Butler misses 2-pt jump shot from 21 ft,2,2
4,1,10:53.0,Defensive rebound by D. Howard,,2,2
5,1,10:43.0,T. Ariza misses 2-pt jump shot from 17 ft,,2,2
6,1,10:42.0,,Defensive rebound by P. Gasol,2,2
7,1,10:35.0,,D. Rose misses 2-pt jump shot from 16 ft,2,2
8,1,10:34.0,Defensive rebound by D. Howard,,2,2
9,1,10:28.0,D. Motiejūnas makes 2-pt jump shot from 6 ft (assist by T. Ariza),,4,2
10,1,10:07.0,,Shooting foul by J. Harden (drawn by J. Butler),4,2
11,1,10:07.0,,J. Butler makes free throw 1 of 2,4,3
12,1,10:07.0,,J. Butler makes free throw 2 of 2,4,4
13,1,9:58.0,P. Beverley makes 2-pt layup from 2 ft,,6,4
14,1,9:44.0,,K. Hinrich makes 2-pt jump shot from 19 ft (assist by P. Gasol),6,6
15,1,9:25.0,D. Howard makes 2-pt dunk at rim (assist by D. Motiejūnas),,8,6
16,1,9:08.0,,P. Gasol makes 2-pt jump shot from 21 ft (assist by D. Rose),8,8
17,1,8:44.0,D. Motiejūnas makes 2-pt layup from 2 ft (assist by P. Beverley),,10,8
18,1,8:27.0,,P. Gasol makes 2-pt jump shot from 14 ft (assist by J. Noah),10,10
19,1,8:12.0,D. Motiejūnas misses 2-pt jump shot from 10 ft (block by J. Noah),,10,10
20,1,8:10.0,Offensive rebound by D. Motiejūnas,,10,10
21,1,8:07.0,D. Motiejūnas misses 2-pt hook shot from 6 ft,,10,10
22,1,8:06.0,Offensive rebound by P. Beverley,,10,10
23,1,8:04.0,D. Howard makes 2-pt layup from 1 ft (assist by P. Beverley),,12,10
24,1,8:04.0,Shooting foul by D. Rose (drawn by D. Howard),,12,10
25,1,8:04.0,D. Howard misses free throw 1 of 1,,12,10
26,1,8:03.0,,Defensive rebound by K. Hinrich,12,10
27,1,7:52.0,,Turnover by D. Rose (lost ball),12,10
28,1,7:38.0,J. Harden makes 2-pt jump shot from 15 ft,,14,10
29,1,7:24.0,,P. Gasol makes 2-pt jump shot from 16 ft (assist by D. Rose),14,12
30,1,7:09.0,D. Howard misses 2-pt jump shot from 3 ft (block by J. Noah),,14,12
31,1,7:08.0,,Defensive rebound by P. Gasol,14,12
32,1,7:03.0,,Shooting foul by D. Howard (drawn by J. Noah),14,12
33,1,7:03.0,,J. Noah makes free throw 1 of 2,14,13
34,1,7:03.0,,J. Noah makes free throw 2 of 2,14,14
35,1,6:47.0,J. Harden makes 2-pt layup from 1 ft,,16,14
36,1,6:30.0,,D. Rose misses 2-pt layup from 2 ft,16,14
37,1,6:29.0,,Offensive rebound by J. Noah,16,14
38,1,6:28.0,,J. Noah misses 2-pt layup from 2 ft,16,14
39,1,6:26.0,,Offensive rebound by J. Noah,16,14
40,1,6:26.0,,J. Noah makes 2-pt tip-in at rim,16,16
41,1,6:07.0,J. Harden makes 3-pt jump shot from 25 ft (assist by P. Beverley),,19,16
42,1,5:54.0,,D. Rose misses 2-pt layup from 1 ft (block by P. Beverley),19,16
43,1,5:53.0,Defensive rebound by D. Motiejūnas,,19,16
44,1,5:47.0,J. Harden misses 2-pt jump shot from 7 ft (block by K. Hinrich),,19,16
45,1,5:47.0,Offensive rebound by Team,,19,16
46,1,5:47.0,,Chicago full timeout,19,16
47,1,5:41.0,P. Beverley makes 2-pt jump shot from 11 ft,,21,16
48,1,5:23.0,,J. Butler misses 2-pt jump shot from 18 ft,21,16
49,1,5:21.0,Defensive rebound by P. Beverley,,21,16
50,1,5:18.0,T. Ariza makes 2-pt layup from 2 ft (assist by P. Beverley),,23,16
51,1,5:00.0,,P. Gasol misses 2-pt hook shot from 5 ft,23,16
52,1,4:59.0,Defensive rebound by D. Motiejūnas,,23,16
53,1,4:52.0,J. Smith enters the game for D. Howard,,23,16
54,1,4:52.0,,T. Gibson enters the game for J. Noah,23,16
55,1,4:38.0,J. Harden misses 3-pt jump shot from 24 ft,,23,16
56,1,4:36.0,Offensive rebound by P. Beverley,,23,16
57,1,4:36.0,P. Beverley makes 2-pt tip-in from 1 ft,,25,16
58,1,4:20.0,,P. Gasol makes 2-pt layup from 1 ft,25,18
59,1,4:09.0,Turnover by J. Smith (bad pass),,25,18
60,1,3:59.0,,Personal foul by D. Motiejūnas (drawn by P. Gasol),25,18
61,1,3:59.0,,A. Brooks enters the game for D. Rose,25,18
62,1,3:54.0,,P. Gasol makes 2-pt dunk at rim (assist by A. Brooks),25,20
63,1,3:37.0,T. Ariza misses 3-pt jump shot from 22 ft,,25,20
64,1,3:35.0,Offensive rebound by P. Beverley,,25,20
65,1,3:33.0,P. Beverley makes 2-pt layup from 2 ft,,27,20
66,1,3:09.0,,P. Gasol makes 2-pt hook shot from 5 ft,27,22
67,1,2:56.0,J. Smith makes 2-pt jump shot from 7 ft,,29,22
68,1,2:35.0,,Shooting foul by J. Smith (drawn by P. Gasol),29,22
69,1,2:35.0,Houston full timeout,,29,22
70,1,2:35.0,,N. Mirotić enters the game for K. Hinrich,29,22
71,1,2:35.0,K. Papanikolaou enters the game for T. Ariza,,29,22
72,1,2:35.0,C. Brewer enters the game for D. Motiejūnas,,29,22
73,1,2:35.0,J. Terry enters the game for P. Beverley,,29,22
74,1,2:35.0,,P. Gasol makes free throw 1 of 2,29,23
75,1,2:35.0,,P. Gasol makes free throw 2 of 2,29,24
76,1,2:10.0,K. Papanikolaou misses 2-pt jump shot from 12 ft,,29,24
77,1,2:08.0,,Defensive rebound by P. Gasol,29,24
78,1,1:57.0,,Shooting foul by K. Papanikolaou (drawn by T. Gibson),29,24
79,1,1:57.0,,T. Gibson makes free throw 1 of 2,29,25
80,1,1:57.0,,T. Gibson makes free throw 2 of 2,29,26
81,1,1:45.0,J. Harden misses 2-pt jump shot from 8 ft,,29,26
82,1,1:45.0,,Defensive rebound by Team,29,26
83,1,1:33.0,,N. Mirotić misses 2-pt jump shot from 20 ft,29,26
84,1,1:32.0,,Offensive rebound by P. Gasol,29,26
85,1,1:28.0,,T. Gibson makes 2-pt jump shot from 4 ft (assist by J. Butler),29,28
86,1,1:21.0,C. Brewer makes 2-pt jump shot from 20 ft (assist by J. Harden),,31,28
87,1,0:56.0,,J. Butler makes 2-pt jump shot from 14 ft,31,30
88,1,0:48.0,J. Harden makes 2-pt layup from 2 ft,,33,30
89,1,0:36.0,,T. Gibson misses 2-pt layup from 3 ft,33,30
