,QUARTER,TIME_REMAINING,UTAH_ACTION,MILWAUKEE_ACTION,UTAH_SCORE,MILWAUKEE_SCORE
0,1,11:40.0,,G. Antetokounmpo misses 2-pt jump shot from 3 ft,0,0
1,1,11:37.0,,Offensive rebound by Z. Pachulia,0,0
2,1,11:36.0,,Z. Pachulia makes 2-pt layup from 1 ft,0,2
3,1,11:12.0,E. Freedom misses 2-pt jump shot from 13 ft,,0,2
4,1,11:11.0,,Defensive rebound by K. Middleton,0,2
5,1,11:02.0,,B. Knight misses 2-pt jump shot from 18 ft,0,2
6,1,11:01.0,Defensive rebound by J. Ingles,,0,2
7,1,10:54.0,Turnover by D. Exum (bad pass; steal by G. Antetokounmpo),,0,2
8,1,10:45.0,,Z. Pachulia misses 2-pt layup at rim,0,2
9,1,10:43.0,Defensive rebound by E. Freedom,,0,2
10,1,10:25.0,Turnover by G. Hayward (bad pass),,0,2
11,1,10:18.0,,B. Knight misses 3-pt jump shot from 25 ft,0,2
12,1,10:17.0,Defensive rebound by E. Freedom,,0,2
13,1,10:11.0,Turnover by J. Ingles (lost ball; steal by G. Antetokounmpo),,0,2
14,1,10:08.0,,G. Antetokounmpo makes 2-pt dunk at rim,0,4
15,1,9:44.0,E. Freedom makes 3-pt jump shot from 24 ft (assist by G. Hayward),,3,4
16,1,9:24.0,,Z. Pachulia misses 2-pt jump shot from 15 ft,3,4
17,1,9:22.0,Defensive rebound by R. Gobert,,3,4
18,1,9:16.0,Personal foul by E. İlyasova (drawn by D. Exum),,3,4
19,1,9:05.0,Turnover by D. Exum (step out of bounds),,3,4
20,1,8:52.0,,E. İlyasova misses 2-pt jump shot from 4 ft,3,4
21,1,8:50.0,Defensive rebound by J. Ingles,,3,4
22,1,8:35.0,D. Exum makes 3-pt jump shot from 25 ft (assist by G. Hayward),,6,4
23,1,8:21.0,,K. Middleton makes 2-pt dunk at rim (assist by Z. Pachulia),6,6
24,1,8:03.0,D. Exum makes 3-pt jump shot from 23 ft (assist by J. Ingles),,9,6
25,1,7:51.0,,Turnover by E. İlyasova (bad pass; steal by J. Ingles),9,6
26,1,7:46.0,G. Hayward makes 2-pt dunk at rim (assist by D. Exum),,11,6
27,1,7:30.0,,K. Middleton misses 2-pt layup at rim,11,6
28,1,7:28.0,Defensive rebound by E. Freedom,,11,6
29,1,7:21.0,,Violation by E. İlyasova (kicked ball),11,6
30,1,7:07.0,G. Hayward makes 2-pt jump shot from 15 ft (assist by J. Ingles),,13,6
31,1,6:54.0,,Z. Pachulia misses 2-pt layup at rim (block by R. Gobert),13,6
32,1,6:52.0,,Offensive rebound by Z. Pachulia,13,6
33,1,6:51.0,,Z. Pachulia makes 2-pt layup at rim,13,8
34,1,6:33.0,E. Freedom misses 2-pt jump shot from 17 ft,,13,8
35,1,6:32.0,,Defensive rebound by G. Antetokounmpo,13,8
36,1,6:26.0,,Turnover by G. Antetokounmpo (lost ball; steal by J. Ingles),13,8
37,1,6:21.0,G. Hayward misses 2-pt layup from 1 ft (block by E. İlyasova),,13,8
38,1,6:18.0,Offensive rebound by E. Freedom,,13,8
39,1,6:13.0,Turnover by J. Ingles (bad pass; steal by B. Knight),,13,8
40,1,6:08.0,,E. İlyasova makes 2-pt layup at rim (assist by B. Knight),13,10
41,1,5:51.0,R. Gobert misses 2-pt layup from 1 ft,,13,10
42,1,5:48.0,Offensive rebound by R. Gobert,,13,10
43,1,5:48.0,R. Gobert makes 2-pt layup at rim,,15,10
44,1,5:35.0,,B. Knight misses 2-pt jump shot from 14 ft,15,10
45,1,5:34.0,Defensive rebound by E. Freedom,,15,10
46,1,5:29.0,Personal foul by K. Middleton (drawn by R. Gobert),,15,10
47,1,5:29.0,,Milwaukee full timeout,15,10
