,QUARTER,TIME_REMAINING,DALLAS_ACTION,HOUSTON_ACTION,DALLAS_SCORE,HOUSTON_SCORE
0,1,11:38.0,Turnover by D. Nowitzki (bad pass),,0,0
1,1,11:29.0,,Turnover by J. Dorsey (offensive foul),0,0
2,1,11:29.0,,Offensive foul by J. Dorsey (drawn by R. Rondo),0,0
3,1,11:18.0,M. Ellis makes 2-pt jump shot from 6 ft (assist by D. Nowitzki),,2,0
4,1,11:08.0,Violation by D. Nowitzki (kicked ball),,2,0
5,1,10:57.0,,D. Motiejūnas misses 3-pt jump shot from 25 ft,2,0
6,1,10:55.0,Defensive rebound by R. Rondo,,2,0
7,1,10:40.0,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by R. Rondo),,5,0
8,1,10:23.0,,D. Motiejūnas misses 2-pt hook shot from 7 ft,5,0
9,1,10:22.0,Defensive rebound by T. Chandler,,5,0
10,1,10:15.0,M. Ellis misses 2-pt jump shot from 14 ft,,5,0
11,1,10:14.0,Offensive rebound by T. Chandler,,5,0
12,1,10:08.0,M. Ellis makes 2-pt jump shot from 7 ft,,7,0
13,1,9:53.0,,J. Dorsey misses 2-pt layup from 4 ft,7,0
14,1,9:52.0,Defensive rebound by M. Ellis,,7,0
15,1,9:39.0,M. Ellis misses 2-pt jump shot from 9 ft,,7,0
16,1,9:38.0,,Defensive rebound by D. Motiejūnas,7,0
17,1,9:34.0,,Shooting foul by M. Ellis (drawn by P. Beverley),7,0
18,1,9:34.0,,P. Beverley makes free throw 1 of 2,7,1
19,1,9:34.0,,P. Beverley makes free throw 2 of 2,7,2
20,1,9:23.0,C. Parsons makes 3-pt jump shot from 25 ft,,10,2
21,1,9:05.0,,J. Harden makes 3-pt jump shot from 23 ft (assist by D. Motiejūnas),10,5
22,1,8:47.0,T. Chandler makes 2-pt dunk at rim (assist by C. Parsons),,12,5
23,1,8:46.0,,Houston full timeout,12,5
24,1,8:30.0,,D. Motiejūnas makes 2-pt hook shot from 7 ft (assist by J. Harden),12,7
25,1,8:14.0,Turnover by M. Ellis (lost ball; steal by J. Dorsey),,12,7
26,1,8:08.0,,P. Beverley makes 2-pt layup from 2 ft,12,9
27,1,7:54.0,C. Parsons makes 2-pt layup from 1 ft,,14,9
28,1,7:46.0,,T. Ariza misses 3-pt jump shot from 24 ft,14,9
29,1,7:44.0,Defensive rebound by R. Rondo,,14,9
30,1,7:36.0,T. Chandler misses 2-pt layup at rim,,14,9
31,1,7:34.0,,Defensive rebound by J. Dorsey,14,9
32,1,7:32.0,,J. Harden makes 2-pt layup at rim,14,11
33,1,7:32.0,,Shooting foul by D. Nowitzki (drawn by J. Harden),14,11
34,1,7:32.0,A. Aminu enters the game for D. Nowitzki,,14,11
35,1,7:32.0,,J. Harden misses free throw 1 of 1,14,11
36,1,7:32.0,Defensive rebound by T. Chandler,,14,11
37,1,7:07.0,A. Aminu misses 2-pt jump shot from 22 ft,,14,11
38,1,7:05.0,,Defensive rebound by Team,14,11
39,1,6:55.0,,J. Harden misses 2-pt layup from 1 ft,14,11
