,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,NEW ORLEANS_ACTION,GOLDEN STATE_SCORE,NEW ORLEANS_SCORE
0,1,11:42.0,A. Bogut misses 2-pt hook shot from 6 ft,,0,0
1,1,11:41.0,,Defensive rebound by A. Davis,0,0
2,1,11:23.0,,A. Davis makes 2-pt jump shot from 6 ft,0,2
3,1,11:12.0,K. Thompson makes 3-pt jump shot from 23 ft (assist by S. Curry),,3,2
4,1,10:57.0,,E. Gordon makes 3-pt jump shot from 27 ft (assist by A. Davis),3,5
5,1,10:38.0,Turnover by A. Bogut (bad pass; steal by T. Evans),,3,5
6,1,10:23.0,,T. Evans misses 3-pt jump shot from 25 ft,3,5
7,1,10:22.0,,Offensive rebound by A. Davis,3,5
8,1,10:07.0,,A. Davis makes 2-pt jump shot from 15 ft (assist by Q. Pondexter),3,7
9,1,9:44.0,S. Curry makes 3-pt jump shot from 25 ft (assist by K. Thompson),,6,7
10,1,9:27.0,,E. Gordon misses 3-pt jump shot from 26 ft,6,7
11,1,9:25.0,,Offensive rebound by Ö. Aşık,6,7
12,1,9:19.0,,E. Gordon misses 2-pt jump shot from 16 ft,6,7
13,1,9:18.0,Defensive rebound by H. Barnes,,6,7
14,1,9:12.0,S. Curry makes 3-pt jump shot from 25 ft (assist by H. Barnes),,9,7
15,1,8:51.0,,A. Davis makes 2-pt jump shot from 17 ft (assist by Ö. Aşık),9,9
16,1,8:43.0,H. Barnes makes 2-pt jump shot from 17 ft (assist by S. Curry),,11,9
17,1,8:25.0,,A. Davis misses 2-pt jump shot from 16 ft,11,9
18,1,8:24.0,,Offensive rebound by Ö. Aşık,11,9
19,1,8:21.0,,Ö. Aşık misses 2-pt layup from 2 ft,11,9
20,1,8:20.0,Defensive rebound by A. Bogut,,11,9
21,1,8:11.0,K. Thompson makes 3-pt jump shot from 24 ft (assist by A. Bogut),,14,9
22,1,7:51.0,,E. Gordon misses 3-pt jump shot from 24 ft,14,9
23,1,7:50.0,Defensive rebound by D. Green,,14,9
24,1,7:44.0,K. Thompson makes 3-pt jump shot from 27 ft (assist by D. Green),,17,9
25,1,7:30.0,,Personal foul by D. Green (drawn by A. Davis),17,9
26,1,7:21.0,,A. Davis misses 2-pt jump shot from 14 ft,17,9
27,1,7:18.0,Defensive rebound by D. Green,,17,9
28,1,7:18.0,Golden State full timeout,,17,9
29,1,6:58.0,D. Green misses 2-pt jump shot from 8 ft,,17,9
30,1,6:56.0,Offensive rebound by A. Bogut,,17,9
31,1,6:51.0,S. Curry misses 2-pt jump shot from 21 ft,,17,9
32,1,6:50.0,,Defensive rebound by Q. Pondexter,17,9
33,1,6:29.0,,Shooting foul by D. Green (drawn by A. Davis),17,9
34,1,6:29.0,,A. Davis misses free throw 1 of 2,17,9
35,1,6:29.0,,Offensive rebound by Team,17,9
36,1,6:29.0,A. Iguodala enters the game for D. Green,,17,9
37,1,6:29.0,,A. Davis makes free throw 2 of 2,17,10
38,1,6:07.0,K. Thompson misses 3-pt jump shot from 25 ft,,17,10
39,1,6:06.0,,Defensive rebound by T. Evans,17,10
40,1,5:54.0,,T. Evans misses 2-pt layup from 2 ft (block by H. Barnes),17,10
41,1,5:52.0,Defensive rebound by A. Bogut,,17,10
42,1,5:46.0,S. Curry misses 3-pt jump shot from 25 ft,,17,10
43,1,5:45.0,,Defensive rebound by E. Gordon,17,10
44,1,5:36.0,,A. Davis makes 2-pt jump shot from 13 ft (assist by E. Gordon),17,12
45,1,5:26.0,S. Curry makes 2-pt layup from 2 ft,,19,12
46,1,5:04.0,,A. Davis misses 2-pt jump shot from 17 ft,19,12
47,1,5:02.0,Defensive rebound by A. Bogut,,19,12
48,1,4:51.0,Turnover by S. Curry (bad pass; steal by T. Evans),,19,12
49,1,4:47.0,,T. Evans makes 2-pt dunk at rim,19,14
50,1,4:25.0,A. Bogut makes 2-pt layup from 2 ft (assist by S. Curry),,21,14
51,1,4:12.0,Offensive charge foul by A. Davis (drawn by A. Bogut),,21,14
52,1,4:12.0,,Turnover by A. Davis (offensive foul),21,14
53,1,4:12.0,,R. Anderson enters the game for Ö. Aşık,21,14
54,1,4:12.0,L. Barbosa enters the game for K. Thompson,,21,14
55,1,3:53.0,A. Bogut misses 2-pt hook shot from 8 ft,,21,14
56,1,3:52.0,,Defensive rebound by T. Evans,21,14
57,1,3:48.0,,T. Evans makes 2-pt layup from 2 ft,21,16
58,1,3:48.0,,Shooting foul by H. Barnes (drawn by T. Evans),21,16
59,1,3:48.0,,N. Cole enters the game for E. Gordon,21,16
60,1,3:48.0,,T. Evans makes free throw 1 of 1,21,17
61,1,3:34.0,Shooting foul by Q. Pondexter (drawn by S. Curry),,21,17
62,1,3:34.0,S. Curry makes free throw 1 of 2,,22,17
63,1,3:34.0,F. Ezeli enters the game for A. Bogut,,22,17
64,1,3:34.0,,J. Holiday enters the game for Q. Pondexter,22,17
65,1,3:34.0,S. Curry makes free throw 2 of 2,,23,17
66,1,3:17.0,,N. Cole makes 3-pt jump shot from 26 ft (assist by T. Evans),23,20
67,1,2:54.0,F. Ezeli makes 2-pt jump shot from 9 ft,,25,20
68,1,2:31.0,,J. Holiday misses 2-pt jump shot from 16 ft,25,20
69,1,2:30.0,,Offensive rebound by A. Davis,25,20
70,1,2:30.0,,A. Davis makes 2-pt dunk at rim,25,22
71,1,2:10.0,Turnover by L. Barbosa (lost ball; steal by T. Evans),,25,22
72,1,2:05.0,,T. Evans makes 2-pt dunk at rim,25,24
73,1,1:38.0,L. Barbosa misses 3-pt jump shot from 26 ft,,25,24
74,1,1:36.0,Offensive rebound by F. Ezeli,,25,24
75,1,1:33.0,H. Barnes misses 2-pt jump shot from 13 ft,,25,24
76,1,1:32.0,,Defensive rebound by R. Anderson,25,24
77,1,1:28.0,Offensive charge foul by T. Evans (drawn by A. Iguodala),,25,24
78,1,1:28.0,,Turnover by T. Evans (offensive foul),25,24
79,1,1:28.0,,New Orleans full timeout,25,24
80,1,1:28.0,,D. Cunningham enters the game for T. Evans,25,24
81,1,1:15.0,L. Barbosa misses 3-pt jump shot from 25 ft,,25,24
82,1,1:14.0,,Defensive rebound by R. Anderson,25,24
