,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,MEMPHIS_ACTION,LA LAKERS_SCORE,MEMPHIS_SCORE
0,1,11:43.0,C. Boozer misses 2-pt jump shot from 14 ft,,0,0
1,1,11:42.0,,Defensive rebound by J. Green,0,0
2,1,11:21.0,,Z. Randolph makes 2-pt jump shot from 16 ft,0,2
3,1,11:02.0,R. Sacre misses 2-pt jump shot from 6 ft,,0,2
4,1,11:00.0,,Defensive rebound by Z. Randolph,0,2
5,1,10:43.0,,Turnover by Z. Randolph (lost ball; steal by C. Boozer),0,2
6,1,10:36.0,W. Ellington misses 2-pt jump shot from 20 ft,,0,2
7,1,10:32.0,,Defensive rebound by M. Gasol,0,2
8,1,10:30.0,,J. Green misses 2-pt layup from 1 ft (block by R. Sacre),0,2
9,1,10:30.0,,Offensive rebound by Team,0,2
10,1,10:21.0,,M. Gasol makes 2-pt jump shot from 7 ft,0,4
11,1,10:00.0,R. Kelly misses 2-pt jump shot from 16 ft,,0,4
12,1,9:59.0,,Defensive rebound by M. Gasol,0,4
13,1,9:51.0,,M. Gasol misses 2-pt jump shot from 15 ft,0,4
14,1,9:50.0,Defensive rebound by C. Boozer,,0,4
15,1,9:44.0,J. Clarkson makes 2-pt jump shot from 17 ft,,2,4
16,1,9:19.0,,J. Green misses 2-pt jump shot from 19 ft (block by R. Kelly),2,4
17,1,9:15.0,,Offensive rebound by J. Green,2,4
18,1,9:15.0,,J. Green makes 2-pt jump shot from 18 ft,2,6
19,1,9:04.0,J. Clarkson makes 2-pt dunk at rim (assist by R. Sacre),,4,6
20,1,8:36.0,,J. Green misses 2-pt layup from 2 ft,4,6
21,1,8:34.0,Defensive rebound by C. Boozer,,4,6
22,1,8:21.0,W. Ellington misses 2-pt jump shot from 13 ft,,4,6
23,1,8:19.0,,Defensive rebound by C. Lee,4,6
24,1,8:03.0,,M. Conley makes 2-pt layup at rim,4,8
25,1,7:50.0,J. Clarkson makes 2-pt layup from 2 ft,,6,8
26,1,7:40.0,,Personal foul by R. Sacre (drawn by M. Conley),6,8
27,1,7:26.0,,Z. Randolph makes 2-pt jump shot from 7 ft,6,10
28,1,7:03.0,C. Boozer misses 2-pt layup at rim,,6,10
29,1,7:02.0,,Defensive rebound by Z. Randolph,6,10
30,1,6:58.0,,Personal foul by R. Kelly (drawn by Z. Randolph),6,10
31,1,6:42.0,,M. Gasol misses 2-pt jump shot from 19 ft,6,10
32,1,6:41.0,Defensive rebound by J. Clarkson,,6,10
33,1,6:34.0,Turnover by J. Clarkson (bad pass; steal by M. Gasol),,6,10
34,1,6:30.0,,Turnover by J. Green (traveling),6,10
35,1,6:13.0,J. Clarkson makes 2-pt jump shot from 22 ft,,8,10
36,1,5:54.0,,J. Green misses 2-pt jump shot from 18 ft,8,10
37,1,5:53.0,Defensive rebound by W. Ellington,,8,10
38,1,5:45.0,R. Kelly misses 2-pt jump shot from 18 ft,,8,10
39,1,5:44.0,,Defensive rebound by J. Green,8,10
40,1,5:40.0,,M. Gasol makes 2-pt layup from 1 ft (assist by M. Conley),8,12
41,1,5:40.0,,Shooting foul by R. Sacre (drawn by M. Gasol),8,12
42,1,5:40.0,,Memphis full timeout,8,12
43,1,5:40.0,,T. Allen enters the game for J. Green,8,12
44,1,5:40.0,J. Lin enters the game for W. Ellington,,8,12
45,1,5:40.0,E. Davis enters the game for R. Sacre,,8,12
46,1,5:40.0,,M. Gasol makes free throw 1 of 1,8,13
47,1,5:22.0,C. Boozer misses 2-pt jump shot from 13 ft,,8,13
48,1,5:21.0,,Defensive rebound by T. Allen,8,13
