,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,HOUSTON_ACTION,WASHINGTON_SCORE,HOUSTON_SCORE
0,1,11:40.0,N. Hilário misses 2-pt jump shot from 11 ft,,0,0
1,1,11:38.0,,Defensive rebound by P. Beverley,0,0
2,1,11:23.0,,J. Harden misses 2-pt layup from 3 ft,0,0
3,1,11:21.0,,Offensive rebound by T. Ariza,0,0
4,1,11:16.0,,Turnover by J. Smith (bad pass; steal by J. Wall),0,0
5,1,11:01.0,N. Hilário misses 2-pt hook shot from 5 ft,,0,0
6,1,10:59.0,,Defensive rebound by D. Howard,0,0
7,1,10:50.0,,J. Smith misses 2-pt jump shot from 17 ft,0,0
8,1,10:49.0,Defensive rebound by N. Hilário,,0,0
9,1,10:45.0,Turnover by P. Pierce (traveling),,0,0
10,1,10:34.0,,D. Howard makes 2-pt hook shot from 5 ft (assist by J. Harden),0,2
11,1,10:20.0,P. Pierce misses 3-pt jump shot from 25 ft,,0,2
12,1,10:18.0,,Defensive rebound by J. Harden,0,2
13,1,10:13.0,,P. Beverley misses 3-pt jump shot from 25 ft,0,2
14,1,10:11.0,Defensive rebound by N. Hilário,,0,2
15,1,10:02.0,M. Gortat misses 2-pt hook shot from 7 ft,,0,2
16,1,10:00.0,,Defensive rebound by D. Howard,0,2
17,1,9:49.0,,T. Ariza misses 3-pt jump shot from 28 ft,0,2
18,1,9:47.0,Defensive rebound by M. Gortat,,0,2
19,1,9:33.0,B. Beal makes 2-pt jump shot from 20 ft,,2,2
20,1,9:16.0,,D. Howard makes 2-pt dunk at rim (assist by P. Beverley),2,4
21,1,8:58.0,Shooting foul by D. Howard (drawn by N. Hilário),,2,4
22,1,8:58.0,N. Hilário makes free throw 1 of 2,,3,4
23,1,8:58.0,N. Hilário makes free throw 2 of 2,,4,4
24,1,8:44.0,,J. Harden makes 2-pt layup from 1 ft,4,6
25,1,8:27.0,N. Hilário makes 2-pt jump shot from 15 ft (assist by J. Wall),,6,6
26,1,8:20.0,,T. Ariza misses 2-pt layup from 1 ft (block by P. Pierce),6,6
27,1,8:17.0,,Offensive rebound by P. Beverley,6,6
28,1,8:15.0,,Turnover by J. Smith (lost ball; steal by N. Hilário),6,6
29,1,8:09.0,B. Beal makes 2-pt layup from 1 ft,,8,6
30,1,7:54.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by J. Harden),8,9
31,1,7:38.0,B. Beal makes 2-pt jump shot from 22 ft (assist by N. Hilário),,10,9
32,1,7:21.0,,D. Howard misses 2-pt jump shot from 3 ft (block by M. Gortat),10,9
33,1,7:19.0,Defensive rebound by N. Hilário,,10,9
34,1,7:13.0,M. Gortat makes 2-pt layup at rim (assist by J. Wall),,12,9
35,1,6:58.0,,D. Howard makes 2-pt layup from 2 ft (assist by P. Beverley),12,11
36,1,6:46.0,N. Hilário makes 2-pt layup at rim (assist by J. Wall),,14,11
37,1,6:24.0,,T. Ariza misses 3-pt jump shot from 23 ft,14,11
38,1,6:23.0,,Offensive rebound by D. Howard,14,11
39,1,6:23.0,,D. Howard makes 2-pt layup from 1 ft,14,13
40,1,6:07.0,,D. Motiejūnas enters the game for J. Smith,14,13
41,1,5:56.0,B. Beal makes 2-pt jump shot from 19 ft,,16,13
42,1,5:45.0,,Turnover by P. Beverley (bad pass; steal by J. Wall),16,13
43,1,5:39.0,B. Beal misses 3-pt jump shot from 23 ft,,16,13
44,1,5:37.0,,Defensive rebound by T. Ariza,16,13
45,1,5:21.0,,D. Howard misses 2-pt hook shot from 8 ft,16,13
46,1,5:19.0,Defensive rebound by Team,,16,13
47,1,5:19.0,,Houston full timeout,16,13
48,1,5:01.0,B. Beal misses 3-pt jump shot from 25 ft,,16,13
49,1,4:59.0,,Defensive rebound by Team,16,13
50,1,4:44.0,Violation by M. Gortat (kicked ball),,16,13
51,1,4:44.0,K. Humphries enters the game for N. Hilário,,16,13
52,1,4:35.0,,J. Harden misses 3-pt jump shot from 24 ft,16,13
53,1,4:32.0,,Offensive rebound by Team,16,13
54,1,4:19.0,,D. Howard misses 2-pt hook shot from 9 ft,16,13
55,1,4:17.0,Defensive rebound by B. Beal,,16,13
56,1,4:09.0,M. Gortat makes 2-pt jump shot from 14 ft (assist by B. Beal),,18,13
57,1,4:00.0,,D. Howard makes 2-pt dunk at rim (assist by P. Beverley),18,15
58,1,4:00.0,,Shooting foul by K. Humphries (drawn by D. Howard),18,15
59,1,4:00.0,,D. Howard misses free throw 1 of 1,18,15
60,1,4:00.0,Defensive rebound by M. Gortat,,18,15
61,1,3:42.0,Shooting foul by D. Motiejūnas (drawn by P. Pierce),,18,15
62,1,3:42.0,P. Pierce makes free throw 1 of 2,,19,15
63,1,3:42.0,,C. Brewer enters the game for T. Ariza,19,15
64,1,3:42.0,P. Pierce makes free throw 2 of 2,,20,15
65,1,3:17.0,,P. Beverley misses 3-pt jump shot from 25 ft,20,15
66,1,3:17.0,,Offensive rebound by Team,20,15
67,1,3:17.0,,Turnover by Team (shot clock),20,15
68,1,3:17.0,R. Butler enters the game for P. Pierce,,20,15
69,1,3:10.0,Personal foul by P. Beverley (drawn by J. Wall),,20,15
70,1,3:02.0,K. Humphries misses 2-pt jump shot from 8 ft,,20,15
71,1,3:00.0,,Defensive rebound by D. Howard,20,15
72,1,2:52.0,,J. Harden misses 2-pt dunk at rim,20,15
73,1,2:52.0,Defensive rebound by Team,,20,15
74,1,2:52.0,Washington full timeout,,20,15
75,1,2:52.0,,J. Smith enters the game for D. Howard,20,15
76,1,2:37.0,M. Gortat misses 2-pt layup from 3 ft,,20,15
77,1,2:36.0,,Defensive rebound by D. Motiejūnas,20,15
78,1,2:31.0,,J. Harden makes 2-pt layup from 1 ft,20,17
79,1,2:26.0,Personal block foul by D. Motiejūnas (drawn by J. Wall),,20,17
80,1,2:26.0,K. Séraphin enters the game for M. Gortat,,20,17
81,1,2:26.0,,J. Dorsey enters the game for D. Motiejūnas,20,17
