,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,SACRAMENTO_ACTION,CHARLOTTE_SCORE,SACRAMENTO_SCORE
75,1,2:43.0,,Turnover by R. Gay (lost ball),20,21
76,1,2:30.0,Turnover by M. Williams (bad pass; steal by N. Stauskas),,20,21
77,1,2:10.0,,R. Gay makes 2-pt jump shot from 14 ft (assist by D. Williams),20,23
78,1,1:46.0,M. Williams misses 3-pt jump shot from 24 ft,,20,23
79,1,1:46.0,Offensive rebound by Team,,20,23
80,1,1:46.0,,C. Landry enters the game for R. Gay,20,23
81,1,1:46.0,L. Stephenson enters the game for K. Walker,,20,23
82,1,1:43.0,M. Williams misses 2-pt jump shot from 16 ft,,20,23
83,1,1:42.0,,Defensive rebound by A. Miller,20,23
84,1,1:34.0,,N. Stauskas makes 3-pt jump shot from 25 ft (assist by A. Miller),20,26
85,1,1:19.0,M. Williams misses 2-pt jump shot from 7 ft,,20,26
86,1,1:19.0,,Defensive rebound by N. Stauskas,20,26
87,1,1:08.0,,R. Evans misses 2-pt layup from 2 ft,20,26
88,1,1:08.0,,Offensive rebound by R. Evans,20,26
89,1,1:04.0,,R. Evans misses 2-pt jump shot from 4 ft,20,26
90,1,1:04.0,Defensive rebound by Team,,20,26
91,1,1:04.0,,Loose ball foul by C. Landry (drawn by M. Kidd-Gilchrist),20,26
92,1,1:04.0,M. Kidd-Gilchrist makes free throw 1 of 2,,21,26
93,1,1:04.0,M. Kidd-Gilchrist makes free throw 2 of 2,,22,26
94,1,0:48.0,,C. Landry misses 2-pt jump shot from 21 ft,22,26
95,1,0:47.0,Defensive rebound by L. Stephenson,,22,26
96,1,0:34.0,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,,22,26
97,1,0:33.0,,Defensive rebound by R. Evans,22,26
98,1,0:11.0,,N. Stauskas makes 3-pt jump shot from 25 ft (assist by R. Evans),22,29
99,1,0:00.0,M. Williams misses 3-pt jump shot from 25 ft,,22,29
100,1,0:00.0,Offensive rebound by Team,,22,29
101,2,11:40.0,M. Williams makes 3-pt jump shot from 24 ft (assist by L. Stephenson),,25,29
102,2,11:17.0,,A. Miller misses 2-pt jump shot from 15 ft,25,29
103,2,11:16.0,Defensive rebound by M. Williams,,25,29
104,2,11:10.0,G. Henderson makes 2-pt jump shot from 18 ft,,27,29
105,2,10:50.0,,D. Williams makes 3-pt jump shot from 23 ft (assist by R. Evans),27,32
106,2,10:25.0,L. Stephenson misses 2-pt jump shot from 19 ft,,27,32
107,2,10:24.0,,Defensive rebound by R. Evans,27,32
108,2,10:02.0,,A. Miller makes 3-pt jump shot from 23 ft,27,35
109,2,9:46.0,M. Williams makes 3-pt jump shot from 23 ft (assist by M. Williams),,30,35
110,2,9:35.0,,Shooting foul by M. Williams (drawn by C. Landry),30,35
111,2,9:35.0,,C. Landry misses free throw 1 of 2,30,35
112,2,9:35.0,,Offensive rebound by Team,30,35
113,2,9:35.0,,C. Landry makes free throw 2 of 2,30,36
114,2,9:22.0,G. Henderson misses 2-pt jump shot from 20 ft,,30,36
115,2,9:22.0,,Defensive rebound by R. Evans,30,36
116,2,9:08.0,,C. Landry misses 2-pt jump shot from 4 ft,30,36
