,QUARTER,TIME_REMAINING,DENVER_ACTION,MINNESOTA_ACTION,DENVER_SCORE,MINNESOTA_SCORE
0,1,11:50.0,Personal foul by K. Martin (drawn by K. Faried),,0,0
1,1,11:40.0,D. Gallinari misses 2-pt layup from 3 ft,,0,0
2,1,11:39.0,,Defensive rebound by K. Garnett,0,0
3,1,11:23.0,,N. Peković makes 2-pt jump shot from 5 ft,0,2
4,1,10:59.0,R. Foye makes 2-pt layup from 2 ft,,2,2
5,1,10:41.0,,K. Garnett makes 2-pt jump shot from 11 ft,2,4
6,1,10:32.0,T. Lawson misses 2-pt layup from 2 ft,,2,4
7,1,10:31.0,,Defensive rebound by K. Martin,2,4
8,1,10:24.0,,Shooting foul by W. Chandler (drawn by A. Wiggins),2,4
9,1,10:24.0,,A. Wiggins misses free throw 1 of 2,2,4
10,1,10:24.0,,Offensive rebound by Team,2,4
11,1,10:24.0,,A. Wiggins misses free throw 2 of 2,2,4
12,1,10:24.0,Defensive rebound by K. Faried,,2,4
13,1,10:13.0,D. Gallinari misses 3-pt jump shot from 25 ft,,2,4
14,1,10:12.0,,Defensive rebound by N. Peković,2,4
15,1,10:01.0,,Shooting foul by D. Gallinari (drawn by K. Garnett),2,4
16,1,10:01.0,,K. Garnett makes free throw 1 of 2,2,5
17,1,10:01.0,,K. Garnett misses free throw 2 of 2,2,5
18,1,10:01.0,Defensive rebound by D. Gallinari,,2,5
19,1,9:49.0,R. Foye misses 2-pt jump shot from 21 ft,,2,5
20,1,9:48.0,,Defensive rebound by K. Garnett,2,5
21,1,9:41.0,,K. Martin misses 2-pt jump shot from 13 ft,2,5
22,1,9:40.0,,Offensive rebound by A. Wiggins,2,5
23,1,9:39.0,,A. Wiggins makes 2-pt layup at rim,2,7
24,1,9:18.0,W. Chandler misses 3-pt jump shot from 24 ft,,2,7
25,1,9:17.0,,Defensive rebound by A. Wiggins,2,7
26,1,9:11.0,,Personal foul by K. Faried (drawn by N. Peković),2,7
27,1,9:02.0,,A. Wiggins misses 2-pt jump shot from 13 ft,2,7
28,1,9:01.0,Defensive rebound by K. Faried,,2,7
29,1,8:56.0,K. Faried makes 2-pt layup from 1 ft,,4,7
30,1,8:56.0,Shooting foul by K. Garnett (drawn by K. Faried),,4,7
31,1,8:56.0,K. Faried misses free throw 1 of 1,,4,7
32,1,8:56.0,,Defensive rebound by N. Peković,4,7
33,1,8:44.0,,K. Martin makes 2-pt jump shot from 12 ft (assist by R. Rubio),4,9
34,1,8:30.0,R. Foye makes 3-pt jump shot from 25 ft,,7,9
35,1,8:16.0,,K. Martin misses 2-pt jump shot from 19 ft,7,9
36,1,8:16.0,Defensive rebound by W. Chandler,,7,9
37,1,8:09.0,W. Chandler misses 2-pt jump shot from 5 ft (block by A. Wiggins),,7,9
38,1,8:07.0,,Defensive rebound by K. Garnett,7,9
39,1,7:55.0,,R. Rubio misses 2-pt jump shot from 20 ft,7,9
40,1,7:54.0,Defensive rebound by R. Foye,,7,9
41,1,7:49.0,W. Chandler misses 2-pt jump shot from 20 ft,,7,9
42,1,7:48.0,,Defensive rebound by K. Garnett,7,9
43,1,7:34.0,,A. Wiggins misses 2-pt jump shot from 17 ft,7,9
44,1,7:33.0,Defensive rebound by K. Faried,,7,9
45,1,7:22.0,Personal foul by A. Wiggins (drawn by D. Gallinari),,7,9
46,1,7:22.0,,G. Dieng enters the game for N. Peković,7,9
47,1,7:22.0,W. Barton enters the game for R. Foye,,7,9
48,1,7:16.0,W. Chandler misses 3-pt jump shot from 25 ft,,7,9
49,1,7:15.0,Offensive rebound by D. Gallinari,,7,9
50,1,7:11.0,D. Gallinari makes 3-pt jump shot from 24 ft,,10,9
51,1,6:54.0,,A. Wiggins makes 2-pt layup from 4 ft,10,11
52,1,6:47.0,Personal foul by K. Garnett (drawn by K. Faried),,10,11
53,1,6:35.0,K. Faried makes 2-pt dunk at rim (assist by T. Lawson),,12,11
54,1,6:14.0,,G. Dieng makes 2-pt jump shot from 5 ft (assist by K. Garnett),12,13
55,1,6:10.0,Turnover by W. Chandler (bad pass; steal by R. Rubio),,12,13
56,1,6:08.0,,R. Rubio misses 2-pt jump shot from 11 ft,12,13
57,1,6:05.0,,Offensive rebound by R. Rubio,12,13
58,1,6:00.0,,A. Wiggins makes 2-pt dunk at rim (assist by R. Rubio),12,15
59,1,5:45.0,T. Lawson misses 2-pt jump shot from 11 ft,,12,15
60,1,5:44.0,Offensive rebound by T. Lawson,,12,15
61,1,5:41.0,T. Lawson misses 3-pt jump shot from 24 ft,,12,15
62,1,5:40.0,Offensive rebound by W. Chandler,,12,15
63,1,5:35.0,T. Lawson misses 2-pt layup from 2 ft (block by K. Garnett),,12,15
64,1,5:33.0,,Defensive rebound by G. Dieng,12,15
65,1,5:23.0,,K. Garnett makes 2-pt jump shot from 20 ft (assist by R. Rubio),12,17
66,1,5:13.0,W. Barton misses 2-pt jump shot from 5 ft,,12,17
67,1,5:12.0,,Defensive rebound by K. Garnett,12,17
68,1,5:07.0,,R. Rubio misses 2-pt layup from 2 ft,12,17
69,1,5:05.0,,Offensive rebound by A. Wiggins,12,17
70,1,5:05.0,,A. Wiggins makes 2-pt tip-in at rim,12,19
71,1,5:04.0,Denver full timeout,,12,19
72,1,5:04.0,D. Arthur enters the game for W. Chandler,,12,19
73,1,5:04.0,J. Hickson enters the game for K. Faried,,12,19
74,1,5:04.0,,A. Payne enters the game for K. Garnett,12,19
75,1,4:48.0,J. Hickson makes 2-pt layup from 2 ft (assist by T. Lawson),,14,19
76,1,4:22.0,,K. Martin misses 3-pt jump shot from 25 ft,14,19
77,1,4:22.0,,Offensive rebound by G. Dieng,14,19
78,1,4:22.0,,Turnover by Team (shot clock),14,19
79,1,4:22.0,J. Nelson enters the game for T. Lawson,,14,19
80,1,4:15.0,,Violation by R. Rubio (kicked ball),14,19
81,1,4:09.0,J. Nelson misses 2-pt jump shot from 18 ft,,14,19
82,1,4:08.0,,Defensive rebound by G. Dieng,14,19
83,1,3:56.0,,Turnover by A. Payne (lost ball; steal by W. Barton),14,19
84,1,3:48.0,D. Arthur makes 2-pt jump shot from 15 ft (assist by D. Gallinari),,16,19
85,1,3:27.0,,Shooting foul by D. Arthur (drawn by G. Dieng),16,19
86,1,3:27.0,,G. Dieng makes free throw 1 of 2,16,20
87,1,3:27.0,,G. Neal enters the game for K. Martin,16,20
88,1,3:27.0,W. Chandler enters the game for D. Gallinari,,16,20
89,1,3:27.0,,G. Dieng makes free throw 2 of 2,16,21
90,1,3:17.0,W. Chandler makes 2-pt jump shot from 16 ft (assist by J. Nelson),,18,21
91,1,2:53.0,,G. Dieng makes 2-pt layup from 2 ft,18,23
92,1,2:35.0,D. Arthur makes 2-pt jump shot from 15 ft (assist by J. Nelson),,20,23
93,1,2:18.0,,A. Wiggins misses 2-pt jump shot from 16 ft,20,23
94,1,2:17.0,Defensive rebound by W. Chandler,,20,23
95,1,2:04.0,Turnover by J. Nelson (bad pass),,20,23
96,1,2:04.0,,Minnesota full timeout,20,23
97,1,1:42.0,,A. Payne misses 2-pt jump shot from 19 ft,20,23
98,1,1:41.0,Defensive rebound by J. Nelson,,20,23
99,1,1:35.0,W. Barton makes 2-pt layup from 2 ft (assist by J. Nelson),,22,23
100,1,1:21.0,,G. Neal makes 2-pt jump shot from 19 ft (assist by R. Rubio),22,25
101,1,1:08.0,J. Hickson makes 2-pt dunk at rim (assist by J. Nelson),,24,25
102,1,0:53.0,,A. Wiggins makes 2-pt jump shot from 6 ft (assist by R. Rubio),24,27
103,1,0:31.0,J. Nelson makes 2-pt layup from 1 ft,,26,27
104,1,0:26.0,,G. Neal misses 3-pt jump shot from 25 ft,26,27
105,1,0:25.0,,Offensive rebound by A. Payne,26,27
106,1,0:00.0,,G. Neal misses 3-pt jump shot from 25 ft,26,27
107,1,0:00.0,,Offensive rebound by Team,26,27
108,2,11:38.0,,G. Dieng misses 2-pt jump shot from 13 ft,26,27
109,2,11:37.0,Defensive rebound by W. Barton,,26,27
110,2,11:21.0,D. Arthur makes 2-pt jump shot from 19 ft (assist by J. Nelson),,28,27
111,2,11:04.0,,R. Rubio misses 3-pt jump shot from 25 ft,28,27
112,2,11:04.0,,Offensive rebound by G. Dieng,28,27
113,2,11:04.0,,Personal foul by J. Hickson (drawn by G. Dieng),28,27
114,2,11:04.0,,Z. LaVine enters the game for R. Rubio,28,27
115,2,11:04.0,,K. Martin enters the game for A. Wiggins,28,27
116,2,11:04.0,J. Lauvergne enters the game for J. Hickson,,28,27
117,2,11:04.0,,N. Peković enters the game for A. Payne,28,27
118,2,10:55.0,,N. Peković misses 2-pt jump shot from 10 ft,28,27
119,2,10:53.0,,Offensive rebound by G. Dieng,28,27
120,2,10:53.0,,G. Dieng misses 2-pt tip-in at rim,28,27
121,2,10:52.0,Defensive rebound by J. Lauvergne,,28,27
122,2,10:48.0,D. Arthur misses 2-pt layup at rim,,28,27
123,2,10:47.0,Offensive rebound by W. Barton,,28,27
124,2,10:47.0,W. Barton makes 2-pt tip-in at rim,,30,27
125,2,10:33.0,,K. Martin misses 3-pt jump shot from 25 ft,30,27
126,2,10:31.0,Defensive rebound by W. Barton,,30,27
127,2,10:28.0,Turnover by W. Chandler (lost ball; steal by N. Peković),,30,27
128,2,10:19.0,,K. Martin misses 2-pt jump shot from 14 ft,30,27
129,2,10:18.0,Defensive rebound by W. Barton,,30,27
130,2,10:12.0,J. Lauvergne makes 2-pt layup from 2 ft (assist by W. Barton),,32,27
131,2,10:10.0,,Minnesota full timeout,32,27
132,2,9:57.0,,Shooting foul by J. Lauvergne (drawn by N. Peković),32,27
133,2,9:57.0,,N. Peković makes free throw 1 of 2,32,28
134,2,9:57.0,,N. Peković makes free throw 2 of 2,32,29
135,2,9:38.0,J. Lauvergne misses 2-pt jump shot from 19 ft,,32,29
136,2,9:37.0,,Defensive rebound by G. Dieng,32,29
137,2,9:25.0,,K. Martin makes 3-pt jump shot from 25 ft (assist by Z. LaVine),32,32
138,2,9:06.0,W. Chandler makes 2-pt jump shot from 6 ft (assist by J. Nelson),,34,32
139,2,8:48.0,,G. Neal misses 2-pt jump shot from 20 ft,34,32
140,2,8:47.0,,Offensive rebound by Z. LaVine,34,32
141,2,8:37.0,,N. Peković misses 2-pt jump shot from 5 ft,34,32
142,2,8:35.0,Defensive rebound by J. Lauvergne,,34,32
143,2,8:30.0,J. Nelson makes 2-pt jump shot from 15 ft,,36,32
144,2,8:12.0,,Z. LaVine misses 3-pt jump shot from 23 ft,36,32
145,2,8:11.0,,Offensive rebound by K. Martin,36,32
146,2,8:02.0,,Turnover by Z. LaVine (traveling),36,32
147,2,8:02.0,K. Faried enters the game for D. Arthur,,36,32
148,2,7:41.0,W. Chandler misses 2-pt layup from 1 ft,,36,32
149,2,7:37.0,Offensive rebound by W. Chandler,,36,32
150,2,7:35.0,J. Lauvergne makes 2-pt dunk at rim (assist by K. Faried),,38,32
151,2,7:14.0,,Z. LaVine misses 2-pt layup from 2 ft (block by K. Faried),38,32
152,2,7:12.0,Defensive rebound by K. Faried,,38,32
153,2,7:04.0,W. Barton makes 3-pt jump shot from 22 ft (assist by W. Chandler),,41,32
154,2,7:03.0,,Minnesota full timeout,41,32
155,2,7:03.0,,A. Wiggins enters the game for K. Martin,41,32
156,2,7:03.0,,R. Rubio enters the game for Z. LaVine,41,32
157,2,7:03.0,,K. Garnett enters the game for G. Dieng,41,32
158,2,6:44.0,,K. Garnett misses 2-pt jump shot from 12 ft,41,32
159,2,6:42.0,Defensive rebound by W. Chandler,,41,32
160,2,6:22.0,J. Lauvergne misses 2-pt jump shot from 5 ft,,41,32
161,2,6:21.0,Offensive rebound by W. Chandler,,41,32
162,2,6:20.0,W. Chandler makes 2-pt layup at rim,,43,32
163,2,6:03.0,,A. Wiggins misses 3-pt jump shot from 25 ft,43,32
164,2,6:01.0,Defensive rebound by K. Faried,,43,32
165,2,5:51.0,W. Barton makes 3-pt jump shot from 23 ft (assist by J. Nelson),,46,32
166,2,5:36.0,,Personal foul by J. Lauvergne (drawn by N. Peković),46,32
167,2,5:36.0,,G. Dieng enters the game for N. Peković,46,32
168,2,5:36.0,,K. Martin enters the game for G. Neal,46,32
169,2,5:36.0,D. Gallinari enters the game for W. Chandler,,46,32
170,2,5:28.0,,Turnover by K. Martin (traveling),46,32
171,2,5:15.0,J. Nelson misses 3-pt jump shot from 27 ft,,46,32
172,2,5:13.0,,Defensive rebound by K. Garnett,46,32
173,2,5:03.0,,A. Wiggins makes 2-pt dunk at rim (assist by R. Rubio),46,34
174,2,4:47.0,K. Faried misses 2-pt layup from 2 ft,,46,34
175,2,4:46.0,,Defensive rebound by R. Rubio,46,34
176,2,4:43.0,,Turnover by R. Rubio (lost ball; steal by W. Barton),46,34
177,2,4:37.0,K. Faried misses 2-pt layup from 2 ft,,46,34
178,2,4:36.0,Offensive rebound by J. Lauvergne,,46,34
179,2,4:34.0,J. Lauvergne misses 2-pt layup at rim,,46,34
180,2,4:33.0,Offensive rebound by K. Faried,,46,34
181,2,4:33.0,K. Faried makes 2-pt tip-in at rim,,48,34
182,2,4:23.0,,Shooting foul by W. Barton (drawn by K. Martin),48,34
183,2,4:23.0,,K. Martin makes free throw 1 of 2,48,35
184,2,4:23.0,T. Lawson enters the game for J. Nelson,,48,35
185,2,4:23.0,R. Foye enters the game for W. Barton,,48,35
186,2,4:23.0,,K. Martin misses free throw 2 of 2,48,35
187,2,4:22.0,Defensive rebound by K. Faried,,48,35
188,2,4:13.0,Personal foul by K. Garnett (drawn by K. Faried),,48,35
189,2,4:07.0,J. Lauvergne misses 2-pt layup from 1 ft,,48,35
190,2,4:06.0,Offensive rebound by J. Lauvergne,,48,35
191,2,4:06.0,J. Lauvergne makes 2-pt tip-in from 1 ft,,50,35
192,2,3:54.0,,Personal foul by T. Lawson (drawn by R. Rubio),50,35
193,2,3:54.0,,R. Rubio makes free throw 1 of 2,50,36
194,2,3:54.0,,R. Rubio makes free throw 2 of 2,50,37
195,2,3:43.0,Personal foul by G. Dieng (drawn by K. Faried),,50,37
196,2,3:43.0,,A. Payne enters the game for K. Garnett,50,37
197,2,3:31.0,K. Faried misses 2-pt jump shot from 5 ft,,50,37
198,2,3:30.0,Offensive rebound by T. Lawson,,50,37
199,2,3:19.0,J. Lauvergne misses 2-pt jump shot from 20 ft,,50,37
200,2,3:19.0,,Defensive rebound by Team,50,37
201,2,3:19.0,Loose ball foul by T. Lawson (drawn by A. Payne),,50,37
202,2,3:19.0,,A. Payne makes free throw 1 of 2,50,38
203,2,3:19.0,E. Green enters the game for T. Lawson,,50,38
204,2,3:19.0,,A. Payne makes free throw 2 of 2,50,39
205,2,2:56.0,K. Faried misses 2-pt layup from 2 ft,,50,39
206,2,2:55.0,Offensive rebound by K. Faried,,50,39
207,2,2:51.0,R. Foye makes 3-pt jump shot from 25 ft (assist by K. Faried),,53,39
208,2,2:36.0,,R. Rubio makes 2-pt jump shot from 19 ft,53,41
209,2,2:21.0,Turnover by R. Foye (lost ball; steal by G. Dieng),,53,41
210,2,2:17.0,,K. Martin misses 2-pt layup from 1 ft (block by K. Faried),53,41
211,2,2:16.0,,Offensive rebound by Team,53,41
212,2,2:16.0,,Minnesota full timeout,53,41
