,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PHILADELPHIA_ACTION,BROOKLYN_SCORE,PHILADELPHIA_SCORE
0,1,11:43.0,,Turnover by L. Mbah a Moute (step out of bounds),0,0
1,1,11:25.0,B. Lopez makes 2-pt jump shot from 17 ft (assist by J. Johnson),,2,0
2,1,10:58.0,,Turnover by N. Noel (bad pass; steal by K. Garnett),2,0
3,1,10:49.0,Offensive foul by K. Garnett (drawn by L. Mbah a Moute),,2,0
4,1,10:49.0,Turnover by K. Garnett (offensive foul),,2,0
5,1,10:33.0,,Turnover by T. Wroten (bad pass),2,0
6,1,10:16.0,J. Johnson makes 2-pt jump shot from 4 ft,,4,0
7,1,9:58.0,,L. Mbah a Moute makes 3-pt jump shot from 24 ft (assist by T. Wroten),4,3
8,1,9:42.0,D. Williams makes 2-pt layup at rim (assist by K. Garnett),,6,3
9,1,9:31.0,,M. Carter-Williams misses 2-pt jump shot from 6 ft,6,3
10,1,9:29.0,Defensive rebound by K. Garnett,,6,3
11,1,9:23.0,J. Johnson makes 2-pt layup from 2 ft,,8,3
12,1,9:16.0,,M. Carter-Williams misses 2-pt layup from 1 ft,8,3
13,1,9:14.0,Defensive rebound by B. Lopez,,8,3
14,1,9:04.0,B. Lopez makes 2-pt jump shot from 21 ft (assist by D. Williams),,10,3
15,1,8:45.0,,L. Mbah a Moute makes 2-pt dunk at rim,10,5
16,1,8:27.0,Turnover by B. Lopez (bad pass; steal by T. Wroten),,10,5
17,1,8:22.0,,T. Wroten makes 2-pt layup from 1 ft,10,7
18,1,8:08.0,B. Lopez misses 2-pt jump shot from 5 ft,,10,7
19,1,8:07.0,,Defensive rebound by M. Carter-Williams,10,7
20,1,7:58.0,,Turnover by M. Carter-Williams (bad pass; steal by K. Garnett),10,7
21,1,7:50.0,B. Bogdanović misses 3-pt jump shot from 23 ft,,10,7
22,1,7:49.0,Offensive rebound by B. Lopez,,10,7
23,1,7:48.0,Shooting foul by H. Sims (drawn by B. Lopez),,10,7
24,1,7:48.0,B. Lopez misses free throw 1 of 2,,10,7
25,1,7:48.0,Offensive rebound by Team,,10,7
26,1,7:48.0,B. Lopez makes free throw 2 of 2,,11,7
27,1,7:39.0,,H. Sims misses 2-pt jump shot from 19 ft,11,7
28,1,7:37.0,Defensive rebound by D. Williams,,11,7
29,1,7:27.0,J. Johnson makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),,14,7
30,1,7:14.0,,Turnover by H. Sims (traveling),14,7
31,1,7:00.0,B. Lopez makes 2-pt layup from 1 ft (assist by K. Garnett),,16,7
32,1,6:43.0,,L. Mbah a Moute makes 3-pt jump shot from 23 ft (assist by T. Wroten),16,10
33,1,6:23.0,Turnover by D. Williams (bad pass),,16,10
34,1,6:23.0,,Philadelphia full timeout,16,10
35,1,6:23.0,,B. Davies enters the game for H. Sims,16,10
36,1,6:23.0,,K. McDaniels enters the game for L. Mbah a Moute,16,10
37,1,6:23.0,,H. Thompson enters the game for M. Carter-Williams,16,10
38,1,6:04.0,,T. Wroten misses 3-pt jump shot from 27 ft,16,10
39,1,6:01.0,,Offensive rebound by N. Noel,16,10
40,1,5:52.0,,H. Thompson misses 3-pt jump shot from 25 ft,16,10
41,1,5:50.0,Defensive rebound by B. Lopez,,16,10
42,1,5:39.0,Turnover by D. Williams (lost ball),,16,10
43,1,5:28.0,,Personal foul by J. Johnson (drawn by N. Noel),16,10
44,1,5:28.0,M. Teletović enters the game for K. Garnett,,16,10
45,1,5:18.0,,Turnover by T. Wroten (lost ball; steal by D. Williams),16,10
46,1,5:12.0,Turnover by M. Teletović (lost ball; steal by B. Davies),,16,10
47,1,5:08.0,,T. Wroten misses 2-pt dunk at rim (block by B. Lopez),16,10
48,1,5:06.0,Defensive rebound by D. Williams,,16,10
49,1,5:00.0,J. Johnson makes 2-pt layup from 1 ft (assist by D. Williams),,18,10
50,1,4:47.0,,K. McDaniels misses 2-pt jump shot from 3 ft,18,10
51,1,4:45.0,,Offensive rebound by B. Davies,18,10
52,1,4:45.0,,B. Davies misses 2-pt layup from 2 ft,18,10
53,1,4:44.0,Defensive rebound by B. Lopez,,18,10
54,1,4:34.0,D. Williams makes 3-pt jump shot from 25 ft (assist by J. Johnson),,21,10
55,1,4:15.0,,Turnover by K. McDaniels (lost ball; steal by D. Williams),21,10
56,1,4:11.0,Shooting foul by K. McDaniels (drawn by B. Bogdanović),,21,10
57,1,4:11.0,B. Bogdanović misses free throw 1 of 2,,21,10
58,1,4:11.0,Offensive rebound by Team,,21,10
59,1,4:11.0,,M. Carter-Williams enters the game for T. Wroten,21,10
60,1,4:11.0,,D. Gordon enters the game for N. Noel,21,10
61,1,4:11.0,B. Bogdanović makes free throw 2 of 2,,22,10
62,1,4:00.0,,M. Carter-Williams misses 2-pt jump shot from 21 ft,22,10
63,1,3:59.0,Defensive rebound by Team,,22,10
64,1,3:59.0,A. Anderson enters the game for B. Bogdanović,,22,10
65,1,3:37.0,Shooting foul by K. McDaniels (drawn by D. Williams),,22,10
66,1,3:37.0,D. Williams makes free throw 1 of 3,,23,10
67,1,3:37.0,D. Williams makes free throw 2 of 3,,24,10
68,1,3:37.0,,L. Mbah a Moute enters the game for K. McDaniels,24,10
69,1,3:37.0,D. Williams makes free throw 3 of 3,,25,10
70,1,3:25.0,,M. Carter-Williams misses 2-pt jump shot from 4 ft,25,10
71,1,3:23.0,Defensive rebound by B. Lopez,,25,10
72,1,3:10.0,D. Williams misses 3-pt jump shot from 25 ft,,25,10
73,1,3:08.0,,Defensive rebound by D. Gordon,25,10
74,1,2:54.0,,H. Thompson makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),25,13
75,1,2:39.0,M. Teletović misses 3-pt jump shot from 25 ft,,25,13
76,1,2:37.0,,Defensive rebound by D. Gordon,25,13
77,1,2:28.0,,D. Gordon misses 3-pt jump shot from 25 ft,25,13
78,1,2:27.0,Defensive rebound by Team,,25,13
79,1,2:27.0,Brooklyn full timeout,,25,13
80,1,2:27.0,,R. Covington enters the game for D. Gordon,25,13
81,1,2:09.0,D. Williams makes 3-pt jump shot from 25 ft (assist by M. Teletović),,28,13
82,1,1:53.0,,B. Davies makes 2-pt jump shot from 16 ft,28,15
83,1,1:38.0,B. Lopez makes 2-pt jump shot from 9 ft (assist by J. Johnson),,30,15
84,1,1:25.0,,Shooting foul by D. Williams (drawn by M. Carter-Williams),30,15
85,1,1:25.0,J. Jack enters the game for D. Williams,,30,15
86,1,1:25.0,,M. Carter-Williams makes free throw 1 of 2,30,16
87,1,1:25.0,,M. Carter-Williams misses free throw 2 of 2,30,16
