,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,UTAH_ACTION,LA CLIPPERS_SCORE,UTAH_SCORE
0,1,11:45.0,,E. Freedom misses 2-pt jump shot from 18 ft,0,0
1,1,11:44.0,Defensive rebound by B. Griffin,,0,0
2,1,11:27.0,C. Paul makes 3-pt jump shot from 24 ft (assist by J. Redick),,3,0
3,1,11:10.0,,T. Burke misses 2-pt jump shot from 19 ft,3,0
4,1,11:08.0,Defensive rebound by D. Jordan,,3,0
5,1,10:55.0,B. Griffin makes 2-pt jump shot from 20 ft (assist by J. Redick),,5,0
6,1,10:36.0,,G. Hayward misses 2-pt jump shot from 14 ft,5,0
7,1,10:35.0,,Offensive rebound by E. Freedom,5,0
8,1,10:35.0,,E. Freedom misses 2-pt tip-in from 3 ft,5,0
9,1,10:33.0,Defensive rebound by D. Jordan,,5,0
10,1,10:29.0,Turnover by C. Paul (bad pass),,5,0
11,1,10:07.0,,A. Burks makes 2-pt jump shot from 5 ft (assist by G. Hayward),5,2
12,1,9:46.0,C. Paul misses 3-pt jump shot from 24 ft,,5,2
13,1,9:44.0,,Defensive rebound by G. Hayward,5,2
14,1,9:27.0,,D. Favors misses 2-pt jump shot from 16 ft,5,2
15,1,9:26.0,Defensive rebound by M. Barnes,,5,2
16,1,9:20.0,J. Redick makes 2-pt jump shot from 15 ft,,7,2
17,1,9:01.0,,Shooting foul by D. Jordan (drawn by E. Freedom),7,2
18,1,9:01.0,,E. Freedom makes free throw 1 of 2,7,3
19,1,9:01.0,,E. Freedom makes free throw 2 of 2,7,4
20,1,8:48.0,B. Griffin makes 2-pt jump shot from 20 ft,,9,4
21,1,8:29.0,,A. Burks makes 3-pt jump shot from 24 ft (assist by G. Hayward),9,7
22,1,8:07.0,B. Griffin makes 2-pt jump shot from 18 ft (assist by C. Paul),,11,7
23,1,7:53.0,,E. Freedom makes 2-pt jump shot from 16 ft (assist by T. Burke),11,9
24,1,7:47.0,B. Griffin makes 2-pt dunk at rim (assist by C. Paul),,13,9
25,1,7:26.0,,E. Freedom misses 2-pt layup from 2 ft,13,9
26,1,7:24.0,Defensive rebound by D. Jordan,,13,9
27,1,7:14.0,M. Barnes misses 2-pt layup from 1 ft,,13,9
28,1,7:13.0,Offensive rebound by D. Jordan,,13,9
