,QUARTER,TIME_REMAINING,DETROIT_ACTION,DALLAS_ACTION,DETROIT_SCORE,DALLAS_SCORE
0,1,11:38.0,B. Jennings misses 2-pt jump shot from 9 ft,,0,0
1,1,11:37.0,Offensive rebound by A. Drummond,,0,0
2,1,11:35.0,A. Drummond misses 2-pt layup from 2 ft,,0,0
3,1,11:34.0,,Defensive rebound by D. Nowitzki,0,0
4,1,11:27.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,0,0
5,1,11:26.0,Defensive rebound by K. Singler,,0,0
6,1,11:17.0,B. Jennings makes 2-pt layup at rim (assist by A. Drummond),,2,0
7,1,11:01.0,,D. Nowitzki makes 2-pt layup from 2 ft (assist by M. Ellis),2,2
8,1,10:45.0,G. Monroe makes 2-pt dunk at rim (assist by K. Caldwell-Pope),,4,2
9,1,10:23.0,,D. Nowitzki misses 2-pt jump shot from 14 ft,4,2
10,1,10:22.0,Defensive rebound by K. Caldwell-Pope,,4,2
11,1,10:17.0,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by B. Jennings),,7,2
12,1,10:00.0,,T. Chandler misses 2-pt layup at rim,7,2
13,1,9:58.0,Defensive rebound by A. Drummond,,7,2
14,1,9:57.0,Shooting foul by D. Nowitzki (drawn by K. Caldwell-Pope),,7,2
15,1,9:57.0,K. Caldwell-Pope misses free throw 1 of 2,,7,2
16,1,9:57.0,Offensive rebound by Team,,7,2
17,1,9:57.0,K. Caldwell-Pope makes free throw 2 of 2,,8,2
18,1,9:38.0,,T. Chandler makes 2-pt dunk at rim (assist by C. Parsons),8,4
19,1,9:13.0,K. Singler misses 2-pt layup from 2 ft,,8,4
20,1,9:12.0,,Defensive rebound by R. Rondo,8,4
21,1,9:07.0,,Turnover by R. Rondo (bad pass; steal by A. Drummond),8,4
22,1,9:00.0,K. Singler makes 2-pt layup from 1 ft,,10,4
23,1,8:44.0,,M. Ellis misses 3-pt jump shot from 22 ft,10,4
24,1,8:43.0,Defensive rebound by G. Monroe,,10,4
25,1,8:39.0,B. Jennings makes 2-pt layup at rim (assist by G. Monroe),,12,4
26,1,8:38.0,,Dallas full timeout,12,4
27,1,8:26.0,,Shooting foul by K. Singler (drawn by C. Parsons),12,4
28,1,8:26.0,,C. Parsons makes free throw 1 of 3,12,5
29,1,8:26.0,,C. Parsons makes free throw 2 of 3,12,6
30,1,8:26.0,,C. Parsons makes free throw 3 of 3,12,7
31,1,8:09.0,Turnover by G. Monroe (lost ball; steal by R. Rondo),,12,7
32,1,8:06.0,,Turnover by R. Rondo (bad pass; steal by K. Caldwell-Pope),12,7
33,1,8:00.0,G. Monroe misses 2-pt jump shot from 4 ft,,12,7
34,1,7:59.0,Offensive rebound by G. Monroe,,12,7
35,1,7:55.0,Turnover by G. Monroe (lost ball; steal by R. Rondo),,12,7
36,1,7:49.0,,C. Parsons makes 2-pt layup from 1 ft,12,9
37,1,7:27.0,B. Jennings misses 2-pt jump shot from 8 ft,,12,9
38,1,7:26.0,Offensive rebound by B. Jennings,,12,9
39,1,7:24.0,B. Jennings misses 2-pt jump shot from 9 ft,,12,9
40,1,7:22.0,,Defensive rebound by M. Ellis,12,9
41,1,7:16.0,,C. Parsons misses 2-pt layup at rim,12,9
42,1,7:15.0,Defensive rebound by G. Monroe,,12,9
43,1,7:08.0,K. Singler misses 2-pt jump shot from 7 ft,,12,9
44,1,7:07.0,Offensive rebound by A. Drummond,,12,9
45,1,7:04.0,A. Drummond misses 2-pt jump shot from 3 ft,,12,9
46,1,7:02.0,,Defensive rebound by T. Chandler,12,9
47,1,6:54.0,,T. Chandler makes 2-pt dunk at rim (assist by D. Nowitzki),12,11
48,1,6:36.0,G. Monroe makes 2-pt layup from 1 ft (assist by B. Jennings),,14,11
49,1,6:36.0,Shooting foul by T. Chandler (drawn by G. Monroe),,14,11
50,1,6:36.0,Technical foul by A. Drummond,,14,11
51,1,6:36.0,,D. Nowitzki makes technical free throw,14,12
52,1,6:36.0,,D. Harris enters the game for R. Rondo,14,12
53,1,6:36.0,,C. Villanueva enters the game for D. Nowitzki,14,12
54,1,6:36.0,G. Monroe makes free throw 1 of 1,,15,12
55,1,6:23.0,,C. Villanueva misses 2-pt hook shot from 10 ft,15,12
56,1,6:22.0,Defensive rebound by A. Drummond,,15,12
57,1,6:15.0,B. Jennings makes 2-pt jump shot from 3 ft,,17,12
58,1,6:03.0,,T. Chandler makes 2-pt dunk at rim (assist by D. Harris),17,14
59,1,5:42.0,G. Monroe makes 2-pt layup at rim (assist by B. Jennings),,19,14
60,1,5:42.0,,Dallas full timeout,19,14
61,1,5:24.0,,C. Parsons misses 3-pt jump shot from 24 ft,19,14
62,1,5:23.0,Defensive rebound by G. Monroe,,19,14
63,1,5:08.0,B. Jennings misses 3-pt jump shot from 24 ft,,19,14
64,1,5:07.0,,Defensive rebound by C. Parsons,19,14
65,1,5:03.0,,M. Ellis makes 2-pt layup at rim (assist by C. Parsons),19,16
66,1,4:47.0,B. Jennings misses 2-pt layup from 2 ft,,19,16
67,1,4:46.0,Offensive rebound by A. Drummond,,19,16
68,1,4:46.0,A. Drummond misses 2-pt layup from 2 ft,,19,16
69,1,4:45.0,,Defensive rebound by C. Villanueva,19,16
70,1,4:40.0,,Shooting foul by K. Singler (drawn by D. Harris),19,16
71,1,4:40.0,,D. Harris makes free throw 1 of 2,19,17
72,1,4:40.0,,G. Smith enters the game for T. Chandler,19,17
73,1,4:40.0,C. Butler enters the game for K. Singler,,19,17
74,1,4:40.0,J. Jerebko enters the game for A. Drummond,,19,17
75,1,4:40.0,,D. Harris makes free throw 2 of 2,19,18
76,1,4:24.0,K. Caldwell-Pope makes 2-pt layup from 1 ft (assist by G. Monroe),,21,18
77,1,4:12.0,,Turnover by M. Ellis (bad pass; steal by J. Jerebko),21,18
78,1,4:12.0,Turnover by K. Caldwell-Pope (bad pass; steal by D. Harris),,21,18
79,1,4:02.0,,Turnover by D. Harris (lost ball; steal by J. Jerebko),21,18
80,1,4:02.0,Turnover by J. Jerebko (lost ball; steal by G. Smith),,21,18
81,1,3:56.0,,C. Villanueva misses 3-pt jump shot from 24 ft,21,18
82,1,3:55.0,Defensive rebound by K. Caldwell-Pope,,21,18
83,1,3:46.0,Turnover by B. Jennings (bad pass; steal by C. Parsons),,21,18
84,1,3:43.0,,Shooting foul by K. Caldwell-Pope (drawn by M. Ellis),21,18
85,1,3:43.0,,M. Ellis makes 2-pt layup from 1 ft (assist by C. Parsons),21,20
86,1,3:43.0,,M. Ellis makes free throw 1 of 1,21,21
87,1,3:39.0,Detroit full timeout,,21,21
88,1,3:39.0,J. Meeks enters the game for K. Caldwell-Pope,,21,21
89,1,3:34.0,Offensive foul by J. Jerebko (drawn by D. Harris),,21,21
90,1,3:34.0,Turnover by J. Jerebko (offensive foul),,21,21
91,1,3:22.0,,C. Villanueva misses 3-pt jump shot from 23 ft,21,21
92,1,3:21.0,Defensive rebound by C. Butler,,21,21
93,1,3:08.0,Personal block foul by D. Harris (drawn by B. Jennings),,21,21
94,1,2:58.0,C. Butler makes 3-pt jump shot from 24 ft (assist by B. Jennings),,24,21
95,1,2:38.0,,C. Parsons misses 2-pt jump shot from 6 ft,24,21
96,1,2:37.0,Defensive rebound by B. Jennings,,24,21
97,1,2:22.0,G. Monroe makes 2-pt hook shot from 9 ft,,26,21
98,1,2:13.0,,D. Harris makes 2-pt layup from 1 ft,26,23
99,1,1:48.0,B. Jennings misses 2-pt jump shot from 14 ft,,26,23
100,1,1:47.0,Offensive rebound by J. Jerebko,,26,23
101,1,1:43.0,G. Monroe makes 2-pt layup at rim (assist by J. Meeks),,28,23
102,1,1:32.0,,G. Smith misses 2-pt layup from 2 ft (block by G. Monroe),28,23
103,1,1:31.0,Defensive rebound by G. Monroe,,28,23
104,1,1:22.0,C. Butler misses 2-pt layup at rim,,28,23
105,1,1:21.0,Offensive rebound by J. Jerebko,,28,23
106,1,1:20.0,Personal foul by C. Parsons (drawn by B. Jennings),,28,23
107,1,1:20.0,,R. Rondo enters the game for C. Parsons,28,23
108,1,1:20.0,,R. Jefferson enters the game for M. Ellis,28,23
109,1,1:20.0,,D. Nowitzki enters the game for C. Villanueva,28,23
110,1,1:20.0,D. Augustin enters the game for B. Jennings,,28,23
111,1,1:07.0,D. Augustin makes 3-pt jump shot from 24 ft (assist by J. Jerebko),,31,23
112,1,0:56.0,,Personal foul by J. Jerebko (drawn by D. Nowitzki),31,23
113,1,0:56.0,A. Tolliver enters the game for J. Jerebko,,31,23
114,1,0:44.0,,D. Nowitzki misses 2-pt jump shot from 11 ft,31,23
115,1,0:43.0,Defensive rebound by G. Monroe,,31,23
116,1,0:28.0,G. Monroe misses 2-pt layup at rim,,31,23
117,1,0:27.0,,Defensive rebound by D. Nowitzki,31,23
118,1,0:06.0,,D. Harris makes 3-pt jump shot from 24 ft,31,26
119,2,11:44.0,,D. Nowitzki misses 2-pt jump shot from 10 ft,31,26
120,2,11:43.0,,Offensive rebound by G. Smith,31,26
121,2,11:38.0,,G. Smith misses 2-pt dunk at rim (block by A. Drummond),31,26
122,2,11:36.0,,Offensive rebound by R. Rondo,31,26
123,2,11:29.0,,R. Jefferson makes 3-pt jump shot from 24 ft (assist by R. Rondo),31,29
124,2,11:12.0,J. Meeks misses 3-pt jump shot from 24 ft,,31,29
125,2,11:11.0,,Defensive rebound by D. Nowitzki,31,29
126,2,10:56.0,,R. Rondo makes 2-pt layup at rim (assist by D. Nowitzki),31,31
127,2,10:41.0,Personal foul by R. Rondo (drawn by J. Meeks),,31,31
128,2,10:35.0,Shooting block foul by G. Smith (drawn by D. Augustin),,31,31
129,2,10:35.0,D. Augustin misses free throw 1 of 2,,31,31
130,2,10:35.0,Offensive rebound by Team,,31,31
131,2,10:35.0,D. Augustin makes free throw 2 of 2,,32,31
132,2,10:24.0,Violation by A. Drummond (kicked ball),,32,31
133,2,10:13.0,,Offensive foul by J. Barea (drawn by D. Augustin),32,31
134,2,10:13.0,,Turnover by J. Barea (offensive foul),32,31
135,2,10:00.0,D. Augustin misses 2-pt jump shot from 21 ft,,32,31
136,2,10:00.0,,Defensive rebound by G. Smith,32,31
137,2,10:00.0,Loose ball foul by A. Drummond (drawn by G. Smith),,32,31
138,2,9:44.0,,Turnover by R. Rondo (bad pass; steal by D. Augustin),32,31
139,2,9:41.0,D. Augustin misses 2-pt layup at rim,,32,31
140,2,9:40.0,,Defensive rebound by D. Nowitzki,32,31
141,2,9:29.0,,R. Jefferson misses 2-pt jump shot from 20 ft,32,31
142,2,9:28.0,Defensive rebound by A. Drummond,,32,31
143,2,9:18.0,J. Meeks makes 3-pt jump shot from 22 ft (assist by D. Augustin),,35,31
144,2,9:03.0,,R. Rondo makes 2-pt layup at rim,35,33
145,2,8:46.0,D. Augustin makes 2-pt jump shot from 9 ft,,37,33
146,2,8:26.0,,D. Nowitzki makes 2-pt jump shot from 14 ft (assist by R. Rondo),37,35
147,2,8:12.0,J. Meeks misses 2-pt jump shot from 7 ft,,37,35
148,2,8:11.0,Offensive rebound by A. Drummond,,37,35
149,2,8:11.0,A. Drummond makes 2-pt tip-in at rim,,39,35
150,2,7:56.0,,Turnover by R. Rondo (bad pass; steal by C. Butler),39,35
151,2,7:40.0,A. Tolliver makes 3-pt jump shot from 22 ft (assist by C. Butler),,42,35
152,2,7:39.0,,Dallas full timeout,42,35
153,2,7:39.0,,T. Chandler enters the game for D. Nowitzki,42,35
154,2,7:39.0,,M. Ellis enters the game for R. Rondo,42,35
155,2,7:39.0,,C. Parsons enters the game for G. Smith,42,35
156,2,7:29.0,,Shooting foul by A. Tolliver (drawn by T. Chandler),42,35
157,2,7:29.0,,T. Chandler misses free throw 1 of 2,42,35
158,2,7:29.0,,Offensive rebound by Team,42,35
159,2,7:29.0,,T. Chandler makes free throw 2 of 2,42,36
160,2,7:16.0,A. Drummond makes 2-pt dunk at rim (assist by D. Augustin),,44,36
161,2,7:03.0,,J. Barea makes 2-pt jump shot from 6 ft,44,38
162,2,6:37.0,A. Drummond misses 2-pt jump shot from 4 ft,,44,38
163,2,6:35.0,,Defensive rebound by M. Ellis,44,38
164,2,6:31.0,,Turnover by M. Ellis (bad pass),44,38
165,2,6:31.0,,D. Harris enters the game for J. Barea,44,38
166,2,6:16.0,D. Augustin misses 2-pt layup from 1 ft,,44,38
167,2,6:15.0,,Defensive rebound by D. Harris,44,38
168,2,6:06.0,,C. Parsons makes 2-pt jump shot from 6 ft,44,40
169,2,5:46.0,C. Butler misses 3-pt jump shot from 24 ft,,44,40
170,2,5:46.0,,Defensive rebound by C. Parsons,44,40
171,2,5:46.0,Loose ball foul by A. Tolliver (drawn by C. Parsons),,44,40
172,2,5:46.0,Official timeout,,44,40
173,2,5:33.0,,M. Ellis misses 2-pt jump shot from 14 ft,44,40
174,2,5:32.0,Defensive rebound by A. Drummond,,44,40
175,2,5:16.0,D. Augustin makes 3-pt jump shot from 25 ft,,47,40
176,2,5:07.0,,D. Harris makes 3-pt jump shot from 24 ft (assist by M. Ellis),47,43
177,2,4:48.0,D. Augustin misses 2-pt jump shot from 4 ft (block by M. Ellis),,47,43
178,2,4:46.0,,Defensive rebound by T. Chandler,47,43
179,2,4:40.0,,M. Ellis misses 3-pt jump shot from 24 ft,47,43
180,2,4:39.0,,Offensive rebound by T. Chandler,47,43
