,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,BOSTON_ACTION,MILWAUKEE_SCORE,BOSTON_SCORE
0,1,11:40.0,,T. Zeller misses 2-pt jump shot from 19 ft,0,0
1,1,11:39.0,Defensive rebound by K. Middleton,,0,0
2,1,11:26.0,G. Antetokounmpo misses 2-pt jump shot from 19 ft,,0,0
3,1,11:25.0,,Defensive rebound by M. Smart,0,0
4,1,11:09.0,,A. Bradley makes 2-pt jump shot from 20 ft,0,2
5,1,10:58.0,Turnover by Z. Pachulia (bad pass),,0,2
6,1,10:36.0,,A. Bradley misses 3-pt jump shot from 25 ft,0,2
7,1,10:35.0,Defensive rebound by G. Antetokounmpo,,0,2
8,1,10:24.0,E. İlyasova makes 2-pt layup at rim (assist by Z. Pachulia),,2,2
9,1,10:13.0,,E. Turner misses 2-pt jump shot from 17 ft,2,2
10,1,10:12.0,Defensive rebound by M. Carter-Williams,,2,2
11,1,10:03.0,K. Middleton misses 3-pt jump shot from 26 ft,,2,2
12,1,10:02.0,,Defensive rebound by E. Turner,2,2
13,1,9:56.0,,A. Bradley makes 2-pt jump shot from 20 ft (assist by E. Turner),2,4
14,1,9:40.0,Z. Pachulia misses 2-pt layup from 1 ft,,2,4
15,1,9:39.0,Offensive rebound by Z. Pachulia,,2,4
16,1,9:38.0,Z. Pachulia misses 2-pt layup at rim (block by E. Turner),,2,4
17,1,9:37.0,Offensive rebound by Team,,2,4
18,1,9:32.0,Z. Pachulia misses 2-pt jump shot from 6 ft,,2,4
19,1,9:30.0,,Defensive rebound by A. Bradley,2,4
20,1,9:21.0,,T. Zeller misses 2-pt hook shot from 2 ft,2,4
21,1,9:20.0,Defensive rebound by M. Carter-Williams,,2,4
22,1,9:08.0,Turnover by M. Carter-Williams (traveling),,2,4
23,1,8:49.0,,T. Zeller misses 2-pt hook shot from 9 ft,2,4
24,1,8:48.0,Defensive rebound by Z. Pachulia,,2,4
25,1,8:39.0,G. Antetokounmpo makes 2-pt layup from 1 ft,,4,4
26,1,8:18.0,,B. Bass misses 2-pt jump shot from 11 ft,4,4
27,1,8:17.0,Defensive rebound by Z. Pachulia,,4,4
28,1,8:05.0,E. İlyasova misses 3-pt jump shot from 25 ft,,4,4
29,1,8:04.0,,Defensive rebound by A. Bradley,4,4
30,1,7:56.0,,A. Bradley makes 2-pt jump shot from 8 ft,4,6
31,1,7:39.0,K. Middleton makes 2-pt layup from 1 ft (assist by Z. Pachulia),,6,6
32,1,7:20.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by T. Zeller),6,9
33,1,7:08.0,Personal foul by M. Smart (drawn by M. Carter-Williams),,6,9
34,1,6:59.0,M. Carter-Williams misses 2-pt jump shot from 12 ft,,6,9
35,1,6:58.0,,Defensive rebound by A. Bradley,6,9
36,1,6:50.0,,T. Zeller misses 2-pt jump shot from 4 ft (block by Z. Pachulia),6,9
37,1,6:49.0,,Offensive rebound by B. Bass,6,9
38,1,6:48.0,,B. Bass misses 2-pt layup at rim,6,9
39,1,6:47.0,,Offensive rebound by B. Bass,6,9
40,1,6:47.0,,B. Bass makes 2-pt tip-in at rim,6,11
41,1,6:29.0,E. İlyasova misses 2-pt jump shot from 8 ft,,6,11
42,1,6:28.0,,Defensive rebound by T. Zeller,6,11
43,1,6:17.0,,T. Zeller makes 2-pt layup from 2 ft (assist by E. Turner),6,13
44,1,6:06.0,G. Antetokounmpo misses 2-pt jump shot from 19 ft,,6,13
45,1,6:05.0,,Defensive rebound by T. Zeller,6,13
46,1,5:49.0,,E. Turner makes 2-pt layup from 1 ft,6,15
47,1,5:46.0,Milwaukee full timeout,,6,15
48,1,5:46.0,,I. Thomas enters the game for M. Smart,6,15
49,1,5:46.0,J. Dudley enters the game for E. İlyasova,,6,15
50,1,5:46.0,J. Henson enters the game for Z. Pachulia,,6,15
51,1,5:21.0,J. Henson makes 2-pt hook shot from 9 ft,,8,15
52,1,5:01.0,,A. Bradley misses 2-pt layup from 2 ft,8,15
53,1,5:00.0,Defensive rebound by K. Middleton,,8,15
54,1,4:56.0,Turnover by K. Middleton (lost ball; steal by E. Turner),,8,15
55,1,4:56.0,,Personal foul by J. Dudley (drawn by E. Turner),8,15
56,1,4:41.0,,B. Bass misses 3-pt jump shot from 23 ft,8,15
57,1,4:40.0,Defensive rebound by K. Middleton,,8,15
58,1,4:33.0,Turnover by K. Middleton (lost ball),,8,15
59,1,4:24.0,,A. Bradley misses 3-pt jump shot from 24 ft,8,15
60,1,4:23.0,Defensive rebound by M. Carter-Williams,,8,15
61,1,4:09.0,M. Carter-Williams misses 2-pt jump shot from 6 ft (block by T. Zeller),,8,15
62,1,4:09.0,Offensive rebound by Team,,8,15
63,1,4:07.0,K. Middleton misses 2-pt jump shot from 20 ft,,8,15
64,1,4:06.0,,Defensive rebound by T. Zeller,8,15
65,1,3:53.0,,B. Bass makes 2-pt jump shot from 7 ft (assist by T. Zeller),8,17
66,1,3:36.0,M. Carter-Williams misses 2-pt jump shot from 6 ft,,8,17
67,1,3:34.0,Offensive rebound by J. Henson,,8,17
68,1,3:34.0,J. Henson makes 2-pt tip-in at rim,,10,17
69,1,3:18.0,,E. Turner misses 2-pt layup from 1 ft (block by J. Henson),10,17
70,1,3:17.0,Defensive rebound by J. Henson,,10,17
71,1,3:09.0,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by K. Middleton),,12,17
72,1,3:01.0,,Turnover by I. Thomas (bad pass; steal by M. Carter-Williams),12,17
73,1,2:52.0,,Boston full timeout,12,17
74,1,2:52.0,O. Mayo enters the game for K. Middleton,,12,17
75,1,2:52.0,,J. Crowder enters the game for E. Turner,12,17
76,1,2:52.0,,K. Olynyk enters the game for T. Zeller,12,17
77,1,2:44.0,J. Dudley misses 3-pt jump shot from 23 ft,,12,17
78,1,2:42.0,Offensive rebound by J. Henson,,12,17
79,1,2:36.0,O. Mayo misses 2-pt jump shot from 13 ft,,12,17
80,1,2:35.0,,Defensive rebound by J. Crowder,12,17
81,1,2:14.0,,I. Thomas misses 3-pt jump shot from 25 ft,12,17
82,1,2:12.0,Defensive rebound by G. Antetokounmpo,,12,17
83,1,2:06.0,Turnover by G. Antetokounmpo (lost ball; steal by A. Bradley),,12,17
84,1,2:03.0,,Personal foul by G. Antetokounmpo (drawn by A. Bradley),12,17
85,1,2:03.0,J. Bayless enters the game for M. Carter-Williams,,12,17
86,1,1:51.0,,J. Crowder misses 3-pt jump shot from 22 ft,12,17
87,1,1:50.0,Defensive rebound by J. Dudley,,12,17
88,1,1:46.0,O. Mayo makes 2-pt layup from 1 ft,,14,17
89,1,1:46.0,Shooting foul by B. Bass (drawn by O. Mayo),,14,17
90,1,1:46.0,O. Mayo misses free throw 1 of 1,,14,17
91,1,1:46.0,,Defensive rebound by B. Bass,14,17
92,1,1:31.0,,J. Crowder misses 2-pt layup at rim,14,17
93,1,1:30.0,Defensive rebound by J. Henson,,14,17
94,1,1:22.0,G. Antetokounmpo makes 2-pt dunk at rim (assist by J. Dudley),,16,17
95,1,1:06.0,,K. Olynyk makes 3-pt jump shot from 25 ft (assist by I. Thomas),16,20
96,1,0:58.0,O. Mayo makes 3-pt jump shot from 25 ft (assist by J. Bayless),,19,20
97,1,0:50.0,,B. Bass misses 2-pt layup from 1 ft,19,20
98,1,0:49.0,Defensive rebound by J. Henson,,19,20
99,1,0:44.0,J. Dudley makes 2-pt layup at rim (assist by J. Bayless),,21,20
100,1,0:36.0,,I. Thomas makes 2-pt layup from 1 ft,21,22
101,1,0:16.0,G. Antetokounmpo misses 2-pt jump shot from 5 ft,,21,22
102,1,0:15.0,,Defensive rebound by B. Bass,21,22
103,1,0:04.0,,Shooting foul by J. Bayless (drawn by I. Thomas),21,22
104,1,0:04.0,,I. Thomas makes free throw 1 of 3,21,23
105,1,0:04.0,,I. Thomas makes free throw 2 of 3,21,24
106,1,0:04.0,,J. Jerebko enters the game for K. Olynyk,21,24
107,1,0:04.0,,M. Smart enters the game for B. Bass,21,24
108,1,0:04.0,,I. Thomas makes free throw 3 of 3,21,25
109,2,11:39.0,J. Bayless makes 2-pt jump shot from 22 ft (assist by O. Mayo),,23,25
110,2,11:26.0,,K. Olynyk misses 3-pt jump shot from 25 ft,23,25
111,2,11:25.0,Defensive rebound by K. Middleton,,23,25
112,2,11:14.0,Turnover by J. Henson (lost ball; steal by K. Olynyk),,23,25
113,2,11:03.0,,Def 3 sec tech foul by J. Henson,23,25
114,2,11:03.0,,I. Thomas makes technical free throw,23,26
115,2,10:55.0,,J. Jerebko misses 2-pt jump shot from 8 ft,23,26
116,2,10:54.0,Defensive rebound by J. Bayless,,23,26
117,2,10:44.0,K. Middleton misses 3-pt jump shot from 24 ft,,23,26
118,2,10:43.0,,Defensive rebound by M. Smart,23,26
119,2,10:32.0,,Turnover by M. Smart (bad pass; steal by O. Mayo),23,26
120,2,10:26.0,J. Henson makes 2-pt dunk at rim (assist by O. Mayo),,25,26
121,2,10:08.0,,J. Crowder misses 2-pt layup at rim,25,26
122,2,10:07.0,,Offensive rebound by J. Crowder,25,26
123,2,10:07.0,,J. Crowder makes 2-pt tip-in at rim,25,28
124,2,9:56.0,K. Middleton misses 3-pt jump shot from 23 ft,,25,28
125,2,9:55.0,,Defensive rebound by J. Jerebko,25,28
126,2,9:48.0,,I. Thomas makes 3-pt jump shot from 24 ft,25,31
127,2,9:32.0,Personal foul by I. Thomas (drawn by J. Henson),,25,31
128,2,9:32.0,Z. Pachulia enters the game for J. Henson,,25,31
129,2,9:25.0,K. Middleton makes 2-pt layup at rim,,27,31
130,2,9:19.0,,Shooting block foul by K. Middleton (drawn by J. Crowder),27,31
131,2,9:19.0,,J. Crowder makes free throw 1 of 2,27,32
132,2,9:19.0,,J. Crowder makes free throw 2 of 2,27,33
133,2,9:05.0,Z. Pachulia makes 2-pt layup at rim (assist by O. Mayo),,29,33
134,2,8:56.0,,Turnover by I. Thomas (bad pass),29,33
135,2,8:56.0,Official timeout,,29,33
136,2,8:44.0,O. Mayo makes 2-pt jump shot from 7 ft,,31,33
137,2,8:44.0,Shooting foul by I. Thomas (drawn by O. Mayo),,31,33
138,2,8:44.0,O. Mayo misses free throw 1 of 1,,31,33
139,2,8:44.0,,Defensive rebound by K. Olynyk,31,33
140,2,8:26.0,,J. Jerebko makes 2-pt layup from 1 ft (assist by I. Thomas),31,35
141,2,8:06.0,O. Mayo makes 3-pt jump shot from 22 ft (assist by J. Dudley),,34,35
142,2,8:03.0,,Turnover by J. Jerebko (bad pass; steal by J. Dudley),34,35
143,2,8:02.0,Milwaukee full timeout,,34,35
144,2,8:02.0,,E. Turner enters the game for I. Thomas,34,35
145,2,7:54.0,Z. Pachulia misses 2-pt jump shot from 9 ft,,34,35
146,2,7:53.0,,Defensive rebound by E. Turner,34,35
147,2,7:38.0,,J. Crowder misses 2-pt jump shot from 16 ft,34,35
148,2,7:37.0,Defensive rebound by K. Middleton,,34,35
149,2,7:27.0,J. Dudley makes 3-pt jump shot from 22 ft (assist by O. Mayo),,37,35
150,2,7:12.0,,K. Olynyk makes 2-pt layup at rim (assist by E. Turner),37,37
151,2,6:56.0,Personal foul by J. Crowder (drawn by K. Middleton),,37,37
152,2,6:51.0,Turnover by Z. Pachulia (bad pass),,37,37
153,2,6:40.0,,J. Crowder misses 3-pt jump shot from 23 ft,37,37
154,2,6:39.0,Defensive rebound by Z. Pachulia,,37,37
155,2,6:25.0,J. Dudley misses 2-pt jump shot from 11 ft,,37,37
156,2,6:24.0,Offensive rebound by Team,,37,37
157,2,6:24.0,,Loose ball foul by J. Crowder (drawn by Z. Pachulia),37,37
158,2,6:24.0,,A. Bradley enters the game for J. Crowder,37,37
159,2,6:24.0,E. İlyasova enters the game for Z. Pachulia,,37,37
160,2,6:17.0,E. İlyasova misses 2-pt layup from 1 ft,,37,37
161,2,6:16.0,,Defensive rebound by E. Turner,37,37
162,2,6:14.0,,Turnover by K. Olynyk (lost ball),37,37
163,2,6:09.0,K. Middleton misses 2-pt jump shot from 11 ft,,37,37
164,2,6:08.0,,Defensive rebound by E. Turner,37,37
165,2,6:02.0,,J. Jerebko makes 2-pt layup from 2 ft (assist by E. Turner),37,39
166,2,5:47.0,O. Mayo misses 2-pt jump shot from 20 ft,,37,39
167,2,5:46.0,,Defensive rebound by J. Jerebko,37,39
168,2,5:35.0,,K. Olynyk misses 3-pt jump shot from 25 ft,37,39
169,2,5:34.0,Defensive rebound by J. Dudley,,37,39
170,2,5:32.0,Turnover by J. Dudley (lost ball; steal by J. Jerebko),,37,39
171,2,5:29.0,,J. Jerebko makes 2-pt layup at rim,37,41
172,2,5:27.0,Milwaukee full timeout,,37,41
173,2,5:27.0,M. Carter-Williams enters the game for J. Dudley,,37,41
174,2,5:27.0,J. Henson enters the game for J. Bayless,,37,41
175,2,5:27.0,,T. Zeller enters the game for K. Olynyk,37,41
176,2,5:16.0,E. İlyasova misses 3-pt jump shot from 25 ft,,37,41
177,2,5:15.0,,Defensive rebound by J. Jerebko,37,41
178,2,4:56.0,,A. Bradley makes 2-pt jump shot from 16 ft,37,43
179,2,4:35.0,Turnover by J. Henson (bad pass),,37,43
180,2,4:35.0,G. Antetokounmpo enters the game for O. Mayo,,37,43
181,2,4:35.0,,B. Bass enters the game for J. Jerebko,37,43
182,2,4:19.0,,T. Zeller misses 2-pt layup from 1 ft,37,43
183,2,4:18.0,,Offensive rebound by Team,37,43
184,2,4:17.0,,Shooting foul by K. Middleton (drawn by T. Zeller),37,43
185,2,4:17.0,,T. Zeller makes free throw 1 of 2,37,44
186,2,4:17.0,,T. Zeller makes free throw 2 of 2,37,45
187,2,3:57.0,Personal foul by M. Smart (drawn by G. Antetokounmpo),,37,45
188,2,3:57.0,,Personal foul by G. Antetokounmpo,37,45
189,2,3:57.0,O. Mayo enters the game for K. Middleton,,37,45
190,2,3:45.0,O. Mayo makes 3-pt jump shot from 25 ft (assist by M. Carter-Williams),,40,45
191,2,3:33.0,,Turnover by E. Turner (kicked ball),40,45
192,2,3:22.0,M. Carter-Williams makes 2-pt jump shot from 4 ft,,42,45
193,2,3:01.0,,T. Zeller misses 2-pt layup at rim,42,45
194,2,3:00.0,Defensive rebound by M. Carter-Williams,,42,45
195,2,2:54.0,O. Mayo makes 3-pt jump shot from 27 ft (assist by M. Carter-Williams),,45,45
196,2,2:53.0,,Boston full timeout,45,45
197,2,2:45.0,,Personal foul by E. İlyasova (drawn by M. Smart),45,45
198,2,2:39.0,,M. Smart makes 2-pt layup at rim,45,47
199,2,2:24.0,O. Mayo makes 2-pt layup at rim (assist by M. Carter-Williams),,47,47
200,2,2:09.0,Offensive charge foul by B. Bass (drawn by E. İlyasova),,47,47
201,2,2:09.0,,Turnover by B. Bass (offensive foul),47,47
202,2,1:54.0,Personal block foul by M. Smart (drawn by M. Carter-Williams),,47,47
203,2,1:54.0,M. Carter-Williams makes free throw 1 of 2,,48,47
204,2,1:54.0,,I. Thomas enters the game for M. Smart,48,47
205,2,1:54.0,M. Carter-Williams misses free throw 2 of 2,,48,47
206,2,1:54.0,,Defensive rebound by E. Turner,48,47
207,2,1:35.0,,A. Bradley makes 3-pt jump shot from 24 ft (assist by T. Zeller),48,50
208,2,1:15.0,M. Carter-Williams misses 2-pt jump shot from 5 ft,,48,50
209,2,1:14.0,,Defensive rebound by T. Zeller,48,50
210,2,1:13.0,,Personal foul by M. Carter-Williams (drawn by T. Zeller),48,50
211,2,0:58.0,,Boston full timeout,48,50
212,2,0:58.0,,K. Olynyk enters the game for T. Zeller,48,50
213,2,0:56.0,,B. Bass makes 2-pt dunk at rim (assist by K. Olynyk),48,52
214,2,0:39.0,Turnover by M. Carter-Williams (lost ball; steal by K. Olynyk),,48,52
215,2,0:33.0,,K. Olynyk misses 2-pt layup at rim,48,52
216,2,0:32.0,Defensive rebound by J. Henson,,48,52
217,2,0:16.0,O. Mayo makes 2-pt jump shot from 13 ft (assist by M. Carter-Williams),,50,52
218,2,0:01.0,,B. Bass misses 2-pt jump shot from 5 ft,50,52
219,2,0:00.0,Defensive rebound by J. Henson,,50,52
220,3,11:45.0,G. Antetokounmpo makes 2-pt layup from 2 ft,,52,52
221,3,11:26.0,,T. Zeller makes 2-pt jump shot from 17 ft (assist by B. Bass),52,54
222,3,11:13.0,Shooting foul by T. Zeller (drawn by G. Antetokounmpo),,52,54
223,3,11:13.0,G. Antetokounmpo makes free throw 1 of 2,,53,54
224,3,11:13.0,G. Antetokounmpo misses free throw 2 of 2,,53,54
225,3,11:13.0,Offensive rebound by E. İlyasova,,53,54
226,3,10:52.0,E. İlyasova makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),,55,54
227,3,10:38.0,,B. Bass makes 2-pt jump shot from 15 ft,55,56
228,3,10:16.0,,Offensive charge foul by G. Antetokounmpo (drawn by M. Smart),55,56
229,3,10:16.0,Turnover by G. Antetokounmpo (offensive foul),,55,56
230,3,10:02.0,,Personal block foul by E. İlyasova (drawn by M. Smart),55,56
231,3,9:48.0,,B. Bass misses 2-pt jump shot from 16 ft,55,56
232,3,9:47.0,Defensive rebound by M. Carter-Williams,,55,56
233,3,9:30.0,Z. Pachulia makes 2-pt jump shot from 8 ft (assist by M. Carter-Williams),,57,56
234,3,9:19.0,,Turnover by E. Turner (lost ball; steal by M. Carter-Williams),57,56
235,3,9:12.0,E. İlyasova makes 2-pt layup at rim (assist by M. Carter-Williams),,59,56
236,3,8:59.0,,Personal foul by G. Antetokounmpo (drawn by E. Turner),59,56
237,3,8:59.0,O. Mayo enters the game for G. Antetokounmpo,,59,56
238,3,8:59.0,,Turnover by E. Turner (bad pass; steal by O. Mayo),59,56
239,3,8:51.0,E. İlyasova makes 3-pt jump shot from 26 ft (assist by O. Mayo),,62,56
240,3,8:50.0,,Boston full timeout,62,56
241,3,8:36.0,,B. Bass misses 2-pt jump shot from 16 ft,62,56
242,3,8:35.0,Defensive rebound by Z. Pachulia,,62,56
243,3,8:22.0,Z. Pachulia misses 2-pt jump shot from 16 ft,,62,56
244,3,8:21.0,Offensive rebound by E. İlyasova,,62,56
245,3,8:18.0,E. İlyasova makes 2-pt layup at rim,,64,56
246,3,7:51.0,,A. Bradley misses 2-pt jump shot from 22 ft,64,56
247,3,7:49.0,Defensive rebound by Team,,64,56
248,3,7:48.0,,J. Sullinger enters the game for T. Zeller,64,56
249,3,7:37.0,Shooting foul by E. Turner (drawn by Z. Pachulia),,64,56
250,3,7:37.0,Z. Pachulia misses free throw 1 of 2,,64,56
251,3,7:37.0,Offensive rebound by Team,,64,56
252,3,7:37.0,,I. Thomas enters the game for E. Turner,64,56
253,3,7:37.0,Z. Pachulia makes free throw 2 of 2,,65,56
254,3,7:24.0,,A. Bradley misses 3-pt jump shot from 24 ft,65,56
255,3,7:23.0,Defensive rebound by E. İlyasova,,65,56
256,3,7:06.0,E. İlyasova makes 2-pt jump shot from 18 ft (assist by Z. Pachulia),,67,56
257,3,6:51.0,,B. Bass makes 2-pt jump shot from 14 ft (assist by I. Thomas),67,58
258,3,6:34.0,E. İlyasova misses 3-pt jump shot from 25 ft,,67,58
259,3,6:33.0,Offensive rebound by O. Mayo,,67,58
260,3,6:18.0,M. Carter-Williams misses 2-pt jump shot from 7 ft,,67,58
261,3,6:18.0,Offensive rebound by Z. Pachulia,,67,58
262,3,6:11.0,O. Mayo makes 2-pt layup at rim (assist by Z. Pachulia),,69,58
263,3,5:52.0,,Personal foul by O. Mayo (drawn by A. Bradley),69,58
264,3,5:45.0,,M. Smart misses 3-pt jump shot from 26 ft,69,58
265,3,5:44.0,Defensive rebound by E. İlyasova,,69,58
266,3,5:28.0,Personal foul by J. Sullinger (drawn by E. İlyasova),,69,58
267,3,5:28.0,,J. Crowder enters the game for B. Bass,69,58
268,3,5:27.0,Offensive foul by M. Carter-Williams (drawn by M. Smart),,69,58
269,3,5:27.0,Turnover by M. Carter-Williams (offensive foul),,69,58
270,3,5:22.0,,Personal foul by M. Carter-Williams (drawn by I. Thomas),69,58
271,3,5:16.0,,I. Thomas misses 2-pt layup from 1 ft,69,58
272,3,5:15.0,,Offensive rebound by J. Sullinger,69,58
273,3,5:15.0,,J. Sullinger misses 2-pt layup from 1 ft,69,58
274,3,5:14.0,Defensive rebound by O. Mayo,,69,58
275,3,5:11.0,E. İlyasova makes 2-pt layup at rim (assist by O. Mayo),,71,58
276,3,4:59.0,,J. Sullinger misses 3-pt jump shot from 25 ft,71,58
277,3,4:58.0,Defensive rebound by O. Mayo,,71,58
278,3,4:50.0,Z. Pachulia makes 2-pt dunk at rim (assist by K. Middleton),,73,58
279,3,4:39.0,,Turnover by M. Smart (lost ball; steal by K. Middleton),73,58
280,3,4:36.0,Personal foul by J. Sullinger (drawn by M. Carter-Williams),,73,58
281,3,4:36.0,,K. Olynyk enters the game for J. Sullinger,73,58
282,3,4:36.0,,J. Jerebko enters the game for M. Smart,73,58
283,3,4:29.0,K. Middleton misses 3-pt jump shot from 24 ft,,73,58
284,3,4:28.0,,Defensive rebound by Team,73,58
285,3,4:28.0,Loose ball foul by E. İlyasova (drawn by J. Jerebko),,73,58
286,3,4:28.0,,J. Jerebko makes free throw 1 of 2,73,59
287,3,4:28.0,,J. Jerebko makes free throw 2 of 2,73,60
288,3,4:14.0,Turnover by M. Carter-Williams (lost ball; steal by K. Olynyk),,73,60
289,3,4:09.0,,I. Thomas misses 3-pt jump shot from 25 ft,73,60
290,3,4:08.0,Defensive rebound by Z. Pachulia,,73,60
291,3,4:07.0,Personal foul by J. Jerebko (drawn by Z. Pachulia),,73,60
292,3,4:07.0,Z. Pachulia makes free throw 1 of 2,,74,60
