,QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,NEW ORLEANS_ACTION,MILWAUKEE_SCORE,NEW ORLEANS_SCORE
0,1,11:49.0,,Turnover by T. Evans (bad pass),0,0
1,1,11:34.0,E. İlyasova misses 2-pt jump shot from 18 ft,,0,0
2,1,11:33.0,Offensive rebound by G. Antetokounmpo,,0,0
3,1,11:23.0,Z. Pachulia misses 2-pt jump shot from 15 ft,,0,0
4,1,11:22.0,,Defensive rebound by Ö. Aşık,0,0
5,1,11:09.0,,E. Gordon makes 3-pt jump shot from 26 ft (assist by T. Evans),0,3
6,1,10:53.0,K. Middleton misses 3-pt jump shot from 23 ft,,0,3
7,1,10:52.0,,Defensive rebound by T. Evans,0,3
8,1,10:43.0,,T. Evans makes 2-pt jump shot from 22 ft (assist by Ö. Aşık),0,5
9,1,10:31.0,M. Carter-Williams misses 2-pt jump shot from 16 ft,,0,5
10,1,10:30.0,,Defensive rebound by Q. Pondexter,0,5
11,1,10:07.0,,T. Evans misses 2-pt jump shot from 20 ft,0,5
12,1,10:06.0,,Offensive rebound by Q. Pondexter,0,5
13,1,9:58.0,,E. Gordon misses 3-pt jump shot from 25 ft,0,5
14,1,9:57.0,,Offensive rebound by Q. Pondexter,0,5
15,1,9:47.0,,T. Evans makes 2-pt layup from 2 ft,0,7
16,1,9:34.0,Personal foul by Q. Pondexter (drawn by K. Middleton),,0,7
17,1,9:26.0,Z. Pachulia misses 2-pt jump shot from 16 ft,,0,7
18,1,9:25.0,,Defensive rebound by A. Davis,0,7
19,1,9:16.0,,Shooting foul by M. Carter-Williams (drawn by E. Gordon),0,7
20,1,9:16.0,,E. Gordon misses free throw 1 of 2,0,7
21,1,9:16.0,,Offensive rebound by Team,0,7
22,1,9:16.0,,E. Gordon makes free throw 2 of 2,0,8
23,1,9:05.0,M. Carter-Williams misses 2-pt jump shot from 15 ft,,0,8
24,1,9:04.0,,Defensive rebound by Ö. Aşık,0,8
25,1,8:57.0,,T. Evans makes 2-pt layup from 2 ft (assist by A. Davis),0,10
26,1,8:56.0,Milwaukee full timeout,,0,10
27,1,8:56.0,J. Bayless enters the game for M. Carter-Williams,,0,10
28,1,8:56.0,C. Johnson enters the game for G. Antetokounmpo,,0,10
29,1,8:42.0,Turnover by K. Middleton (bad pass; steal by T. Evans),,0,10
30,1,8:38.0,,Shooting foul by C. Johnson (drawn by T. Evans),0,10
31,1,8:38.0,,T. Evans makes free throw 1 of 2,0,11
32,1,8:38.0,,T. Evans makes free throw 2 of 2,0,12
33,1,8:22.0,K. Middleton misses 2-pt jump shot from 20 ft,,0,12
34,1,8:21.0,,Defensive rebound by Ö. Aşık,0,12
35,1,8:08.0,,A. Davis misses 2-pt jump shot from 18 ft,0,12
36,1,8:08.0,Defensive rebound by J. Bayless,,0,12
37,1,8:00.0,Turnover by K. Middleton (lost ball),,0,12
38,1,7:50.0,,Personal foul by C. Johnson (drawn by A. Davis),0,12
39,1,7:50.0,T. Ennis enters the game for K. Middleton,,0,12
40,1,7:40.0,,Turnover by T. Evans (lost ball; steal by Z. Pachulia),0,12
41,1,7:37.0,Turnover by Z. Pachulia (bad pass; steal by E. Gordon),,0,12
42,1,7:29.0,,Q. Pondexter makes 3-pt jump shot from 25 ft (assist by E. Gordon),0,15
43,1,7:02.0,J. Bayless misses 3-pt jump shot from 25 ft,,0,15
44,1,7:01.0,,Defensive rebound by Ö. Aşık,0,15
45,1,6:39.0,,Q. Pondexter misses 3-pt jump shot from 23 ft,0,15
46,1,6:38.0,Defensive rebound by Z. Pachulia,,0,15
47,1,6:19.0,E. İlyasova makes 3-pt jump shot from 26 ft (assist by J. Bayless),,3,15
48,1,6:02.0,,Ö. Aşık makes 2-pt layup from 3 ft (assist by E. Gordon),3,17
49,1,5:44.0,Z. Pachulia misses 2-pt hook shot from 3 ft,,3,17
50,1,5:43.0,Offensive rebound by Z. Pachulia,,3,17
51,1,5:42.0,Shooting foul by Ö. Aşık (drawn by Z. Pachulia),,3,17
52,1,5:42.0,Z. Pachulia makes free throw 1 of 2,,4,17
53,1,5:42.0,G. Antetokounmpo enters the game for C. Johnson,,4,17
54,1,5:42.0,Z. Pachulia makes free throw 2 of 2,,5,17
55,1,5:32.0,,Shooting foul by E. İlyasova (drawn by A. Davis),5,17
56,1,5:32.0,,A. Davis makes free throw 1 of 2,5,18
57,1,5:32.0,,A. Davis makes free throw 2 of 2,5,19
58,1,5:21.0,T. Ennis makes 2-pt jump shot from 12 ft,,7,19
59,1,5:02.0,,Ö. Aşık makes 2-pt layup from 3 ft (assist by Q. Pondexter),7,21
60,1,4:44.0,Z. Pachulia makes 2-pt hook shot from 6 ft (assist by J. Bayless),,9,21
61,1,4:27.0,,T. Evans misses 3-pt jump shot from 23 ft,9,21
62,1,4:26.0,Defensive rebound by G. Antetokounmpo,,9,21
63,1,4:18.0,E. İlyasova makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),,12,21
64,1,3:55.0,,Q. Pondexter makes 3-pt jump shot from 26 ft (assist by A. Davis),12,24
65,1,3:35.0,T. Ennis makes 3-pt jump shot from 24 ft (assist by E. İlyasova),,15,24
66,1,3:33.0,,New Orleans full timeout,15,24
67,1,3:33.0,,A. Ajinça enters the game for Ö. Aşık,15,24
68,1,3:33.0,J. Henson enters the game for Z. Pachulia,,15,24
69,1,3:21.0,,A. Davis makes 2-pt jump shot from 21 ft (assist by E. Gordon),15,26
70,1,3:09.0,Shooting foul by A. Ajinça (drawn by J. Henson),,15,26
71,1,3:09.0,J. Henson misses free throw 1 of 2,,15,26
72,1,3:09.0,Offensive rebound by Team,,15,26
73,1,3:09.0,,N. Cole enters the game for E. Gordon,15,26
74,1,3:09.0,,D. Cunningham enters the game for Q. Pondexter,15,26
75,1,3:09.0,J. Henson misses free throw 2 of 2,,15,26
76,1,3:09.0,,Defensive rebound by A. Davis,15,26
77,1,2:45.0,,A. Davis makes 2-pt jump shot from 20 ft (assist by T. Evans),15,28
78,1,2:30.0,G. Antetokounmpo misses 2-pt layup from 2 ft,,15,28
79,1,2:29.0,Offensive rebound by E. İlyasova,,15,28
80,1,2:29.0,E. İlyasova makes 2-pt tip-in from 1 ft,,17,28
81,1,2:08.0,,A. Ajinça misses 2-pt jump shot from 9 ft,17,28
82,1,2:07.0,Defensive rebound by J. Henson,,17,28
83,1,1:47.0,E. İlyasova misses 3-pt jump shot from 24 ft,,17,28
84,1,1:47.0,,Defensive rebound by Team,17,28
85,1,1:47.0,Loose ball foul by J. Henson (drawn by A. Davis),,17,28
86,1,1:47.0,,A. Davis makes free throw 1 of 2,17,29
87,1,1:47.0,,A. Davis makes free throw 2 of 2,17,30
88,1,1:29.0,Turnover by T. Ennis (bad pass; steal by D. Cunningham),,17,30
89,1,1:27.0,,Turnover by D. Cunningham (lost ball),17,30
90,1,1:16.0,J. Bayless misses 2-pt jump shot from 22 ft,,17,30
91,1,1:15.0,,Defensive rebound by A. Davis,17,30
92,1,1:04.0,,T. Evans misses 3-pt jump shot from 26 ft,17,30
93,1,1:03.0,Defensive rebound by G. Antetokounmpo,,17,30
