,QUARTER,TIME_REMAINING,PHOENIX_ACTION,MINNESOTA_ACTION,PHOENIX_SCORE,MINNESOTA_SCORE
0,1,12:00.0,,Violation by Team (jump ball),0,0
1,1,11:48.0,G. Green makes 2-pt jump shot from 15 ft (assist by E. Bledsoe),,2,0
2,1,11:34.0,,N. Peković makes 2-pt jump shot from 6 ft,2,2
3,1,11:15.0,P. Tucker makes 2-pt jump shot from 16 ft (assist by E. Bledsoe),,4,2
4,1,10:58.0,,N. Peković misses 2-pt jump shot from 6 ft (block by A. Len),4,2
5,1,10:57.0,,Offensive rebound by Team,4,2
6,1,10:55.0,,K. Martin makes 2-pt jump shot from 14 ft (assist by A. Wiggins),4,4
7,1,10:37.0,Turnover by A. Len (bad pass; steal by A. Wiggins),,4,4
8,1,10:36.0,,Personal foul by P. Tucker (drawn by A. Wiggins),4,4
9,1,10:29.0,,Offensive foul by A. Wiggins (drawn by E. Bledsoe),4,4
10,1,10:29.0,,Turnover by A. Wiggins (offensive foul),4,4
11,1,10:15.0,M. Morris makes 2-pt jump shot from 11 ft,,6,4
12,1,10:01.0,,K. Martin makes 2-pt layup from 2 ft,6,6
13,1,9:51.0,G. Green misses 2-pt jump shot from 16 ft,,6,6
14,1,9:50.0,,Defensive rebound by K. Martin,6,6
15,1,9:39.0,,A. Bennett misses 2-pt jump shot from 8 ft,6,6
16,1,9:38.0,,Offensive rebound by A. Bennett,6,6
17,1,9:35.0,,A. Bennett misses 2-pt layup at rim (block by A. Len),6,6
18,1,9:34.0,Defensive rebound by M. Morris,,6,6
19,1,9:18.0,M. Morris makes 3-pt jump shot from 25 ft (assist by G. Green),,9,6
20,1,8:56.0,,Turnover by K. Martin (lost ball; steal by G. Green),9,6
21,1,8:55.0,Personal foul by R. Rubio (drawn by E. Bledsoe),,9,6
22,1,8:49.0,G. Green misses 2-pt jump shot from 21 ft,,9,6
23,1,8:48.0,,Defensive rebound by R. Rubio,9,6
24,1,8:40.0,,Shooting foul by G. Green (drawn by K. Martin),9,6
25,1,8:40.0,,K. Martin makes free throw 1 of 2,9,7
