,QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SACRAMENTO_ACTION,MINNESOTA_SCORE,SACRAMENTO_SCORE
0,1,11:47.0,,O. Casspi makes 2-pt layup from 2 ft (assist by R. Gay),0,2
1,1,11:34.0,K. Martin misses 2-pt jump shot from 22 ft,,0,2
2,1,11:33.0,,Defensive rebound by R. McCallum,0,2
3,1,11:26.0,,O. Casspi makes 2-pt layup from 1 ft (assist by B. McLemore),0,4
4,1,11:08.0,A. Payne misses 2-pt jump shot from 15 ft,,0,4
5,1,11:08.0,,Defensive rebound by O. Casspi,0,4
6,1,11:00.0,,Turnover by R. Evans (3 sec),0,4
7,1,10:42.0,Z. LaVine misses 3-pt jump shot from 24 ft,,0,4
8,1,10:41.0,,Defensive rebound by R. McCallum,0,4
9,1,10:38.0,,B. McLemore makes 2-pt dunk at rim (assist by R. McCallum),0,6
10,1,10:31.0,Minnesota full timeout,,0,6
11,1,10:19.0,A. Payne makes 2-pt hook shot from 5 ft,,2,6
12,1,10:05.0,,Offensive foul by R. Evans (drawn by Z. LaVine),2,6
13,1,10:05.0,,Turnover by R. Evans (offensive foul),2,6
14,1,9:54.0,A. Wiggins makes 2-pt jump shot from 15 ft,,4,6
15,1,9:40.0,,O. Casspi makes 2-pt layup from 2 ft (assist by R. Gay),4,8
16,1,9:40.0,,Shooting foul by A. Payne (drawn by O. Casspi),4,8
17,1,9:40.0,C. Budinger enters the game for A. Payne,,4,8
18,1,9:40.0,,O. Casspi makes free throw 1 of 1,4,9
19,1,9:28.0,A. Wiggins misses 2-pt jump shot from 16 ft,,4,9
20,1,9:28.0,,Defensive rebound by R. Evans,4,9
21,1,9:11.0,,R. Evans misses 2-pt layup from 2 ft (block by J. Hamilton),4,9
22,1,9:09.0,Defensive rebound by J. Hamilton,,4,9
23,1,9:06.0,C. Budinger makes 2-pt layup at rim (assist by Z. LaVine),,6,9
24,1,8:44.0,,R. McCallum misses 3-pt jump shot from 22 ft,6,9
25,1,8:43.0,Defensive rebound by C. Budinger,,6,9
26,1,8:23.0,A. Wiggins misses 2-pt jump shot from 3 ft,,6,9
27,1,8:21.0,Offensive rebound by A. Wiggins,,6,9
28,1,8:21.0,A. Wiggins makes 2-pt tip-in from 1 ft,,8,9
29,1,8:08.0,,R. Gay makes 2-pt jump shot from 6 ft,8,11
30,1,7:55.0,K. Martin makes 3-pt jump shot from 25 ft (assist by Z. LaVine),,11,11
31,1,7:40.0,,Turnover by R. Gay (bad pass; steal by J. Hamilton),11,11
32,1,7:32.0,A. Wiggins makes 2-pt layup from 1 ft (assist by K. Martin),,13,11
33,1,7:21.0,,Shooting block foul by A. Wiggins (drawn by R. Gay),13,11
34,1,7:21.0,,R. Gay misses free throw 1 of 2,13,11
35,1,7:21.0,,Offensive rebound by Team,13,11
36,1,7:21.0,,J. Thompson enters the game for R. Evans,13,11
37,1,7:21.0,,R. Gay makes free throw 2 of 2,13,12
38,1,7:01.0,K. Martin makes 2-pt jump shot from 9 ft (assist by J. Hamilton),,15,12
39,1,6:42.0,,O. Casspi makes 2-pt layup from 2 ft (assist by R. Gay),15,14
40,1,6:27.0,K. Martin misses 3-pt jump shot from 25 ft,,15,14
41,1,6:26.0,,Defensive rebound by O. Casspi,15,14
42,1,6:18.0,,O. Casspi misses 2-pt jump shot from 13 ft,15,14
43,1,6:17.0,Defensive rebound by J. Hamilton,,15,14
44,1,6:10.0,Z. LaVine misses 2-pt jump shot from 14 ft,,15,14
45,1,6:10.0,,Defensive rebound by O. Casspi,15,14
46,1,6:00.0,,Turnover by R. Gay (bad pass),15,14
47,1,5:43.0,J. Hamilton makes 2-pt jump shot from 16 ft (assist by K. Martin),,17,14
48,1,5:32.0,,O. Casspi misses 3-pt jump shot from 26 ft,17,14
49,1,5:30.0,Defensive rebound by K. Martin,,17,14
50,1,5:17.0,K. Martin makes 2-pt jump shot from 18 ft (assist by J. Hamilton),,19,14
51,1,5:15.0,,Sacramento full timeout,19,14
52,1,5:15.0,,D. Williams enters the game for R. Gay,19,14
53,1,5:01.0,,B. McLemore makes 2-pt layup from 2 ft (assist by R. McCallum),19,16
54,1,4:41.0,C. Budinger makes 3-pt jump shot from 23 ft (assist by J. Hamilton),,22,16
55,1,4:25.0,,Turnover by B. McLemore (bad pass; steal by J. Hamilton),22,16
56,1,4:17.0,Shooting foul by B. McLemore (drawn by K. Martin),,22,16
57,1,4:17.0,K. Martin misses free throw 1 of 2,,22,16
58,1,4:17.0,Offensive rebound by Team,,22,16
59,1,4:17.0,,N. Stauskas enters the game for O. Casspi,22,16
60,1,4:17.0,K. Martin makes free throw 2 of 2,,23,16
61,1,4:06.0,,Turnover by D. Williams (lost ball),23,16
62,1,3:52.0,A. Wiggins misses 2-pt jump shot from 8 ft,,23,16
63,1,3:51.0,,Defensive rebound by J. Thompson,23,16
64,1,3:36.0,,Turnover by R. McCallum (bad pass),23,16
65,1,3:36.0,,A. Miller enters the game for R. McCallum,23,16
66,1,3:27.0,Turnover by K. Martin (bad pass; steal by B. McLemore),,23,16
67,1,3:21.0,,B. McLemore misses 2-pt hook shot from 5 ft,23,16
68,1,3:20.0,,Offensive rebound by J. Thompson,23,16
69,1,3:20.0,,Shooting foul by C. Budinger (drawn by J. Thompson),23,16
70,1,3:20.0,,J. Thompson makes free throw 1 of 2,23,17
71,1,3:20.0,,J. Thompson misses free throw 2 of 2,23,17
72,1,3:19.0,Defensive rebound by C. Budinger,,23,17
73,1,3:04.0,Shooting foul by B. McLemore (drawn by K. Martin),,23,17
74,1,3:04.0,K. Martin makes free throw 1 of 2,,24,17
75,1,3:04.0,K. Martin makes free throw 2 of 2,,25,17
