,QUARTER,TIME_REMAINING,INDIANA_ACTION,WASHINGTON_ACTION,INDIANA_SCORE,WASHINGTON_SCORE
0,1,11:38.0,,M. Gortat makes 2-pt layup from 1 ft (assist by N. Hilário),0,2
1,1,11:14.0,C. Miles misses 3-pt jump shot from 26 ft,,0,2
2,1,11:13.0,,Defensive rebound by G. Temple,0,2
3,1,11:09.0,,Turnover by J. Wall (bad pass; steal by L. Scola),0,2
4,1,10:53.0,D. Sloan misses 2-pt jump shot from 14 ft,,0,2
5,1,10:53.0,Offensive rebound by Team,,0,2
6,1,10:53.0,Personal foul by P. Pierce (drawn by D. Sloan),,0,2
7,1,10:42.0,C. Miles misses 2-pt layup from 1 ft (block by M. Gortat),,0,2
8,1,10:41.0,,Defensive rebound by G. Temple,0,2
9,1,10:37.0,,J. Wall makes 2-pt layup at rim (assist by G. Temple),0,4
10,1,10:13.0,S. Hill makes 2-pt jump shot from 14 ft (assist by C. Miles),,2,4
11,1,10:06.0,,Personal foul by S. Hill (drawn by P. Pierce),2,4
12,1,10:03.0,,Turnover by P. Pierce (bad pass),2,4
13,1,9:44.0,C. Miles misses 2-pt jump shot from 7 ft (block by M. Gortat),,2,4
14,1,9:43.0,,Defensive rebound by G. Temple,2,4
15,1,9:37.0,,P. Pierce misses 3-pt jump shot from 27 ft,2,4
16,1,9:35.0,Defensive rebound by R. Hibbert,,2,4
17,1,9:28.0,Turnover by D. Sloan (bad pass),,2,4
18,1,9:17.0,,N. Hilário misses 2-pt jump shot from 14 ft,2,4
19,1,9:16.0,Defensive rebound by R. Hibbert,,2,4
20,1,9:05.0,R. Hibbert misses 2-pt jump shot from 14 ft,,2,4
21,1,9:04.0,,Defensive rebound by P. Pierce,2,4
22,1,8:56.0,,M. Gortat misses 2-pt jump shot from 15 ft,2,4
23,1,8:54.0,Defensive rebound by L. Scola,,2,4
24,1,8:37.0,L. Scola misses 2-pt jump shot from 9 ft,,2,4
25,1,8:36.0,Offensive rebound by Team,,2,4
26,1,8:28.0,D. Sloan misses 2-pt layup from 1 ft,,2,4
27,1,8:26.0,,Defensive rebound by P. Pierce,2,4
28,1,8:21.0,,G. Temple makes 3-pt jump shot from 25 ft (assist by J. Wall),2,7
29,1,8:07.0,Turnover by C. Miles (lost ball),,2,7
30,1,7:53.0,,M. Gortat misses 2-pt jump shot from 12 ft,2,7
31,1,7:52.0,Defensive rebound by L. Scola,,2,7
32,1,7:37.0,Personal foul by J. Wall (drawn by D. Sloan),,2,7
33,1,7:30.0,L. Scola misses 2-pt jump shot from 19 ft,,2,7
34,1,7:29.0,Offensive rebound by C. Miles,,2,7
35,1,7:16.0,D. Sloan makes 3-pt jump shot from 24 ft (assist by S. Hill),,5,7
36,1,7:02.0,,Shooting foul by R. Hibbert (drawn by N. Hilário),5,7
37,1,7:02.0,,N. Hilário makes free throw 1 of 2,5,8
38,1,7:02.0,C. Copeland enters the game for S. Hill,,5,8
39,1,7:02.0,,N. Hilário makes free throw 2 of 2,5,9
40,1,6:49.0,R. Hibbert misses 2-pt jump shot from 4 ft,,5,9
41,1,6:48.0,,Defensive rebound by Team,5,9
42,1,6:35.0,,J. Wall misses 2-pt jump shot from 14 ft,5,9
43,1,6:33.0,Defensive rebound by C. Copeland,,5,9
44,1,6:23.0,C. Miles misses 3-pt jump shot from 26 ft,,5,9
45,1,6:23.0,,Defensive rebound by M. Gortat,5,9
46,1,6:17.0,,J. Wall misses 2-pt jump shot from 15 ft,5,9
47,1,6:16.0,Defensive rebound by D. Sloan,,5,9
48,1,6:05.0,D. Sloan makes 3-pt jump shot from 25 ft (assist by L. Scola),,8,9
49,1,5:41.0,,M. Gortat misses 2-pt jump shot from 5 ft (block by R. Hibbert),8,9
50,1,5:39.0,Defensive rebound by L. Scola,,8,9
51,1,5:35.0,D. Sloan makes 2-pt layup from 1 ft,,10,9
52,1,5:16.0,,G. Temple misses 2-pt layup from 1 ft,10,9
53,1,5:15.0,,Offensive rebound by G. Temple,10,9
54,1,5:14.0,,G. Temple makes 2-pt tip-in from 2 ft,10,11
55,1,4:54.0,C. Miles misses 3-pt jump shot from 24 ft,,10,11
56,1,4:53.0,,Defensive rebound by M. Gortat,10,11
57,1,4:50.0,Violation by C. Miles (def goaltending),,10,11
58,1,4:50.0,,J. Wall makes 2-pt layup at rim (assist by M. Gortat),10,13
59,1,4:50.0,,Shooting foul by D. Sloan (drawn by J. Wall),10,13
60,1,4:50.0,,Washington full timeout,10,13
61,1,4:50.0,,D. Gooden enters the game for N. Hilário,10,13
62,1,4:50.0,,J. Wall makes free throw 1 of 1,10,14
63,1,4:32.0,C. Copeland misses 2-pt jump shot from 16 ft,,10,14
64,1,4:31.0,,Defensive rebound by M. Gortat,10,14
65,1,4:13.0,,P. Pierce misses 2-pt jump shot from 16 ft,10,14
66,1,4:12.0,Defensive rebound by R. Hibbert,,10,14
67,1,3:59.0,C. Copeland makes 2-pt jump shot from 18 ft (assist by D. Sloan),,12,14
68,1,3:47.0,,M. Gortat misses 2-pt jump shot from 11 ft,12,14
69,1,3:46.0,Defensive rebound by C. Copeland,,12,14
70,1,3:33.0,D. Sloan makes 3-pt jump shot from 25 ft (assist by L. Scola),,15,14
71,1,3:10.0,,Shooting foul by R. Hibbert (drawn by M. Gortat),15,14
72,1,3:10.0,,M. Gortat makes free throw 1 of 2,15,15
73,1,3:10.0,I. Mahinmi enters the game for R. Hibbert,,15,15
74,1,3:10.0,,O. Porter enters the game for P. Pierce,15,15
75,1,3:10.0,,M. Gortat makes free throw 2 of 2,15,16
76,1,2:53.0,C. Miles misses 2-pt layup from 2 ft,,15,16
77,1,2:53.0,Offensive rebound by I. Mahinmi,,15,16
78,1,2:44.0,C. Copeland makes 3-pt jump shot from 25 ft (assist by C. Miles),,18,16
79,1,2:29.0,,J. Wall makes 2-pt jump shot from 4 ft,18,18
80,1,2:16.0,L. Scola misses 2-pt jump shot from 19 ft,,18,18
81,1,2:15.0,,Defensive rebound by J. Wall,18,18
82,1,2:09.0,,G. Temple misses 3-pt jump shot from 25 ft,18,18
83,1,2:08.0,Defensive rebound by D. Sloan,,18,18
84,1,1:55.0,Indiana full timeout,,18,18
85,1,1:45.0,D. Sloan misses 3-pt jump shot from 25 ft (block by J. Wall),,18,18
86,1,1:45.0,Offensive rebound by Team,,18,18
87,1,1:45.0,Turnover by Team (shot clock),,18,18
88,1,1:31.0,,G. Temple makes 3-pt jump shot from 22 ft (assist by J. Wall),18,21
89,1,1:13.0,I. Mahinmi makes 2-pt layup at rim (assist by C. Copeland),,20,21
90,1,1:02.0,,G. Temple misses 2-pt jump shot from 17 ft,20,21
91,1,1:01.0,Defensive rebound by I. Mahinmi,,20,21
92,1,0:51.0,C. Copeland makes 2-pt jump shot from 15 ft,,22,21
93,1,0:39.0,,D. Gooden misses 2-pt jump shot from 4 ft (block by L. Scola),22,21
94,1,0:37.0,,Offensive rebound by D. Gooden,22,21
95,1,0:35.0,,D. Gooden misses 2-pt layup from 2 ft,22,21
96,1,0:34.0,Defensive rebound by C. Copeland,,22,21
97,1,0:30.0,L. Scola makes 2-pt layup from 2 ft (assist by C. Copeland),,24,21
98,1,0:07.0,,O. Porter makes 3-pt jump shot from 24 ft (assist by J. Wall),24,24
99,1,0:02.0,D. Sloan misses 3-pt jump shot from 27 ft,,24,24
100,1,0:01.0,,Defensive rebound by D. Gooden,24,24
101,2,11:36.0,Shooting foul by O. Porter (drawn by D. Rudež),,24,24
102,2,11:36.0,D. Rudež makes free throw 1 of 2,,25,24
103,2,11:36.0,D. Rudež makes free throw 2 of 2,,26,24
104,2,11:27.0,,Personal foul by D. Rudež (drawn by O. Porter),26,24
105,2,11:27.0,,G. Rice enters the game for G. Temple,26,24
106,2,11:20.0,,D. Gooden misses 2-pt jump shot from 21 ft,26,24
107,2,11:19.0,Defensive rebound by D. Rudež,,26,24
108,2,11:09.0,Offensive foul by D. Rudež (drawn by D. Gooden),,26,24
109,2,11:09.0,Turnover by D. Rudež (offensive foul),,26,24
110,2,10:54.0,,K. Séraphin misses 2-pt jump shot from 13 ft,26,24
111,2,10:52.0,Defensive rebound by S. Hill,,26,24
112,2,10:35.0,C. Copeland misses 2-pt jump shot from 13 ft (block by K. Séraphin),,26,24
113,2,10:33.0,Offensive rebound by C. Copeland,,26,24
114,2,10:32.0,C. Copeland misses 2-pt jump shot from 6 ft (block by D. Gooden),,26,24
115,2,10:30.0,,Defensive rebound by O. Porter,26,24
116,2,10:27.0,,G. Rice misses 2-pt jump shot from 3 ft,26,24
117,2,10:25.0,,Offensive rebound by G. Rice,26,24
118,2,10:23.0,,G. Rice makes 2-pt tip-in at rim,26,26
119,2,10:07.0,C. Copeland makes 3-pt jump shot from 25 ft,,29,26
120,2,9:51.0,,O. Porter misses 2-pt jump shot from 3 ft,29,26
121,2,9:49.0,Defensive rebound by I. Mahinmi,,29,26
122,2,9:30.0,I. Mahinmi makes 2-pt layup at rim (assist by C. Copeland),,31,26
123,2,9:15.0,,A. Miller makes 2-pt layup at rim,31,28
124,2,8:59.0,Personal foul by D. Gooden (drawn by L. Allen),,31,28
125,2,8:59.0,Official timeout,,31,28
126,2,8:59.0,,N. Hilário enters the game for D. Gooden,31,28
127,2,8:47.0,I. Mahinmi misses 2-pt jump shot from 8 ft,,31,28
128,2,8:45.0,,Defensive rebound by G. Rice,31,28
129,2,8:42.0,,Offensive foul by K. Séraphin (drawn by I. Mahinmi),31,28
130,2,8:42.0,,Turnover by K. Séraphin (offensive foul),31,28
131,2,8:26.0,C. Copeland misses 3-pt jump shot from 26 ft,,31,28
132,2,8:26.0,,Defensive rebound by Team,31,28
133,2,8:11.0,,G. Rice misses 2-pt jump shot from 16 ft,31,28
134,2,8:10.0,Defensive rebound by S. Hill,,31,28
135,2,8:00.0,Shooting block foul by A. Miller (drawn by S. Hill),,31,28
136,2,8:00.0,S. Hill makes free throw 1 of 2,,32,28
137,2,8:00.0,S. Hill makes free throw 2 of 2,,33,28
138,2,7:43.0,,Turnover by N. Hilário (offensive foul),33,28
139,2,7:43.0,,Offensive foul by N. Hilário (drawn by C. Copeland),33,28
140,2,7:35.0,S. Hill makes 2-pt layup from 1 ft,,35,28
141,2,7:19.0,,N. Hilário makes 2-pt jump shot from 17 ft (assist by A. Miller),35,30
142,2,7:11.0,Personal foul by N. Hilário (drawn by L. Allen),,35,30
143,2,7:11.0,,Personal foul by L. Allen,35,30
